Mark Haddon, The Curious Incident of the Dog in the Night-Time|... why I like timetables, because they make sure I don't get lost in time.
Mehmet Murat ildan|Trust not tomorrow! Whatever you are planning, today is the best day to act!
C.S. Lewis, The Great Divorce|Time is the very lens through which ye see—small and clear, as men see through the wrong end of a telescope—something that would otherwise be too big for ye to see at all. That thing is Freedom: the gift whereby ye most resemble your Maker and are yourselves parts of eternal reality. But ye can see it only through the lens of Time, in a little clear picture, through the inverted telescope. It is a picture of moments following one another and yourself in each moment making some choice that might have been otherwise.
Banana Yoshimoto, The Lake|Just being with Nakajima made me feel as if we were detached from history, and had no particular age.
Michael Zadoorian, The Leisure Seeker|The sad truth is, John and I and the kids only took Route 66 once on our trips to Disneyland. Our family, like the rest of America, succumbed to the lure of faster highways, more direct routes, higher speed limits. We forgot about taking the slow way. It makes you wonder if something inside us knows that our lives are going to pass faster than we could ever realize. So we run around like chickens about to lose our heads. Which makes our little two- or three-week vacations with our families more important than ever... As for the time that elapsed between those vacations, that’s another thing altogether. It seems to have all passed breathlessly, like some extended whisper of days, months, years, decades. (pp.39-40)
Effrosyni Moschoudi, The Lady of the Pier - The Ebb|Only time would tell if this blazing fire would eventually die on the altar of ephemeral summer love, or if, by any chance, it had the power to kindle for a while, then light up anew, this time to burn forever more.
Sue Townsend, The Woman Who Went to Bed for a Year|Nothing was true for long. In time, everything was deconstructed.
Ntambara Sylvestre Owen Berbason|The time, the mosquito will land on your testicles, the way you'll kill it, will help you to resolve world issues without violence
Claude Lévi-Strauss, Structural Anthropology|For everything is history: What was said yesterday is history, what was said a minute ago is history. But, above all, one is led to misjudge the present, because only the study of historical development permits the weighing and evalua­ tion of the interrelationships among the components of the present- day society.
Roberto Mangabeira Unger, The Religion of the Future|In such a view, time is not emergent. It is, in fact, the only aspect of reality that cannot emerge from a more fundamental background. We register its reality, always and everywhere, by recognizing the differential character of change: some things change relative to other things. However, the kinds of things that there are also change, and so do the ways in which they change. That is what time is: the transformation of transformation.
Meša Selimović|We should kill our pasts with each passing day. Blot them out, so that they will not hurt. Each present day could thus be endured more easily, it would not be measured against what no longer exists. As things are, spectres mix with our lives so that there is neither pure memory nor pure life. They clash and try to strangle each other, continually
Helen Simpson, Cockfosters|there are between life partners sliding layers of history, tectonic plates of it shifting over the decades together.
Karen Tei Yamashita, Tropic of Orange|Time could heal, but it wouldn't make wrongs go away. Time came back like a reminder. Time folded with memory. In a moment, everything could fold itself up, and time stand still.
Gabriel García Márquez, One Hundred Years of Solitude|But when they changed their plans time and time again, the dates became confused, the periods were mislaid, and one day seemed so much like another that one could not feel them pass.
Lailah Gifty Akita|There will be a time, when you ask for nothing but life.
Lailah Gifty Akita|New morning, new moment in time.
Jacqueline Winspear, In This Grave Hour|... truth has a certain buoyancy - it makes its way to the surface, in time.
Norbert Wiener, The Human Use Of Human Beings: Cybernetics And Society|We are not the stuff that abides, but patternsthat perpetuate themselves.
Sunday Adelaja|To regain your lost years, you must make sure that any activity targeted at attaining your goal must be done with the qualities of intensity, speed and focus
Meister Eckhart|A day, whether six or seven years ago or whether six thousand years ago, is just as near to the present as yesterday. Why? Because all time is contained in now.
Gift Gugu Mona|Time is often wasted by those who don't understand that time is worth more than money because when lost, money can be regained but time cannot.
Sunday Adelaja|If your idea is not against your conscience or the will of God, go for it
Sunday Adelaja|It is impossible to pause, stop or delay time
Sunday Adelaja|You have to be pragmatic, purposeful and goal-oriented to be fully effective
Sunday Adelaja|If you are not living in active consciousness, you will always be lost
Sunday Adelaja|To be productive, you have to stop being absent-minded
Sunday Adelaja|When you are intense, you will do things persistently and with speed
Sunday Adelaja|Until you believe in yourself, it does not matter how much you believe in God
Sunday Adelaja|To live an effective life, you have to turn your back on the things of the world
Sunday Adelaja|For your life to count, you need to begin to live for others
Sunday Adelaja|When you love your neighbor, you won’t have problems with embracing them
Sunday Adelaja|No amount of service we do can impress God, only our service to ordinary people can
Sunday Adelaja|To live an effective life, you must understand the essence and secret of life
Sunday Adelaja|Our target as believers is to live an effective life, not just a long one
Sunday Adelaja|Don’t fellowship with people around you alone, explore and reach out to more people
Sunday Adelaja|Do not restrain yourself from fellowshipping with people, regardless of their age or status
Sunday Adelaja|It’s not about who they are, but about God’s principle
Sunday Adelaja|When we allow people to fellowship with us, God welcomes us into fellowshipping with Him
Sunday Adelaja|When we allow people to come into our environment, God gives us His environment
Sunday Adelaja|Love everybody, believers or not
Sunday Adelaja|When you celebrate a person, you are celebrating the creator of that person
Sunday Adelaja|Don’t dedicate all your resources to helping others invest in their calling. Rather, invest in yourself as well
Sunday Adelaja|A life without increase, production and multiplication is a wasted one
Sunday Adelaja|As believers, we each have a different essence of existence
Sunday Adelaja|Don’t exert all your energy on employment, locate your purpose
Sunday Adelaja|As a believer, you need to take responsibility of the Kingdom of God on earth
Sunday Adelaja|Your calling is in what you read, think and talk about
Sunday Adelaja|Don’t waste time on employment, discover yourself today
Sunday Adelaja|Don’t go in the opposite direction, locate your calling
Sunday Adelaja|Don’t let the tide of life shift you away, move intentionally in the right direction
Sunday Adelaja|When you’re under employment, you are not working in the area of your calling but rather helping to fulfill your employer’s
Sunday Adelaja|When we fellowship with people, we fellowship with God
Sunday Adelaja|When we relate with people, we indirectly relate with God
Sunday Adelaja|Never treat people with disdain, they all deserve your respect irrespective of their faith or religion
Sunday Adelaja|Man is not made for the Sabbath. Rather, the Sabbath is made for man
Sunday Adelaja|When you pay attention to man, God also reciprocates with His attention
Sunday Adelaja|Every time we dedicate our time and other resources to others to the people around us, we serve God
Sunday Adelaja|When you can prove your love for God by your service and attitude to others, your service has started
Sunday Adelaja|When you love God for real, you will love His creation
Sunday Adelaja|All humans are important to God, so treat them all with love
Sunday Adelaja|All your solutions are in people, and you can only be free when you love them
Sunday Adelaja|When you serve people, God will send people to bless you
Sunday Adelaja|Direct your attention to people; love, help and care for them
Sunday Adelaja|When you begin to serve people, God begins to serve you
Sunday Adelaja|When you begin to serve people, salvation locates you
Sunday Adelaja|God will not come from Heaven to help us, but He’ll use the people around us for that
Emily Barr, The One Memory of Flora Banks|Time is a random thing. It is the thing that makes us older. Humans use it to organize the world. They have invented a system to try to make order from randomness. The other humans, all of them but me, live their lives by hours and minutes and days and seconds, but those things are nothing. The universe would laugh at our attempts to organize it, if it could be bothered to notice them. Time is the thing that makes our bodies shrivel and decay. That is why people are scared of it.
Marie-Louise von Franz, Number and Time: Reflections Leading Towards a Unification of Psychology and Physics|Numbers, furthermore as archetypal structural constants of the collective unconscious, possess a dynamic, active aspect which is especially important to keep in mind. It is not what we can do with numbers but what they do to our consciousness that is essential.
Haresh Sippy|There is nothing else to be worried about, But TIME.
Sunday Adelaja|God’s image is in us all, so you can’t regard God when you disregard His people
Ursula K. Le Guin, The Dispossessed|We came, Takver thought, from a great distance to each other. We have always done so. Over great distances, over years, over abysses of chance. It is because he comes from so far away that nothing can separate us. Nothing, no distances, no years, can be greater than the distance that's already between us, the distance of our sex, the differences of our being, our minds; that gap, that abyss which we bridge with a look, with a touch, with a word, the easiest thing in the world. Look how far away he is, asleep. Look how far away he is, he always is. But he comes back, he comes back, he comes back....
Sunday Adelaja|Never disregard people, regardless of their beliefs, because we all carry God’s likeness
Sunday Adelaja|The worship of God shouldn’t be done in church alone, but in all our actions and our attitude towards His creation
Carl Sagan, Cosmos|Part of the resistance to Darwin and Wallace derives from our difficulty in imagining the passage of the millennia, much less the aeons. What does seventy million years mean to beings who live only one-millionth as long? We are like butterflies who flutter for a day and think it is forever.
Hannah Lillith Assadi, Sonora|We remained talking, fighting gently or viciously for what seemed like hours, but it was only minutes or perhaps a second, because it was only a dream.
Steven Magee|At the same time that a massive deployment of biologically harmful radio frequency (RF) radiation devices across the mass population has occurred, we see the reduction of health care for the poor, sick and elderly.
Dr. Manhattan (Watchmen Book), Alan Moore|I am going to look at the stars. They are so far away, and their light takes so long to reach us. All we ever see of stars are their old photographs.
Heather Babcock|Time doesn’t really ‘march on’. It tends to tip-toe. There’s no parade. No stomping of boots to alert you to its passing. One day, you turn around and it is gone.
Elise Kova, Earth's End|You wished for time,” Aldrik explained. “I heard each utterance when you beseeched time to stop, for mornings not to come. I want you to know I shared your every sentiment. I wanted to give you the promise of my minutes, my hours, my days.” His long fingers curled around hers, around the watch. “My future is yours, Vhalla Yarl.
Sunday Adelaja|Product is an output of efforts, skills and time
Sameh Elsayed|Patience is only called patience when it ends up with results that Justify the time awaited, the emotions given and the tears spent.
Emma Cline, The Girls|A lot of things in the house were broken or forgotten: the kitchen clock stopped, a closet doorknob coming off in my hand. The sparkly mess of flies I'd swept from the corners. It took sustained, constant living to ward off decay.
Abu al-Ala al-Ma'arri, Birds Through a Ceiling of Alabaster: Three Abbasid Poets|When men shake hands with time, time crushesThem like tumblers; little pieces of glass.
Richelle E. Goodrich, Slaying Dragons|Time is a power of its own, and it may be the only power by which some miracles come to pass.
Ursula K. Le Guin, The Dispossessed|It is not until an act occurs within the landscape of the past and future that it is a human act. Loyalty, which asserts the continuity of past and future, binding time into a whole, is the root of human strength; there is no good to be done without it.
Sunday Adelaja|We were all created differently, each with his/her calling and purpose
Diana Gabaldon, The Fiery Cross|I will have papers. And whether it is one George or the other who rules in time - this land will be ours. And yours," he added softly, raising his eyes to Brianna's. "And your children's after you." I laid my hand on his, where it rested on the box. His skin was warm with work and the heat of the day, and he smelt of clean sweat. The hairs on his forearm shone red and gold in the sun, and I understood very well just then, why it is that men measure time. They wish to fix a moment, in the vain hope that so doing will keep it from departing
m.k dindoyal|As time flies, its the kid who becomes his parents' shadow.
Garth Risk Hallberg, City on Fire|But what if time worked the other way around?What if what his adolescent self had felt then was the ghost of his present one, sitting here on a sagging bench, beckoning him into his future?
Garth Risk Hallberg, City on Fire|And didn't time always slow, anyway, the closer you came to what you wanted?
Garth Risk Hallberg, City on Fire|But no, what interested him, psychologically speaking, was the sense of continuity itself, the mind's insistence that this was the same Regan he'd known when he was eight; had anything befallen her, the Regan he lost would have been the one who'd perched on the black rocks of the park back then, with all her futures inside.
Garth Risk Hallberg, City on Fire|There is no such thing as a perfect phrase, or a private language, and . . . time only runs the one way.
Sunday Adelaja|After you discover your purpose, you have to build a platform for your calling
Sunday Adelaja|When you increase and multiply, you get much more influence and reach beyond your imagination
Sunday Adelaja|Once you are saved, you have to locate your own territory
Sunday Adelaja|Don’t just be a deliverer of yourself, but a deliverer of your whole nation
Sunday Adelaja|Don’t just make use of a gift, look inside you and maximize others
Richard L.  Ratliff|Time is passing : not leaden steppingBut sprinting on winged feet,Quick silver slipping by.
Sunday Adelaja|Don’t be too stereotyped, be ready to explore new opportunities
Sunday Adelaja|To work for God effectively, you have to expand and stretch yourself
Sunday Adelaja|Until you fight the battle against time, you won’t know how best to manage your time
Sunday Adelaja|To get an effective product, you need to find your calling
Sunday Adelaja|After discovering your calling, the next challenge you are faced with is how to maximize your time
Sunday Adelaja|Always work and take productive actions, do not rely on prayers and fasting alone
Sunday Adelaja|For you to be effective in your promised land, you must study the land
Sunday Adelaja|Don’t be too rigid, always be ready and eager to make new discoveries
Sunday Adelaja|You either waste, spend or invest time. Make your choice wisely
Sunday Adelaja|As you grow older, you become faced with the problem of what to with your time
Sunday Adelaja|If you don’t pursue purpose, you won’t know what to with your time
Sunday Adelaja|As humans, we should be able to answer the question: “What do you do with your time?
Sunday Adelaja|Until you discover what you can do with your time, you won’t know how to go about crucial things
Sunday Adelaja|Time should be seen and assessed in seconds, minutes, hours and days
Richelle E. Goodrich, Slaying Dragons|Father always said that money doesn’t grow on trees. Well, time doesn’t grow on trees either.
Sunday Adelaja|Empower yourself and discover what you can do with your life through hard work, concentration and research
Sunday Adelaja|Maximize the time you have through hard work, concentration and research
Ernest Agyemang Yeboah|Your time and your true relevance are just like your shadow, the more you take steps into the darkness, the more they disappear!
Sunday Adelaja|You’ve got little time on earth, make each day count
Sunday Adelaja|A job shouldn’t be a mean of existence but rather, a means of sustenance
Sunday Adelaja|If you are working with no vision to be own your own boss, you are no different from people who are unemployed
Sunday Adelaja|When you invest in life, you are being fruitful and productive
Sunday Adelaja|Life is in time; seconds, minutes and hours
Sunday Adelaja|Time should be assessed as seconds, minutes and hours so as to be maximized effectively
Sunday Adelaja|To maximize time is to make sure that every second, minute and hour counts
Sunday Adelaja|Every minute, hour and hour that passes daily should be converted into product
Sunday Adelaja|You can multiply your life through work, not jobs
Sunday Adelaja|When life goes, the body becomes weaker
Sunday Adelaja|Always explore new opportunities and ideas, you never know which will work for you
Sunday Adelaja|We were built differently, locate you own calling and explore it
Sunday Adelaja|Never give up. It might not seem easy at first but in the end, it will all be worth it
Sunday Adelaja|If you do not work for your dream or purpose, someone else will hire you to fulfill his/hers
Sunday Adelaja|After losing you job, you have to sit, relax and discover yourself
Sunday Adelaja|Your job cannot sustain you, only your calling can
Sunday Adelaja|Want to keep your life? Look for work, not a job
Sunday Adelaja|Don’t make your job your assignment. Rather, make your life assignment your career and job
Sunday Adelaja|If you don’t leave your job, your job will leave you someday
Sunday Adelaja|Don’t make your job your permanent assignment. Rather, make your work your permanent assignment
Sunday Adelaja|Do not get a job for a living. Rather, get work
Aamir Sarfraz (aamir rajput khan)|To be a good professional engineer,always start to study late for exams.Because it teaches you how tomanage time and tackle emergencies.
Catherynne M. Valente, The Girl Who Raced Fairyland All the Way Home|All time is mean young man. It takes and does not give, it rushes when you wish it would linger and drags when you wish is would fly. It flows sullenly, only in one direction, when it might take a thousand turns. You cannot get anything back once time has taken it. Time cheats and steals and lies and kills. If anyone could arrest it, they would have time behind bars faster than you can check your watch.
Zain Baloch|What's the best time, someone asked me.., I simply replied "Spent with the loved ones".
D.S. Mixell|Although I understand that all days are equal with 24 hours each, most of us agree that Friday is the longest day of the week and Sunday the shortest!
Efrat Cybulkiewicz|We have become a shroud of delusion over reality. It is 'time' to accept that time is a created thing, it is not ticking... It is just a legal and economic system under which we are treated as property. Stop the glorification of busy...Stop feeding yourself with your own ashes.
J. Limbu|You're not just getting old, you're getting closer to your death; and you don't want to miss anything.
Miranda Emmerson, Miss Treadway and the Field of Stars|But life. It rushes by and then you think you'll see people... You think you'll do things and have time for this and time for that... And there is never time. This is what I have learned, Anna, I have learned that there is never as much time as you think there is. -(Ottmar)
Catherine Jones Payne, Breakwater|But, over time, grief fades. And so did my lust for vengeance.
Sandeep Sahajpal|Great news is that time is constant and anyone can catch it anytime, but the worst news is that time is transient, and it will not be available to you the next time.
Wendell Berry, Jayber Crow|Back there in the beginning, as I see now, my life was all time and almost no memory. Though I knew early of death, it still seemed to be something that happened only to other people, and I stood in an unending river of time that would go on making the same changes and the same returns forever.And now, nearing the end, I see that my life is almost entirely memory and very little time.
Sandeep Sahajpal|One thing you cannot avoid ever in life, and that is time.
Sandeep Sahajpal|Time is like a raging bull … if you dare to hold it from the horns, you can ride it forever, but if in case you do not dare, you will be trailing behind holding from its tail.
Moryah DeMott, Timeless|You had me believing that I was crazy. Every time I broke down over what seemed like nothing, it was you.’ Bade ran an anxious hand through his hair.‘Well, that’s love isn’t it?’ Davina took his restless hand. ‘Love is crazy and irrational, and anything less would be boring.
Moryah DeMott, Timeless|Music is another language, one so close to actual thought, strung together, sometimes staccato, flowing, and sometimes even nonsensical or harsh to the ears. It’s truth in an otherwise dishonest world.
Liu Cixin, Death's End|A newly formed planet appeared on the large screen. its surface was till red-hot, like a piece of charcoal fresh out of the furnace. Time passed at the rate of geological eras, and the planet gradually cooled. The color and patterns on the surface slowly shifted in a hypnotic manner. A few minutes later, an orange planet appeared on the screen, indicating the end of the simulation run."The computations were done at the coarsest level; to do it with more precision would require over a month." Green Glasses moved the mouse and zoomed in on the surface of the planet. The view swept over a broad desert, over a cluster of strangely shaped, towering mountain peaks, over a circular depression like an impact crater."What are we looking at?" Yang Dong asked."Earth. Without life, this is what the surface of the planet would look like now.""But . . . where are the oceans?""There are no oceans. No rivers either. The entire surface is dry.""Your'e saying that without life, liquid water would not exist on Earth?""The reality would probably be even more shocking. Remember, this is only a coarse simulation, but at least you can see how much of an impact life had in the present state of the Earth.""But--""Do you think life is nothing but a fragile, thin, soft shell clinging to the surface of this planet?""Isn't it?""Only if you neglect the power of time. If a colony of ants continue to move clods the size of grains of rice, they could remove all of Mount Tai in a billion years. As long as you give it enough time, life is stronger than metal and stone, more powerful than typhoons and volcanoes.
Anthony Lo|You can't turn back the clock, but you can wind it up again.
Moryah DeMott, Timeless|Tell me that you don’t love me, and I’ll leave you alone. In this time or the next. Tell me that you don’t feel free. Tell me you can’t stand the way I look at you. But don’t tell me that I’m not allowed to love you. I will love you through every minute, every day, and every year for the rest of my life. My love for you is timeless.
Moryah DeMott, Timeless|My heart is torn in tiny pieces scattered throughout the years. I exist in several places because you carry those pieces with you, wherever you go, whoever you choose to be, I’ll be beside you in one form or another.
Erica Sehyun Song, Thorns in the Shadow|Time is a funny thing. You can go through it and meddle with it, but nothing can stay permanent. So even if everything so far had not happened, time would still have managed to find a way to make all this happen.
Erica Sehyun Song, Thorns in the Shadow|I felt so much older now, so much more responsible. I guess that there were some positive outcomes: I knew more things than usual, and I knew that I really could accomplish anything and everything. But sometimes, all a fifteen-year-old girl wants is to stop growing. She wants time to slow down and eventually stand still where she can be young and inexperienced forever. Sometimes, she simply wants to remain a child.
Erica Sehyun Song, Thorns in the Shadow|And then I knew that despite all the pain and hard work all of us had gone through, despite the sadness and anger we felt, in the end, everything was going to be fine.	But I did not know when the end was, or if it was even near.	But that did not matter.	I preferred to look towards it in anticipation rather than worry about it. One new day equalled to one new adventure. And right now, I still had plenty of days left in my life. So I did not decide to sit down and plan out my life.	Instead, I decided to sit back, relax, and see where life would take me.
Aldrin Mathew, TIME TRAVEL EXPERIENCES: In a Sense, we all are Time Travelers! We are surviving each and every Active Time-Point in this Timeline.......|In a Sense, we all are Time Travelers! We are Surviving each and every Active Time-Point in this Timeline.......
Vladislav Khalyavkin|Oh Time, you arise with parting! [О Время, ты от разлуки!]- Vladislav Khalyavkin, The Operator
Moryah DeMott, Timeless|Sometimes I sit and stare out at the people walking by, wondering if they’ve felt as I’ve felt, trapped, alone, but guiltily content in the knowledge that I will never know another’s thoughts, and therefore can feel special due to my unique loneliness.
Moryah DeMott, Timeless|Such a funny thing, time. You spend your whole life wishing there was more or less of it, never realizing that the time already given could be worth more than that which you wished for.” -Davina
P.D. James|He was discovering that even hatred died a little at the end. But it still lasted longer than desire, longer even than love.
Liu Cixin, Death's End|Civilization was like a mad dash that lasted fie thousand years. Progress begot more progress; countless miracles gave birth to more miracles; humankind seemed to possess the power of gods; but in the end, the real power was wielded by time.
Suzanne Collins, Mockingjay|Well, don't expect us to be too impressed. We just saw Finnick Odair in his underwear.
Lemony Snicket, Horseradish|Everyone should be able to do one card trick, tell two jokes, and recite three poems, in case they are ever trapped in an elevator.
Cathy Guisewite|When life gives you lemons, squirt someone in the eye.
Albert Einstein|Once you can accept the universe as matter expanding into nothing that is something, wearing stripes with plaid comes easy.
John Green, Looking for Alaska|It's not because I want to make out with her."Hold on." He grabbed a pencil and scrawled excitedly at the paper as if he'd just made a mathematical breakthrough and then looked back up at me. "I just did some calculations, and I've been able to determine that you're full of shit
Jerry Seinfeld|If a book about failures doesn't sell, is it a success?
Rodney Dangerfield|I came from a real tough neighborhood. Once a guy pulled a knife on me. I knew he wasn't a professional, the knife had butter on it.
Bill Cosby|A word to the wise ain't necessary, it's the stupid ones who need advice.
Yogi Berra, When You Come to a Fork in the Road, Take It!: Inspiration and Wisdom from One of Baseball's Greatest Heroes|Always go to other people's funerals, otherwise they won't come to yours.
Shel Silverstein|I cannot go to school today"Said little Peggy Ann McKay."I have the measles and the mumps,A gash, a rash and purple bumps.My mouth is wet, my throat is dry.I'm going blind in my right eye.My tonsils are as big as rocks,I've counted sixteen chicken pox.And there's one more - that's seventeen,And don't you think my face looks green?My leg is cut, my eyes are blue,It might be the instamatic flu.I cough and sneeze and gasp and choke,I'm sure that my left leg is broke.My hip hurts when I move my chin,My belly button's caving in.My back is wrenched, my ankle's sprained,My 'pendix pains each time it rains.My toes are cold, my toes are numb,I have a sliver in my thumb.My neck is stiff, my voice is weak,I hardly whisper when I speak.My tongue is filling up my mouth,I think my hair is falling out.My elbow's bent, my spine ain't straight,My temperature is one-o-eight.My brain is shrunk, I cannot hear,There's a hole inside my ear.I have a hangnail, and my heart is ...What? What's that? What's that you say?You say today is .............. Saturday?G'bye, I'm going out to play!
Richelle Mead, Vampire Academy|Did you see that dress?” "I saw the dress.” "Did you like it?” He didn't answer. I took that as a yes. "Am I going to endanger my reputation if I wear it to the dance?” When he spoke, I could barely hear him. "You'll endanger the school.” I smiled and fell asleep.
Rachel Caine, Glass Houses|Damn, Claire. Warn a guy before you do a face-plant on the floor next time. I could have looked all heroic and caught you or something -Shane
Rodney Dangerfield|What a kid I got, I told him about the birds and the bees and he told me about the butcher and my wife.
J.K. Rowling, Harry Potter and the Order of the Phoenix|Don’t put your wand there, boy! ... Better wizards than you have lost buttocks, you know!
Nicholas Sparks, The Last Song|Do you want a cookie?- What?- A cookie. Like an Oreo. Do you want one?- No.- How can you not want a cookie?- I just don't.- Okay, fine,let's say you did want a cookie. Let's say you were dying for a cookie, and there were cookies in the cupboard. What would you do?- I'd eat a cookie?- Exactly. That's all I'm saying.- What are you saying?- That if people want cookies, they should get a cookie. It's what people do.- Let me guess. Dad won't let you have acookie?- No. Even though I'm practically starving to death, he won't even consider it. He says I have to have a sandwich first.- And you don't think that's fair.- You just said you'd get a cookie if you wanted one. So why can't I? I'm not a little kid. I can make my own decisions.- Hmm. I can see why this bothers you somuch.- It's not fair. If he wants a cookie, he can have one. If you want a cookie,you can have one. But if I want a cookie, the rules don't count. Like yousaid, it's not fair.- So what are you going to do?- I'm going to eat a sandwich. Because I have to. Because the world isn't fairto ten-year-olds.
Rachel Caine, Midnight Alley|Perv."He pointed to himself. "Male and eighteen. What's your point?
Cassandra Clare, City of Bones|aren't you, uh... reproducing?"sure, we love reproducing it's one of our favorite things.
Gena Showalter, Animal Instincts|Ten Things You Shouldn't Say on a Date.1. You're wearing that?2. Something smells funny.3. Where's the Tylenol?4. And to think, I first wanted to date your brother.5. I have a confession to make…6. My dad has a suit just like that.7. That man is hot. Look at him.8. My ex, may he rot in hell forever…9. You're going to order that? Seriously?10. You're how old?
Rodney Dangerfield|Once I pulled a job, I was so stupid. I picked a guy's pocket on an airplane and made a run for it.
Lewis Carroll, Alice's Adventures in Wonderland & Through the Looking-Glass|Why it's simply impassible!Alice: Why, don't you mean impos
Charles M. Schulz|This is my depressed stance. When you're depressed, it makes a lot of difference how you stand. The worst thing you can do is straighten up and hold your head high because then you'll start to feel better. If you're going to get any joy out of being depressed, you've got to stand like this.
Richelle Mead, Vampire Academy|You…you got rid of that dress fast," I pointed out between heavy breaths. "I thought you liked it." "I do like it," he said. His breathing was as heavy as mine. "I love it." And then he took me to the bed.
Richelle Mead, Vampire Academy|A ghostly smile flickered across his face. "If you weren't so psychotic, you'd be fun to hang around." "Funny, I feel that way about you too." He didn't say anything else, but the smile grew, and he walked away.
Jennifer L. Armentrout, Obsidian|Remind me," he paused, drawing in a stuttered gasp, "to never piss you off again. Christ, are you secretly a ninja?
Leigh Bardugo, Six of Crows|Jesper knocked his head against the hull and cast his eyes heavenward. “Fine. But if Pekka Rollins kills us all, I’m going to get Wylan’s ghost to teach my ghost how to play the flute just so that I can annoy the hell out of your ghost.”Brekker’s lips quirked. “I’ll just hire Matthias’ ghost to kick your ghost’s ass.”“My ghost won’t associate with your ghost,” Matthias said primly, and then wondered if the sea air was rotting his brain.
John Green|Harry Potter isn’t real? Oh no! Wait, wait, what do you mean by real? Is this video blog real? Am I real if you can see me and hear me, but only through the internet? Are you real if I can read your comment but I don’t know who you are or what your name is or where you’re from or what you look like or how old you are? I know all of those things about Harry Potter. Maybe Harry Potter’s real and you’re not.
Charlaine Harris, Dead to the World|If there were an international butt competition, Eric would win, hands down—or cheeks up.
Cassandra Clare, City of Bones|That sounds terrific, thought Cary, just you, your comatose wife your shell-shocked son, and your daughter who hates your guts. Not to mention that your two kids may be in love with each other. Yeah, that sounds like a perfect family reunion.
Rodney Dangerfield|I came from a real tough neighborhood. Why, every time I shut the window I hurt somebody's fingers.
Orson Scott Card|Ethan Wyeth: I hope you're thirsty."Gideon Wyeth:"Why?"Ethan: "Cause your dumb and ugly, but I can do something about thirsty.
John Green, Looking for Alaska|She's cute, I thought, but you don't need to like a girl who treats you like you're ten: You've already got a mom.
Rachel Caine, The Dead Girls' Dance|Want to play baseball?’” she asked. Shane’s eyes opened, and he stopped stroking her hair. “What?’” “First base,’” she said. “You’re already there.’” “I’m not running the bases.’” “Well, you could at least steal second.’” “Jeez, Claire. I used to distract myself with sports stats at times like these, but now you’ve gone and ruined it.
William Shakespeare|I am a Jew. Hath not a Jew eyes? Hath not a Jew hands, organs, dimensions, senses, affections, passions; fed with the same food, hurt with the same weapons, subject to the same diseases, heal'd by the same means, warm'd and cool'd by the same winter and summer, as a Christian is? If you prick us, do we not bleed? If you tickle us, do we not laugh? If you poison us, do we not die? And if you wrong us, do we not revenge? If we are like you in the rest, we will resemble you in that.
John Green, Looking for Alaska|We were kissing.I thought: This is good.I thought: I am not bad at this kissing. Not bad at all.I thought: I am clearly the greatest kisser in the history of the universe.Suddenly she laughed and pulled away from me. She wiggled a hand out of her sleeping bag and wiped her face. "You slobbered on my nose," she said, and laughed
Richelle Mead, The Golden Lily|Adrian, I'm on a date. Why are you here? On my car?
Jennifer L. Armentrout, Obsidian|How long have you been standing there?""Just long enough to see you give Daemon the middle finger.""He deserved it.
Jon Stewart|I've been to Canada, and I've always gotten the impression that I could take the country over in about two days.
Rachel Caine, Glass Houses|Scoot over, man. I don't like you that much." "Dick. That's not what you said last night.""Bite me.
Jennifer L. Armentrout, Onyx|Your mail could've waited." Daemon followed me into the kitchen. "What is it? Just books?"Grabbing the OJ from the fridge, I sighed. People who didn't heart books didn't understand.
Becca Fitzpatrick, Crescendo|Whoa, who peed in your Cheerios?
Gayle Forman, If I Stay|She didn't care that people called her a bitch. 'It's just another word for feminist,' she told me with pride.
Bertrand Russell, New Hopes for a Changing World|Our great democracies still tend to think that a stupid man is more likely to be honest than a clever man, and our politicians take advantage of this prejudice by pretending to be even more stupid than nature made them.
Rachel Caine, Midnight Alley|But that quickly faded, and he frowned. "You're bleeding," he said. "What happened?"Claire sighed and held up her wrist to show him the bandage. "Man, you would be so embarrassed if I said it was something else." Michael looked blank. "I'm a girl, Michael, it could have been all natural, you know. Tampons?
Dave Barry|Electricity is actually made up of extremely tiny particles called electrons, that you cannot see with the naked eye unless you have been drinking.
Lewis Carroll|Be what you would seem to be - or, if you'd like it put more simply - never imagine yourself not to be otherwise than what it might appear to others that what you were or might have been was not otherwise than what you had been would have appeared to them to be otherwise.
Jennifer L. Armentrout, Onyx|Daemon pressed his forehead against mine. "Oh, I still want to strangle you. But I'm insane. You're crazy. Maybe that's why. We just make crazy together.
Jennifer L. Armentrout, Obsidian|Ash is going to kick your ass, Daemon."Daemon's grin went up a notch. "Nah, she likes my ass too much for that.
Terry Pratchett, Unseen Academicals|The female mind is certainly a devious one, my lord." Vetinari looked at his secretary in surprise. "Well, of course it is. It has to deal with the male one.
Gerard Way|This shit is easy peasy, pumpkin peasy, pumpkin pie, muthafucka!
William Faulkner|I'm bad and I'm going to hell, and I don't care. I'd rather be in hell than anywhere where you are. 
D.J. MacHale|Now it was just the three of us: the leader, the warrior, and the kid about to wet his pants. Guess who I was.
Jennifer L. Armentrout, Opal|I have the feeling we just made a deal with the devil, and he's going to come back and want our first-born child or something."Daemon waggled his brows. "You want kids? Because you know, practice makes--""Shut up." I shook my head and started walking.
Kiera Cass, The One|Maxon: “To be clear, no one agrees with you.”America: “To be clear, I don’t care.
