Catherine Deneuve|People who know me know I'm strong, but I'm vulnerable.
Joseph Campbell, A Joseph Campbell Companion: Reflections on the Art of Living|Nietzsche was the one who did the job for me. At a certain moment in his life,the idea came to him of what he called 'the love of your fate.' Whatever your fate is, whatever the hell happens, you say, 'This is what I need.' It may look like a wreck, but go at it as though it were an opportunity, a challenge. If you bring love to that moment--not discouragement--you will find the strength is there. Any disaster you can survive is an improvement in your character, your stature, and your life. What a privilege! This is when the spontaneity of your own nature will have a chance to flow.Then, when looking back at your life, you will see that the moments which seemed to be great failures followed by wreckage were the incidents that shaped the life you have now. You’ll see that this is really true. Nothing can happen to you that is not positive. Even though it looks and feels at the moment like a negative crisis, it is not. The crisis throws you back, and when you are required to exhibit strength, it comes.
Munindra Misra, Chants of Hindu Gods and Godesses in English Rhyme|My Mother - AmmaHer touch was my solace,Her smile did encourage,Her love was my strength,Her stare, I fully decant,Her care was my power,Her joy was my shower,Her anger corrected my path,Her laughter filled my heart,Her silence made me ponder,Her glare was my reminder,Her scorn corrected my track,Her embrace I never did lack.
Sarah Cross, Shadowhunters and Downworlders: A Mortal Instruments Reader|It's her ability as an artist to see possibility where others see a blank page and, by extension, to see victory where others see certain defeat that truly empowers her...
John Connolly, The Infernals|It is one thing to be brave in front of others, perhaps for fear of being branded a coward and becoming diminished in their eyes, but another entirely to be brave when there is nobody to witness your courage. The latter is an elemental bravery, a strength of spirit and character.
Orson Scott Card, Ender's Game|the power to cause pain is the only power that matters, the power to kill and destroy, because if you can't kill then you are always subject to those who can, and nothing and one will ever save you.
Tania Elizabeth, The Tier of Eternal Grace: The Moon Clearing|At times it may feel hopeless. That life is unforgiving. Breathe. In the hopelessness of life, we find hope and promise. We find strength.
A.C. Anderson|Sometimes we have to dig a little deeper, to reach a little higher.
Todd Stocker, Leading from the Gut: 3 Power Principles of Effective Leaders|Confidence is that internal alignment between what you know, what you believe and what you portray.
Michael Bassey Johnson|When the fuel is dried up in a vehicle, it stops driving automatically. You are a vehicle in the spiritual and the physical world, so you need some oil for alacrity, in order to get to your destination. The greater the quantity of your oil, the more you cover the distance, and the more you cover the distance, the closer you get to your success.
Seema Gupta|Divine love""Don't Leave me, ONLYTo carry my body on my two feet I need you
Susann Cokal, The Kingdom of Little Wounds|Fate refuses to stop at the pretty part of the tale; Fate insists on more tests of courage and wit, a terrible end, even if the heroine's heart be pure and her crime accidental.
Israelmore Ayivor, The Great Hand Book of Quotes|Rise up, empower yourself and take a step. The only way to know that you still have some amount of strength in you when you fall is to attempt to rise up. However if you believe you don't have any strength, you will remain where you are!
Shannon Cutts, Beating Ana: How to Outsmart Your Eating Disorder and Take Your Life Back|Recovery itself is a very un-glamorous daily process of being willing to fall down again, to break again, to cry again, to get up and try yet again until ‘success’ manifests as ever-greater sustained healing.
Seema Gupta|Revealing of origin , evidence the existence of hidden pearls in mind which is addicted to imagine and thought as well.
C. JoyBell C.|In my life, I have but one anchor and that anchor is my God. I think if you look closely enough, you can even see it in my eyes, you'll see a strong place, an anchor. That is God.
Munindra Misra, Devi Mahatmayam in English Rhyme|Devi-Mahatmayam has special meaning for spirituality, With illumination, wisdom, strength - to freedom finally!- 150 -
Lindsey Allyson, Time Travel|I know, I know. You're a badass. The best of the best. But everyone has a weakness. Even you.
Nora Roberts, The Villa|Take a few minutes.""No. He's already had more of my time than he was entitled to."Yes, he thought as she walked out of his office. Very much like her grandmother.
Munindra Misra, PT. Kanhaiya Lal Misra - My Father|Temper is a valuable possession,Never lose it with your obsession,The best way to win a fight,- Do not be mad – it’s not right.Temper is the strength of all,Distemper – weakness and fall,Tempered steel – strong and grit,Distempered iron – weak and brit.
Priscilla Koranteng, Trails to the Stream: Poetry and Inspiration for Everyday Living|Let out your heat!Unleash your imaginationLet the burning fragrance of your unimpeachable imaginationsparkle through the morning’s you.At night, let the stoical sweat of your day ease your musclesRelax your feet.You will need them to walk again tomorrow
Marissa Meyer, Cress|I am an explorer,' she whispered, 'setting courageously off into the wild unknown.' It was not a daydream she'd ever had before, but she felt the familiar comfort of her imagination wrapping around her. She was an archeologist, a scientist, a treasure hunter. She was a master of land and sea. 'My life is an adventure.' she said, growing confident as she opened her eyes again. 'I will not be shackled to this satellite anymore.'Thorne tilted his head to one side. He waited for three heartbeats before sliding one hand down into hers. 'I have no idea what you're talking about,' he said. 'But we'll go with it.
Shannon L. Alder|People are going to come into your life, and God is going to use them to help you. To them you’re insignificant and don’t matter. They are not going to understand you, or even see the point of why God had you hang in there with them for so long. Remember this: Sometimes meeting someone has nothing to do with what you can provide for him or her and everything to do with what God needs you to recognize in that person. If you didn’t understand the message, God will keep sending the same person or situation into your life.
Gary   Hopkins|Chances are no matter how bad your troubles seem to be, someone somewhere, with less resilience, has successfully conquered a more severe version of your problems.
Nick Shamhart|Any coward can instill fear. It's easy to scare people, but having the strength to make them feel safe? Now that's power.
Howard Gardner, Intelligence Reframed: Multiple Intelligences for the 21st Century|While we may continue to use the wordssmart and stupid, and while IQ tests may persist for certain purposes, the monopolyof those who believe in a single general intelligence has come to an end. Brain scientists and geneticists are documentingthe incredible differentiation of human capacities, computer programmers are creating systems that are intelligent in different ways, and educators are freshly acknowledging that their students have distinctive strengths and weaknesses.
Anne Sexton|We were fair game but we have kept out of the cesspool. We are strong. We are the good ones. Do not discover us for we lie together all in green like pond weeds. Hold me, my young dear, hold me.
Lucy Grealy, Autobiography of a Face|Life in general was cruel and offered only different types of voids and chaos. The only way to tolerate it, to have any hope of escaping it, I reasoned, was to know my own strength, to defy life by surviving it.
Anthony Liccione|The American flag doesn't give her glory on a peaceful, calm day. It's when the winds pick up and become boisterous, do we see her strength. When she unfolds her hand, and shows her frayed fingers, where we see the stretch of red-blood lines of man that fought for this land. The purity of white stripes that strips our sins, and the stars of Abraham's covenant, broad in a midnight blue sky. The rights our forefathers established. As it waves high in the currents of freedom, where the Torch of Liberty shines over the sea, does she give meaning to unity. When we strive as one nation, or when it drops half-mast, to a fallen soldier.
Anna White, Mended: Thoughts on Life, Love, and Leaps of Faith|Father, be near as we are surrounded by this cloud of deep suffering. Open our eyes to see that you are all things, the light and the darkness, not only those things that seem good in our eyes, but the horrifying unexplainable. Wrap us up inside of the cloud and reveal the mysteries that can only be learned in places of sorrow, that when we walk out we will be as Moses, transformed by the shadow and beaming with the radiant light of your glory. Give us the strength to love on, though our hearts are broken.
Shannon L. Alder|Live vertically, not horizontally.
Nenia Campbell, Bleeds My Desire|I was supposed to be powerless, and as a result they failed to see that I possessed claws.
Michelle Carithers|Will my future faith be dominated by past demons? Will my unlimited possibilities give way to my limited territory?"Read more in A Daughter's Worth Novel
Nora Roberts|Family’s the luck of the draw, Lena. What you make of yourself, because of or despite it, that’s where the spine and heart come in.
Ifeanyi Enoch Onuoha|Bad habits are like comfort zones; easier to get into, but harder to get out of.
Zoe Rosenberg|Courage is meant to be strong, while fear is meant to be broken
Cassandra Clare, The Last Stand of the New York Institute|But Jocelyn Morgenstern was not the kind of woman who wept, not the kind of woman who broke, or Valentine would have broken her long since.
C.J. Redwine, Deception|Let Ian laugh. Let him believe pain will ruin me. I know better. I've already been ruined once, and I know how to rise from the ashes. I know how to find my broken pieces.
Criss Jami, Killosophy|It is ironic that constructive thinkers are often misunderstood as negative, as they differ from those longing for positivity: constructive thinkers have been conditioned to find positive in negative rather than suffering from the negative in negative. Or as Paul the Apostle wrote, 'I have learned the secret to contentment in any and every circumstance.' He was right. Indeed the Lord is our strength, especially under the commandment to love one another. Otherwise we are nothing and easily thrown about by both our own and other people's mind control in a painful, mental, physical desperation to run from every thought, every thing, and every one not seeming so positive or immediately beneficial to us.
George R.R. Martin, A Game of Thrones|Summer is the time for squabbles. In winter, we must protect one another, keep each other warm, share our strengths.
Richmond Akhigbe|When everything has gone down, God wants youto look up
Philippe Petit, Man on Wire|It's impossible, that's for sure. So let's start working.
Roopleen|The height of your achievements is determined by the depth of your self-belief, the strength of your resolve and the intensity of your efforts.
Annie Johnson Flint|Deep the waves may be and cold, But Jehovah is our refuge, And His promise is our hold; For the Lord Himself hath said it, He, the faithful God and true: "When thou comest to the waters Thou shalt not go down, BUT THROUGH." Seas of sorrow, seas of trial, Bitterest anguish, fiercest pain, Rolling surges of temptation Sweeping over heart and brain They shall never overflow us For we know His word is true; All His waves and all His billows He will lead us safely through. Threatening breakers of destruction, Doubt's insidious undertow, Shall not sink us, shall not drag us Out to ocean depths of woe; For His promise shall sustain us, Praise the Lord, whose Word is true! We shall not go down, or under, For He saith, "Thou passest THROUGH
Joni Eareckson Tada|There is this fine line between presenting to You all of my weakness and thinking that it can't be done. In Your strength, I find my own.
Daniel Habil|Life is like a game if you fail try again until you master and accomplish, but remember if you accomplish it glorify God who created you and gives you strength.
Michael Rowe, Wild Fell|But you need to make sure that the last thing you remember about today isn't that you fell down, it's that you got back up again. That's what we do when bad things happen to us.
Ziad K. Abdelnour|Worry is a down payment on a problem you may never have. It doesn't empty tomorrow of its sorrow, just empties today of its strength.
Meredith T. Taylor, Churning Waters (The Churning Waters Saga)|William is the most skilled protector that I have ever seen. He is the best." Determination began to swell inside of me. "Then I will have to be better." Margo Westly
Kat Von D., Go Big or Go Home: Taking Risks in Life, Love, and Tattooing|Strength doesn't necessarily come from resisting fear, weakness, or any other feeling and overcoming it. Strength comes from looking at those things straight on--and accepting them as they really are.
Nancy Astor the Viscountess Astor|My vigour, vitality, and cheek repel me. I am the kind of woman I would run from.
Kat Von D., Go Big or Go Home: Taking Risks in Life, Love, and Tattooing|To me, the haircut represented beauty and strength, that I was a woman who would live her life without the boundaries imposed upon her by other people.
Leigh Hershkovich|Being a part of the world in a healthy, mindful, present sense means learning to have complete faith that things will work out. Living in this world means that instead of cowering away, or giving up when the going gets a bit tough, get up and keep going. You’re not here merely to survive or fight your way through the world.
Joel Barlow, The Columbiad|Almighty Freedom! give my venturous songThe force, the charm that to thy voice belong;Tis thine to shape my course, to light my way,To nerve my country with the patriot lay,To teach all men where all their interest lies,How rulers may be just and nations wise:Strong in thy strength I bend no suppliant knee,Invoke no miracle, no Muse but thee.
C. JoyBell C.|The power of the Will in a man, is favoured by the Heavens. The man who sets his Heart and Word onto something, and says "I will" no matter what obstacle is placed in his way— joins the ranks of the demi-gods. All else remain in mortality and are soon forgotten.
Ava Ayers, Pretty Hate|That I’ve horrified many flight attendants across the globe with my oft-thought morbid ritual of listening to Tuesday’s Gone as we fly through the sky is not my concern. My declaration evident, my truth now burns: there is no preordained destiny to battle, I thumb my nose at fate. I am a warrior. The rules don’t apply.
Michael Bassey Johnson|Your emotions will wander like a vagabond when you're indebted. Those happy moments with friends will soon be interrupted with a frowning creditor in your sub-conscious, and all your frenzy will be taken aback.
Blanche Wiesen Cook, Eleanor Roosevelt, Vol 1, 1884-1933|And even when success comes, as I am sure it will, bear in mind that there are more quiet and enviable joys than to be among the most sought after women at a ball...
Zoe Rosenberg|If one lied, or put you down, don't mourn don't grieve, for why do you care, you don't want to be friends with the mean.
L.M. Fields|Trolls must continually feed their bottomless need, so be strong and patiently wait out their fires of hatred for eventually they eat their own.
v filipa ketteridge|Quite often you look for answers and strength in friends (supposed 2b) around you, without realizing All the true strength and honest answers come from within!!!
Leigh Hershkovich|Don’t give up on yourself. It’s incredibly cliche, but it’s true. The worst is yet to come if you give up on yourself. Hold yourself in high regard, and know that, though the ride may be bumpy and uncomfortable, there is a silver lining. You have to be able to see the good things in all that happens to you.
Christine Upton|The Storms of This LifeWatching the distant clouds building and growing forevermoreThe harsh wind begins rushing thru the leaves with the branches bending to and froIn the attempts to not give in again I'm standing firm on all that I knowAnd extending out my hand reaching beyond the heavens aboveGrasping for His strength to hold on, along with the endurance to make it thruPraying that the ground beneath me will not erode nor engulf all that I love
Marie Lu, Champion|So, when I thought June might take you away, I didn’t know what to do. I felt like she was taking everything that mattered to me. I felt like she was taking away from you all the things that I didn’t have. That’s why I’m sorry. I’m sorry because you shouldn’t have to be everything to me. I had you, but I’d forgotten that I had myself too.
Charlotte Eriksson, Empty Roads & Broken Bottles; in search for The Great Perhaps|And this is what being an artist means, being a poet? To sacrifice yourself for your art, sacrifice your heart for your art, because it’s only through something broken that something beautiful can grow.
Vironika Tugaleva, The Love Mindset: An Unconventional Guide to Healing and Happiness|Every time I watch a person awaken to their inner strength, I see what we’re made of, and we’re magnificent. We’re brilliant. We really are. We crave magic because we are magic. We crave power because we are pure power.
Joseph Conrad, Heart of Darkness|It was not my strength that wanted nursing, it was my imagination that wanted soothing.
Elissa Wall, Stolen Innocence: My Story of Growing Up in a Polygamous Sect, Becoming a Teenage Bride, and Breaking Free of Warren Jeffs|In the end, He's the only reason that I made it. Sometimes that's the only thing we have. Whether you call it God, or hope, or faith -whatever word you use- the fact is, I couldn't have survived if I hadn't believed in something. It was the one part of me that neither Warren nor Allen could touch, and no matter what happens, as long as I have that, I've won.
Dietrich Bonhoeffer|Lord, whatsoever this day may bring, Thy name be praised. Be gracious unto me and help me. Grant me strength to bear whatsoever Thou dost send, And let not fear overrule me. I trust Thy grace, and commit my life wholly into Thy Hands. Whether I live or whether I die, I am with Thee and Thou are with me … Lord, I wait for Thy salvation, and for the coming of Thy Kingdom. Amen.
Elizabeth George, Beautiful in God's Eyes: The Treasures of the Proverbs 31 Woman|Just as mental toughness and physical energy are the primary traits of an army, they also mark God's beautiful woman.
Osamu Dazai, The Setting Sun|At times everything grows misty and dark before my eyes, and I feel that the strength of my whole body is oozing away through my finger tips.
Ralph Waldo Emerson, The Conduct of Life: A Philosophical Reading|The alleged power to charm down insanity, or ferocity in beasts, is a power behind the eye.
Jim George, A Husband After God's Own Heart|No matter how old you are or how long--or short!--you've been married, the day you accelerate your growth in the Lord is the day your marriage is positively impacted, improved, and strengthened!
Anthony Liccione|Keep me heaven my soul has holes, leaking good morals, I once had control over dark matters of the world, give me courage and strength for my Lord, and sew the holes that hold you near. Keep me heaven my soul has holes.
Gisela Hausmann "Naked Determination 41 Stories About Overcoming Fear"|While one can love an irresponsible friend or a person with character flaws, alliances are built on respect, the responsibilities which arise out of that and knowing that together we can be stronger.
Jad Alhadad|The Days tried to put inside me " weakness ..." .. But my soul will always beat " strength".
Jim George, A Leader After God's Own Heart: 15 Ways to Lead with Strength|Since God is with you and you are with God, you have nothing to fear!
Rose Wynters, Voluptuous Vindication|I just hope I'm around long enough to see it through.” Sara said, looking uncertain.“All of us wonder that, at some point or another,” Arch replied cryptically. “It's your destiny, and all of fate is aligning to see it come to pass. This next thirty days won't be easy. Hell is sending out its best fighters, and I'm sending out one of mine. I have faith that he will see you through.
Elizabeth George, Beautiful in God's Eyes: The Treasures of the Proverbs 31 Woman|This virtuous and very industrious woman needs physical strength and ability to do the work of her life, the work of love.
Shannon L. Alder|If you want your prayers answered, you get off your knees and do the one thing you’re praying someone else will do for you.
Montesquieu, Persian Letters|In vain do we seek tranquility in the desert; temptations are always with us; our passions, represented by the demons, never let us alone: those monsters created by the heart, those illusions produced by the mind, those vain specters that are our errors and our lies always appear before us to seduce us; they attack us even in our fasting or our mortifications, in other words, in our very strength.
Wangari Maathai|Finally I was able to see that if I had a contribution I wanted to make, I must do it, despite what others said. That I was OK the way I was. That it was all right to be strong.
Joseph F. Girzone, My Struggle with Faith|I learned that I was never alone, that there was Someone always very close by and, indeed, within me, giving me strength in times of weakness and desolation, light in times of darkness, joy in times of great sorrow and pain, and the will to struggle on when continuing seemed futile.
Natasha Ngan, The Elites|And what some people don't understand was that bleeding wasn't a sign of weakness; it was a sign of strength. It demonstrated to the world that you were vulnerable and ordinary, but when you wanted something enough, and fought hard for it, you were capable of doing extraordinary things.
Kate Forsyth, Bitter Greens|The world is a cruel place, Petrosinella, and it wounds the weak.
Harry W. Kroto|The humanitarian philosophies that have been developed (sometimes under some religious banner and invariably in the face of religious opposition) are human inventions, as the name implies - and our species deserves the credit. I am a devout atheist - nothing else makes any sense to me and I must admit to being bewildered by those, who in the face of what appears so obvious, still believe in a mystical creator. However I can see that the promise of infinite immortality is a more palatable proposition than the absolute certainty of finite mortality which those of us who are subject to free thought (as opposed to free will) have to look forward to and many may not have the strength of character to accept it.Thus I am a supporter of Amnesty International, a humanist and an atheist. I believe in a secular, democratic society in which women and men have total equality, and individuals can pursue their lives as they wish, free of constraints - religious or otherwise. I feel that the difficult ethical and social problems which invariably arise must be solved, as best they can, by discussion and am opposed to the crude simplistic application of dogmatic rules invented in past millennia and ascribed to a plethora of mystical creators - or the latest invention; a single creator masquerading under a plethora of pseudonyms. Organisations which seek political influence by co-ordinated effort disturb me and thus I believe religious and related pressure groups which operate in this way are acting antidemocratically and should play no part in politics. I also have problems with those who preach racist and related ideologies which seem almost indistinguishable from nationalism, patriotism and religious conviction.
Angelo Dirks, Seven Dogs in Heaven|Friendship love. This is a very special thing. It’s the sort of love where you know another being’s strengths and weaknesses, perfections and imperfections, and you love the whole package.
Lee Smith, On Agate Hill|If Strength comes through Suffering, why then I should be the strongest of all women, yet I am the weakest. God help me. Help me.
Eman Farouk|Break a bone..and as the broken part heals it becomes the strongest part in it....get hit by a virus, survive that and "supposedly" it can never get u again... observe how ur skin that gets rubbed on a surface often becomes thicker and more rough with time ....remember how naive you were before and with each incident and accident with people that you've had ..it brought you to the "knowing better" person you are now............you cant be stronger..if life doesn't try you every now and then ....and after each trial..it promises a stronger more immune version of you
Rachel Caine, Fall of Night|She needs you for more than just protection. It's how it works. You want the strong girl, you understand that she's with you because she wants to be. Not because she has to be. You know that, right?
Gherman Titov|Some say God is living there [in space]. I was looking around very attentively, but I did not see anyone there. I did not detect either angels or gods....I don't believe in God. I believe in man - his strength, his possibilities, his reason.
S.L. Jennings, Dark Light|So many years of being lonely and discounted, no one ever truly seeing me, the person that I really am. The Gabriella I so desperately wanted to be. Yet somehow he broke through the walls and barriers and penetrated my frail, dejected heart. He loves me for all that I am and what I will become, even though it scares us both to death. He accepts the darkest parts of me and doesn't try to change me, in all my shattered complexity. Meeting him has given this facade of my life new meaning. He's given me purpose, strength. He's given me love. Dorian has given me everything and, in turn, is everything to me. Designed by the Divine Power especially for me.
John Paul Jones|If fear is cultivated it will become stronger, if faith is cultivated it will achieve mastery.
Temitope Owosela|I am a strong individual that may seem weak; but, my strength is in my ability to stay in the fight and sure my enemies that I can take the punches; and, still stay strong in my weakness. Because within time God will turn my weak persona to my strength. I will be able to show myself and others that being strong in a weak persona is a sign of humility.
Shane Rainey|If you can get life outta love, you should die trying to get love outta life.
Simona Panova, Nightmarish Sacrifice|I always am in a role, lovely – for you, for them – even for myself. Yeah... Even when I’m alone, I am still in a role – and I myself am the most exacting audience I have ever had.
Zeena Schreck|Always remember, wherever you are, whether near or far, you had a mother who really, really loved you. The original mother. Once you've found your true inner guru you can never again be divided. Perfect union with the divine, through the grace of your real teacher, transcends time, space, death and all worldly limitations. Your real teacher is the original mother - regardless in which manifest or non-manifest form, or gender, she appears. The one who nurtures you and the one who also, out of wisdom and compassion, corrects you if you are misguided.
Christian D. Larson|The true purpose of the strong is to promote greater strength in the weak, and not to keep the weak in that state where they are at the mercy of the strong.
Christian D. Larson|The man who never weakens when things are against him will grow stronger and stronger until all things will delight to be for him. He will finally have all the strength he may desire or need. Be always strong and you will always be stronger.Picture in your mind your own best idea of what a strong, well-developed individuality would necessarily be, and then think of yourself as becoming more and more like that picture. In this connection it is well to remember that we gradually grow into the likeness of that which we think of the most. Therefore, if you have a very clear idea of a highly developed individuality, and think a great deal of that individuality with a strong, positive desire to develop such an individuality, you will gradually and surely move towards that lofty ideal.
Terry Goodkind, Confessor|Nicci looked up at Kahlan. “Knives are not my talent.” “It’s not hard,” Kahlan said as she pressed the handle into Nicci’s hand. “When the time is right, just stick the pointed end somewhere important in someone you really don’t like.
Diane Von Furstenberg|I’ve never met a woman who is not strong, but sometimes they don’t let it out. Then there’s a tragedy, and then all of a sudden that strength comes. My message is let the strength come out before the tragedy.
Heather Day Gilbert, God's Daughter|I'm not surprised he wants to challenge me here, where no one can protect me. He thinks I'm a weak woman. He thinks wrong.
André Gide|I intend to bring you strength, joy, courage, perspicacity, defiance.
Hope Alcocer|It’s called an inner voice for a reason. It’s the gnawing feeling inside your stomach telling you yes or no. It’s the one voice in your life that isn’t tampered by other’s biased opinions, scars, feelings or thoughts. Go with it, you know yourself better than anyone ever does.
Rachel Van Dyken|When I met you — somehow you healed me. From the inside out, the outside in. We conquered fears together, we learned, we laughed, and we loved. I swear, you caused my heart to soar more in the past few months than it has in my entire existence. My heart is whole because you chose to share yours with me, and it’s for that reason that I get down on not one, but both knees…” I knelt in front of her and gripped her hand. “And say thank you. Thank you for saving my life, thank you for loving me enough to treasure your own, and thank you for being my strength when I had none. I’d like to think our hearts are joined — forever entwined — but considering that’s not technically a legal joining, I have a question for youMarry me? Make me the happiest man alive.” I opened the box revealing my mom’s ring.
Jaeda DeWalt|For years, i lived my life, waiting for the other shoe to drop... i thought control was something i could have over my life. My goal was to live life, in such a way, that i would never again have to suffer any form of trauma or abuse that would remind me of my painful past. I was living life on a tightrope of tension. I was only happy when things went smoothly and came apart at the seams when i was thrown a curveball.NOW, i realize, that the key to happiness is surrendering to the illusion of control. And to trust that, no matter what happens to me, i have the infinite inner-wisdom and strength to find my way through.
J.B. McGee, Skipping Stones|His lips brush my ear as his voice causes my body to come to attention. “If the night never ends, then there’s never a new day … and with a new day comes renewed hope, light.
Dianna Hardy, The Last Dragon|One thing I’ve learnt about humans: you can’t judge their strength by the size of their actions, but by the devotion of an act, no matter how small.
Anamika Mishra|Fate lies in our hands, its just that we need to be brave enough to read it & desire enough to change it
George MacDonald, The Marquis' Secret|It is just the old way--that of obedience. If you have ever seen the Lord, if only from afar--if you have any vaguest suspicion that the Jew Jesus, who professed to have come from God, was a better man, a different man--one of your first duties must be to open your ears to His words and see whether they seem to you to be true. Then, if they do, to obey them with your whole strength and might. This is the way of life, which will lead a man out of its miseries into life indeed.
Israelmore Ayivor|I can do ALL THINGS through Christ who empowers, enriches, equips, enlightens, energizes, recreates, revives, promotes, strengthens, purifies, sponsors, and prepares me! Yes, I can... ALL THINGS, I can!
Kevin Michel, Moving Through Parallel Worlds To Achieve Your Dreams|The greatest battle you must undertake, the foremost battle you must wage, the most important battle that there is, is the battle of courage versus fear – and there can be only one victor – that victor must be you and courage, or it shall be the dark side and death.
Naoyuki Ochiai, Syndrome 1866 Vol. 4|Those who are not free to live as they choose are second class citizens. The weak will lose everything to the strong, even their lives.
Code of Hammurabi 1772 B.C.|Then Anu and Bel called by name me, Hammurabi, the exalted prince, who feared God, to bring about the rule of righteousness in the land, to destroy the wicked and the evil-doers; so that the strong should not harm the weak.
Patrick Carman, Stargazer|My strength was returning as we went on. It occurred to me then that it was in times of struggle that I found the best parts of myself-courage, loyalty, an unexpected peace- and I always discovered what I needed to break through and go on.
Mehmet Murat ildan|Too much work will create too much motivation for the strong, and a big collapse for the weak! Strength gets great strength from the challenges!
Ken Kesey, One Flew Over the Cuckoo's Nest|I'd think, maybe he truly is something extraordinary. He's what he is, that's it. Maybe that makes him strong enough, being what he is.
Jenni Rivera, Unbreakable: My Story, My Way|I vowed that I would never tell anyone of my shame. They say that when you kept a secret, it eats you up inside, but I felt it was better that way. I wanted to appear strong in front of my children and my family. I didn't want anybody to know. And I would maintain my persona as Jenni, the Rivera Rebel who had never lost a fight. But deep down inside I knew I had lost a piece of myself that I would never recover. My soul had been shattered, but to the outside world I did just as I had been taught since I was a little girl; I kept my head up and continued forward. It is, after all, the Rivera way.
Adeline Yen Mah, Chinese Cinderella: The True Story of an Unwanted Daughter|That’s exactly what I’ll do, I thought to myself. After dinner, I’m going to ask BigBrother to teach me how to read this map. With Aunt Baba still in Tianjin, there’sobviously nobody looking out for me. I’ll just have to find my own way.
Israelmore Ayivor|The strength of your obstacle determines the weight of your potentials. The greater your potentials, the heavier your dunamis power must be.
Fela Durotoye|A nation is not defined by its borders or the boundaries of its land mass Rather, a nation is defined by adverse people who have been unified by a cause and a value system and who are committed to a vision for the type of society they wish to live in and give to the future generations to come.
Laura Florand, The Chocolate Touch|A man's strength was supposed to be against the outside world: to fight it back from himself and those he took under his protection: his wife, his children, and for a man strong enough, more people still, people like his employees. To turn it inward, against the very people you had been given that strength to protect, because you couldn't deal with the outward fight, was the ultimate weakness.
Isabella MacDonald Alden, Chrissy's Endeavor|Do not lower the standard or cater to the worldly laxness of the average Christian by making the way in easy. Make sure that everyone who joins fully understands his duties and obligations and is willing, in Christ's strength, to undertake them.
Zeena Schreck|We all have vices, visible and invisible. Some we deliberately keep secret. Others we don’t even realize or we refuse to admit we have…Vices can be lots of fun, or they can turn your life into a living hell. Accept them for what they are, just another aspect of the mind’s creation, and you can enjoy them—if you choose—without being broken by them.- Zeena Schreck for VICE Magazine
Lindsay Chamberlin|In order to move forward, you will have to stumble along the way, but every falter in your stride just makes your next step even stronger.
Elizabeth Goudge, The Castle on the Hill|...whatever happens I'll not be afraid again; for, when you've once pushed through the place of torment to the peace beyond, you know that you can do it again. You know there's a strength somewhere that you can call upon. You've confidence.
Lindsay Chamberlin|Realize your strengths, accept your weaknesses, but never become someone you don't recognize.
Israelmore Ayivor|You know how the Eclipse of the sun shows it? Christ's strength eclipses your powerlessness in God's likeness, and there is total darkness on your weakness.
Fyodor Dostoyevsky, Crime and Punishment|Strength, strength is what I need; nothing can be done without strength; and strength must be gained by strength.
Ellen J. Barrier|When we help others to perform at the highest level of their potential, we receive something of value; our character is strengthened.
Ellen J. Barrier|The tough challenges we encounters, makes us stronger, and wiser. With each victory we gain something of value; our character is strengthened.
Ellen J. Barrier|I believe challenges are God's way of strengthening us mentally and spiritually, and yes, physically. After having won each challenge that confronted us, we are wiser and stronger.
Fela Durotoye|Withheld potential is a "CRIME TO HUMANITY
Mumford & Sons|So I'll be bold, as well as strong, and use my head alongside my heart.
Jorge Luis Borges, Ficciones|From my weakness, I drew strength that never left me.
Fred Rogers, The World According to Mister Rogers: Important Things to Remember|Most of us, I believe, admire strength. It's something we tend to respect in others, desire for ourselves, and wish for our children. Sometimes, though, I wonder if we confuse strength with other words—like 'aggression' and even 'violence'. Real strength is neither male nor female; but it is, quite simply, one of the finest characteristics that a human being can possess.
D. Love, Today Only|What I want from you is simple. I want today only.If it’s laughter, I want it. If it’s pain, I want it.Whatever today holds, as long as the day holds you, I want it.I want today only.
James Gavin|Among leaders who have made the greatest impact through ages, I would consider Muhammad before Jesus Christ.
Tara Brach, Radical Acceptance: Embracing Your Life With the Heart of a Buddha|In bullfighting there is an interesting parallel to the pause as a place of refuge and renewal. It is believed that in the midst of a fight, a bull can find his own particular area of safety in the arena. There he can reclaim his strength and power. This place and inner state are called his querencia. As long as the bull remains enraged and reactive, the matador is in charge. Yet when he finds his querencia, he gathers his strength and loses his fear. From the matador's perspective, at this point the bull is truly dangerous, for he has tapped into his power.
Lee  Goff|The prideful man qualifies himself by what people think of him, always looking for applause. There is another proud man; head bloodied by the world but eyes focused on what is good, never caring about spectators or the cost. He is proud that his wife can laugh, that his children can play, humbled by their love for him. His prayers say, "Please make me worthy of them" - In humility lies the foundation of strength.
V. Pain, Hear Me Roar|Never let kindness be your weakness, never let your weaknesses be your downfal
Jen Stephens, The Heart's Journey Home|Life is a race, and what matters most isn't when a person crosses the finish line, but how strong they've grown along the way.
Matchbox 20|We know the end is overrated, we'll become the walls we raise. We don't believe enough, but we still care.
Lee  Goff|I want to listen to accomplished women scarred by sexism that still walk in elegance and kindness; hear powerful men that have a heart to serve. I want to talk to the brokenhearted that still believe in love; I want to listen to people that laugh even when they hurt. You live God's grace without even knowing it and to me, you're the best of all of us.
