Unknown Author 365|If you actually want something and are really passionate about it, you will get it no matter what.
Stanley Victor Paskavich|when I was a kid I use to put a puzzle together over and over until I got really good at it so one day I turned all the pieces upside down and built it, then I understood the true nature of the puzzle
Akshay Vasu|Love is the only thing in this whole universe, that can make the roses grow out of the swords.
Russell Brand, Revolution|The world is awash with colours unseen and abuzz with unheard frequencies. Undetected and disregarded. The wise have always known that these inaccessible realms, these dimensions that cannot be breached by our beautifully blunt senses, hold the very codes to our existence, the invisible, electromagnetic foundations upon which our gross reality clumsily rests.
Charles Eisenstein, The More Beautiful World Our Hearts Know Is Possible|The radiance of that which wants to be born illuminates the shadows, bringing them into the light of awareness that they may be healed.
Shirley Jackson, Colloquy|Mrs. Arnold," the doctor said, coming around the desk, "we're not going to help things any this way.""What is going to help?" Mrs. Arnold said. "Is everyone really crazy but me?""Mrs. Arnold," the doctor said severely, "I want you to get hold of yourself. In a disoriented world like ours today, alienation from reality frequently--""Disoriented," Mrs. Arnold said. She stood up. "Alienation," she said. "Reality." Before the doctor could stop her she walked to the door and opened it. "Reality," she said, and went out.
Frederick Marryat, The Pirate|Young ladies ... who fall in love, never consider whether there is sufficient "to make the pot boil" - probably because young ladies in love lose their appetites, and, not feeling inclined to eat at that time, they imagine that love will always supply the want of food.
Craig D. Lounsbrough|If truth is relative, then it’s cousin is anarchy.
Brandy Nacole, Deep in the Hollow|Tyler shrugs. "It's a big world, Jo. Who am I to say what is and isn't possible?
Lucas Carlson, Finding Success in Failure: True Confessions From 10 Years of Startup Mistakes|Your past can either cripple you or empower you. You choose. You can let your feelings of inadequacy, guilt, and shame keep you working jobs that suck your soul. Or you can go out and, with a little luck and guidance, write a new story of your life. It can be post-traumatic stress or it can be post-traumatic growth that defines you. You know as well as I do that in reality you don’t have a choice. You know as well as I do that in reality you don’t have a choice. Your skeletons chase you no matter where you hide. It’s about time to find your inner strength to pull through and make something of yourself.
Ladislav Sukovský|In my mind, I rebuild this world hundred times.
Thomas Metzinger, The Ego Tunnel: The Science of the Mind and the Myth of the Self|However, questions arise. Are there people who aren't naive realists, or special situations in which naive realism disappears? My theory—the self-model theory of subjectivity—predicts that as soon as a conscious representation becomes opaque (that is, as soon as we experience it as a representation), we lose naive realism. Consciousness without naive realism does exist. This happens whenever, with the help of other, second-order representations, we become aware of the construction process—of all the ambiguities and dynamical stages preceding the stable state that emerges at the end. When the window is dirty or cracked, we immediately realize that conscious perception is only an interface, and we become aware of the medium itself. We doubt that our sensory organs are working properly. We doubt the existence of whatever it is we are seeing or feeling, and we realize that the medium itself is fallible. In short, if the book in your hands lost its transparency, you would experience it as a state of your mind rather than as an element of the outside world. You would immediately doubt its independent existence. It would be more like a book-thought than a book-perception. Precisely this happens in various situations—for example, In visual hallucinations during which the patient is aware of hallucinating, or in ordinary optical illusions when we suddenly become aware that we are not in immediate contact with reality. Normally, such experiences make us think something is wrong with our eyes. If you could consciously experience earlier processing stages of the representation of the book In your hands, the image would probably become unstable and ambiguous; it would start to breathe and move slightly. Its surface would become iridescent, shining in different colors at the same time. Immediately you would ask yourself whether this could be a dream, whether there was something wrong with your eyes, whether someone had mixed a potent hallucinogen into your drink. A segment of the wall of the Ego Tunnel would have lost its transparency, and the self-constructed nature of the overall flow of experience would dawn on you. In a nonconceptual and entirely nontheoretical way, you would suddenly gain a deeper understanding of the fact that this world, at this very moment, only appears to you.
Noam Chomsky, Hegemony or Survival: America's Quest for Global Dominance|The missile crisis "was the most dangerous moment in human history," Arthur Schlesinger commented in October 2002 at a conference in Havana on the fortieth anniversary of the crisis, attended by a number of those who witnessed it from within as it unfolded. Desision-makers at the time undoubtedly understood that the fate of the world was in their hands. Nevertheless, attendees at the conference may have been shocked by some of the revelations. They were informed that in October 1962 the world was "one word away" from nuclear war. "A guy named Arkhipov saved the world," said Thomas Blanton of the National Security Archive in Washington, which helped organize the event. He was referring to Vasil Arkhipov, a Soviet submarine officer blocked an order to fire nuclear-armed toredoes in October 27, at the tensest moment of the crisis, when te submarines were under attack bu US destroyers, A devastating response would have been a near certainty, leading a major war. Pg 74, Penguin Publication
Min Kim|People believe in everything, except the reality.
Kate McGahan, Jack McAfghan: Return from Rainbow Bridge|We think that we are living when we walk upon the earth but the very moment we “die” there, we wake up here! This life on the other side of the Rainbow Bridge is the real one. We find that our life on earth was just a dream, a dream designed to lead us further and further into love. True love grows and then cannot be destroyed. It grows and grows until it is stronger than death.
Ehsan Sehgal|The reality waves itself an assertion as the rose its fragrance; it doesn't require verifiability of it. Indeed, the weak and ignorant minds need that.
Peter Akinti, Forest Gate: A Novel|Life was complicated, I thought. Not just the living but dealing with the realities and the instinct for order that other people have, that I didn't always grasp.
Lev Grossman, The Magicians|Language and reality are kept strictly apart—reality is tough, unyielding stuff, and it doesn’t care what you think or feel or say about it. Or it shouldn’t.
Dexter Palmer, Version Control|She drank the glass with breakfast and poured herself another. By the time she'd gotten Sean off to school (second grade) the edges had been taken off her thoughts and the world seemed as it should be: not too real, but real enough.
Sam Owen, 500 Relationships And Life Quotes: Bite-Sized Advice For Busy People|Our perspective equals our reality, tweak the perspective and you tweak your reality.
Leonardo Sciascia, To Each His Own|Reality is always richer, more unpredictable than our deductions
Douglas Adams|...just because you see something, it doesn’t mean to say it’s there. And if you don’t see something, it doesn’t mean to say it’s not there. It’s only what your senses bring to your attention.
Shreeja Manandhar|If only people could understand me,And know how I want to live.Trust me, there would be a real smile on my face,Rather than slightly curvy lips.
Rivka Galchen, Atmospheric Disturbances|I wonder if I talk like a dead man. My daughter once came home from school very excited about some lecture -this was years ago, before I died, though just right before- and she said her English teacher had talked about what the dead sound like in Dante. This funny thing about Dante's dead, which is that they know the past, and even the future, but they don't know the present. About the present they have all these questions for Dante. And that somehow is what being alive is, to be suspended in the time. She seemed to feel that really meant something. That and also that the dead know themselves better than the living do.
Rachel Cusk, Outline|At times, Melete continued, it had seemed to her that this fact was what had created this behavior. Her sense of reality, in other words, had created something outside itself that mocked and hated her. But as I say, she said, those thoughts belong to the world of religious sensibility, which has become in our times the language of neurosis.
Sulaiman Sait, THE BLIND TRIAL|His mind was constantly thinking about her, while he decided to recite a poem that he had written for her long ago. While he narrated, the words conjured memories like ghosts into the room.
Keturah Lamb|I don't write to escape reality, but to show others how to better embrace it. ~ KAL
Madeleine L'Engle, Walking on Water: Reflections on Faith and Art|But what is real? In the Bible we are constantly being given glimpses of a reality quite different from that taught in school, even in Sunday school. And these glimpses are not given to the qualified; there's the marvel. It may be that the qualified feel no need of them.
Richard Morin, You Working with You: A Roadmap to Self Mastery|Nobody knows what it is like to be you, how can they? Choose your thoughts, words and actions and enjoy what is your life.
Erik Pevernagie|When fiction has become reality, life may turn into a fairy tale or a firestorm. Tina, time has come to pull up one’s socks and start relearning and reassessing living. ("Another empty room")
Soke Behzad Ahmadi, Advanced Ryukyu Karate|True Martial Arts is universal, simple and practical. Anything else is too complex to be used in combat.
Italo Calvino, The Complete Cosmicomics|If one starts to draw comparisons between what is and what is not, it is the poorer qualities of the former that strike you, the impurities, the flaws; in short, you can only really feel safe with nothingness.
Abhijit Naskar, What is Mind?|In every walk of life, you do have the freedom to choose, but that freedom is based on the perception of the world and yourself which you have gained until that moment of life.
Douglas Adams, The Restaurant at the End of the Universe|Mr. Beeblebrox, sir,' said the insect in awed wonder, 'you’re so weird you should be in movies.;'Yeah,' said Zaphod patting the thing on a glittering pink wing, 'and you, baby, should be in real life.' The insect paused for a moment
Craig D. Lounsbrough|No person, collection of people, institution, government or organization of any kind can in any way promise to meet all of my needs for no person, collection of people, institution, government or organization possesses the array of resources necessary to do that. And so, I am left with the reality that either there is a God who can meet all of my needs, or I’ve been stranded in an existence that created me with needs that the existence itself cannot meet.
Joyce Carol Oates, Beasts|Dominique (who, like other Catamount girls, had a cache of pills for every occasion) offered me a bennie- Benzedrine?- to elevate my spirits. Adamantly I told her, No thanks! I wanted to face what's called reality with my eyes open.I've made that a principle for my life. Sometimes I wonder if this has been a wise decision.
Gayle Forman, Just One Day|I clap because I know what will happen when I stop. It's the same thing that happens when I turn off a really good movie - one that I've lost myself to - which is that I'll be thrown back to my own reality and something hollow will settle in my chest. Sometimes, I'll watch a movie all over again just to recapture that feeling of being inside something real. Which, I know, doesn't make any sense.
Moonshine Noire|The locals died and shrivelled with the autumnal leaves as their plastic, seasonal smiles faded with the last of the holidaymakers.
Moonshine Noire|...few truly understood how disheartening it was to be cut off from worlds so strange and distant they remained to us fantasies rather than distant realities, too surreal and foreign to be touched. Their minds were fixated on what they knew to be real, unable to create the atmospheres of the nebulous realms that lay just beyond our reach, just beyond the dimming horizon, our celestial limits.
Roshan Sharma|The sensation that allows you to experience the physical reality, when detached from the physical body allows you to realize life beyond the physical reality.
Abhijit Naskar, Autobiography of God: Biopsy of A Cognitive Reality|You are not even seeing most of what's going on in the universe. On top of that, your brain filters out much of what it receives from the environment. So that what you are consciously aware of is only a fractional representation of your universe.
Roshan Sharma|In the external reality, an action is required for the manifestation, but in the internal reality, all you need is your presence. Just with the inner presence, things begin to unfold.
Ika Natassa, The Architecture of Love|People say that Paris is the city of love, but for me, New York deserves the title more. It's impossible not to fall in love with the city like it's almost impossible not to fall in love in the city.
Tony Warrick|Everything you perceive, externally, is the manifestation of some internal part of you. If it was not, it would not be present in your perceived reality.
H.P. Lovecraft|There is in certain ancient things a traceOf some dim essence --More than form or weight;A tenuous aether, indeterminate,Yet linked with all the laws of time and space.A faint, veiled sign of continuitiesThat outward eyes can never quite descry;Of locked dimensions harboring years gone by,And out of reach except for hidden keys.
Craig D. Lounsbrough|Disappointment focuses on ‘what is not,’ and completely misses the far greater reality of ‘what now is.
Marcelo Gleiser, The Dancing Universe: From Creation Myths to the Big Bang|There were no witnesses to what was about to happen. 'Happen' didn't yet exist. Reality was timeless. Space also didn't exist. The distance between two points was immeasurable. The points themselves could be anywhere, hovering and bouncing. Infinity tangled into itself. There was no here and now. Only Being.
Franz Kafka, The Complete Stories|Concerning this a man once said:Why such reluctance? If you only followed the parablesyou yourselves would become parables and with that rid of all your daily cares.Another said: I bet that is also a parable.The first said: You have won.The second said: But unfortunately only in parable.The first said: No, in reality; in parable you have lost.
John Green, An Abundance of Katherines|Do you ever wonder whether people would like you more or less if they could see inside you? I mean, I've always felt like the Katherines dump me right when they start to see what I look like from the inside.
Cathy O'Neil, Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy|The privileged, we’ll see time and again, are processed more by people, the masses by machines.
Albert Einstein|If you wish to learn from the theoretical physicist anything about the methods which he uses, I would give you the following piece of advice: Don't listen to his words, examine his achievements. For to the discoverer in that field, the constructions of his imagination appear so necessary and so natural that he is apt to treat them not as the creations of his thoughts but as given realities.
Paul  Lockhart, A Mathematician's Lament: How School Cheats Us Out of Our Most Fascinating and Imaginative Art Form|... This is a major theme in mathematics: things are what you want them to be. You have endless choices; there is no reality to get in your way.On the other hand, once you have made your choices then your new creations do what they do, whether you like it or not. This is the amazing thing about making imaginary patterns: they talk back!
Bobby F. Kimbrough Jr.|Mindset will change your reality and destination. Are you ready? If yes, start THINKING victory. Trust me - you will win.
George Orwell, 1984|Reality only exerts its pressure through the needs of everyday life - the need to eat and drink, to get shelter and clothing, to avoid swallowing poison or stepping out of top-storey windows, and the like.
Milan Kundera, The Art of the Novel|I also think of those daily slaughters along the highways, of that death that is as horrible as it is banal and that bears no resemblance to cancer or AIDS because, as the work not of nature but of man, it is an almost voluntary death. How can it be that such a death fails to dumbfound us, to turn our lives upside down, to incite us to vast reforms? No, it does not dumbfound us, because like Pasenow, we have a poor sense of the real, and in the sur-real sphere of symbols, this death in the guise of a handsome car actually represents life; this smiling death is con-fused with modernity, freedom, adventure, just as Elisabeth was con-fused with the Virgin. This death of a man condemned to capital punishment, though infinitely rarer, much more readily draws our attention, rouses passions: confounded with the image of the executioner, it has a symbolic voltage that is far stronger, far darker and more repellent. Et cetera.Man is a child wandering lost—to cite Baudelaire`s poem again—in the "forests of symbols."(The criterion of maturity: the ability to resist symbols. But mankind grows younger all the time.)
Godfrey Reggio|By any measure, we live in an extraordinary and extreme time. Language can no longer describe the world in which we live. With antique ideas and old formulas, we continue to describe a world that is no longer present. In this loss of language, the word gives way to the image as the 'language' of exchange, in which critical thought disappears to a diabolic regime of conformity - the hyper-real, the omnipresent image. Language, real place gives way to numerical code, the real virtual; metaphor to metamorphosis; body to disembodiment; natural to supernatural; many to one. Mystery disappears, replaced by the illusion of certainty in technological perfection.
Criss Jami|...And maybe one day you will wake up as an infant in a completely different universe, and your entire life thus far was just one big dream.
Aleister Crowley|Each being is, exactly as you are, the sole centre of a Universe in no wise identical with, or even assimilable to, your own. The impersonal Universe of Nature is only an abstraction, approximately true, of the factors which it is convenient to regard as common to all. The Universe of another is therefore necessarily unknown to, and unknowable by, you; but it induces currents of energy in yours by determining in part your reactions. Use men and women, therefore, with the absolute respect due to inviolable standards of measurement; verify your own observations by comparison with similar judgements made by them; and, studying the methods which determine their failure or success, acquire for yourself the wit and skill required to cope with your own problems.
Dauglas Dauglas, Roses in the Rainbow|Some say your whole life appears before you like a TV when someone is about to shoot you, but the reality is you barely have any brain control beyond thinking about the muzzle and the finger on the trigger.
Kemi Sogunle|Every time you mistreat someone, you reveal the part of you that lacks love and needs to heal.
Graham Swift, Mothering Sunday|So what was it then exactly, this truth-telling? ... It was about being true to the very stuff of life, it was about trying to capture, though you never could, the very feel of being alive. It was about finding a language. And it was about being true to the fact, the one thing only followed from the other, that many things in life —of so many more than we think—can never be explained at all.
Na'ama Yehuda, Emilia|Men who hit do so because they can...someplace they enjoy or need to humiliate another. There is no love in violence, only control and domination.
James Rhodes, Instrumental: A Memoir of Madness, Medication, and Music|I was used, fucked, broken, toyed with and violated from the age of six.
Kilroy J. Oldster, Dead Toad Scrolls|The impeccable watchmaker geared the noble self to suffer. The ineluctable part of being human is perpetual sorrow, grief, and misery. Suffering is part of living. Life begins joyously and regretfully ends in tragedy. The cold realities of the world triumphantly crush each one of us. Between birth and death is comedic conjugation, the haunting prelude to the end of the self.
Jamie Whyte, Crimes Against Logic: Exposing the Bogus Arguments of Politicians, Priests, Journalists, and Other Serial Offenders|People will hold an opinion because they want to keep the company of others who share the opinion, or because they think it is the respectable opinion, or because they have publicly expressed the opinion in the past and would be embarrassed by a “U-turn,” or because the world would suit them better if the opinion were true, or . . . Perhaps it is better to get on with your family and friends, to avoid embarrassment, or to comfort yourself with fantasies than to believe the truth. But those who approach matters in this way should give up any pretensions to intellectual seriousness. They are not genuinely interested in reality.
Maggie MacLure|difference, distance, absence and seperation lie 'at the heart' of meaning, being and reality
James Kennedy|Barry Schlenker’s self-identity theory (1982) asserts that self-presentation is an attempt to control information about your identity before real or imagined audiences—including yourself. People try to provide explanations of their own conduct; they try to construct an identity that is satisfying to themselves and that explains their behavior in a favorable light. One of the criteria of a good explanation is believability; that is, explanations must fit with existing knowledge. Schlenker argues that people are not motivated to attain cognitive consistency as an end in itself; rather, they need to provide a believable and self -beneficial account of their conduct, and consistency is a by-product of that. The need to provide explanations for your conduct results in the construction of an internally consistent view of reality.
Mario Puzo|Not to be rich, but to have money; to have money like a wall to put your back to, and then face the world.
Haruki Murakami, The Wind-Up Bird Chronicle|Reality spilled out into the alley like water from an overfilled bowl - as sound, as smell, as image, as plea, as response.
Agatha Christie|Such nice people, the Hillingdons, though she's not really very easy to know, is she? I mean, she's always very pleasant and all that, but one never seems to get to know her better.'Miss Marple agreed thoughtfully. 'One never knows what she is thinking.''Perhaps that is just as well.''I beg your pardon?''Oh nothing really, only that I've always had the feeling that perhaps her thoughts might be rather disconcerting.
Jorge P. Guerrero|Sometimes, you need to downgrade your dreams to upgrade your reality.
Kilroy J. Oldster, Dead Toad Scrolls|When one verse in life ends in ignominy, we can use the glimmering marvel of nature’s splendor and frayed edges culled from the black linen of past failures to write uncanny poems that give voice to the fissures in our hollow, reflective poetry that echoes our supple inner world of cherished dreams colliding with the serrated edges of savage realism.
Rosamunde Pilcher, Coming Home|She was always left feeling like a murderer. Because the messenger becomes the murderer. Until the fatal words are spoken, the loved one concerned is still alive, waking, sleeping, going about his business, making telephone calls, writing letters, going for walks, breathing, seeing. It was the telling that killed.
Taranpreet Singh|Talking to the Divine is possible when you have your knowledge, thoughts, mind & body in line, remembering God with every breath. In Sufism, it is called ‘Sama’. But in reality, it should be called ‘Self realization’, I think.
Mark Nepo, The Book of Awakening: Having the Life You Want by Being Present to the Life You Have|It’s like wearing gloves every time we touch something, and then, forgetting we chose to put them on, we complain that nothing feels quite real.
Akshay Vasu|Love me like today is the last day we can see stars in the sky, let us sleep under them and throw ourselves into the oblivion and never again reach out for reality.
Oscar Wilde, Teleny|Life at times loses its sense of reality; it appears to us like a weird, optical illusion - a phantasmagoric bubble that will disappear at the slightest breath.
Richard Powers, The Time of Our Singing|Our father knew more than any living person about the secret of time, except how to live in it. His time did not travel; it was a block of persisting nows.
Meg Rosoff, Jonathan Unleashed|How had he got here? Only a few minutes ago he'd been a kid, riding his bike to school, collecting comics, doing homework and watching TV. Over the years, a few trappings of adulthood had insinuated themselves into his life withoutmaking significant inroads. Real adult life seemed to exist over there, somewhere as distant and unreachable as Uranus. He had no idea how people crossed over to this place, or why - the demands of being grown up seemed exhausting. Look how I work all the time. See my silky girlfriend. Watch me exchange money for food. Admire my blood pressure.
Kilroy J. Oldster, Dead Toad Scrolls|Every encounter with the external world presents a conflict with a person’s cherished inner world. How we resolve these ongoing boarder conflicts between reality and ideas results in tectonic shifts in our mental makeup, which influx we incorporate by responding to the never-ending chaos of a worldly life.
Kilroy J. Oldster, Dead Toad Scrolls|Our exterior world affects our internal landscape, our inner world affects our interpretation of physical sense impressions, and the combination of emotions, thoughts, and physical sensations influences how we address reality.
Justin Bienvenue, Opium Warfare|A man sat down by a tree every day for 2 weeks. It was a beautiful Wisteria tree with purple flowers. Every day, around the same time, he would come to the park and sit by this tree. On the fourteenth day, he came to the park and approached the tree and as he sat down, he closed his eyes as he always did. Only this time when he opened them, the tree withered and died before him. The man then looked around and before he knew it, he had found that he never came to the tree at all, but was in an asylum the whole time.
Alyson Foster, God Is an Astronaut|The realization of such a thing cannot possibly be as beautiful as its imagining, of course.
Richie Norton|Ideas become reality. once you hit that reality, you get a new idea. it's a virtuous upward spiral. However, the majority are satisfied living within the idea of the reality instead of the reality of the idea.
John Connolly, The Reapers|As for dying, he didn't believe that he was frightened of it: the manner of it, perhaps, but not the fact of it. After all, he had reached an age where dying had started to become an objective reality instead of an abstract concept.
Erik Pevernagie|When the river of emotions bursts its banks and expectations go over the edges of reality, the brain creates hallucinations. Ringxiety-stricken people feel illusive vibrating alerts and hear phantom phone rings, since absence of ringing generates scaring emptiness and destroys their self-esteem. ("Kein Schwein ruft mich an" )
Salman Rushdie|Our lives teach us who we are." I have learned the hard way that when you permit anyone else's description of reality to supplant your own ... then you might as well be dead.
Jay Hosking, Three Years with the Rat|There are just some things that are outside of comprehension, even if we can quantify them. At some point, science becomes magic.
Chuck Klosterman|In Western culture, virtually everything is understood through the process of storytelling, often to the detriment of reality. When we recount history, we tend to use the life experience of one person — the “journey” of a particular “hero,” in the lingo of the mythologist Joseph Campbell — as a prism for understanding everything else.
Minae Mizumura, The Fall of Language in the Age of English|Since language produces meaning within an enclosed system, there is always a built-in untranslatability, which national languages began to deliberately pursue. The process added to the creation of an untranslatable "reality" that can be expresses only in a particular language. It also added to the discovery of untranslatable "truths.
R.A.Delmonico|If the universe is made of information then, we are moving from a state of profound truth to a state of meaningless gibberish.
R.A.Delmonico|The nature of reality is such that every sufficiently complex event is statistically impossible, they are all one time events. This is a dynamic of novelty and so anything stable is forced to fluctuate including meaning. When we measure a thing we may not see the dynamics as a consequence of resolution. This is because the holographic information field has a nested hierarchy of scale.
Milan Kundera, The Unbearable Lightness of Being|He had come to find out that reality was more than a dream, much more than a dream!
Jorge Ramos|You have to show reality as it is, not as you wish it to be.
Agha Kousar|Do whatever you want, even spend time with any one or help any one. Don't keep any expectation that the person you are helping today he will give u same manner tomorrow. This expectation is one of the big obstacle between you and your success. Be independent, limited and love yourself. Enhance your personality instead of wasting time and energy by planning to take revenge. Because best revenge for your enemies is not their defeat but they will get defeat by your success
Paul Éluard|There is another world, but, it is in this one.
Brittany Cavallaro, A Study in Charlotte|Truth be told, I liked that blurriness. That line where reality and fiction jutted up against each other.
Robert M. Drake, Black Butterfly|There is nothing out here...it is all inside;it is all in my head.The things that happen do not existunless I give them meaning.To be able to define everythingis where my greatest weakness lies.To be able to feelis the madness I need to make senseof the things that strike me.People strike me,love strikes meand everything else moves mein such a waythat I could barely understand.I feel,and everything I feel is nothing;nothing but an extensionof the mindandof the heart I was born with.
Anton Chekhov, The Complete Short Stories of Anton Chekhov|In short, the man displayed a constant and insurmountable impulse to wrap himself in a covering, to make himself, so to speak, a case which would isolate him and protect him from external influences. Reality irritated him, frightened him, kept him in continual agitation, and, perhaps to justify his timidity, his aversion for the actual, he always praised the past and what had never existed; and even the classical languages which he taught were in reality for him goloshes and umbrellas in which he sheltered himself from real life.
Frank Herbert, Children of Dune|I realize that humans cannot bear very much reality. Most lives are a flight from selfhood. Most prefer the truths of the stable. You stick your heads into the stanchions and munch contentedly until you die. Others use you for their purposes. Not once do you live outside the stable to lift your head and be your own creature. Muad'Dib came to tell you about that. Without understanding his message, you cannot revere him!
Michael Bassey Johnson, Master of Maxims|There is no past and future for those who exist in the now. Live in the moment, today is the only reality.
Ashmita Acharya, The Beginning: The Tears of My Heart|True love doesn’t exist, for, love is always true. If it is not true, then it is not love at all.
Shashi, Songs of the Mist|When the time is right, you will find your space in universal design. That space is the reality of our consciousness; rest is layers upon layers of memories, desires, and insecurities of mind.
Rushabh Patel|Don't fall for the ones who say, I am always yours. They are liars, unfortunately humans too
Tara Estacaan|Beautiful Oneyou'll graspone dayjust how sufficientand goodyou are as you are. Title: SUFFICIENT, Tara Estacaan
Haruki Murakami, Colorless Tsukuru Tazaki and His Years of Pilgrimage|Haida stopped and glanced at the clock on the wall. Then he looked at Tsukuru. He was, of course, Haida the son, but Haida the father has been the same age in his story, and so the two of them began to overlap in Tsukuru's mind. It was an odd sensation, as if the two distinct temporalities had blended into one. Maybe it wasn't the father who had experienced this, but the son. Maybe Haida was just relating it as if his father had experienced it, when in reality he was the one who had. Tsukuru couldn't shake this illusion.
Oli Anderson|I decided to give up meaningless sex, but then I remembered that everything is meaningless.
Ava Dellaira, Love Letters to the Dead|People love you for what they want to see in you, not for what you are. That's a sad thing to learn.
Shannon L. Alder|Expectations are nothing more than the rules we set, in order to maintain our ego and self esteem. What we seek from others is often that fulfillment of what we believe we require for happiness. However, many of us will raise the requirements so high that we can't even reach them or better yet, realize that we could find that expectation met by our own introspection and action.
Osho, And The Flowers Showered Discourses On Zen|Don’t be an interpreter of reality, be a visionary. Don’t think about it, see it!
Mark Twain, The Mysterious Stranger|Men have nothing in common with me--there is no point of contact; they have foolish little feelings and foolish little vanities and impertinences and ambitions; their foolish little life is but a laugh, a sigh, and extinction; and they have no sense. Only the Moral Sense. I will show you what I mean. Here is a red spider, not so big as a pin's head. Can you imagine an elephant being interested in him-- caring whether he is happy or isn't, or whether he is wealthy or poor, whether his sweetheart returns his love or not, whether his mother is sick or well, whether he is looked up to in society or not, whether his enemies will smite him or his friends desert him, whether his hopes will suffer blight or his political ambitions fail, whether he shall die in the bosom of his family or neglected and despised in a foreign land? These things can never be important to the elephant; they are nothing to him; he cannot shrink his sympathies to the microscopic size of them. Man is to me as the red spider is to the elephant. The elephant has nothing against the spider--he cannot get down to that remote level; I have nothing against man. The elephant is indifferent; I am indifferent.
Mark Twain, The Mysterious Stranger|You can find in a text whatever you bring, if you will stand between it and the mirror of your imagination. You may not see your ears, but they will be there.
George Saunders|I guess I was sad that love was not real? Or not all that real, anyway? I guess I was sad that love could feel so real and the next minute be gone, and all because of something Abnesti was doing.
Haruki Murakami|But in real life things don't go smoothly. At certain points in our lives, when we really need a clear-cut solution, the person who knocks at our door is, more likely than not, a messenger bearing bad news. It isn't always the case, but from experience I'd say the gloomy reports far outnumber the others. The messenger touches his hand to his cap and looks apologetic, but that does nothing to improve the contents of the message. It isn't the messenger's fault. No good to blame him, no good to grab him by the collar and shake him. The messenger is just conscientiously doing the job his boss assigned him. And this boss? That would be none other than our old friend Reality.
Deyth Banger|DeYtH Banger is a character, who is famous because of me, who is created by me and who lives by me...
Lawrence Hill|WHEN I WAS VERY YOUNG, Papa used to tell me that words fly on wild winds from the mouths of sly people. When the winds pick up, he said, sand blows into your ears and bites your eyes. Storms build overhead like a lake with a spout, but you can’t see or hear. Only when you are safely sheltered, Papa said, can you tell which way the wind is blowing. Only from the calm, he said, can you see how to protect yourself from trouble.
Northrop Frye|Illusion is whatever is fixed or definable, and reality is best understood as its negation…
Haruki Murakami, What I Talk About When I Talk About Running|But in real life things don't go so smoothly. At certain points in our lives, when we really need a clear-cut solution, the person who knocks at our door is, more likely than not, a messenger bearing bad news. It isn't always the case, but from experience I'd say the gloomy reports far outnumber the others. The messenger touches his hand to his cap and looks apologetic, but that does nothing to improve the contents of the message. It isn't the messenger's fault. No good to blame him, no good to grab him by the collar and shake him. The messenger is just conscientiously doing the job his boss assigned him. And this boss? That would be none other than our old friend Reality.
Nietszche|What the sense feels, what the spirit perceives, is never an end in itself. But sense and spirit would like to persuade you that they are the end of all things: they are as vain as that.
Ann Aguirre, The Queen of Bright and Shiny Things|You can lie to yourself about all kinds of things. Until you can't, anymore. Until reality pounds a hole through your fantasy castle and the reality check must be cashed in.
Mehmet Murat ildan|When the reality looks magnificent, a real art of photography has only one choice: To capture this beauty magnificently!
Goitsemang Mvula|The minute we run away from reality, we become our own fears for a lifetime
Deyth Banger|So reality your mother builds you a room in which to run and test, your father give you the stuff on which to handle. Tests and everything needed and you just upgrade yourself!
Deyth Banger|If you don't believe in time, your day will be longer (because reality time is an illusion, it exist only because of us and if we don't exist time doesn't exist!?)
Neeti Sinha, Physical Laws of the Mathematical Universe: Who Are We?|The language of mathematics, scientific observations, and our perceptivity together knit the window to reality.
Bethany L. Brand|FLATOW: So you would - how would you treat a patient like Sybil if she showed up in your officeBRAND: Well, first I would start with a very thorough assessment, using the current standardized measures that we have available to us that assess for the range of dissociative disorders but the whole range of other psychological disorders, too. I would need to know what I'm working with, and I'd be very careful and make my decisions slowly, based on data about what she has. And furthermore, with therapists who are well-trained in dissociative disorders, we do keep an eye open for suggestibility. But that research, too, is not anywhere near as strong as what the other two people in the interview are suggesting.It shows - for example, there's eight studies that have a total of 11 samples. In the three clinical samples that have looked at the correlation between dissociation and suggestibility, all three clinical samples found non-significant correlations. So it's just not as strong as what people think. That's a myth that's not backed up by science." Exploring Multiple Personalities In 'Sybil Exposed' October 21, 2011 by Ira Flatow
Abhijit Naskar, The Art of Neuroscience in Everything|All experiences, emotions, behaviors and beliefs, that make us humans, are the creation of various intricate and inexplicable molecular interactions within the brain.
Abhijit Naskar, Homo: A Brief History of Consciousness|To be honest, as a species we may not live long enough to ever understand the true reality of the universe. But as the foundation of consciousness lies within the domain of biology one day we shall know all there is to know about it.
Oli Anderson, Personal Revolutions: A Short Course in Realness|If philosophy gets you lost in the labyrinth of symbols that distance us from reality, then it is part of the problem; if it motivates positive action that can create a better world, philosophy is usually a gift.
Caitlyn Paige|There are some things in life that we try to ignore, thinking that maybe if we don't see the problem, it won't see us when in reality, it's only getting bigger.
Sarah Grimm, Wrecked|Life is beautiful – but no one comes out of it alive. So live each day as if it’s your last. Walk in the sunshine. Dance beneath the stars. Laugh hard and long and never, ever forget how very special you are.
Earthschool Harmony, Back To Grace: Spiritual poetry and reflections|Remember seeker, our earthly perceptions of reality are just an illusion.
