ETC Wanyanwu|I walk, talk and act like a king even though I know there's no royalty in my bloodline
Mary Wollstonecraft Shelley, Frankenstein; Or, the Modern Prometheus|My education was neglected, yet I was passionately fond of reading.
Jonathan Kozol, The Shame of the Nation: The Restoration of Apartheid Schooling in America|There is something deeply hypocritical in a society that holds an inner-city child only eight years old "accountable" for her performance on a high-stakes standardized exam but does not hold the high officials of our government accountable for robbing her of what they gave their own kids six or seven years before.
Kurt Vonnegut Jr., Slaughterhouse-Five|I think about my education sometimes. I went to the University of Chicago for awhile after the Second World War. I was a student in the Department of Anthropology. At that time they were teaching that there was absolutely no difference between anybody.They may be teaching that still.Another thing they taught was that no one was ridiculous or bad or disgusting. Shortly before my father died, he said to me, ‘You know – you never wrote a story with a villain in it.’I told him that was one of the things I learned in college after the war.
Pat Conroy, The Lords of Discipline|Great teachers had great personalities and that the greatest teachers had outrageous personalities. I did not like decorum or rectitude in a classroom; I preferred a highly oxygenated atmosphere, a climate of intemperance, rhetoric, and feverish melodrama. And I wanted my teachers to make me smart. A great teacher is my adversary, my conqueror, commissioned to chastise me. He leaves me tame and grateful for the new language he has purloined from other kings whose granaries are filled and whose libraries are famous. He tells me that teaching is the art of theft: of knowing what to steal and from whom. Bad teachers do not touch me; the great ones never leave me. They ride with me during all my days, and I pass on to others what they have imparted to me. I exchange their handy gifts with strangers on trains, and I pretend the gifts are mine. I steal from the great teachers. And the truly wonderful thing about them is they would applaud my theft, laugh at the thought of it, realizing they had taught me their larcenous skills well.
Rachel Gathercole, The Well-Adjusted Child: The Social Benefits of Homeschooling|Once upon a time, all children were homeschooled. They were not sent away from home each day to a place just for children but lived, learned, worked, and played in the real world, alongside adults and other children of all ages.
Marva Collins, Marva Collins' Way|What all good teachers have in common, however, is that they set high standards for their students and do not settle for anything less.
John Holt|It's not that I feel that school is a good idea gone wrong, but a wrong idea from the word go. It's a nutty notion that we can have a place where nothing but learning happens, cut off from the rest of life.
Roger Ebert|Of all the purposes of education, I think the most useful is this: It prepares you to keep yourself entertained. It gives you a better chance of an interesting job.
Randy Pausch, The Last Lecture|I’d compare college tuition to paying for a personal trainer at an athletic club. We professors play the roles of trainers, giving people access to the equipment (books, labs, our expertise) and after that, it is our job to be demanding.
Howard Zinn, You Can't Be Neutral on a Moving Train: A Personal History of Our Times|I had always insisted that a good education was a synthesis of book learning and involvement in social action, that each enriched the other. I wanted my students to know that the accumulation of knowledge, while fascinating in itself, is not sufficient as long as so many people in the world have no opportunity to experience that fascination.
Kurt Vonnegut Jr., Galápagos|As Mary delivered what was to be her last lecture about the Galapagos Islands, she would be stopped mid-sentence for five seconds by a doubt which, if expressed in words, might have come out something like this: "Maybe I'm just a crazy lady who had wandered off the street and into this classroom and started explaining the mysteries of life to these people. And they believe me, although I am utterly mistaken about simply everything."She had to wonder, too, about all the supposedly great teachers of the past, who, although their brains were healthy, had turned out to be as wrong as Roy about what was really going on.
Jasper Fforde, Shades of Grey|I've managed to bring the backlog down to a mere sixty-eight years," she announced with some small sense of achievement. "I hope to be able to start marking the papers of pupils who are still alive by the end of the decade.
Elizabeth Foss, Real Learning: Education In The Heart Of The Home|When the atmosphere encourages learning, the learning is inevitable.
Robert A. Heinlein, Stranger in a Strange Land|But when they began handing out doctorates for comparative folk dancing and advanced fly-fishing, I became too stink in’ proud to use the title. I won’t touch watered whiskey and I take no pride in watered-down degrees.
C.S. Lewis, That Hideous Strength|His education had been neither scientific nor classical—merely “Modern.” The severities both of abstraction and of high human tradition had passed him by: and he had neither peasant shrewdness nor aristocratic honour to help him. He was a man of straw, a glib examinee in subjects that require no exact knowledge (he had always done well on Essays and General Papers) and the first hint of a real threat to his bodily life knocked him sprawling.
Alfred North Whitehead|The foundation of reverence is this perception, that the present holds within itself the complete sum of existence, backwards and forwards, that whole amplitude of time, which is eternity.
Pete McCarthy, McCarthy's Bar: A Journey of Discovery In Ireland|If you've had the right kind of education, it's amazing how many things you can find to feel guilty about.
Urie Bronfenbrenner, Two Worlds of Childhood: U. S. & U. S. S. R.|Thus if we know a child has had sufficient opportunity to observe and acquire a behavioral sequence, and we know he is physically capable of performing the act but does not do so, then it is reasonable to assume that it is motivation which is lacking. The appropriate countermeasure then involves increasing the subjective value of the desired act relative to any competing response tendencies he might have, rather than having the model senselessly repeat an already redundant sequence of behavior.
Kevin Swanson|A common misconception of education comes when the definition of education narrows to the intellectual. The child is compartmentalized. He is not seen as a whole person, fully-integrated with physical, emotional, spiritual and intellectual capacities. Thus, if an educational program attempts to address the child's intellect while ignoring his spiritual and emotional development, the approach is sadly ignoring the true reality of the child. Likewise, those who separate the spiritual and emotional part of a child from the intellectual make a big mistake. You cannot delegate only the intellectual training of your child to professionals and retain just the spiritual and emotional for yourself. Whatever class is taught, the whole child is affected.
Oliver DeMille|Education occurs when students set out to educate themselves… the student will only learn, can only learn, what he chooses to learn…(An) advantage of not pushing is an innate sense (his) education is (his) responsibility and reward.
JP Morelands|A Christian goes to college to discover his vocation - and to develop skills necessary to occupy a section of cultural, intellectual domain in a manner worthy of the kingdom of God.A believer also goes to college to gain general information and habits of thought necessary for developing a well-structured soul suitable for a well-informed, good citizen of both earthly and heavenly kingdoms.
James Dyson|In order to fix it, you need a passionate anger about something that doesn't work well.
James     Baldwin, Nobody Knows My Name|We do not trust educated people and rarely, alas, produce them, for we do not trust the independence of mind which alone makes a genuine education possible.
T.H. White, The Sword in the Stone|He did not like the grown-ups who talked down to him, but the ones who went on talking in their usual way, leaving him to leap along in their wake, jumping at meanings, guessing, clutching at known words, and chuckling at complicated jokes as they suddenly dawned. He had the glee of the porpoise then, pouring and leaping through strange seas.
William Howard Taft|Unless education promotes character making, unless it helps men to be more moral, more just to their fellows, more law abiding, more discriminatingly patriotic and public spirited, it is not worth the trouble taken to furnish it.
Paul  Lockhart, A Mathematician's Lament: How School Cheats Us Out of Our Most Fascinating and Imaginative Art Form|Why don't we want our children to learn to do mathematics? Is it that we don't trust them, that we think it's too hard? We seem to feel that they are capable of making arguments and coming to their own conclusions about Napoleon. Why not about triangles?
An Na, A Step from Heaven|Your life can be different, Young Ju. Study and be strong. In America, women have choices.
Charles Dickens, Bleak House|He had been educated in no habits of application and concentration. The system which had addressed him in exactly the same manner as it had addressed hundreds of other boys, all varying in character and capacity, had enabled him to dash through his tasks, always with fair credit and often with distinction, but in a fitful, dazzling way that had confirmed his reliance on those very qualities in himself which it had been most desirable to direct and train. They were good qualities, without which no high place can be meritoriously won, but like fire and water, though excellent servants, they were very bad masters. If they had been under Richard’s direction, they would have been his friends; but Richard being under their direction, they became his enemies.
Charles Dickens, Bleak House|I never heard that it had been anybody’s business to find out what his natural bent was, or where his failings lay, or to adapt any kind of knowledge to him. He had been adapted to the verses and had learnt the art of making them to such perfection. I did doubt whether Richard would not have profited by some one studying him a little, instead of his studying them quite so much.
Liza Mundy, Michelle: A Biography|Sometimes, the way around prejudice is education.
Robert L. Fried, The Passionate Teacher: A Practical Guide|I want students to engage the way a clutch on a car gets engaged: an engine can be running, making appropriate noises, burning fuel and creating exhaust fumes, but unless the clutch is engaged, nothing moves. It's all sound and smoke, and nobody gets anywhere.
William J. Bennett, Choosing the Right College: The Whole Truth about America's Top Schools|The essence of education is, in the words of William James, to teach a person what deserves to be valued, to impart ideals as well as knowledge, to cultivate in students the ability to distinguish the true and good from their counterfeits and the wisdom to prefer the former to the latter.
M.G. Hardie|I don't have a problem with these Arizona laws. I have a problem with Chicano, Gay and Lesbian, Asian-American and African-American histories not being taught in American History courses.
Dennis Garlick|Improving intelligence is possible, but it is more likely to occur if children are given the right experiences at the right ages.
Thornton Wilder, The Ides of March|Love as education is one of the great powers of the world, but it hangs in a delicate suspension; it achieves its harmony as seldom as does love by the senses. Frustrated, it creates even greater havoc, for like all love it is a madness.
Rex E. Lee|No matter how righteous you are, no matter how carefully youcultivate the companionship of the Holy Ghost, there are vast amounts of knowledge which you need to acquireand which you are not going to receive through revelation.
Martha C. Nussbaum|An education is truly “fitted for freedom” only if it is such as to produce free citizens, citizens who are free not because of wealth or birth, but because they can call their minds their own. Male and female, slave-born and freeborn, rich and poor, they have looked into themselves and developed the ability to separate mere habit and convention from what they can defend by argument. They have ownership of their own thought and speech, and this imparts to them a dignity that is far beyond the outer dignity of class and rank.
Samuel Johnson, The Life of Samuel Johnson Including a Journal of a Tour to the Hebrides, Vol 2|People have now a-days, (said he,) got a strange opinion that every thing should be taught by lectures. Now, I cannot see that lectures can do so much good as reading the books from which the lectures are taken. I know nothing that can be best taught by lectures, except where experiments are to be shewn. You may teach chymistry by lectures.—You might teach making of shoes by lectures!
bell hooks, Killing Rage: Ending Racism|While it is positive for young black males and females to learn discipline and self-responsibility, those attitudes, values, and habits of being can be taught with pedagogical strategies that are liberatory, that do not rely on coercive control and punishment to reinforce positive behavior.
Brian S. Wesbury|When freedom prevails, the ingenuity and inventiveness of people creates incredible wealth. This is the source of the natural improvement of the human condition.
Eugene Taylor, Shadow Culture: Psychology and Spirituality in America|Where are we as a modern civilization if our educational institutions conspire to train only a fraction of our capacities? and if this is all they can really do, then why not acknowledge that fact openly and give legitimacy to the other alternative forms of education that do cultivate those neglected dimensions of personality, instead of pretending that anything lying outside the standards set by the Wester analytic tradition is either inferior, anti-intellectual, or diabolic? (p. 293-294)
Marion D. Hanks|My teacher's mind and my interest in youth has brought me to some renewed conclusions, and I pass them on earnestly to mature persons who are given to assisting young people off the trail. The dictionary has a word for them: iconoclast. It is defined as, "one who attacks cherished beliefs as shames." What if the cherished beliefs that are attacked along the way are true? What if they are the very beliefs that make these boys and girls worthwhile, promising people they are? What if the foundations of their faith are effectively shaken at this crucial period, and they dangle, with no substantial footings to stand on?
Marion D. Hanks, The Gift of Self|Do you know that when one who has influence with youth- be he teacher, leader or parent- seriously weakens the foundations upon which a young person has built, by faith-destroying challenges the youngster is not yet equipped to meet, he fashions a disciple who has been effectively cut loose from fundamentals at a time when he needs most to rely on them? The challenger may himself be a moral, educated, well-meaning person of integrity, doing what he does in the name of honesty and truth. His own character may have been formed in an atmosphere of faith and conviction which, through his influence, he may now help to destroy in his young follower. "Disenchanted" himself in his mature years, he turns his powers on an immature mind and leaves it ready prey for nostrums and superstitions and behavior he himself would disdain.
Daniel C. Dennett, Breaking the Spell: Religion as a Natural Phenomenon|People are afraid of being more ignorant than their children―especially, apparantly, their daughters.
Miguel de Cervantes Saavedra, Don Quixote|Not with whom you are born, but with whom you are bred.
E.D. Hirsch Jr.|Consider now the primal scene of education in the modern elementary school. Let us assume that a teacher wishes to inform a class of some 20 pupils about the structure of atoms, and that she plans to base the day's instruction on an analogy with the solar system. She knows that the instruction will be effective only to the extent that all the students in the class already know about the solar system. A good teacher would probably try to find out. 'Now, class, how many of you know about the solar system?' Fifteen hands go up. Five stay down. What is a teacher to do in this typical circumstance in the contemporary American school?"If he or she pauses to explain the solar system, a class period is lost, and 15 of the 20 students are bored and deprived of knowledge for that day. If the teacher plunges ahead with atomic structure, the hapless five—they are most likely to be poor or minority students—are bored, humiliated and deprived, because they cannot comprehend the teacher's explanation.
George Bernard Shaw|Schools and schoolmasters, as we have them today, are not popular as places of education and teachers, but rather prisons and turnkeys in which children are kept to prevent them disturbing and chaperoning their parent.
Thomas   Moore|We have to start from the ground up and reconsider what education is. In my language, I'd like to see us educate the soul, and not just the mind. The result would be a person who could be in the world creatively, make good friendships, live in a place he loved, do work that is rewarding, and make a contribution to the community. People say that the word "educate" means to "draw out" a person's potential. But I like the "duc" - part in the middle of it. To be educated is to become a duke, a leader, a person of stature and color, a presence and a character.
Donald A. Norman, Emotional Design: Why We Love (or Hate) Everyday Things|Will robot teachers replace human teachers? No, but they can complement them. Moreover, the could be sufficient in situations where there is no alternative––to enable learning while traveling, or while in remote locations, or when one wishes to study a topic for which there is not easy access to teachers. Robot teachers will help make lifelong learning a practicality. They can make it possible to learn no matter where one is in the world, no matter the time of day. Learning should take place when it is needed, when the learner is interested, not according to some arbitrary, fixed schedule
Alexis de Tocqueville, Democracy in America|Nations, as well as men, almost always betray the most prominent features of their future destiny in their earliest years.
David McCullough, John Adams|The more Adams thought about the future of his country, the more convinced he became that it rested on education. Before any great things are accomplished, he wrote to a correspondent, a memorable change must be made in the system of education and knowledge must become so general as to raise the lower ranks of society nearer to the higher. The education of a nation instead of being confined to a few schools and universities for the instruction of the few, must become the national care and expense for the formation of the many.
Richard Mitchell, The Gift of Fire|Training is a good dog, a constant companion and an utterly loyal and devoted friend, and everyone should have one. Education is a nagging counselor. And, I am convinced, everyone does have one. It happens, however, that some nagging counselors have grown strong by a certain kind of nourishment. Others are weak and puny, even infantile, having never been nourished at all.
Cullen Thomas, Brother One Cell: An American Coming of Age in South Korea's Prisons|Every day the same things came up; the work was never done, and the tedium of it began to weigh on me. Part of what made English a difficult subject for Korean students was the lack of a more active principle in their learning. They were accustomed to receiving, recording, and memorizing. That's the Confucian mode. As a student, you're not supposed to question a teacher; you should avoid asking for explanations because that might reveal a lack of knowledge, which can be seen as an insult to the teacher's efforts. You don't have an open, free exchange with teachers as we often have here in the West. And further, under this design, a student doesn't do much in the way of improvisation or interpretation.This approach might work well for some pursuits, may even be preferred--indeed, I was often amazed by the way Koreans learned crafts and skills, everything from basketball to calligraphy, for example, by methodically studying and reproducing a defined set of steps (a BBC report explained how the North Korean leader Kim Jong Il had his minions rigorously study the pizza-making techniques used by Italian chefs so that he could get a good pie at home, even as thousands of his subjects starved)--but foreign-language learning, the actual speaking component most of all, has to be more spontaneous and less rigid.We all saw this played out before our eyes and quickly discerned the problem. A student cannot hope to sit in a class and have a language handed over to him on sheets of paper.
Billy Sothern, Down in New Orleans: Reflections from a Drowned City|..I met two young guys from the Oregon National Guard... The lieutenant told me about their temporary barracks in an old neighborhood high school. He told me that he was disgusted that kids ever went to school there, and that in Oregon the place would have been bulldozed and rebuilt so that kids could have a proper place to learn. He seemed troubled that all of this was happening in America. He realized that many of the problems he was seeing in New Orleans existed before the storm, and he wanted to know why people had put up with it and why they hadn't voted out of office the people who had let this happen. I told him I didn't know, but maybe we could change things in New Orleans in the future. He seemed hopeful. I felt less certain.
John  Pearson, Learn Me Good|Jack Woodson is currently living and working in Dallas, TX. He has forty children, and all of them have different mothers.
Richard Mitchell, The Gift of Fire|Here is a truth that most teachers will not tell you, even if they know it: Good training is a continual friend and a solace; it helps you now, and assures you of help in the future. Good education is a continual pain in the neck, and assures you always of more of the same.
Laura Pedersen, Best Bet|Hey there, Hallie, welcome to the next place we need a Deer Crossing sign.' I didn't know that deers could 
Santosh Kalwar|Man kills, the things he love the most, sometimes by the virtue of hatred, crime, anger and war and sometimes by dramatizing his activities. But he is not aware that his killings are his own self-image.
Vladimir Nabokov, Speak, Memory|The village schoolmaster took us for instructive walks ('what you hear is the sound of a scythe being sharpened' ; 'that field there will be given a rest next season ';'oh, just a small bird...no special name '; 'if that peasant is drunk, it is because he is poor ') 71
C.S. Lewis, Surprised by Joy: The Shape of My Early Life|…the greatest service we can do to education today is to teach fewer subjects. No one has time to do more than a very few things well before he is twenty, and when we force a boy to be a mediocrity in a dozen subjects, we destroy his standards, perhaps for life.
Robert M. Pirsig, Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values|As a result of his experiments he concluded that imitation was a real evil that had to be broken before real rhetoric teaching could begin. This imitation seemed to be an external compulsion. Little children didn’t have it. It seemed to come later on, possibly as a result of school itself.That sounded right, and the more he thought about it the more right it sounded. Schools teach you to imitate. If you don’t imitate what the teacher wants you get a bad grade. Here, in college, it was more sophisticated, of course; you were supposed to imitate the teacher in such a way as to convince the teacher you were not imitating, but taking the essence of the instruction and going ahead with it on your own. That got you A’s. Originality on the other hand could get you anything – from A to F. The whole grading system cautioned against it.
Nouman Ali Khan|If doctors are paid the same salary as bus drivers, community would not be crazy about making their children doctors
Plato, The Allegory of the Cave|It is the task of the enlightened not only to ascend to learning and to see the good but to be willing to descend again to those prisoners and to share their troubles and their honors, whether they are worth having or not. And this they must do, even with the prospect of death.
Flannery O'Connor, The Habit of Being: Letters of Flannery O'Connor|The meaning of a story should go on expanding for the reader the more he thinks about it, but meaning cannot be captured in an interpretation. If teachers are in the habit of approaching a story as if it were a research problem for which any answer is believable so long as it is not obvious, then I think students will never learn to enjoy fiction. Too much interpretation is certainly worse than too little, and where feeling for a story is absent, theory will not supply it.
Peter Medawar|The spread of secondary and latterly of tertiary education has created a large population of people, often with well-developed literary and scholarly tastes, who have been educated far beyond their capacity to undertake analytical thought.
Thomas Jefferson|If it is believed that these elementary schools will be better managed by the governor and council or any other general authority of the government, than by the parents within each ward, it is a belief against all experience.
Kate Atkinson, Life After Life|I mean what else is there for a woman to do if she doesn't want to go from the parental to the marital home with nothing in between? 'An educated woman,'Millie amended. 'An educated woman,' Ursula agreed.
Stefan Collini|In trying to justify the humanities, as in trying to live a life, what may turn out to matter most is holding one's nerve.
Tucker Elliot, The Rainy Season|I spent half my childhood trying to be like my dad. True for most boys, I think. It turns with adolescence. The last thing I wanted was to be like my dad. It took becoming a man to realize how lucky I’d been. It took a few hard knocks in life to make me realize the only thing my dad had ever wanted or worked for was to give me a chance at being better than him.
Alain de Botton|We study biology, physics, movements of glaciers... Where are the classes on envy, feeling wronged, despair, bitterness...
Rodney Ulyate|You learn almost as much about a thinker from what he reads—in particular, what he likes and what he disdains—as from what he writes himself.
Jean Said Makdisi, Teta, Mother and Me: Three Generations of Arab Women|Thus did I receive, through the singing of these various hymns and the moral education that accompanied them, not only a religious, but a political schooling of sorts. For though the intertwining of morality and politics does not necessarily make for a clear understanding of the cynicism that governs world affairs., it does engender impatience with and a rejection of this cynicism, and a real belief in a more perfect, less unjust world. And though I regret not having been taught more about the real world, I have never regretted being taught this kind of morality first.
Bryant McGill, Voice of Reason|In so many ways we are still in the dark ages, but there is light appearing over the horizon of choice and consciousness.
Olawale Robyns|First step is to read and write but the major Education start when we are able to translate and tranform on everything we reads, get contact and spoken of.
Jiddu Krishnamurti, Education and the Significance of Life|To understand life is to understand ourselves, and that is both the beginning and the end of education.
J.D. Salinger, The Catcher in the Rye|The more expensive a school is, the more crooks it has — I'm not kidding.
Michael Morpurgo, Farm Boy|He never reckoned much to schooling and that. He said you could learn most what was worth knowing from keeping your eyes and ears peeled. Best way of learning, he always said, was doing.
John Holt, How Children Fail|When children are very young, they have natural curiosities about the world and explore them, trying diligently to figure out what is real. As they become "producers " they fall away from exploration and start fishing for the right answers with little thought. They believe they must always be right, so they quickly forget mistakes and how these mistakes were made. They believe that the only good response from the teacher is "yes," and that a "no" is defeat.
Arundhati Roy, The God of Small Things|They visited him in saris, clumping gracelessly through red mud and long grass ... and introduced themselves as Mrs. Pillai, Mrs. Eapen and Mrs. Rajagopalan. Velutha introduced himself and his paralyzed brother Kuttappen (although he was fast asleep). He greeted them with the utmost courtesy. He addressed them all as Kochamma [an honorific title for a woman] and gave them fresh coconut water to drink. He chatted to them about the weather. The river. The fact that in his opinion coconut trees were getting shorter by the year. As were the ladies in Ayemenem. He introduced them to his surly hen. He showed them his carpentry tools, and whittled them each a little wooden spoon.It is only now, these years later, that Rahel with adult hindsight recognized the sweetness of that gesture. A grown man entertaining three raccoons, treating them like real ladies. Instinctively colluding in the conspiracy of their fiction, taking care not to decimate it with adult carelessness. Or affection. [emphasis mine]It is after all so easy to shatter a story. To break a chain of thought. To ruin a fragment of a dream being carried around carefully like a piece of porcelain.To let it be, to travel with it, as Velutha did, is much the harder thing to do.
C.S. Lewis, The Abolition of Man|the difference between the old and the new education being) in a word, the old was a kind of propagation - men transmitting manhood to men; the new is merely propaganda.
C.S. Lewis, The Abolition of Man|If my duty to my parents is a superstition, then so is my duty to posterity. If justice is a superstition, then so is my duty to my country or my race. If the pursuit of scientific knowledge is a real value, then so is conjugal fidelity. The rebellion of new ideologies against the Tao is a rebellion of the branches against the tree: if the rebels could succeed they would find that they had destroyed themselves.
Michael   Lewis, Moneyball: The Art of Winning an Unfair Game|If you’ve got a dozen pitchers, you need to speak 12 different languages.
Tucker Elliot|There was a time we laughed at the old guys up on the hill. The ones who graduated a couple of years before us, and who would hang around the school and the ballpark still, and would sit on the hoods of their cars and tell us how when they were seniors they did it better, faster, and further. We laughed, because we were still doing it, and all they could do was talk. If our goals were not met, there was next year, but it never occurred to us that one day there would not be a next year, and that the guys sitting on the hoods of their cars at the top of the hill, wishing they could have one more year, willing to settle for one last game, could one day be us.
Christopher Henry Dawson, Religion and World History: A Selection from the Works of Christopher Dawson|The whole tendency of modern life is towards scientific planning and organisation, central control, standardisation, and specialisation. If this tendency was left to work itself out to its extreme conclusion, one might expect to see the state transformed into an immense social machine, all the individual components of which are strictly limited to the performance of a definite and specialised function, where there could be no freedom because the machine could only work smoothly as long as every wheel and cog performed its task with unvarying regularity. Now the nearer modern society comes to the state of total organisation, the more difficult it is to find any place for spiritual freedom and personal responsibility. Education itself becomes an essential part of the machine, for the mind has to be as completely measured and controlled by the techniques of the scientific expert as the task which it is being trained to perform.
John Holt, How Children Fail|Not long after the book came out I found myself being driven to a meetingby a professor of electrical engineering in the graduate school I of MIT. He said that after reading the book he realized that his graduate students were using on him, and had used for the ten years and more he had been teaching there, all the evasive strategies I described in the book — mumble, guess-and-look, take a wild guess and see what happens, get the teacher to answer his own questions, etc.But as I later realized, these are the games that all humans play when othersare sitting in judgment on them.
Ellen Kaplan, Out of the Labyrinth: Setting Mathematics Free|A Puritan twist in our nature makes us think that anything good for us must be twice as good if it's hard to swallow. Learning Greek and Latin used to play the role of character builder, since they were considered to be as exhausting and unrewarding as digging a trench in the morning and filling it up in the afternoon. It was what made a man, or a woman -- or more likely a robot -- of you. Now math serves that purpose in many schools: your task is to try to follow rules that make sense, perhaps, to some higher beings; and in the end to accept your failure with humbled pride. As you limp off with your aching mind and bruised soul, you know that nothing in later life will ever be as difficult.What a perverse fate for one of our kind's greatest triumphs! Think how absurd it would be were music treated this way (for math and music are both excursions into sensuous structure): suffer through playing your scales, and when you're an adult you'll never have to listen to music again. And this is mathematics we're talking about, the language in which, Galileo said, the Book of the World is written. This is mathematics, which reaches down into our deepest intuitions and outward toward the nature of the universe -- mathematics, which explains the atoms as well as the stars in their courses, and lets us see into the ways that rivers and arteries branch. For mathematics itself is the study of connections: how things ideally must and, in fact, do sort together -- beyond, around, and within us. It doesn't just help us to balance our checkbooks; it leads us to see the balances hidden in the tumble of events, and the shapes of those quiet symmetries behind the random clatter of things. At the same time, we come to savor it, like music, wholly for itself. Applied or pure, mathematics gives whoever enjoys it a matchless self-confidence, along with a sense of partaking in truths that follow neither from persuasion nor faith but stand foursquare on their own. This is why it appeals to what we will come back to again and again: our **architectural instinct** -- as deep in us as any of our urges.
Alexis de Tocqueville|I follow the course marked out by my principles and, what is more, enjoy a deep and noble pleasure in following it. You deeply despise the human race, at least our part of it; you think it not only fallen but incapable of ever rising again... For my part, as I feel neither the right nor the wish to entertain such opinions of my species and my country, I think it is not necessary to despair of them. In my opinion, human societies, like individuals, amount to something only in liberty...And God forbid that my mind should ever be crossed by the thought that it is necessary to despair of success... You will allow me to have less confidence in your teaching than in the goodness and justice of God.
Cheryl Benard, Veiled Courage: Inside the Afghan Women's Resistance|I have the impression that our children are much more excited about going to school than children in other countries are. They think of it as a special privilege. Going to school, being with other children, getting books and pencils - all of that is like a dream for them.
Stefan Collini|Good work, like good talk or any other form of worthwhile human relationship, depends upon being able to assume an extended shared world.
Sin Mils|Purple Mike promises to be an intriguing read that will teach anyone who wants to know about the highs and lows of drug addiction. Purple Mike is a legal, natural high. Enjoy reading.
Steven Heighton|Let failure be your workshop. See it for what is is: the world walking you through a tough but necessary semester, free of tuition. (from Workbook)
Inara Scott, The Marked|I don't care what kind of grades they give you at Delcroix. I wanted you to go there so you'd have a chance to learn how to use your gifts, and be confident enough to fight for what you believe in.
Betty Hart, Meaningful Differences in the Everyday Experience of Young American Children|Research highlights a striking link between between encouraging child-raising and class. Half of working-class parents' interactions with their 12-18 month-olds were affirming, versus 80% among the affluent and 20% among those in poverty.
Gunther Kress, Multimodality: A Social Semiotic Approach to Contemporary Communication: Exploring Contemporary Methods of Communication|The (nation) state's concern had been the development of citizens - social subjects whose identity was shaped by the goals of the state - and the preparation of a labour force serving the needs of a national economy and administration. That state was interested in cohesion, integration and homogeneity - however imperfectly realized. The globally framed interests of current versions of the market are neither about citizenship - shared social values, aspirations, dispositions - nor about the preparation of a labour force.....
Gunther Kress, Multimodality: A Social Semiotic Approach to Contemporary Communication: Exploring Contemporary Methods of Communication|Shifting the frame only slightly, the choice of a theory from among the range of always ideologically founded theories is itself necessarily ideologically motivated. Positioning is unavoidable; positioning is the result of choice from among a range of possibilities; that choice is socially meaningful - it is ideological.
Isabel Paterson, God of the Machine|A tax-supported, compulsory educational system is the complete model of the totalitarian state.
Tucker Elliot|In large part, we are teachers precisely because we remember what it was like to be a student. Someone inspired us. Someone influenced us. Or someone hurt us. And we’ve channeled that joy (or pain) into our own unique philosophies on life and learning and we’re always looking for an opportunity to share them—with each other, our students, parents, or in our communities.
Michel Foucault|Education may well be, as of right, the instrument whereby every individual, in a society like our own, can gain access to any kind of discourse. But we well know that in its distribution, in what it permits and in what it prevents, it follows the well-trodden battle-lines of social conflict. Every educational system is a political means of maintaining or of modifying the appropriation of discourse, with the knowledge and the powers it carries with it.
Loris Malaguzzi|Stand aside for a while and leave room for learning, observe carefully what children do, and then, if you have understood well, perhaps teaching will be different from before.
John Henry Newman, The Idea of a University|A university training is the great ordinary means to a great but ordinary end; it aims at raising the intellectual tone of society…It is the education which gives a man a clear conscious view of his own opinions and judgments, a truth in developing them, an eloquence in expressing them and a force in urging them.
Henning Hansmann, Education for Special Needs: Principles and Practice in Camphill Schools|The objective of learning is not necessarily to remember. It may even be salutary to forget. It is only when we forget the early pains and struggles of forming letters that we acquire the capacity for writing. The adult does not remember all the history s/he learned but s/he may hope to have acquired a standard of character and conduct, a sense of affairs and a feeling of change and development in culture. Naturally there is nothing against having a well-stocked mind provided it does not prevent the development of other capacities. But it is still more important to allow knowledge to sink into one in such a way that it becomes fruitful for life; this best done when we feel deeply all we learn. For the life of feeling is less conscious, more dream-like, than intellectual activity and leads to the subconscious life of will where the deep creative capacities of humanity have their being. It is from this sphere that knowledge can emerge again as something deeply significant for life. It is not what we remember exactly, but what we transform which is of real value to our lives. In this transformation the process of forgetting, of allowing subjects to sink into the unconscious before "re-membering" them is an important element.
Tom Stoppard, The Real Thing|When I was twelve I was obsessed. Everything was sex. Latin was sex. The dictionary fell open at 'meretrix', a harlot. You could feel the mystery coming off the word like musk. 'Meretrix'! This was none of your mensa-a-table, this was a flash from a forbidden planet, and it was everywhere. History was sex, French was sex, art was sex, the Bible, poetry, penfriends, games, music, everything was sex except biology which was obviously sex but not really sex, not the one which was secret and ecstatic and wicked and a sacrament and all the things it was supposed to be but couldn't be at one and the same time - I got that in the boiler room and it turned out to be biology after all.
Booker T. Washington, Up from Slavery|I knew that, in a large degree, we were trying an experiment--that of testing whether or not it was possible for Negroes to build up and control the affairs of a large education institution. I knew that if we failed it wold injure the whole race.
Rudyard Kipling|Body and spirit, I surrendered whole, To harsh Instructors- and received a soul.
Shirley Jackson, Life Among the Savages|Now, I have nothing against the public school system as it is presently organized, once you allow the humor of its basic assumption about how it is possible to teach things to children....
Hilary Mantel, An Experiment in Love|When men decided women could be educated - this is what I think - they educated them on the male plan; they put them into schools with mottoes and school songs and muddy team games, they made them were collars and ties. It was a way to concede the right to learning, yet remain safe; the products of the system would always be inferior to the original model. Women were forced to imitate men, and bound not to succeed at it.
Kurt Vonnegut Jr., Hocus Pocus|So what indeed! The lesson I myself learned over and over again when teaching at the college and then the prison was the uselessness of information to most people, except as entertainment. If facts weren't funny or scary, or couldn't make you rich, the heck with them.
