Genereux Philip|GOD IS MY PROVIDER I BRAG DIFFERENT, THROUGH HIM ALL THINGS ARE POSSIBLE.
Ajee Krishnan|Seeds eat no mudStem eats no seed,Leaf eats no stem,Flower consumes no leafNor fruit eats flower,The fruit, quit the tree with happinessWithout harming it.But the intelligent human-being, eats up all; still unhappy , hungry and ...
Amber Jacobs|We have a saying in the desert: It is better to see the truth, than to imagine it.
Hasse Jerner|Happiness is, when it comes to the understanding of its meaning, to sometimes be unhappy.
TemitOpe Ibrahim|To be fearless, you must simply fear less.
Zoltan Andrejkovics, The Invisible Game: The Mindset of a Winning Team|If I stress about a goal, I won't remember to find the way to get there.
Fakeer Ishavardas|You be good. That's your business. The rest, leave to God. That's his business.
Fakeer Ishavardas|My imaginary pal up there, Mr. NOT, tells me it's my dog-damn ism to kick your illusory he-man's ass. Now, what do you say to that?
Lea R. Caguinguin|LIFE LESSONSIf you plant honesty, you will reap trust* If you plant goodness, you will reap friends* If you plant humility, you will reap greatness* If you plant perseverance, you will reap contentment* If you plant consideration, you will reap perspective* If you plant hard work, you will reap success* If you plant forgiveness, you will reap reconciliation* If you plant faith in God, you will reap a harvestSo, be careful what you plant now; it will determine what you will reap later.
Dancolin Flamiano|Focus on living your life, and let the opinions of others be what they are.
Sanjeev Himachali|A LIE is BEAUTIFUL, melodious, STYLISH, and attractive. On the contrary, TRUTH is UGLY, rude, DULL and repulsive. That's why often people get attracted towards LIES. They embrace it and live with. The truth is usually ignored and disowned.
Elizabeth Blade|They say copying is a form of flattery, I say it's lack of originality.
Emma Larkin|We Burmese,' he began, 'are experts at looking for what's not there. It's something you should learn to do too. You must look for what's missing and learn how to find the truth in these absences.
Kamal Khanzada|Time is priceless; you are responsible for your time. Earn it or kill it, your choice
B.A. Paris, Behind Closed Doors|I cry even harder, thinking of how it could have been, of how I thought it would be. For the first time, I want to give up, to die, because suddenly everything is too much and there is no solution in sight.
Itohan Eghide, Master of Maxims|The actuality that the heart does not want to feel, doesn't negate the certitude that it once felt and will still feel.
TemitOpe Ibrahim|Don't worry about not doing "it" perfectly right now. It's ok, just keep at it, you will soon settle in it and then you'll be glad you didn't give up.
Brandon Sanderson, Shadows of Self|If you want to know a man, dig in his firepit...Basically, it meant that you could judge a lot about a man's life by what he thew away - or by what he was willing to burn in order to stay warm.
Mehmet Murat ildan|The best thing about existence is that any moment in time can be a point of beginning to anything! In other words, every moment of our life holds a key for the unknown or the closed doors of new paths!
Joan London, The Golden Age|She limped, unaided around the house, like a bird with its wing broken. Tame, because it couldn’t fly away. All her time was taken up with managing herself, working out new ways to do things. Being a different person in the world.
TemitOpe Ibrahim|Here is your most profound "why": to display and prove GOD
Tehya Sky|Dance bravely into your own heart, and you will find the love of all.
Blythe Danner|My theory in anything you do is to keep exploring, keep digging deeper to find new stuff.
TemitOpe Ibrahim|When facts give way to faith, then and only then do you unlock the possibilities within.
Vaibhav Garg|Life is not a race.....not a struggle,& bla bla ....We make it a race , struggle.It's we to decide how should it be. Actually Life is Present & the choices we choose in past.
TemitOpe Ibrahim|Whatever GOD creates, GOD sustains.
indonesia123|At the time we glorify self instead of glorify God, at that time we are wasting our time as... God is Time.
Rose Fitzgerald Kennedy|It has been said, 'time heals all wounds.' I do not agree. The wounds remain. In time, the mind, protecting its sanity, covers them with scar tissue and the pain lessens. But it is never gone.
Eric Roth, The Curious Case of Benjamin Button Screenplay|For what it’s worth: it’s never too late or, in my case, too early to be whoever you want to be. There’s no time limit, stop whenever you want. You can change or stay the same, there are no rules to this thing. We can make the best or the worst of it. I hope you make the best of it. And I hope you see things that startle you. I hope you feel things you never felt before. I hope you meet people with a different point of view. I hope you live a life you’re proud of. If you find that you’re not, I hope you have the courage to start all over again.
Andy Warhol, The Philosophy of Andy Warhol|They always say time changes things, but you actually have to change them yourself.
Cassandra Clare, Clockwork Prince|They say time heals all wounds, but that presumes the source of the grief is finite
Haruki Murakami, Dance Dance Dance|Unfortunately, the clock is ticking, the hours are going by. The past increases, the future recedes. Possibilities decreasing, regrets mounting.
Kurt Vonnegut Jr.|Here we are, trapped in the amber of the moment. There is no why.
George Harrison|It's being here now that's important. There's no past and there's no future. Time is a very misleading thing. All there is ever, is the now. We can gain experience from the past, but we can't relive it; and we can hope for the future, but we don't know if there is one.
Lao Tzu|Time is a created thing. To say 'I don't have time,' is like saying, 'I don't want to.
Benjamin Franklin|You may delay, but time will not.
Lauren Oliver, Pandemonium|Sometimes I feel like if you just watch things, just sit still and let the world exist in front of you - sometimes I swear that just for a second time freezes and the world pauses in its tilt. Just for a second. And if you somehow found a way to live in that second, then you would live forever.
William Penn|Time is what we want most,but what we use worst.
Jean Genet|A man must dream a long time in order to act with grandeur, and dreaming is nursed in darkness.
Haruki Murakami, South of the Border, West of the Sun|For a while" is a phrase whose length can't be measured.At least by the person who's waiting.
Tennessee Williams, Memoirs|Time doesn't take away from friendship, nor does separation.
Jodi Picoult, My Sister's Keeper|There should be a statute of limitation on grief. A rulebook that says it is all right to wake up crying, but only for a month. That after 42 days you will no longer turn with your heart racing, certain you have heard her call out your name. That there will be no fine imposed if you feel the need to clean out her desk; take down her artwork from the refrigerator; turn over a school portrait as you pass - if only because it cuts you fresh again to see it. That it's okay to measure the time she has been gone, the way we once measured her birthdays.
Susan Sontag|All photographs are memento mori. To take a photograph is to participate in another person’s (or thing’s) mortality, vulnerability, mutability. Precisely by slicing out this moment and freezing it, all photographs testify to time’s relentless melt.
Nicholas Sparks, A Walk to Remember|There are moments when I wish I could roll back the clock and take all the sadness away, but I have the feeling that if I did, the joy would be gone as well.
Markus Zusak, The Book Thief|She wanted none of those days to end, and it was always with disappointment that she watched the darkness stride forward. 
Eckhart Tolle, The Power of Now: A Guide to Spiritual Enlightenment|Time isn’t precious at all, because it is an illusion. What you perceive as precious is not time but the one point that is out of time: the Now. That is precious indeed. The more you are focused on time—past and future—the more you miss the Now, the most precious thing there is.
M. Scott Peck, The Road Less Traveled: A New Psychology of Love, Traditional Values, and Spiritual Growth|Until you value yourself, you won't value your time. Until you value your time, you will not do anything with it.
Norman Maclean, A River Runs Through It and Other Stories|Eventually, all things merge into one, and a river runs through it. The river was cut by the world's great flood and runs over rocks from the basement of time. On some of the rocks are timeless raindrops. Under the rocks are the words, and some of the words are theirs. I am haunted by waters.
Anthony Doerr, All the Light We Cannot See|Time is a slippery thing: lose hold of it once, and its string might sail out of your hands forever.
Jane Austen, Sense and Sensibility|It is not time or opportunity that is to determine intimacy;—it is disposition alone. Seven years would be insufficient to make some people acquainted with each other, and seven days are more than enough for others.
Walt Disney Company|Fantasy, if it's really convincing, can't become dated, for the simple reason that it represents a flight into a dimension that lies beyond the reach of time.
Charles Buxton|You will never find time for anything. If you want time, you must make it.
Mitch Albom, The Time Keeper|With endless time, nothing is special. With no loss or sacrifice, we can’t appreciate what we have
Bill Cosby|The past is a ghost, the future a dream and all we ever have is now.
Alan W. Watts|I have realized that the past and future are real illusions, that they exist in the present, which is what there is and all there is.
Miranda July, No One Belongs Here More Than You|Inelegantly, and without my consent, time passed.
Vladimir Nabokov|I confess I do not believe in time. I like to fold my magic carpet, after use, in such a way as to superimpose one part of the pattern upon another. Let visitors trip. And the highest enjoyment of timelessness―in a landscape selected at random―is when I stand among rare butterflies and their food plants. This is ecstasy, and behind the ecstasy is something else, which is hard to explain. It is like a momentary vacuum into which rushes all that I love. A sense of oneness with sun and stone. A thrill of gratitude to whom it may concern―to the contrapuntal genius of human fate or to tender ghosts humoring a lucky mortal.
Antoine de Saint-Exupéry, The Little Prince|But if you come at just any time, I shall never know at what hour my heart is to be ready to greet you.
Rainbow Rowell, Fangirl|Months are different in college, especially freshman year. Too much happens. Every freshman month equals six regular months—they're like dog months.
John Paul II|The future starts today, not tomorrow.
Martin Luther|This life therefore is not righteousness, but growth in righteousness, not health, but healing, not being but becoming, not rest but exercise. We are not yet what we shall be, but we are growing toward it, the process is not yet finished, but it is going on, this is not the end, but it is the road. All does not yet gleam in glory, but all is being purified.
Alan W. Watts|We are living in a culture entirely hypnotized by the illusion of time, in which the so-called present moment is felt as nothing but an infintesimal hairline between an all-powerfully causative past and an absorbingly important future. We have no present. Our consciousness is almost completely preoccupied with memory and expectation. We do not realize that there never was, is, nor will be any other experience than present experience. We are therefore out of touch with reality. We confuse the world as talked about, described, and measured with the world which actually is. We are sick with a fascination for the useful tools of names and numbers, of symbols, signs, conceptions and ideas.
Criss Jami, Killosophy|The writer's curse is that even in solitude, no matter its duration, he never grows lonely or bored.
William Gibson, Distrust That Particular Flavor|Time moves in one direction, memory another. We are that strange species that constructs artifacts intended to counter the natural flow of forgetting.
Cecelia Ahern, The Gift|Time is more precious than gold, more precious than diamonds, more precious than oil or any valuable treasures. It is time that we do not have enough of; it is time that causes the war within our hearts, and so we must spend it wisely.
Norton Juster, The Phantom Tollbooth|Time is a gift, given to you, given to give you the time you need, the time you need to have the time of your life. 
John Muir, My First Summer in the Sierra|Another glorious Sierra day in which one seems to be dissolved and absorbed and sent pulsing onward we know not where. Life seems neither long nor short, and we take no more heed to save time or make haste than do the trees and stars. This is true freedom, a good practical sort of immortality.
William Shakespeare, Richard II|I wasted time, and now doth time waste me.
Daphne du Maurier, Rebecca|I wanted to go on sitting there, not talking, not listening to the others, keeping the moment precious for all time, because we were peaceful all of us, we were content and drowsy even as the bee who droned above our heads. In a little while it would be different, there would come tomorrow, and the next day and another year. And we would be changed perhaps, never sitting quite like this again. Some of us would go away, or suffer, or die, the future stretched away in front of us, unknown, unseen, not perhaps what we wanted, not what we planned. This moment was safe though, this could not be touched. Here we sat together, Maxim and I, hand-in-hand, and the past and the future mattered not at all. This was secure, this funny little fragment of time he would never remember, never think about again…For them it was just after lunch, quarter-past-three on a haphazard afternoon, like any hour, like any day. They did not want to hold it close, imprisoned and secure, as I did. They were not afraid.
Hermann Hesse, Siddhartha|Have you also learned that secret from the river; that there is no such thing as time?" That the river is everywhere at the same time, at the source and at the mouth, at the waterfall, at the ferry, at the current, in the ocean and in the mountains, everywhere and that the present only exists for it, not the shadow of the past nor the shadow of the future.
Geoffrey Chaucer, The Parliament of Birds|The lyf so short, the craft so long to lerne.
R.A. Salvatore, Streams of Silver|Nostalgia is a necessary thing, I believe, and a way for all of us to find peace in that which we have accomplished, or even failed to accomplish. At the same time, if nostalgia precipitates actions to return to that fabled, rosy-painted time, particularly in one who believes his life to be a failure, then it is an empty thing, doomed to produce nothing but frustration and an even greater sense of failure.
Jennifer Egan, A Visit from the Goon Squad|Time’s a goon, right? You gonna let that goon push you around?” Scotty shook his head. “The goon won.
J.K. Rowling, Harry Potter and the Order of the Phoenix|Time is Galleons, little brother.
Jacqueline Carey, Kushiel's Dart|It's funny, how one can look back on a sorrow one thought one might well die of at the time, and know that one had not yet reckoned the tenth part of true grief.
Christopher Isherwood, A Single Man|But now isn’t simply now. Now is also a cold reminder: one whole day later than yesterday, one year later than last year. Every now is labeled with its date, rendering all past nows obsolete, until — later of sooner — perhaps — no, not perhaps — quite certainly: it will come.
Anna Quindlen, Loud and Clear|The biggest mistake I made is the one that most of us make while doing this. I did not live in the moment enough. This is particularly clear now that the moment is gone, captured only in photographs. There is one picture of the three on them sitting in the grass on a quilt in the shadow of the swing set on a summer day, ages 6, 4, and 1. And I wish I could remember what we ate, and what we talked about, and how they sounded, and how they looked when they slept that night. I wish I had not been in a hurry to get on to the next things: dinner, bath, book, bed. I wish I had treasured the doing a little more and the getting it done a little less.
Johnny Depp|I always felt like I was meant to have been born in another era, another time.
Carlos Ruiz Zafón, The Shadow of the Wind|Time goes faster the more hollow it is. Lives with no meaning go straight past you, like trains that don’t stop at your station.
Susanna Clarke, Jonathan Strange & Mr Norrell|Time and I have quarrelled. All hours are midnight now. I had a clock and a watch, but I destroyed them both. I could not bear the way they mocked me.
Gayle Forman, Just One Day|You forget, time doesn't exist anymore. You gave it to me.
Helen Humphreys, Coventry|Maybe reading was just a way to make her feel less alone, to keep her company. When you read something you are stopped, the moment is stayed, you can sometimes be there more fully than you can in your real life.
Graham Greene|Eternity is said not to be an extension of time but an absence of time, and sometimes it seemed to me that her abandonment touched that strange mathematical point of endlessness, a point with no width, occupying no space.
John Milton|How soon hath Time, the subtle thief of youth,Stol'n on his wing my three-and-twentieth year!
Daphne du Maurier|We know one another. This is the present. There is no past and no future. Here I am washing my hands, and the cracked mirror shows me to myself, suspended as it were, in time; this is me, this moment will not pass. And then I open the door and go to the dining-room, where he is sitting waiting for me at a table, and I think how in that moment I have aged, and passed on, how I have advanced one step towards an unknown destiny.We smile, we choose our lunch, we speak of this and that, but - I say to myself-I am not she who left him five minutes ago. She has stayed behind. I am another woman, older, more mature…
Brandon Sanderson, Firefight|As she’d left, I’d glanced at her gun.This time, when she’d pointed it at me, she’d flicked the safety on. If that wasn’t true love, I don’t know what was.
Haruki Murakami, 1Q84|Time flows in strange ways on Sundays, and sights become mysteriously distorted.
George R.R. Martin, A Dance with Dragons|Men live their lives trapped in an eternal present, between the mists of memory and the sea of shadow that is all we know of the days to come.
James     Baldwin, Giovanni's Room|Tell me, he said, "What is this thing about time? Why is it better to be late than early? People are always saying, we must wait, we must wait. what are they waiting for?""Well […] I guess people wait in order to make sure of what they feel.""And when you have waited—-has it made you sure?
Madeline Miller, The Song of Achilles|Odysseus inclines his head. "True. But fame is a strange thing. Some men gain glory after they die, while others fade. What is admired in one generation is abhorred in another." He spread his broad hands. "We cannot say who will survive the holocaust of memory. Who knows?" He smiles. "Perhaps one day even I will be famous. Perhaps more famous than you.
Bill Bryson, A Short History of Nearly Everything|If you imagine the 4,500-bilion-odd years of Earth's history compressed into a normal earthly day, then life begins very early, about 4 A.M., with the rise of the first simple, single-celled organisms, but then advances no further for the next sixteen hours. Not until almost 8:30 in the evening, with the day five-sixths over, has Earth anything to show the universe but a restless skin of microbes. Then, finally, the first sea plants appear, followed twenty minutes later by the first jellyfish and the enigmatic Ediacaran fauna first seen by Reginald Sprigg in Australia. At 9:04 P.M. trilobites swim onto the scene, followed more or less immediately by the shapely creatures of the Burgess Shale. Just before 10 P.M. plants begin to pop up on the land. Soon after, with less than two hours left in the day, the first land creatures follow. Thanks to ten minutes or so of balmy weather, by 10:24 the Earth is covered in the great carboniferous forests whose residues give us all our coal, and the first winged insects are evident. Dinosaurs plod onto the scene just before 11 P.M. and hold sway for about three-quarters of an hour. At twenty-one minutes to midnight they vanish and the age of mammals begins. Humans emerge one minute and seventeen seconds before midnight. The whole of our recorded history, on this scale, would be no more than a few seconds, a single human lifetime barely an instant. Throughout this greatly speeded-up day continents slide about and bang together at a clip that seems positively reckless. Mountains rise and melt away, ocean basins come and go, ice sheets advance and withdraw. And throughout the whole, about three times every minute, somewhere on the planet there is a flash-bulb pop of light marking the impact of a Manson-sized meteor or one even larger. It's a wonder that anything at all can survive in such a pummeled and unsettled environment. In fact, not many things do for long.
Alice Walker, The Color Purple|Time moves slowly, but passes quickly.
Michael Ende, Momo|People never seemed to notice that, by saving time, they were losing something else. No one cared to admit that life was becoming ever poorer, bleaker and more monotonous. The ones who felt this most keenly were the children, because no one had time for them any more. But time is life itself, and life resides in the human heart. And the more people saved, the less they had.
Joyce Carol Oates, Foxfire: Confessions of a Girl Gang|The strangeness of Time. Not in its passing, which can seem infinite, like a tunnel whose end you can't see, whose beginning you've forgotten, but in the sudden realization that something finite, has passed, and is irretrievable.
Diamanda Galás, The Shit of God|I wake up and I see the face of the devil and I ask him, "What time is it?"And he says, How much time do you want?
Carl Sandburg|Time is the coin of your life. It is the only coin you have, and only you can determine how it will be spent. Be careful lest you let other people spend it for you.
Antoine de Saint-Exupéry, The Little Prince|Men have no more time to understand anything. They buy ready-made things in the shops. But since there are no shops where you can buy friends, men no longer have any friends.
W.G. Sebald, Austerlitz|It seems to me then as if all the moments of our life occupy the same space, as if future events already existed and were only waiting for us to find our way to them at last, just as when we have accepted an invitation we duly arrive in a certain house at a given time.
Lang Leav, Lullabies|TimeYou were the oneI wanted mostto stay.But time could notbe kept at bay.The more it goes,the more it's gone—the more it takes away.
Banana Yoshimoto, Goodbye Tsugumi|We ran into lots of old friends. Friends from elementary school, junior high school, high school. Everyone had matured in their own way, and even as we stood face to face with them they seemed like people from dreams, sudden glimpses through the fences of our tangled memories. We smiled and waved, exchanged a few words, and then walked on in our separate directions.
Patricia Briggs, Raven's Strike|Time was such an odd thing. One moment you could talk to someone, then suddenly, they were gone.
John Steinbeck, Tortilla Flat|Time is more complex near the sea than in any other place, for in addition to the circling of the sun and the turning of the seasons, the waves beat out the passage of time on the rocks and the tides rise and fall as a great clepsydra.
Kasie West, Pivot Point|He shrugs. "Doesn't help to waste my time thinking about would've-beens."Laila whispers, "He says to the girl with a mind full of them.
P.G. Wodehouse|-'What do ties matter, Jeeves, at a time like this?'There is no time, sir, at which ties do not matter
George Head, A Home Tour Through the Manufacturing Districts of England in the Summer of 1835|If time be judiciously employed, there is time for everything.
John Green, Paper Towns|I'd had nearly four years of experience looking at these clocks, but their sluggishness never ceased to surprise. If I am ever told that I have one day to live, I will head straight to the hallowed halls of Winter Park High School, where a day has been known to last a thousand years.
Chuck Palahniuk, Choke|By the time you're thirty, your worst enemy is yourself.
Horace Mann|Lost, yesterday, somewhere between sunrise and sunset, two golden hours, each set with sixty diamond minutes. No reward is offered for they are gone forever.
Masanobu Fukuoka, The One-Straw Revolution|I do not particularly like the word 'work.' Human beings are the only animals who have to work, and I think that is the most ridiculous thing in the world. Other animals make their livings by living, but people work like crazy, thinking that they have to in order to stay alive. The bigger the job, the greater the challenge, the more wonderful they think it is. It would be good to give up that way of thinking and live an easy, comfortable life with plenty of free time. I think that the way animals live in the tropics, stepping outside in the morning and evening to see if there is something to eat, and taking a long nap in the afternoon, must be a wonderful life. For human beings, a life of such simplicity would be possible if one worked to produce directly his daily necessities. In such a life, work is not work as people generally think of it, but simply doing what needs to be done.
Eugene O'Neill, A Moon for the Misbegotten|There is no present or future-only the past, happening over and over again-now.
Eoin Colfer, The Time Paradox|how does she know it's the right room?' wondered Descant.Oh, I don't know; mabye it's the magical red glow coming from the doorway, or perhaps it's the deafening howl of the temporal winds.' said Mervall. Descant nodded.'You could be right, brother. And don't think I don't know sarcasm when I hear it.
Erich Fromm, The Art of Loving|Modern man thinks he loses something - time - when he does not do things quickly. Yet he does not know what to do with the time he gains, except kill it.
Madeleine L'Engle|But there is something about Time. The sun rises and sets. The stars swing slowly across the sky and fade. Clouds fill with rain and snow, empty themselves, and fill again. The moon is born, and dies, and is reborn. Around millions of clocks swing hour hands, and minute hands, and second hands. Around goes the continual circle of the notes of the scale. Around goes the circle of night and day, the circle of weeks forever revolving, and of months, and of years.
Carl Sagan, Cosmos|In the vastness of space and the immensity of time, it is my joy to share a planet and an epoch with Annie.[Dedication to Sagan's wife, Ann Druyan, in Cosmos]
Roman Payne|From all that I saw, and everywhere I wandered, I learned that time cannot be spent. It can only be squandered.
J.G. Ballard, The Atrocity Exhibition|Deserts possess a particular magic, since they have exhausted their own futures, and are thus free of time. Anything erected there, a city, a pyramid, a motel, stands outside time. It's no coincidence that religious leaders emerge from the desert. Modern shopping malls have much the same function. A future Rimbaud, Van Gogh or Adolf Hitler will emerge from their timeless wastes.
Monty Roberts|If you act like you've only got fifteen minutes, it will take all day. Act like you've got all day, it will take fifteen minutes.
Jonathan Safran Foer, Everything Is Illuminated|From space, astronauts can see people making love as a tiny speck of light. Not light, exactly, but a glow that could be confused for light - a coital radiance that takes generations to pour like honey through the darkness to the astronaut's eyes.In about one and a half centuries - after the lovers who made the glow will have long since been laid permanently on their backs - the metropolitan cities will be seen from space. They will glow all year. Smaller cities will also be seen, but with great difficulty. Towns will be virtually impossible to spot. Individual couples invisible.
Elizabeth Goudge, Green Dolphin Street|Nothing living should ever be treated with contempt. Whatever it is that lives, a man, a tree, or a bird, should be touched gently, because the time is short. Civilization is another word for respect for life...
Hayao Miyazaki|If [hand-drawn animation] is a dying craft, we can't do anything about it. Civilization moves on. Where are all the fresco painters now? Where are the landscape artists? What are they doing now? The world is changing. I have been very fortunate to be able to do the same job for 40 years. That's rare in any era.
J.R.R. Tolkien, The Hobbit|This thing all things devours:Birds, beasts, trees, flowers;Gnaws iron, bites steel;Grinds hard stones to meal;Slays king, ruins town,And beats high mountain down.
Gustave Flaubert, Madame Bovary|An infinity of passion can be contained in one minute, like a crowd in a small space.
Randy Pausch, The Last Lecture|Want to have a short phone call with someone? Call them at 11:55 a.m., right before lunch. They'll talk fast. You may think you are interesting, but you are not more interesting than lunch.
Tim Winton, Breath|It’s how I fill the time when nothing’s happening. Thinking too much, flirting with melancholy.
Gabriel García Márquez, One Hundred Years of Solitude|Both described at the same time how it was always March there and always Monday, and then they understood that José Arcadio Buendía was not as crazy as the family said, but that he was the only one who had enough lucidity to sense the truth of the fact that time also stumbled and had accidents and could therefore splinter and leave an eternalized fragment in a room.
Isabel Allende, The House of the Spirits|At times I feel as if I had lived all this before and that I have already written these very words, but I know it was not I: it was another woman, who kept her notebooks so that one day I could use them. I write, she wrote, that memory is fragile and the space of a single life is brief, passing so quickly that we never get a chance to see the relationship between events; we cannot gauge the consequences of our acts, and we believe in the fiction of past, present, and future, but it may also be true that everything happens simultaneously. ... That's why my Grandmother Clara wrote in her notebooks, in order to see things in their true dimension and to defy her own poor memory.
Erlend Loe, Naïve. Super|We shall never meet, but there is something I want you to know. My time is not the same as your time. Our times are not the same. And do you know what that means? That means that time does not exist. Do you want me to repeat that? There is no time. There is a life and a death. There are people and animals. Our thoughts exist. And the world. The universe, too. But there is no time. You might as well take it easy. Do you feel better now? I feel better. This is going to work out. Have a nice day.
Brandon Sanderson, Firefight|I hadn’t been a nerd, mind you. I’d just been the type of guy who spent a lot of time by himself, focused entirely on a single consuming interest.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|I don't have time, energy, or interest in hating the haters; I'm too busy loving the lovers.
Isaac Asimov, I, Robot|Fifty years," I hackneyed, "is a long time.""Not when you're looking back at them," she said. "You wonder how they vanished so quickly.
Samantha Sotto, Before Ever After|If we accept time for what it is, how it flows and how we flow with it, I doubt very much that would continue wasting loads of it by constantly checking our watches.
Rohinton Mistry, A Fine Balance|What an unreliable thing is time--when I want it to fly, the hours stick to me like glue. And what a changeable thing, too. Time is the twine to tie our lives into parcels of years and months. Or a rubber band stretched to suit our fancy. Time can be the pretty ribbon in a little girl's hair. Or the lines in your face, stealing your youthful colour and your hair. .... But in the end, time is a noose around the neck, strangling slowly.
Priya Ardis, Ever My Merlin|If you keep waiting for the right time, it may never happen. Sometimes you have to make the most of the time you have.
Markus Zusak, Fighting Ruben Wolfe|It's funny, don't you think, how time seems to do a lot of things? It flies, it tells, and worst of all, it runs out.
Alan Moore, Watchmen|It's funny, but certain faces seem to go in and out of style. You look at old photographs and everybody has a certain look to them, almost as if they're related. Look at pictures from ten years later and you can see that there's a new kind of face starting to predominate, and that the old faces are fading away and vanishing, never to be seen again.
Terry Pratchett, The Last Continent|I'm trying to remember how you tell the time by looking at the sun." -"I should leave it for a while, it's too bright to see the numbers at the moment.
Lemony Snicket, The Latke Who Couldn't Stop Screaming: A Christmas Story|Santa Claus has nothing to do with it," the latke said. "Christmas and Hanukah are completely different things.""But different things can often blend together," said the pine tree. "Let me tell you a funny story about pagan rituals.
Laini Taylor, Dreams of Gods & Monsters|There was only present, and it was infinite. The past and the future were just blinders we wore so that infinity wouldn't drive us mad.
Paulo Coelho, The Pilgrimage|The busiest people I have known in my life always have time enough to do everything. Those who do nothing are always tired and pay no attention to the little amount of work they are required to do. They complain constantly that the day is too short. The truth is, they are afraid to fight the good fight.
Cassandra Clare, The Bane Chronicles|To them, as to Magnus, time was like rain, glittering as it fell, changing the world, but something that could also be taken for granted.Until you loved a mortal. Then time became gold in a miser's hands, every bright year counted out carefully, infinitely precious, and each one slipping through your fingers.
Eoin Colfer, The Time Paradox|They have gone. And the tunnel is about to close. So, boys, I am looking for someone to blame.
Jack London, The Call of the Wild|He was sounding the deeps of his nature, and of the parts of his nature that were deeper than he, going back into the womb of Time.
Meg Rosoff, What I Was|And still the brain continues to yearn, continues to burn, foolishly, with desire. My old man's brain is mocked by a body that still longs to stretch in the sun and form a beautiful shape in someone else's gaze, to lie under a blue sky and dream of helpless, selfless love, to behold itself, illuminated, in the golden light of another's eyes.
Jennifer L. Armentrout, Obsession|Oh, shimmer down, Hunter. You're too testy. How many times have I've told you that you need to chill out, take a vacay. Disney World is really fun this time of the year. you should check it out.
Jeanette Winterson, The Passion|The future is foretold from the past and the future is only possible because of the past. Without past and future, the present is partial. All time is eternally present and so all time is ours. There is no sense in forgetting and every sense in dreaming. Thus the present is made rich.
Alexander Graham Bell|Man is the result of slow growth; that is why he occupies the position he does in animal life. What does a pup amount to that has gained its growth in a few days or weeks, beside a man who only attains it in as many years.
Nicholas Sparks, The Last Song|It hadn't been so long ago, yet sometimes she felt that she'd been an altogether different person back then.
William Shakespeare, Richard II|I wasted time, and now doth time waste me; For now hath time made me his numbering clock: My thoughts are minutes; and with sighs they jar Their watches on unto mine eyes, the outward watch, Whereto my finger, like a dial's point, Is pointing still, in cleansing them from tears. Now sir, the sound that tells what hour it is Are clamorous groans, which strike upon my heart, Which is the bell: so sighs and tears and groans Show minutes, times, and hours.
Hector Berlioz|Time is a great teacher, but unfortunately it kills all its stud
Jessica Maria Tuccelli, Glow|I wish I’d paid better attention. I didn’t yet think of time as finite. I didn’t fully appreciate the stories she told me until I became adult, and by then I had to make do with snippets pasted together, a film projected on the back of my mind.
Khaled Hosseini, A Thousand Splendid Suns|In the coming days and weeks, Laila would scramble frantically to commit it all to memory, what happened next. Like an art lover running out of a burning museum, she would grab whatever she could--a look, a whisper, a moan--to salvage from perishing to preserve. But time is the most unforgiving of fires, and she couldn't, in the end, save it all.
Tommy Wallach, We All Looked Up|Why had he assumed time was some sort of infinite resource? Now the hourglass had busted open, and what he’d always assumed was just a bunch of sand turned out to be a million tiny diamonds.
Seneca|The part of life we really live is small.' For all the rest of existence is not life, but merely time.
Thornton Wilder, Our Town|Yes, now you know. Now you know! That's what it was to be alive. To move about in a cloud of ignorance; to go up and down trampling on the feelings of those...of those about you. To spend and waste time as though you had a million years. To be always at the mercy of one self-centered passion, or another. Now you know — that's the happy existence you wanted to go back to. Ignorance and blindness.
Lauren Oliver, Before I Fall|The secret is,” I say, whispering right into his ear, “that yours was the best kiss I’ve ever had in my life.”“But I’ve never kissed you,” he whispers back. Around us the rain sounds like falling glass. “Not since third grade, anyway.” I smile, but I’m not sure if he can see it.“Better get started, then,” I say, “because I don’t have much time.
Gordon Livingston|Only bad things happen quickly, . . . Virtually all the happiness-producing processes in our lives take time, usually a long time: learning new things, changing old behaviors, building satisfying relationships, raising children. This is why patience and determination are among life’s primary virtues. 
Raymond Carver, Where I'm Calling From: New and Selected Stories|You see, this happened a few months ago, but it's still going on right now, and it ought to make us feel ashamed when we talk like we know what we're talking about when we talk about love.
David Wroblewski, The Story of Edgar Sawtelle|She had learned, in her life, that time lived inside you. You are time, you breathe time. When she'd been young, she'd had an insatiable hunger for more of it, though she hadn't understood why. Now she held inside her a cacophony of times and lately it drowned out the world. The apple tree was still nice to lie near. They peony, for its scent, also fine. When she walked through the woods (infrequently now) she picked her way along the path, making way for the boy inside to run along before her. It could be hard to choose the time outside over the time within.
