|When there is no presence of self-love, the hunger for attention tends to take over one's mind
Gift Gugu Mona|Prayer is a phenomenal tool for power, prudence and prosperity.
Akiroq Brost|I encourage you, to take control to take back your power. Make the time and effort to invest in yourself. Self-care and healing. Taking time for stillness and contemplation. Reflect on your own behaviour. Decide what kind of person you want to be and then take the steps to be that person.
Marie Lu, The Midnight Star|No. I cannot let him control me.You are mine, Adelina, Enzo growls. Turn your powers against your own fleet.
Craig D. Lounsbrough|Have we ever thought to consider that the need to be loved grows because of its absence, but that love also grows because of its presence? And does this not speak to the power of love?
Ryszard Legutko, Triumf człowieka pospolitego|…egalitarianism and despotism do not exclude each other, but usually go hand in hand. To a certain degree, equality invites despotism, because in order to make all members of a society equal, and then to maintain this equality for a long period of time, it is necessary to equip the controlling institutions with exceptional power so they can stamp out any potential threat to equality in every sector of the society and any aspect of human life: to paraphrase a well-known sentence by one of Dostoyevsky’s characters, ‘We start with absolute equality and we end up with absolute despotism.’ Some call it a paradox of equality: the more equality one wants to introduce, the more power one must have; the more power one has, the more one violates the principle of equality; the more one violates the principle of equality, the more one is in a position to make the world egalitarian.
Gugu Mona|Never mistaken humility for foolishness, nor pride for power.
Lisa Renee Jones, Behind Closed Doors|I just gave you permission to fuck me, but be clear: I'm not another notch on your belt. You're a notch on mine.
Aditya Ajmera|You may be anybody now. One day, you will be just a faded memory.
Bobby F. Kimbrough Jr.|The power of positive thinking begins when you refuse to accept defeat, and start preparing yourself for future possibilities. The only thing standing in the way of your breakthrough, is you!
Akshay Vasu|Have you ever sat on a window seat in the train of your memories while it's raining heavily? Rain has this ridiculous power of waking up all the angels and demons inside us at once doesn't it?. All of a sudden there is a war inside us between both the sides. We can do nothing but clench our fists and watch our train derail and take a path we have never come across before. All we know at that point of time is that we are going to crash somewhere. Either our demons win or the angels, we are going to get wounded somewhere.
Michael Grant, Gone|Caine’s a guy who needs to win. He needs to win before he poofs. Or he needs to win before I poof. The point is, he’s not going to just accept us freeing all these kids from Coates and taking over Perdido Beach,” Sam said. “So we need to be ready. And we need to be ready for something else, too: tomorrow is my birthday.” He made a wry face. “Not a birthday I’m exactly looking forward to. But, anyway, we need to decide who takes over for me if…when…I step outside.”Several of the kids made sympathetic or encouraging noises about how Sam maybe wasn’t going to blink out, or maybe it would be a good thing, an escape from the FAYZ. But Sam hushed them all.“Look, the good thing is, when I go, so does Caine. The bad thing is, that still leaves Drake and Diana and other bullies. Orc…well, we don’t exactly know what’s going on with him, but Howard’s not with him. And Lana…we don’t know what happened to her, whether she left or what.”The loss of Lana was a serious blow. Every one of the Coates refugees adored her for the way she had healed their hands. And it was reassuring to think that she could heal anyone who was injured.Astrid said, “I nominate Edilio to take over if…you know. Anyway, we need a number two, a vice president or vice mayor or whatever.”Edilio did a double take, like Astrid must be talking about some other Edilio. Then he said, “No way. Astrid’s the smartest person here.”“I have Little Pete to look after. Mary has to care for the prees and keep them out of harm’s way. Dahra has responsibility for treating anyone who gets hurt. Elwood has been so busy in the hospital with Dahra, he hasn’t dealt with Caine or Drake or any of the Coates faction. Edilio’s been up against Orc and Drake. And he’s always been brave and smart and able.” She winked at Edilio, acknowledging his discomfort.“Right,” Sam said. “So unless someone has an objection, that’s the way it is. If I get hurt or I ditch, Edilio’s in charge.”“Respect to Edilio,” Dekka said, “but he doesn’t even have powers.”“He has the power to earn trust and to come through when he has to,
Michael Grant, Gone|Caine has Drake and Orc, Panda and Chaz, and I hear Mallet has made peace with him. And maybe a half dozen other guys.”“Are you afraid of them?” Astrid asked him.“Yeah, Astrid, I am.”“Okay,” she said. “But you were scared of going into a burning building, too.”“You don’t get this, do you?” Sam demanded with enough heat that Astrid took a step back. “I know what you want, okay? I know what you and a bunch of other people want. You want me to be the anti-Caine. You don’t like the way he’s doing things and you want me to go kick him out. Well, here’s what you don’t know: even if I could do all that, I wouldn’t be any better than him.”“You’re wrong about that, Sam. You’re—”“That night when I first used the power? When I hurt my stepfather? How do you think I felt?”“Sad. Regretful.” Astrid looked at his face like the answer would be written there. “Scared, probably.”“Yeah. All that. And one more thing.” He held up his hand and inches from her nose squeezed his fingers into a tight fist. “I also felt a rush, Astrid. A rush. I thought, oh my God, look at the power I have. Look what I can do. A huge, crazy rush.”“Power corrupts,” Astrid said softly.“Yeah,” Sam said sarcastically. “I’ve heard that.”“Power corrupts, absolute power corrupts absolutely. I forget who said it.”“I make a lot of mistakes, Astrid. I don’t want to make that mistake. I don’t want to be that guy. I don’t want to be Caine. I want to…” He spread his arms wide, a gesture of helplessness. “I just want to go surfing.”“You won’t be corrupted, Sam. You wouldn’t do those things.” He had moved back. She moved to close the distance.“How can you be so sure?”“Well, two reasons. First, it’s not your character. Of course you felt a rush from the power. Then, you pushed it away. You didn’t grab at it, you pushed it away. That’s reason number one. You’re you, you’re not Caine or Drake or Orc.”Sam wanted to agree, wanted to accept that, but he felt he knew better. “Don’t be so sure.”“And reason number two: you have me,
Akiroq Brost|A situation only has the power over us that we give it. We own the power over ourselves! We own that! No one else! When we realize that: we now have a CHOICE we can make, we can STOP giving that power away! Own yourself. Own YOUR power!
Tony Curl, Seriously Simple Stuff to Get You Unstuck|Toxic people sell you short. When you listen to them, you give them power, that’s when you sell yourself short.
Christina Engela, Space Sucks!|What the hell was that?” he asked no-one in particular. “Did they ram us?”“Uh – negative, sir.” Marnetti offered, reading an instrumental assessment from his display, “It seems we were hit by some kind of pulse wave generated by their jump.”“Their jump? – You mean by arriving they nearly killed us?”Marnetti nodded, continuing, “Range 0.5 kilometers, Captain. Holding steady. No recognized weapons activity.”“Damage report.” He ordered, feeling his way back into his seat, eyes glued to the viewscreen.“Shield 2 down, 1 is buckling.” Pluddeman choked.“Power stable, all systems holding steady,” Marnetti added, now rubbing some bruises.“Any communications?”“Nothing, sir. Static on all frequencies.”“What are they doing?”“Nothing, sir. Waiting maybe.”“Waiting, my ass!” Dayne barked. “They must be sizing us up!
Ninotchka Rosca, State of War|He saw clearly, immediately, that the man didn't care about the gift's value, didn't care about the gift even, but cared profoundly for the act of receiving as though the gift were a tribute, a confirmation of his self, his being, his reality. He found no pleasure in what he was taking but in the act of taking itself.
Craig D. Lounsbrough|We’re making our decisions … or so we think. Yet in truth, ignorance, greed, and the scourge of immediate gratification are often the things that are making them. So if we’re going to truly live well, maybe the first thing we need to decide is who’s deciding.
Margaret Atwood, The Handmaid's Tale|Moira had power now, she’d been set loose, she’d set herself loose. She was now a loose woman.I think we found this frightening.
Jonathan  Dunne, Hearts Anonymous|Seeing his daughter slowly die, coupled with his infinite sadness and misery, the clockmaker becomes a recluse to the tower of the castle and begins to build something behind closed doors, not even his daughter knows what he’s up to. For five years, she only sees him briefly at meal-times before locking himself up in the tower once again...""...Did he have a bathroom in the tower?""Yes, Jack. A big one! En-suite! Power-shower and spa! Where was I!?
J.K. Rowling, Short Stories from Hogwarts of Power, Politics and Pesky Poltergeists|Every witch or wizard with a wand has held in his or her hands more power than we will ever know. With the right spell or potion, they can fabricate love, travel through time, change physical form and even extinguish life.
Daniel Polansky, A City Dreaming|There is no position so critical, no office so important, that the occasional, and even the more than occasional, utter incompetent will not wind up filling it. Heart surgeons, popes, presidents, it makes no difference. Look around and you will see an existence replete with people who are betraying, in a most egregious manner, the powers and responsibilities that have been entrusted to them.
David Mitchell, Cloud Atlas|Rights are susceptible to subversion, as even granite is susceptible to erosion. My fifth Declaration posits how, in a cycle as old as tribalism, ignorance of the Other engenders fear; fear engenders hatred; hatred engenders violence; violence engenders further violence until the only “rights,” the only law, are whatever is willed by the most powerful
Dacher Keltner, The Power Paradox: How We Gain and Lose Influence|The power paradox is this: we rise in power and make a difference in the world due to what is best about human nature, but we fall from power due to what is worst. We gain a capacity to make a difference in the world by enhancing the lives of others, but the very experience of having power and privilege leads us to behave, in our worst moments, like impulsive, out-of-control sociopaths. How we handle the power paradox guides our personal and work lives and determines, ultimately, how happy we and the people we care about will be. It determines our empathy, generosity, civility, innovation, intellectual rigor, and the collaborative strength of our communities and social networks. Its ripple effects shape the patterns that make up our families, neighborhoods, and workplaces, as well as the broader patterns of social organization that define societies and our current political struggles.
James     Baldwin, The Fire Next Time|The only thing white people have that black people need, or should want, is power--and no one holds power forever. White people cannot, in the generality, be taken as models of how to live. Rather, the white man is himself in sore need of new standards, which will release him from his confusion and place him once again in fruitful communion with the depths of his own being.
2 Corinthians 12:9|My grace is sufficient for you, for my power is made perfect in weakness.
Kiersten White, And I Darken|Religion was a means to an end. She had seen it wielded as a weapon. If she needed to use it, she would, but she would never allow herself to be used by it.
Frank Herbert, The Dosadi Experiment|We are plagued by a corrupt polity which promotes unlawful and/or immoral behaviour. Public interest has no practical significance in everyday behaviour among the ruling factions. The real problems of our world are not being confronted by those in power. In the guise of public service, they use whatever comes to hand for personal gain. They are insane with and for power.
Angelica Hopes|The unparalleled truth shall always outlive the lies. Goodness can prevail depending on the unwavering courage of those who hold the unparalleled truth.In a very corrupt culture, I am not so sure that justice can always prevail because the power lies on who is manipulating and who are being manipulated by the most powerful hand that can destroy you, kill you or spare your life.~ Angelica Hopes, an excerpt from my K.H. Trilogy
Christina Engela, Inanna Rising: Women Forged in Fire|The religious right sees every group trying to achieve equality with them as a threat, because if they become equal to them, THEY won't be able to abuse their human rights anymore. Giving other people equality WITH THEM, in their minds takes something away from THEM - POWER - and that TERRIFIES them. It scares them shitless.
Francine Rivers, A Voice in the Wind|If God wills that I die, then I die. No power on earth can change that.
Fiston Mwanza Mujila, Tram 83|Poverty is hereditary just like power, stupidity, and haemorrhoids.
Algis Valiunas|A millenarian fire burned in Oppenheimer’s spirit, fueled by his pride as a world-historical individual, by his fear that the natural force he loosed upon the world would escape all human control, and by a pure-hearted longing to ensure that his discovery of the devastation latent in the elemental substance of the world would serve concord rather than the ultimate discord, perpetual peace rather than permanent self-destruction.
Algis Valiunas|Oppenheimer, haunted by his leading role in the first use of atomic weapons, understood only one aspect of prudence. His longing not to do evil himself blinded him to the need to ward off the evil of others. This painfully knotted man hoped with one swipe of his moral sword to rid himself of the impossible tangle and to be clear and simple for once in his life. But being Oppenheimer could never be as easy as that.For Oppenheimer embodied two of the highest human types, the theoretical man described by Aristotle as god-like for living in the mind, among changeless truths, and the paragon of Machiavellian virtue, god-like in commanding the power of life and death over other men. No theoretical man before Oppenheimer had known such lordly power. In certain high moments he approached that Aristotelian theoretical purity which lives for the joys of knowing the world, whatever it might prove to be; in another light he thrilled at that Machiavellian power and its attendant renown; in contrary moods he reviled himself for the suffering he brought into the world, and ached to renounce his distinction and to be merely another man among men. Perhaps no theoretical man can be equal to such a burden: to feel knowledge as power when one’s mind reshapes the world irrevocably, to see the light of truth as the agent of some dark majesty, is not grace but ordeal. Oppenheimer’s agony tore him open from top to bottom.
Danny Wallace, Yes Man|I mean No is power. No says, "I'm in charge." Think about how many times you've said yes in the past year, and how many times you would've liked to have said no instead. Maybe being able to say no is the one thing that keeps us sane. Some people go through their whole lives saying yes over and over again--yes to things they don't want to do but feel obliged to; yes to things that allow other people to take advantage of them, just because that's the way things are, the way things have always been. Some people need to learn how to say no. Because every time they say yes, they say no to themselves.
Rokheya Shekhawat Hossein|A lion is stronger than a man, but it does not enable him to dominate the human race. You have neglected the duty you owe to yourselves and you have lost your natural rights by shutting your eyes to your own interests.
Robert Greene|Half of your mastery of power comes from what you do NOT do, what you do not ALLOW yourself to get dragged into.
Christina Engela|Religious extremism is fatal to those who don't conform to its values, or remold or submit themselves to its 'principles'. It craves control and power - and power is the one tool that enables it to wreak its characteristic havoc, destruction and cruelty upon those it chooses to label as scapegoats. Giving in to extremists enables them and empowers them - and worse, it encourages them.
Angelica Hopes|From my keen observation, it is a very sad fact that the Philippines’ current administration's drug war crisis has fully pressed the pedal of acceleration to more division, hatred, cycles of violence (copycat killings, summary killings, extra judicial killings, collateral victims of drug war), toxic revenge, and perpetual impunity. ~ Angelica Hopes, reflections on Drug War in the Philippines
Israelmore Ayivor, Become a Better You|Break out to go out___________________The birds dare to break the egg shellIt does so in order to get out of that HellWhen it finally succeeds, it’ll then flyTo its comfort zone it’ll say byeAre you being confined in a small spaceHow long will you remain at that place?Before you can explore more territories,Break away from the former glories.Yesterday’s excellence is today’s averageYou must strive to be better age after ageNever accept the available mediocrityAs the only preferable opportunityDecide to grow from below to heroAnd make it a point to vacate level zeroReach out and arise with powerGod’s blessings on you, will showerAgree to grow, never attempt to be slowBe not afraid. Never doubt. You’ll flowThe grace of God will be your guideTaking you along, side by side.
Algis Valiunas|Perhaps no theoretical man can be equal to such a burden: to feel knowledge as power when one’s mind reshapes the world irrevocably, to see the light of truth as the agent of some dark majesty, is not grace but ordeal.
H.G. Wells, The Holy Terror|Common sense and every material reality insisted upon the unification of human life throughout the planet and the socialisation of its elementary needs, and pitted against that was the fact that every authority, every institution, every established way of thinking and living was framed to preserve the advantages of the ruling and possessing minority and the separate sovereignty of the militant states that had been evolved within the vanished circumstances of the past.
Kelly Thompson, The Girl Who Would Be King|I should feel energized and powerful, invulnerable and potent, but all I feel is lost.
Zen Cho, Sorcerer to the Crown|The woman leant forward, her eyes flashing, a smile both triumphant and tender curving her mouth."You are *my* daughter," she said. "Can there be any doubt that you will be brilliant -- audacious -- and free?"The vision disappeared. She had been so vital, so overflowing with life and energy, that her going seemed to leave the room dark.
H.G. Wells, The Holy Terror|The essential question was always "Who are these fellows who give us orders? By what warrant? And how do we benefit and how does the world benefit? But they are doing no good to anyone, no real good even to themselves! This is not government and leadership; this is imposture. Why stand it?...Why stand it?
Darren Shan, Bec|We have the power to bend all men to our whim, but are forever pushing ourselves further, trying to fly higher… and falling.
Kate McGahan|Love is an intangible thing. When you truly love, you learn that what you feel is more significant than anything that you can see. Love has more power than any weapon. It is more life giving than food or medicine. Sometimes love lasts forever and sometimes it lasts just long enough to teach you what you need to learn.
Kirsten Beyer, Protectors|Power is never taken fr, om us, it is , only given away
Bangambiki Habyarimana, Pearls Of Eternity|In order to protect their good names for posterity, many writers never wrote what they thought or the truth as it stood. That's why truth still lies hidden in matters of power, sex and religion. No wonder they chose to do so, many who dared paid with their heads
Lord Varys|Power is a curious thing. Who lives, Who dies. Power resides where men believe it resides. It is a trick, A shadow on the wall.
Angie karan|We aren't victims of circumstance, we are co creators of our own reality. Self absorbed people may silence you, by projecting their undesirable traits on to you. You have power. You don't have to be a silent sheep. You can roar like a lion. Expression is what the narcissist, sociopath, and the psychopath fear the most when you start to speak for your self. When you start to stand up for your self - you become your greatest version. YOU are worthy. YOU have a choice to be around people, who are nurturing to your being and help you grow.﻿
Margaret Atwood, The Handmaid's Tale|There is something powerful in the whispering of obscenities, about those in power. There's something delightful about it, something naughty, secretive, forbidden, thrilling. It's like a spell, of sorts. It deflates them, reduces them to the common denominator where they can be dealt with. In the paint of the washroom cubicle someone unknown had scratched: Aunt Lydia sucks. It was like a flag waved from a hilltop in rebellion. The mere idea of Aunt Lydia doing such a thing was in itself heartening. So now I imagine, among these Angels and their drained white brides, momentous grunts and sweating, damp furry encounters; or, better, ignominious failures, cocks like three-week-old carrots, anguished fumblings upon flesh cold and unresponding as uncooked fish.
Heather  Marsh, Binding Chaos: Mass Collaboration on a Global Scale|All ponzi schemes are upheld by a centripetal force caused by those orbiting the circles of power, celebrity and wealth and trying to get in. When the ponzi scheme reaches its point of maximum growth, the force disperses and the ponzi scheme collapses.
Heather  Marsh, Binding Chaos: Mass Collaboration on a Global Scale|All of society’s problems which could be solved by money, were caused by money.
Mark Helprin, Winter's Tale|Adversity has its compensations, that in falling, and in failing, we rise. It is as if there is a hand behind us that sets to right all imbalances. Why do you think the saints seldom had the temporal power that we mistakenly identify with the fruits of justice? Do you think they needed it, or cared?
Sanjo Jendayi|We have all heard the phrase "information is power" and in the world of social media, information is abundant. I started thinking...we are some well informed peopled on a myriad of topics but is it the information that is power or is the true power in what we do with the information? I think information is a tool and sometimes that tool falls into hands that have no clue how to use it; rendering it powerless.
James S.A. Corey, Cibola Burn|It throbbed with an inhuman power, tidal and deep and painful. Look at this too long, Elvi thought, and I will lose my mind in it. She took a step toward it, feeling the structures in the blackness respond to her. She felt as if she could see the spaces between molecules in the air, like atoms themselves had become a thin fog, and for the first time she could see the true shape of reality looming up just beyond her reach.
Craig D. Lounsbrough|What insanity would lead me to believe that I possess the power, much less the aptitude to manipulate all of the consequences out of all of my decisions?
Anthony Trollope, The Warden|It is probable that Tom Towers considered himself the most powerful man in Europe; and so he walked on from day to day, studiously striving to look a man, but knowing within his breast that he was a god.
Robyn Davidson, Tracks: A Woman's Solo Trek Across 1700 Miles of Australian Outback|The question I'm most commonly asked is "Why?" A more pertinent question might be, why is it that more people don't attempt to escape the limitations imposed upon them? If Tracks has a message at all, it is that one can be awake to the demand for obedience that seems natural simply because it is familiar. Wherever there is pressure to conform (one person's conformity is often in the interests of another person's power), there is a requirement to resist. Of course I did not mean that people should drop what they were doing and head for the wilder places, certainly not that they should copy what I did. I meant that one can choose adventure in the most ordinary of circumstances. Adventure of the mind, or to use an old-fashioned word, the spirit.
Sara  Miles, Take This Bread: A Radical Conversion|To figure out what was really happening behind the clichés, I'd learned, meant a practice of looking not at the center but at the edges of things—at the unlikeliest and weakest people, not the most apparently powerful. It meant asking lots of stupid questions, making room for inconvenient facts that didn't fit a schema, and trying to remain honest about what I didn't know.
Richard K. Morgan, Altered Carbon|Like Bancroft, MacIntyre had been a man of power, and like all men of power, when he talked of prices worth paying, you could be sure of one thing. Someone else was paying.
George Orwell, Books v. Cigarettes|At the time I could not see beyond the moral dilemma that is presented to the weak in a world governed by the strong: Break the rules, or perish.
Sara Raasch, Snow Like Ashes|A Winterian wielding an Autumnian weapon, using Cordellan allegiance to bring Spring crumbling down.
Daniel Black, The Coming|The power of speech does not rely upon meaning. Words carry energy all by themselves. They vibrate through the air, with the intention of the speaker, shaping consciousness and touching hearts whether understood or not.
Joseph Delaney, The Spook's Blood|We three alone have the speed, skill and power to do what must be done', said Grimalkin. 'You have the Destiny Blade and Bone Cutter — in addition to the talents inherited from your mother. Alice wields powerful magic, and I am Grimalkin.
Gugu Mona|Where the human knowledge ends, God's wisdom and power begins to manifest in abundance.
Theodore Roszak|Nothing we ever imagined is beyond our powers, only beyond our present self-knowledge.
Darnell Lamont Walker|The power structure understands that Black folks have been hungry for so long, fixing us a plate now that's the same size as theirs would do nothing for our hunger. After all, they're pretty full and fat.They know we now require a much bigger plate than theirs to quiet the stomach rumblings.They see us and know what it looks like to be less powerful. They are fighting to never FEEL it.
Marge Piercy, Dance the Eagle to Sleep|Whenever the balance of power was unequal, there was a driver and a driven. Power was the lethal vice, the turn-on with evil built into it, because it required a victim to manifest itself. Power implied subject and object. They needed some way to recognize (for everyone to recognize) that everybody was a subject.
S.D.   Smith, The Black Star of Kingston|Being a ruler is, contrary to popular notions, a calling of self-sacrifice. That is, if one wants to be a good ruler.
Carl R. Rogers, A Way of Being|The strongest force in our universe is not overriding power, but love.
Anthony Powell, A Dance to the Music of Time: 3rd Movement|That was a good straightforward point of view, no pretence that games were anything but an outlet for power and aggression; no stuff about their being enjoyable as such. You played a game to demonstrate that you did it better than someone else. If it came to that, I thought how few people do anything for its own sake, from making love to practising the arts.
Azim Jamal & Brian Tracy, What You Seek Is Seeking You|Don't fight your thoughts. Allow them to come, but don’t cling to them. The small gaps between thoughts create the power in meditation.
Steven Magee|If you are looking for a job that may make you sick, I can recommend working at a high powered solar photovoltaic (PV) utility power plant.
R.A.Delmonico|Handling power is very much like handling explosives, you have to have a great deal of respect for it and most people don't.
Shane Stadler|It had been horrible, yes, and he'd never want to do it again - but it truly was his most powerful experience.
Steven Magee|The USA utility power generation industry subcontracts out their dangerous jobs so that the bad statisitics will not be associated with them. Smart people avoid working for the subcontractors. I have worked directly for a number of subcontractors and overseen subcontractors and their staff were clearly sick, showing behavioral problems and overworked. In some cases they were blatantly breaking OSHA laws. OSHA covers it all up! Unfortunately, the problems can be traced back to OSHA and their wilful lack of enforcement of the law.
Kudrat Dutta Chaudhary, Laiza- Sometimes the end is only a Beginning|It is hard to write it in words that I can read, that re-establishes the fact that has been haunting me for the past one year.
Becky Allen, Bound by Blood and Sand|Even though she was powerful enough to kill, she could also grow flowers.
Sasha Alsberg, Zenith Part 1|Dex crouched down next to her, lips level with her ear. "You know, you were a lot more fun three years ago."It was like he wanted her to kill him.She turned, unfazed that their faces were separated by mere centimeters. So close she could see the pores in his caramel skin, the deep brown of his eyes, and the raised scar that rested near his temple.She'd given him that scar.What she also noticed was how her heart no longer fluttered like it used to when he looked at her. She used to love his eyes, their unspoken words. The feel of his skin against hers during their passionate nights, but now those thoughts made her cringe. She guarded herself against those details scrounged from distant memories. They were no longer part of a blissful reality but a hurtful past."A lot has changed in three years, Dextro," Andi said calmly. "Now if you don't move, I'll give you a new scar, and this time," she said, pointing to his right temple, "it will be across your neck."He put his arms up in defense before rising, distancing himself from her.
Andrea Cremer, Rise|What man would have courage enough to believe he could win you? Bosque laughed. "You exude power. Men are small creatures, easily cowed by those who challenge their sense of self-importance.
M.L. Wang, Theonite: Planet Adyn|The funny thing about power is that no matter what you think it is, or how much you think you have, it's the people above and all around you who get the final say.
Orson Scott Card, Ender's Game|They have influence, but no power." "In my experience, influence is power.
Elizabeth Peters, The Last Camel Died at Noon|I have never been able to understand how men can feel affection for individuals who are intent on massacring them in a variety of unpleasant ways, but it is an undeniable fact that they can and do. Witness the immortal verse of Mr. Kipling: "So 'ere's to you, Fuzzy-Wuzzy, at your 'home in the Soudan; You're a pore benighted 'eathen but a first-class fightin' man!" One can only accept this as another example of the peculiar emotional aberrations of the male sex.
Andrea Cremer, Rise|As he passed Alistair to depart the library, Bosque said, "I'm pleased you didn't limit your vision. Ambition is the fertile soil in which true power can be cultivated.
Becky Allen, Bound by Blood and Sand|And when we have power- when you have power, Jae, you'll need to decide what to do with it. What kind of person you want to be. If you want to be like them.
Criss Jami|Sadly enough, some people are insecure in such a way that they cannot bear the thought of the sovereignty of God, the thought of His Being as greater than themselves. It makes them feel insignificant. But I know if I were to worship and obey anything, I would like it far greater than myself or any person or human system, preferably to the point that which it, perhaps, in all its majesty, makes me feel lost and even 'creatural' in my sheer humanity. Only this God - He who is great beyond human measure, yet still considers His creation precious - I find to be more than worthy of praise; otherwise, I bow down and worship nothing. And if the thought of such a superior and almighty God were to indeed offend me, I would have to remember that it is because I am only as significant as the things which I am idolizing, things which are ultimately separating me, the creation, from my original Creator.
Kiersten White, And I Darken|Lada had a sense for power--the fine threads that connected everyone around her, the way those threads could be pulled, tightened, wrapped around someone until they cut off the blood supply.Or snapped entirely.
Joe Hill, The Fireman|The people in charge can always justify doing terrible things in the name of the greater good. A slaughter here, a little torture there. It becomes moral to do things that would be immoral if an ordinary individual did ’em.
Gemma B. Benton, Then She Sang A Willow Song: Reclaiming Life and Power with the Ancestors|Let your heart sing from those wounded places.When you sing your song with everything you've got,it will not only heal you, but it will heal all of us through you.
Donna Tartt, The Secret History|That surge of power and delight, of confidence, of control. That sudden sense of the richness of the world. Its infinite possibility.
Ursula K. Le Guin, A Wizard of Earthsea|Under his feet he felt the hillroots going down and down into the dark, and over his head he saw the dry, far fires of the stars. Between, all things were his to order, to command. He stood at the center of the world.
Liu Cixin, The Three-Body Problem|Everything you see before you is the result of poverty. But how are things any better in the wealthy countries? They protect their own environments, but then shift the heavily polluting industries to the poorer nations.
Nick Flynn, The Ticking Is the Bomb: A Memoir|I’ve come to believe that the function of torture in our society is not about getting information, in spite of what we might want to believe. It is merely about power. It tells the world that there is now no limit to what we will do when we feel threatened.
Michael Thomas Sunnarborg, The White Box Club Handbook: Simple Tools For Career Transition|Expressing our feelings out loud, especially to someone else, can bring a sense of relief. There is power in proclamation.
Isha Karki|She thinks of her mother, sitting cross-legged, sewing marigolds into garlands for the gods, telling her: "The biggest mistake we make is thinking we are powerless
Nel Noddings, Peace Education: How We Come to Love and Hate War|[W]e would do better to treat terrorists as common criminals, people who have broken the laws recognized by all civil societies. To treat them as soldiers is to increase their power, respectability, and commitment.
Lynda Cheldelin Fell|Each of you are a voice. Together we are a choir, a powerful choir of change that circles the globe with love.
Søren Kierkegaard|The crowd, in fact, is composed of individuals; it must therefore be in every man's power to become what he is, an individual. From becoming an individual no one, no one at all, is excluded, except he who excludes himself by becoming a crowd. To become a crowd, to collect a crowd about one, is on the contrary to affirm the distinctions of human life. The most well-meaning person who talks about these distinctions can easily offend an individual. But then it is not the crowd which possesses power, influence, repute, and mastery over men, but it is the invidious distinctions of human life which despotically ignore the single individual as the weak and impotent, which in a temporal and worldly interest ignore the eternal truth- the single individual.
Tony Warrick|God has the Power to make it happen. You have the Authority to make it happen. So stop complaining, get up, & manifest your destiny.
Albert Cossery, The Jokers|[T]he world we live in is governed by the most revolting bunch of crooks ever to defile the soil of this planet... [You] must never take them seriously, which is exactly what they want.
Kylee Carrier|I have realized that the world and its people will never be perfect; and thus, I have grown wiser. I have learned that every aspect of life owns an injustice. I have seen that every human soul is laudable. Thus, you have the power to be enlightened.
Nathaniel Philbrick, Why Read Moby-Dick?|To be in the presence of a great leader is to know a blighted soul who has managed to make the darkness work for him. Ishmael says it best: "For all men tragically great are made so through a certain morbidness. Be sure of this, O young ambition, all mortal greatness is but a disease." In chapter 36, "The Quarter-Deck," Melville show us how susceptible we ordinary people are to the seductive power of a great and demented man.
Apollo Blake, Shadows of Ourselves|God, what would someone so afraid do with power so awful?
Erik Pevernagie|Love has the power to create an inviting space in the lives of people. But if daily routine kills dreamy or passionate thoughts, the constraint of the room may become oppressive and the emptiness unbearable. The room loses then its original fullness and turns into a place of nothingness. ( " Another empty room" )
Mehmet Murat ildan|A waterfall cannot be silent, just as the wisdom! When they speak, the voice of power speaks!
Owen   Jones, The Establishment: And How They Get Away with It|The Establishment is amassing wealth and aggressively annexing power in a way that has no precedent in modern times. After all, there is nothing to stop it.
Perry Anderson, The Indian Ideology|Structurally, by reason of their smaller numbers and greater resources, virtually all ruling classes enjoy an advantage over the ruled in their capacity for collective action. Their internal lines of communication are more compact; their wealth offers an all-purpose medium of power, convertible into any number of forms of domination; their intelligence systems scan the political landscape from a greater height. More numerous and more dispersed, less equipped materially, less armed culturally, subordinate classes always tend, in the sociologist Michael Mann’s phrase, to be ‘organisationally outflanked
Leo Tolstoy, The Kingdom of God Is Within You|In precisely the same way the specialty of government is not to obey, but to enforce obedience. And a government is only a government so long as it can make itself obeyed, and therefore it always strives for that and will never willingly abandon its power.
David Brin, The Postman|It's said that 'power corrupts,' but actually it's more true that power attracts the corruptible. The sane are usually attracted by other things than power. When they do act, they think of it as service, which has limits. The tyrant, though, seeks mastery, for which he is insatiable, implacable.
Katherine Graham|Once, power was considered a masculine attribute. In fact, power has no sex.
Jeremy Robinson|Leopold, like most men of power and prestige, was not so much interested in listening to what others had to say as he was in having an audience.
Criss Jami|Where God is like the sun, the Devil is like a raindrop. There is no 'God vs. Satan' because they aren't even that close in power and authority. The former is very patient; the latter is at mercy.
James          Anderson, The Never-Open Desert Diner|Like every other house-renting, paycheck-to-paycheck, heel dragging working American, it wouldn't matter if I stepped in it by accident or was pushed, or simply whiffed it as I walked by. With the powers in play, guilt or innocence had nothing to do with anything.
Christina Enevoldsen, The Rescued Soul: The Writing Journey for the Healing of Incest and Family Betrayal|In a healthy relationship, vulnerability is wonderful. It leads to increased intimacy and closer bonds. When a healthy person realizes that he or she hurt you, they feel remorse and they make amends. It’s safe to be honest. In an abusive system, vulnerability is dangerous. It’s considered a weakness, which acts as an invitation for more mistreatment. Abusive people feel a surge of power when they discover a weakness. They exploit it, using it to gain more power. Crying or complaining confirms that they’ve poked you in the right spot.
Julian of Norwich, Revelations of Divine Love|Some of us believe that God is almighty, and can do everything; and that he is all wise, and may do everything; but that he is all love, and will do everything— there we draw back.
