Peter Ackroyd, The Canterbury Tales: A Retelling|Women, of their nature, crave for liberty; they will not be ordered around like servants.
Aldous Huxley|The vast majority of human beings dislike and even actually dread all notions with which they are not familiar... Hence it comes about that at their first appearance innovators have generally been persecuted, and always derided as fools and madmen.
Elana K. Arnold, Burning|Perhaps that is where our choice lies -- in determining how we will meet the inevitable end of things, and how we will greet each new beginning.
Marcel Proust, In the Shadow of Young Girls in Flower|To achieve accurate knowledge of others, if such a thing were possible, we could only ever arrive at it through the slow and unsure recognition of our own initial optical inaccuracies. However, such knowledge is not possible: for, while our vision of others is being adjusted, they, who are not made of mere brute matter, are also changing; we think we have managed to see them more clearly, but they shift; and when we believe we have them fully in focus, it is merely our older images of them that we have clarified, but which are themselves already out of date.
Siegfried Sassoon|The fact is that five years ago I was, as near as possible, a different person to what I am tonight. I, as I am now, didn't exist at all. Will the same thing happen in the next five years? I hope so.
Kurt Lewin|If you want truly to understand something, try to change it.
Patti   Davis, Two Cats and the Woman They Own: or Lessons I Learned from My Cats|Life Lesson 8: Change is always hard, but time softens the rough edges and eases the pull of the past. Eventually, we all climb out from under the bed, and even the most unfamiliar places begin to feel like home.
Tess Gerritsen, Harvest|God, it's like reality's completely shifted on me. I used to think I was standing on such solid ground. If I wanted something badly enough, I just worked like hell for it. Now I can't decide what to do, which move to make. All the things I counted on aren't there for me anymore.
Graham Greene, The Power and the Glory|There is always one moment in childhood when the door opens and lets the future in...We should be thankful we cannot see the horrors and degradations lying around our childhood, in cupboards and bookshelves, everywhere.
Elizabeth Gilbert, Eat, Pray, Love|The Augusteum warns me not to get attached to any obsolete ideas about who I am, what I represent, whom I belong to, or what function I may once have intended to serve. .. Even in the Eternal City (Rome), says the silent Augusteum, one must always be prepared for riotous and endless waves of transformation.
Sarah Dessen, Lock and Key|But wasn't that always the way. It's never something huge that changes everything, but instead the tiniest of details, irrevocably tweaking the balance of the universe while you're busy focusing on the big picture.
Jay Crownover, Jet|Sometimes, things need to change, because there just isn't any way for them to stay the same.
Lauren Oliver, Requiem|I don't understand how everything changes, how the layers of your life get buried. Impossible. At some point, at some time, we must all explode.
Deb Caletti, The Secret Life of Prince Charming|But what I wanted back had never really been there. He was a temporary illusion, a mirage of water after walking in the desert. I had made him up. And he could have killed me. You've got to stop the ride sometimes. Stop it and get off.
Herbert Read|In History, stagnant waters, whether they be stagnant waters of custom or those of despotism, harbour no life; life is dependent on the ripples created by a few eccentric individuals. In homage to that life and vitality, the community has to brave certain perils and must countenance a measure of heresy. One must live dangerously if one wants to live at all.
Kitty Richards, Ratatouille|You can't change nature, son!""Change IS nature, dad, the part we can influence. And it all starts when we decide.
Deepak Chopra, The Third Jesus: The Christ We Cannot Ignore|Customs change with time, so it isn't fair to permit change only when you happen to approve of it but condemn change citing biblical authority when you don't.
Libba Bray, The Sweet Far Thing|Our mouths and bodies speak for us in a new language as the trees shake loose a rain of petals that stick to our slickness like skins we will wear forever. And just like that, I am changed.
Charles de Lint, Someplace to Be Flying|The best change you can make is to hold up a mirror so that people can look into it and change themselves. That's the only way a person can be changed."By looking into yourself," Zia said. "Even if you have to look into a mirror that's outside yourself to do it.""And you know," Maida added. "That mirror can be a story you hear, or just someone else's eyes. Anything that reflects back so you can see yourself in it.
bell hooks, Feminist Theory: From Margin to Center|Since we live in a society that promotes faddism and temporary superficial adaptation of different values, we are easily convinced that changes have occurred in arenas where there has been little or no change.
Richard Rohr, Falling Upward: A Spirituality for the Two Halves of Life|The human ego prefers anything, just about anything, to falling, or changing, or dying. The ego is that part of you that loves the status quo – even when it's not working. It attaches to past and present and fears the future.
Robert G. Ingersoll, Superstition and Other Essays|Belief is not subject to the will. Men think as they must. Children do not, and cannot, believe exactly as they were taught. They are not exactly like their parents. They differ in temperament, in experience, in capacity, in surroundings. And so there is a continual, though almost imperceptible change. There is development, conscious and unconscious growth, and by comparing long periods of time we find that the old has been almost abandoned, almost lost in the new.
Anne Bishop, Marked in Flesh|He gently kissed that scar and felt something changing inside him - just a flutter of change, there and gone, but leaving its mark.
Kim Stanley Robinson, Sixty Days and Counting|All the repetitions in the pattern were superficial; the moment was always new. It had to be lived, and then the next moment embraced as it arrived.
Archimedes, The Works of Archimedes|Give me but a firm spot on which to stand, and I shall move the earth.
Alexis de Tocqueville|I cannot help fearing that men may reach a point where they look on every new theory as a danger, every innovation as a toilsome trouble, every social advance as a first step toward revolution, and that they may absolutely refuse to move at all.
Truman Capote, Breakfast at Tiffany's|The average personality re-shapes frequently, every few years even our bodies undergo a complete overhaul-desirable or not, it is a natural thing that we should change.
Napoléon Bonaparte|A revolution is an idea, taken up by bayonets.
Cherise Sinclair, Make Me, Sir|It's a girl thing, trying to change ourselves as if we can change our lives too.
Margaret Mahy, The Changeover|It changes you for ever, but you are changing for ever anyway.
Gayle Forman, Where She Went|She said it was because one day I was going to have to go through a metamorphosis like a caterpillar transforming into a butterfly and that scared me, so butterflies scared me.
Toba Beta, My Ancestor Was an Ancient Astronaut|Hypocrite shouts about the change,but never let risk coming on his way.
Shannon L. Alder|No one can change a person, but a person can be the reason someone changes.
Noam Chomsky|Over the last 25 years, the major popular movements that have had significant impact on the general society and have changed it, that have had a major civilizing effect – the feminist movement, the environmental movement, and so on – these are mostly developments of the ‘70s and ‘80s. Their roots might be in the activism of the ‘60s, but the movements themselves developed and extended later. The same is true of the changes in respect for other cultures, rights of oppressed people, and so on. These are quite significant changes. If you compare the United States now to what it was, say, 35 years ago, the changes are quite dramatic. These are changes in popular consciousness that are quite deeply embedded.
Jill Lepore|History is hereditary only in this way: we, all of us, inherit everything, and then we choose what to cherish, what to disavow, and what do do next, which is why it's worth trying to know where things come from.
Lisa Genova, Left Neglected|I smile, loving him for changing with me, for going where my Neglect has taken us, for getting the new me.
Larry Wall|You can’t change the past. You can’t even change the future, in the sense that you can only change the present one moment at a time, stubbornly, until the future unwinds itself into the stories of our lives.
Kate Light|There Comes the Strangest MomentThere comes the strangest moment in your life,when everything you thought before breaks free--what you relied upon, as ground-rule and as ritelooks upside down from how it used to be.Skin's gone pale, your brain is shedding cells;you question every tenet you set down;obedient thoughts have turned to infidelsand every verb desires to be a noun.I want--my want. I love--my love. I'll staywith you. I thought transitions were the best,but I want what's here to never go away.I'll make my peace, my bed, and kiss this breast…Your heart's in retrograde. You simply have no choice.Things people told you turn out to be true.You have to hold that body, hear that voice.You'd have sworn no one knew you more than you.How many people thought you'd never change?But here you have. It's beautiful. It's strange.
Oscar Wilde, The Soul of Man Under Socialism|The only thing that one really knows about human nature is that it changes. Change is the one quality we can predicate of it. The systems that fail are those that rely on the permanency of human nature, and not on its growth and development.
Craig Ferguson, American on Purpose: The Improbable Adventures of an Unlikely Patriot|I took the sleeper out of Glasgow, and as the smelly old train bumped out of Central Station and across the Jamaica Street Bridge, I stared out at the orange halogen streetlamps reflected in the black water of the river Clyde. I gazed at the crumbling Victorian buildings that would soon be sandblasted and renovated into yuppie hutches. I watched the revelers and rascals traverse the shiny wet streets. I thought of the thrill and danger of my youth and the fear and frustration of my adult life thus far. I thought of the failure of my marriage and my failures as a man. I saw all this through my reflection in the nighttime window. Down the tracks I went, hardly aware that I was going further south with every passing second.
Nick Abadzis, Laika|For once, it seems there’s nothing to worry about…… for the time 
Kazuo Ishiguro, When We Were Orphans|All I know is that I've wasted all these years looking for something, a sort of trophy I'd get only if I really, really did enough to deserve it. But I don't want it anymore, I want something else now, something warm and sheltering, something I can turn to, regardless of what I do, regardless of who I become. Something that will just be there, always, like tomorrow's sky. That's what I want now, and I think it's what you should want too. But it will be too late soon. We'll become too set to change. If we don't take our chance now, another may never come for either of us.
Colson Whitehead, The Colossus of New York|You swallow hard when you discover that the old coffee shop is now a chain pharmacy, that the place where you first kissed so-and-so is now a discount electronics retailer, that where you bought this very jacket is now rubble behind a blue plywood fence and a future office building. Damage has been done to your city. You say, ''It happened overnight.'' But of course it didn't. Your pizza parlor, his shoeshine stand, her hat store: when they were here, we neglected them. For all you know, the place closed down moments after the last time you walked out the door. (Ten months ago? Six years? Fifteen? You can't remember, can you?) And there have been five stores in that spot before the travel agency. Five different neighborhoods coming and going between then and now, other people's other cities. Or 15, 25, 100 neighborhoods. Thousands of people pass that storefront every day, each one haunting the streets of his or her own New York, not one of them seeing the same thing.
Daniel Quinn, Ishmael|The journey itself is going to change you, so you don’t have to worry about memorizing the route we took to accomplish that change.
Sarah Dessen, The Moon and More|I would miss Colby, but it wasn't going anywhere. All the more reason why I should.
Hilary Mantel, Wolf Hall|The fate of peoples is made like this, two men in small rooms. Forget the coronations, the conclaves of cardinals, the pomp and processions. This is how the world changes: a counter pushed across a table, a pen stroke that alters the force of a phrase, a woman's sigh as she passes and leaves on the air a trail of orange flower or rose water; her hand pulling close the bed curtain, the discreet sigh of flesh against flesh.
Lisa Kleypas, Love in the Afternoon|No marriage stays in the same pattern forever. It is both the best feature of marriage and the worst, that it inevitably changes.
Jodi Picoult, My Sister's Keeper|Change isn't always for the worst; the shell that forms around a piece of sand looks to some people like an irritation., and to others, like a pearl.
Cecelia Ahern, If You Could See Me Now|I felt that my views and philosophies had been changed overnight. The philosophies that i had gladly carved in stone, recited and danced upon.
Jim Harrison, Legends of the Fall|His own life suddenly seemed repellently formal. Whom did he know or what did he know and whom did he love? Sitting on the stump under the burden of his father's death and even the mortality inherent in the dying, wildly colored canopy of leaves, he somehow understood that life was only what one did every day.... Nothing was like anything else, including himself, and everything was changing all of the time. He knew he couldn't perceive the change because he was changing too, along with everything
Stephen R. Covey|People can't live with change if there's not a changeless core inside them. The key to the ability to change is a changeless sense of who you are, what you are about and what you value.
Ursula K. Le Guin, The Dispossessed|You can go home again, the General Temporal Theory asserts, so long as you understand that home is a place where you have never been.
Charles W. Chesnutt|As man sows, so shall he reap. In works of fiction, such men are sometimes converted. More often, in real life, they do not change their natures until they are converted into dust.
Dory Hollander, 101 Lies Men Tell Women -- And Why Women Believe Them|Real change will come when you focus on yourself - not on changing him, Real change comes when you are willing and able to state your claim on what you are and are not willing to live with. Just remember to let him in on it
Alison Goodman, Eona: The Last Dragoneye|You have forced your way into my Hua, Eona. Change me. First, by your power- then, just by who you are.
Mitch Albom, For One More Day|Remember me for these days, not the old ones.
Josiah Bancroft, Arm of the Sphinx|We are, each of us, a multitude. I am not the man I was this morning, nor the man of yesterday. I am a throng of myself queued through time. We are, gentle reader, each a crowd within a crowd.
Sarah Ban Breathnach, Simple Abundance:  A Daybook of Comfort and Joy|Usually, when the distractions of daily life deplete our energy, the first thing we eliminate is the thing we eliminate is the thing we need the most: quiet, reflective time. Time to dream, time to contemplate what's working and what's not, so that we can make changes for the better. (January 17)
Diana Holquist, Make Me a Match|Whatever he had found, it made him a better person. Maybe that's what love was, finding the person who brings out the best in you and eliminates the worst.
Dianne Sylvan, The Body Sacred|At heart we are all powerful, beautiful, and capable of changing the world with our bare hands.
Ernst Fischer|In a decaying society, art, if it is truthful, must also reflect decay. And unless it wants to break faith with its social function, art must show the world as changeable. And help to change it.
Dejan Stojanovic, The Shape|Nothing is made, nothing disappears. The same changes, at the same places, never stopping.
Cornel West, Race Matters|To be a jazz freedom fighter is to attempt to galvanize and energize world-weary people into forms of organization with accountable leadership that promote critical exchange and broad reflection. The interplay of individuality and unity is not one of uniformity and unanimity imposed from above but rather of conflict among diverse groupings that reach a dynamic consensus subject to questioning and criticism. As with a soloist in a jazz quartet, quintet or band, individuality is promoted in order to sustain and increase the creative tension with the group--a tension that yields higher levels of performance to achieve the aim of the collective project.
Maureen Johnson, The Last Little Blue Envelope|Maybe this was what Aunt Peg meant all along - returning was a weird thing. You can never visit the same place twice. Each time, it's a different story. By the very act of coming back, you wipe our what came before.
Karen Blixen, Seven Gothic Tales|The real difference between God and human beings, he thought, was that God cannot stand continuance. No sooner has he created a season of a year, or a time of the day, than he wishes for something quite different, and sweeps it all away. No sooner was one a young man, and happy at that, than the nature of things would rush one into marriage, martyrdom or old age. And human beings cleave to the existing state of things. All their lives they are striving to hold the moment fast....Their art itself is nothing but the attempt to catch by all means the one particular moment, one light, the momentary beauty of one woman or one flower, and make it everlasting.
Karl Lagerfeld|If you stick to something doggedly, you are off to a bad start.
Haruki Murakami, Kafka on the Shore|The Earth, time, concepts, love, life, faith justice, evil - they're all fluid and in transition. They don't stay in one form or in one place forever. The whole universe is like some big FedEx box.
George Alexiou|As you change your point of view, your views bring about a change in you.
Rainer Maria Rilke, The Selected Poetry of Rainer Maria Rilke|Oh hours of childhood,when behind each shape more than the past appearedand what streamed out before us was not the f
David Levithan, Every You, Every Me|My mother said I should have a 'change of scenery.' The word scenery made be think of a play. And as we were driving around, it made sense that way. Because no matter how much the scenery changed, we were still on the same stage.
Leo Buscaglia|I believe that you control your destiny, that you can be what you want to be. You can also stop and say, 'No, I won't do it, I won't behave his way anymore. I'm lonely and I need people around me, maybe I have to change my methods of behaving,' and then you do it.
Santosh Kalwar|Life needs a constant change, minds needs the constant change, only thing that is permanent in the world is change.
Bob Greene, The Life You Want: Get Motivated, Lose Weight, and Be Happy|...the reward centers of the brain--where the pleasure of those high-calorie foods registers--also respond to other substances that bring about pleasure....But those reward centers also respond to other gratifying things, like watching a sunset or experiencing a loving touch...So while you may not be able to change the wiring in your brain, you can "feed" those reward centers other pleasures...Biology isn't destiny when you have effective strategies...
Jennifer Roberson, Lady Of Sherwood|And we are made different. On the instant. What we know, what we were, is banished by that instant, razed like a castle under siege, and nothing is recognizable is left. The world is unmade.
Rick Riordan, The Blood of Olympus|The guy had literally been through hell and back. Even when he wasn’t trying, he made the toilets explode. What would Percy be like if he wanted to act scary?
Ziad K. Abdelnour, Economic Warfare: Secrets of Wealth Creation in the Age of Welfare Politics|Don't trust people whose feelings change with time... Trust people whose feelings remain the same, even when the time changes.
William Faulkner, The Sound and the Fury|In the South you are ashamed of being a virgin. Boys. Men. They lie about it. Because it means less to women, Father said. He said it was men invented virginity not women. Father said it's like death: only a state in which the others are left and I said, But to believe it doesn't matter and he said, That's what's so sad about anything: not only virginity and I said, Why couldn't it have been me and not her who is unvirgin and he said, That's why that's sad too; nothing is even worth the changing of it...
Vera Nazarian, The Perpetual Calendar of Inspiration|We are all glorified motion sensors.Some things only become visible to us when they undergo change.We take for granted all the constant, fixed things, and eventually stop paying any attention to them. At the same time we observe and obsess over small, fast-moving, ephemeral things of little value.The trick to rediscovering constants is to stop and focus on the greater panorama around us. While everything else flits abut, the important things remain in place.Their stillness appears as reverse motion to our perspective, as relativity resets our motion sensors. It reboots us, allowing us once again to perceive.And now that we do see, suddenly we realize that those still things are not so motionless after all. They are simply gliding with slow individualistic grace against the backdrop of the immense universe.And it takes a more sensitive motion instrument to track this.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|Be different. Be original. Nobody will remember a specific flower in a garden filled with thousands of the same yellow flower, but they will remember the one that managed to change its color to purple.
Ada Limon|All night I dreamt of bonfires and burn piles and ghosts of men, and spirits behind those birds of flame. I cannot tell anymore when a door opens or closes, I can only hear the frame saying, Walk through.
Susan Patron, The Higher Power of Lucky|Because sometimes Lucky wanted to change everything, all the bad things that had happened, and sometimes she wanted everything to stay the same forever.
Michelle Moran, Rebel Queen|Pain moves us forward, changing us into something else, something we need to be.
David Wroblewski, The Story of Edgar Sawtelle|A person could stop a specific thing, but they couldn’t stop change in general. Rivers can’t run backward. Yet, he felt there must be an alternative, neither willfulness nor resignation. He couldn’t put words to it. All he knew was, neither of them had changed their minds and neither of them could find anything more to say.
Elizabeth Norris, Unraveling|Lives are made of strings of moments, and every once in a while, one of those moments is pivotal and defining. It changes everything, alters you so completely that when you look back, there’s a clear before and after
Catherine Valenti|The Doctor is all of us, he lives and dies as all of us, and we need him to – because no matter the anvil-imagery of the Doctor as Christ, this is actually a far older and far simpler story than that. Everything changes. We all regenerate. I am not the same woman who first saw Rose ascend. Years go by and I become someone new, with the same memories but a new face, a new self.
Percy Bysshe Shelley, The Complete Poems|We rest; a dream has power to poison sleep.We rise; one wand'ring thought pollutes the day.We feel, conceive, or reason; laugh or weep,Embrace fond woe, or cast our cares away;It is the same: for, be it joy or sorrow,The path of its departure still is free.Man's yesterday may ne'er be like his morrow;Nought may endure but Mutability!
Wade Davis, The Wayfinders: Why Ancient Wisdom Matters in the Modern World|Cultural survival is not about preservation, sequestering indigenous peoples in enclaves like some sort of zoological specimens. Change itself does note destroy a culture. All societies are constantly evolving. Indeed a culture survives when it has enough confidence in its past and enough say in its future to maintain its spirit and essence through all the changes it will inevitably undergo. 
Alexander Shulgin, Pihkal: A Chemical Love Story|How he could be a good user of LSD," I asked, "And know about the spiritual dimension - all that sort of thing - and still be a crook? I don't understand.""Then it's time you did. Psychedelic drugs don't change you - they don't change you character - unless you want to be changed. They enable change; they can't impose it...
Peach-Pit, Shugo Chara!, Vol. 2: Friends in Need|Are you Stupid?""Huh?""Hotoba-san, Even if you are far away the sky i always connected. Friends are friend no matter where you are. Change isn't so bad...I was scared of change too. We're both scared. Lets be friend...okay?
Margaret Atwood, The Handmaid's Tale|As we know from the study of history, no new system can impose itself upon a previous one without incorporating many of the elements to be found in the latter...
Stephen King|You know, small children take it as a matter of course that things will change every day and grown-ups understand that things change sooner or later and their job is to keep them from changing as long as possible. It’s only kids in high school who are convinced they’re never going to change. There’s always going to be a pep rally and there’s always going to be a spectator bus, somewhere out there in their future.
Paolo Giordano, The Solitude of Prime Numbers|She emptied herself of Fabio and of herself, of all the useless efforts she had made to get where she was and find nothing there. With detached curiosity she observed the rebirth of her weaknesses, her obsessions. This time she would let them decide, since she hadn't been able to do anything anyway. Against certain parts of yourself you remain powerless, she said to herself, as she regressed pleasurably to the time when she was a girl.
Roberto Bolaño, 2666|That's a pretty story,' said Afanasievna as she let go of Ansky's genitals. 'A pity I'm too old and have seen to much to believe it.'It has nothing to do with belief,' said Ansky, 'it has to do with understanding, and then changing.
Sonia Johnson|We must remember that one determined person can make a significant difference, and that a small group of determined people can change the course of history.
Michael Cox, The Meaning of Night|The boundaries of this world are forever shifting – from day to night, joy to sorrow, love to hate, and from life itself to death; and who can say at what moment we may suddenly cross over the border, from one state of existence to another, like heat applied to some flammable substance? I have been given my own ever-changing margins, across which I move, continually and hungrily, like a migrating animal. Now civilized, now untamed; now responsive to decency and human concern, now viciously attuned to the darkest of desires.
Ann Brashares, Sisterhood Everlasting|Tibby, who was not fond of change, had once told Bridget that the present, no matter what it brought, couldn't change the past. The past was set and sealed.
Nina Hagen|As long as karma exists, the world changes. There will always be karma to be taken care of
Ralph Waldo Emerson, The Essays of Ralph Waldo Emerson|Every revolution was first a thought in one man's mind, and when the same thought occurs to another man, it is the key to that era.
Richard Flanagan, Gould's Book of Fish: A Novel in Twelve Fish|Men's lives are not progressions, as conventionally rendered in history paintings, nor are they a series of facts that may be enumerated & in their proper order understood. Rather they are a series of transformations, some immediate & shocking, some so slow as to be imperceptible, yet so complete & horrifying that at the end of his life a man may search his memory in vain for a moment of correspondence between his self in his dotage & him in his youth.
David F. Jakielo|If you don't like change, you're going to like irrelevance even less.
Blue Balliett, The Calder Game|Yes, the wind came up--" Mrs. Sharpe began. She paused."And changed us all," Petra said softly.
Emily Henry, The Love That Split the World|For a moment we're both silent, staring. I wonder if either of us really sees the other clearly anymore or if we stuck looking at the frozen images of who we used to be.
Nora Roberts, Genuine Lies|Change--savor the cool, fresh flavor of it.
Harry Belafonte|After all, Paul Robeson said, ‘Artists are the radical voice of civilization.’ Each and every one of you in this room, with your gifts and your power and your skills, could perhaps change the way in which our global humanity mistrusts itself. Perhaps we as artists and as visionaries, for what’s better in the human heart and the human soul, could influence citizens everywhere in the world to see the better side of who and what we are as a species.
Dana Reinhardt, Harmless|It was then, there in the darkness, with only those little pin-points of light to see by, light from a world away where other people with their own problems and their own secrets lived their own lives, that everything in our world changed for good.
Barbara Samuel, The Sleeping Night|Maybe not. But maybe that's how the world changes, Isaiah. One father, one child, at a time.
Mary Balogh, Simply Love|My life will be what I make it," he told her. "That is true for all of us all the time. We cannot know what the future will bring or how the events of the future will make us feel. We cannot even plan and feel any certainty that our most carefully contrived plans will be put into effect. Could I have predicted what happened to me in the Peninsula? Could you have predicted what happened to you in Cornwall? But those things happened to us nevertheless. And they changed our plans and our dreams so radically that we both might have been excused for giving up, for never planning or dreaming again, for never living again. That too is a choice we all have to make.
Alexander McCall Smith, The Kalahari Typing School for Men|We shall change all that...because it is possible to change the world, if one is determined enough, and if one sees with sufficient clarity just what has to be changed.
L.M. Montgomery, Anne of Avonlea|I've put out a lot of little roots these two years," Anne told the moon, "and when I'm pulled up they're going to hurt a great deal. But it's best to go, I think, and, as Marilla says, there's no good reason why I shouldn't. I must get out all my ambitions and dust them.
Rosamund Lupton, Sister|Things are embarrassing, best to avoid them. But since your death I prefer a naturalist style of conversation. Let's strip it down to what matters. Let's have emotions and beliefs on show without the modest covering of small talk.
Michael Bassey Johnson, Master of Maxims|If you really want to be different, you'd better keep quiet and be a good person on the inside.
C. JoyBell C.|We can't be afraid to change. You may fell secure in the pond that you are in, but if you never venture out of it, you will never know there is a such a thing as an ocean, a sea. Holding onto something that is good for you now, maybe the very reason you don't have something better.
James     Baldwin, Nobody Knows My Name|Any real change implies the breakup of the world as one has always known it, the loss of all that gave one an identity, the end of safety. And at such a moment, unable to see and not daring to imagine what the future will now bring forth, one clings to what one knew, or dreamed that one possessed. Yet, it is only when a man is able, without bitterness or self-pity, to surrender a dream he has long possessed that he is set free - he has set himself free - for higher dreams, for greater privileges.
Wallace Stegner, Angle of Repose|Civilizations grow by agreements and accomodations and accretions, not by repudiations. The rebels and the revolutionaries are only eddies, they keep the stream from getting stagnant but they get swept down and absorbed, they're a side issue. Quiet desperation is another name for the human condition. If revolutionaries would learn that they can't remodel society by day after tomorrow -- haven't the wisdom to and shouldn't be permitted to -- I'd have more respect for them ... Civilizations grow and change and decline -- they aren't remade.
Claire Dederer, Poser: My Life in Twenty-three Yoga Poses|I had discovered something; there was a pleasure in becoming something new. You could will yourself into a fresh shape. Now all I had to do was figure out how to do it out there, in my life.
Ernst Jünger, The Glass Bees|We do not escape our boundaries or our innermost being. We do not change. It is true we may be transformed, but we always walk within our boundaries, within the marked-off circle.
Ron Hall|If all the Christians- I mean all of 'em- got outta the pews on Sundays and into the streets, we'd shut the city down.We'd shut down hunger.We'd shut down loneliness.We'd shut down the notion that there is any such of a thing as a person that don't deserve a kind word and a second chance.
Philip Levine|… the river sliding along its banks, darker now than the sky descending a last time to scatter its diamonds into these black waters that contain the day that passed, the night to come. — Excerpt from the poem “The Mercy
L.M. Montgomery, Anne's House of Dreams|Changes come all the time. Just as soon as things get really nice they change,' she said with a sigh.
Michael M. Rose|Maybe if we focused on being light & less on the dark, we might actually see things change.
Seth Godin, Linchpin: Are You Indispensable?|Art isn't only a painting; it's anything that changes someone for the better, any nonanonymous interaction that leads to a human (not simply a commercial) conclusion.
Henry David Thoreau, Walden|So thoroughly and sincerely are we compelled to live, reverencing our life, and denying the possibility of change. This is the only way, we say; but there are as many ways as there can be drawn radii from one centre.
Lorii Myers, Targeting Success, Develop the Right Business Attitude to be Successful in the Workplace|To desire to change one’s past means there is a desire to change oneself. To desire to change oneself, one must learn to change.
Derek Donais, MetalMagic: Talisman|One age ends, and another begins. It is the way of things. But, it doesn't happen all at once.
Lorii Myers, Targeting Success, Develop the Right Business Attitude to be Successful in the Workplace|Not much in the world ends up being the same as it started out, unless of course it had a very short life cycle.
Tatjana Soli, The Lotus Eaters|Why did someone fall in love with you because you were one thing, and then want you to be something else?
Santosh Kalwar|The world has changed from quality to quantity, and so have we.
Paul Stamets, Mycelium Running: How Mushrooms Can Help Save the World|I believe that mycelium is the neurological network of nature. Interlacing mosaics of mycelium infuse habitats with information-sharing membranes. These membranes are aware, react to change, and collectively have the long-term health of the host environment in mind. The mycelium stays in constant molecular communication with its environment, devising diverse enzymatic and chemical responses to complex challenges.
Tasha Hoggatt|...give yourself permission to change your world and others around you, in a positive way, with love and respect.
Graham Joyce, Some Kind of Fairy Tale|Twenty years is, after all, a long time. We are not the same people we were. Old friends, lovers, even family members: they are strangers who happen to wear a familiar face. We have no right to claim to know anyone after such a distance.
Eddie Vedder|I had a long talk with Bruce Springsteen on a rooftop during the Vote for Change tour (in 2004). And it boiled down to this: That guy you used to be, he’s still in the car. He’ll always be in the car. Just don’t let him drive. He might be shouting out directions. But whatever you do, don’t let him get behind the wheel.
Seymour Simon|Knowledge empowers people with our most powerful tool: the ability to think and decide. There is no power for change greater than a child discovering what he or she cares about. (Speech about Global Warming read on the National Mall for the 40th anniversary of Earth Day, 2010)
Ben H. Winters, Underground Airlines|Sometimes it's possible, just barely possible, to imagine a version of this world different from the existing one, a world in which there is true justice, heroic honesty, a clear perception possessed by each individual about how to treat all the others. Sometimes I swear I could see it, glittering in the pavement, glowing between the words in a stranger's sentence, a green, impossible vision--the world as it was meant to be, like a mist around the world as it is.
Theodore J. Kaczynski, Industrial Society and Its Future: The Unabomber Manifesto|The conservatives are fools: They whine about the decay of traditional values, yet they enthusiastically support technological progress and economic growth. Apparently it never occurs to them that you can't make rapid, drastic changes in the technology and the economy of a society without causing rapid changes in all other aspects of the society as well, and that such rapid changes inevitably break down traditional values.
William Golding, A Moving Target|Perhaps the various burnings of the Alexandria Library were necessary, like those Australian Forest Fires without which the new seeds cannot burst their shells and make a young, healthy forest.
Ginger Bensman, To Swim Beneath the Earth|An airport is a potent place, a point of reunions and departures. For the traveler, it's a crossroads at the moment of decision, a flashpoint that separates intention from retreat.
Douglas B. Reeves, Leading Change in Your School: How to Conquer Myths, Build Commitment, and Get Results|Behavior precedes belief - that is, most people must engage in a behavior before they accept that it is beneficial; then they see the results, and then they believe that it is the right thing to do....implementation precedes buy-in; it does not follow it.
Howard Zinn, You Can't Be Neutral on a Moving Train: A Personal History of Our Times|The power of a bold idea uttered publicly in defiance of dominant opinion cannot be easily measured. Those special people who speak out in such a way as to shake up not only the self-assurance of their enemies, but the complacency of their friends, are precious catalysts for change.
Paulo Coelho, By the River Piedra I Sat Down and Wept|At any given moment in our lives, there are certain things that could have happened but didn't. The magic momentsgo unrecognized, and then suddenly, the hand of destiny changes everything.
Marshall McLuhan, Forward Through The Rearview Mirror: Reflections On And By Marshall Mc Luhan|I am resolutely opposed to all innovation, all change, but I am determined to understand what’s happening. Because I don’t choose just to sit and let the juggernaut roll over me. Many people seem to think that if you talk about something recent, you’re in favor of it. The exact opposite is true in my case. Anything I talk about is almost certainly something I’m resolutely against. And it seems to me the best way to oppose it is to understand it. And then you know where to turn off the buttons.
Kirsty Eagar, Night Beach|You cant rely on anybody being around for you, because things change.
Nicholas Sparks, The Last Song|That speaking the words, even if true, had little power to change the inevitable or even make him feel much better.
Eleanor Roosevelt|You can't move so fast that you try to change the mores faster than people can accept it. That doesn't mean you do nothing, but it means that you do the things that need to be done according to priority.
Tom Stoppard|If you want to change something by Tuesday, theater is no good. Journalism is what does that.But, if you want to just alter the chemistry of the moral matrix, then theater has a longer half-life.
Theodore Dalrymple|There is nothing that an intellectual less likes to change than his mind, or a politician his policy.
Lauren Myracle|So, as a seventh grader,no, you weren't friends with people you didnt like. But sometimesyou also werent friends with people you did like, which was complicated, and which didnt make any sence if you tried to explain it. Sometimes things just changed. Thats where the sadness came in.
Sam Starbuck, The Dead Isle|Do you always try to upset the world as much as possible?" Clare asked.He gave her a surprised look. "Of course. Otherwise how does anything change?
Simon Van Booy, Love Begins in Winter: Five Stories|Life had called his name, and without thinking, he had stepped forward. He wondered if perhaps he was becoming the person he had always wanted to be.
Gertrude Stein, Narration: Four Lectures by Gertrude Stein|It is the human habit to think in centuries from a grandparent to a grandchild because it just does take about a hundred years for things to cease to have the same meaning as they did before,
