Na'ama Yehuda|When hearts speak, they touch each other and transform the deepest sorrow.
Socrates, Apology, Crito and Phaedo of Socrates.|Suppose... that you acquit me... Suppose that, in view of this, you said to me 'Socrates, on this occasion we shall disregard Anytus and acquit you, but only on one condition, that you give up spending your time on this quest and stop philosophizing. If we catch you going on in the same way, you shall be put to death.' Well, supposing, as I said, that you should offer to acquit me on these terms, I should reply 'Gentlemen, I am your very grateful and devoted servant, but I owe a greater obedience to God than to you; and so long as I draw breath and have my faculties, I shall never stop practicing philosophy and exhorting you and elucidating the truth for everyone that I meet. I shall go on saying, in my usual way, "My very good friend, you are an Athenian and belong to a city which is the greatest and most famous in the world for its wisdom and strength. Are you not ashamed that you give your attention to acquiring as much money as possible, and similarly with reputation and honour, and give no attention or thought to truth and understanding and the perfection of your soul?" And if any of you disputes this and professes to care about these things, I shall not at once let him go or leave him; no, I shall question him and examine him and test him; and if it appears that in spite of his profession he has made no real progress towards goodness, I shall reprove him for neglecting what is of supreme importance, and giving his attention to trivialities. I shall do this to everyone that I meet, young or old, foreigner or fellow-citizen; but especially to you my fellow-citizens, inasmuch as you are closer to me in kinship. This, I do assure you, is what my God commands; and it is my belief that no greater good has ever befallen you in this city than my service to my God; for I spend all my time going about trying to persuade you, young and old, to make your first and chief concern not for your bodies nor for your possessions, but for the highest welfare of your souls, proclaiming as I go 'Wealth does not bring goodness, but goodness brings wealth and every other blessing, both to the individual and to the State.' ...And so, gentlemen, I would say, 'You can please yourselves whether you listen to Anytus or not, and whether you acquit me or not; you know that I am not going to alter my conduct, not even if I have to die a hundred deaths.
Socrates, Apology, Crito and Phaedo of Socrates.|...[S]ome of the opinions which people entertain should be respected, and others should not.
Fennel Hudson, Traditional Angling - Fennel's Journal - No. 6|Stand up for your beliefs, and be different.
Syed Sharukh|Appear On Your Fear, It Will Disappear
Kevin Reaver, Plague of Sorrow|All good things are borne from evil, just like good people. It’s very rare that someone does things purely out of the goodness of their heart. Most need something to fight against, something to drive them forward in order to create a light in what will always be a very dark world.
Edgar Rice Burroughs, The Chessmen of Mars|What--has O-Tar seen an ulsio and fainted?" demanded I-Gos with broad sarcasm."Men have died for less than that, ancient one," E-Thas reminded him."I am safe," retorted I-Gos, "for I am not a brave and popular son of the jeddak of Manator.
Richelle E. Goodrich, Slaying Dragons|The most powerful and courageous heroes I know are those who bite their tongues when justification, validation, temptation, or vengeance would have them strike with truthful, hurtful words.
Richelle E. Goodrich, Slaying Dragons|Courage doesn’t defeat fear or erase fear or adjust to fear. Courage acts, plain and simple, in the midst of fear.
Abhijit Naskar, Illusion of Religion: A Treatise on Religious Fundamentalism|The Kingdom of God is, in reality, the mental kingdom of a conscientious, compassionate and courageous human.
Mehmet Murat ildan|In life, courage is sometimes to enter through the door and sometimes it is to walk out the door!
Vo Nguyen Giap|The American soldiers were brave, but courage is not enough. David did not kill Goliath just because he was brave. He looked up at Goliath and realized that if he fought Goliath’s way with a sword, Goliath would kill him. But if he picked up a rock and put it in his sling, he could hit Goliath in the head and knock Goliath down and kill him. David used his mind when he fought Goliath. So did we Vietnamese when we had to fight the Americans.
Eleanor Roosevelt|The encouraging thing is that every time you meet a situation, though you may think at the time it is an impossibility and you go through the tortures of the damned, once you have met it and lived through it you find that forever after you are freer than you ever were before. If you can live through that, you can live through anything. You gain strength, courage, and confidence by every experience in which you really stop to look fear in the face.
Mary McLeod Bethune|To those of you with your years of service still ahead, the challenge is yours. Stop doubting yourselves. Have the courage to make up your minds and hold your decisions. Refuse to be BOUGHT for a nickel, or a million dollars, or a job!
Efrat Cybulkiewicz|If you can't appreciate the full worth of my courage, you can't admire my mastery.
Felix Wantang, God's Blueprint of the Holy Bible: Volume 1|When you lack the courage to publicly defend biblical truth, it is a clear testimony that you lack the Holy Spirit. The gift of the Holy Spirit is a gift of no fear.
Roland Merullo, The Delight of Being Ordinary|...if we somehow find the courage to go directly into the discomfort - even the discomfort of illness, pain, old age, and death - we might discover something unexpected there.
Vineet Raj Kapoor|It takes a Bigger Courage to take on Danger, where None can be Sighted.
Catherine Jones Payne, Breakwater|Father knew he might die that day, and he went anyway.
Brené Brown, Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead|When shame becomes a management style, engagement dies. When failure is not an option we can forget about learning, creativity, and innovation .
Alexandra Bracken, Wayfarer|I'm not... I'm not without a heart,' he heard Sophia say, her chin raised, eyes straight ahead. 'I'm not. I just don't have the luxury of being soft. I am trying to survive.
Abhijit Naskar, The Bengal Tigress: A Treatise on Gender Equality|Start working on your child’s mind. Start building your child’s character. Raise your child as a human being, instead of raising boys and girls. Raise human beings with the religion of love in their hearts. Raise human beings with the language of compassion on their lips. Raise human beings with the color of joy on their face. Raise human beings with the force of bravery in their nerves. And these brave conscientious souls with the flames of compassion in their hearts shall one day change the course of human history.
Homer Hickam, Carrying Albert Home: The Somewhat True Story of A Man, His Wife, and Her Alligator|The way I see it, if everybody ran from bad things instead of trying to stop them, bad things would be all there is.
Sharon Salzberg, Real Love: The Art of Mindful Connection|In order to free ourselves from our assumptions about love, we must ask ourselves what long-held, often buried assumptions are and then face them, which takes courage, humility, and kindness.
Brené Brown|Daring to set boundaries is about having the courage to love ourselves, even when we risk disappointing others.
Ellen Emerson White, A Season of Daring Greatly|You have intellect, and courage, and command. Play your own game, and don't worry about what anyone else is doing. That is what's going to give you a shot at making it. Comparing yourself to anyone else will just drive you crazy.
Ymatruz|False reasons trapped in your old bean. Failure isn't your nemesis, denial of truth is.
Sharon Salzberg, Real Love: The Art of Mindful Connection|Taking in another’s criticism, even when it’s offered out of love, requires courage.
Curtis Tyrone Jones, Giants At Play: Finding Wisdom, Courage, And Acceptance To Encounter Your Destiny|If you keep standing on the verge of greatness, you'll eventually get the courage to leap into it.
Curtis Tyrone Jones, Giants At Play: Finding Wisdom, Courage, And Acceptance To Encounter Your Destiny|If you keep standing on the verge of greatness, you'll eventually get the courage to leap into it,
Kilroy J. Oldster, Dead Toad Scrolls|A person who finds grace never lacks the courage to endure, remain resolute in principles and action in the face of an easy collapse into anger, insanity, and self-destruction when living in an increasing chaotic world filled with armed conflict, terrorism, and cultural discord.
Sarojini Naidu|We want deeper sincerity of motive, a greater courage in speech and earnestness in action.
Sunday Adelaja|It is necessary to grow up in maturity, firmness and courage in order to reach the goal
Seth Adam Smith, Rip Van Winkle and the Pumpkin Lantern|In order to defeat the darkness, you must bring it into the light.
Kilroy J. Oldster, Dead Toad Scrolls|An act of redemption, the ultimate act of personal grace, is an undervalued form of courage.
Bianca Sparacino, Seeds Planted in Concrete|Do not chase another human being. Instead, chase your curiosity. Chase your development and your goals. Chase your passion. Strive to work for something bigger than yourself, and instead of trying to convince someone that you fit within their world, strive to build your own.
Kilroy J. Oldster, Dead Toad Scrolls|Courage is an act of grace when it is not required; it originates from an inner necessity to honor, love, and cherish people, and respect oneself.
Katherine Arden|It is easy to die,' replied the bannik. 'Harder to live.
J.R.R. Tolkien, The Hobbit|Some believe it is only great power that can hold evil in check, but that is not what I have found. It is the small everyday deeds of ordinary folk that keep the darkness at bay. Small acts of kindness and love. Why Bilbo Baggins? Perhaps because I am afraid, and he gives me courage.
Kilroy J. Oldster, Dead Toad Scrolls|Grace represents the sublime glamour of human souls, the ability of physically courageous and emotionally brave people to give part of them in order to protect other people regardless of adverse consequence that they might personally endure.
Jennifer    Ryan, The Chilbury Ladies' Choir|Human nature defeats me sometimes, how greed and spite can lurk so divisively around the utmost courage and sacrifice.
M-E Girard, Girl Mans Up|It's okay to feel bad about how things went down, but it's not okay to drown in guilt and regret every day for having made decisions other people don't agree with. At some point, we all have to man up and decide to do what we have to do, despite the people around us who try to get in the way.
John Irving, A Prayer for Owen Meany|WHAT I'M TELLING YOU IS, IF YOU WANT TO DO THINGS YOUR OWN WAY, YOU'RE GOING TO HAVE TO MAKE A DECISION - YOU'RE GOING TO HAVE TO FIND A LITTLE COURAGE.
Gregory David Roberts, Shantaram|It's not just the body that must survive a jail term: the spirit and the will and the heart have to make it through as well. If any one of them is broken or destroyed, the man whose living body walks through the gate, at the end of his sentence, can't be said to have survived it.
Julian Assange|Every time we witness an injustice and do not act, we train our character to be passive in its presence and thereby eventually lose all ability to defend ourselves and those we love.
Doris Lessing, The Golden Notebook|It’s a small painful sort of courage which is at the root of every life, because injustice and cruelty is at the root of life. And the reason why I have only given my attention to the heroic or the beautiful or the intelligent is because I won’t accept that injustice and the cruelty, and so won’t accept the small endurance that is bigger than anything.
Taylor Rhodes, moira: a ghost story|they told her, “fear the reaper."she laughed to herself and muttered, 'baby, death ain’t nothing’ more than a quick fuck. a little bit of silence after he comes.
Nikki Rowe|If you have the understanding to first notice the signs, continue with the courage to follow them.
Nikki Rowe|It takes a tremendous amount of strength to be a single mother. To hold down the forte of a home, a life and your child's entire happiness.
Sheila Walsh, Loved Back to Life: How I Found the Courage to Live Free|One day we will all stand alone and answer to God for the choices we have made in our lives. It will not be enough to say we did not get help because no one would come with us. Life is not easy, but we make it much more difficult when we refuse to be honest about what we feel. For the short term, not being honest may seem easier, but in the long haul, we pay a heavy price.
Robert Harris, Conspirata|...he possessed for attractive form of courage: bravery of a nervous man. After all, any rash fool can be a hero if he sets no value on his life or hasn't the wit to appreciate the danger. But to understand the risks, perhaps even to flinch at first, but then summon the strength to face them down--that is my opinion is the most commendable for of value...
George MacDonald, Mary Marston|Letty's first false step was here: she said to herself _I can not_, and did not. She lacked courage--a want in her case not much to be wondered at, but much to be deplored, for courage of the true sort is just as needful to the character of a woman as of a man.
C.J. Redwine, The Wish Granter|Sometimes having courage means the hardest tasks fall onto your shoulders, and those leave the biggest scars.
Shannon L. Alder|Sometimes you have to walk through the fire, in order to reach your calling.
Vironika Tugaleva|Sometimes, breaking down is the bravest thing you can do.
Tom Althouse|To experience courage, is to experience life. Reflected in loved ones, the greatest encouragement. Dignity, integrity and strength, a harmonious chord, interwoven into an unbreakable cord.
Mark Batterson, All In: You Are One Decision Away From a Totally Different Life|...opportunities typically come disguised as impossible problems. And while most people run away from their problems, Shamgars run at them with their oxgoads.
Mark Batterson, All In: You Are One Decision Away From a Totally Different Life|Courage doesn't wait until situational factors turn in one's favor. It doesn't wait until a plan is perfectly formed. It doesn't wait until the tide of popular opinion is turned. Courage only waits for one thing: a green light from God. And when God gives the go, it's full steam ahead, no questions asked.
Mark Batterson, All In: You Are One Decision Away From a Totally Different Life|When God stirs our spirit or breaks our heart, we cannot sit back. We've got to step up and step in. We've got to go all in by going all out. But if we have the courage to make the choice or take the risk, it will become the defining moment of our lives.
Ann Voskamp, One Thousand Gifts: A Dare to Live Fully Right Where You Are|Who would ever know the greater graces of comfort and perseverance, mercy and forgiveness, patience and courage, if no shadows fell over a life?
Auliq-Ice|Always count the costs before starting any journey, and never take a step without finding its costs.
Fredrik Backman, My Grandmother Asked Me to Tell You She's Sorry|Until there are so many of them that no one dares to chase them anymore. Until they're an army in themselves. Because if a sufficient number of people are different, no one has to be normal.
Ian Gardiner, In the Service of the Sultan: A First Hand Account of the Dhofar Insurgency|How does one measure bravery? I suppose one starts by looking at the difference between what you are naturally inclined to do, and what your sense of duty tells you you should do. Courage is what it costs you to cover the deficiency.
Leisa Rayven, Bad Romeo|An opinion isn't right or wrong. It's your interpretation of a subject or a situation. You can't be f......g wrong!"So, if I look at the sky and have the opinion that the clouds are pink, I'm right?""Yes! Because it's an opinion, not a fact, and maybe to you, the clouds are pink because you're nuts. An opinion doesn't need to be true for anyone else in the world but you. Stop trying to f.....g please everyone and just say what you think.
Kristy Cambron, A Sparrow in Terezin|His words held depth, but not enough to make her forget the desire to do something more than just leave the hospital alive. All she could think of now was the pain of running away. She'd left her family, left Prague behind out of fear. And still war had chased her to an ARP shelter in the heart of London. How could she run again? Something mattered in standing up to fight.
Valerie Jarrett|If someone's trying to get you angry, the calmer you get, the angrier they'll get.
M.F.K. Fisher, Sister Age|Inwardly, though, she was blown empty by a giant breath, and while they stood waiting for Mr. Henshaw to tie up the Clara she knew that she would never be the same poor, ignorant woman of an hour ago. She would be poor, all right, and she would be ignorant and she would be a woman, but never in the same ways.
Michael Benzehabe|No.” The smile had left Sarah’s voice. “He still works for the Basij. Beware of weak men, little sister. He never returned to help, not even to express condolences for Father. Find a strong man. Get a man who will stand up for you, even if it means he has to fight the whole world. There is nothing more dangerous than a weak man.
Nathaniel Hawthorne, The Scarlet Letter|In the little chaos of Pearl's character there might be seen emerging-and could have been from the very first-the steadfast principles of an unflinching courage-an uncontrollable will-a sturdy pride which might be disciplined into self-respect-and a bitter scorn of many things, which, when examined, might be found to have the taint of falsehood in them.
Sarah Blakley-Cartwright, Red Riding Hood|Maybe Father Auguste is right," Henry started thoughtfully, rising from a bench. "Maybe we should wait."From the back of the tavern, Peter stifled a burst of laughter. Henry gripped the edge of the table.Adrian turned to Henry with a withering glare."Maybe, my son," Adrian said quietly, "you should find your courage."Henry took a labored breath."You want to hunt the Wolf?" He narrowed his eyes, spurned. "All right, then. Let's hunt it.
Gyan Nagpal|It is our courage which defines us, not our constraints
Lydia Davis, Can't and Won't: Stories|One gains courage from the one in front of her and moves forward a few steps, passing her by just a little. Now the one farthest back gains courage from the one in front and moves forward until she, in turn, is the leader. And so in this way, taking courage from one another, they advance, as a group, towards the strange thing in front of them.
Shannon L. Alder|There will be times in your life when you will have to stand alone in your pain and choke back all the injustice done to you. Letting go will be the hardest thing you have ever had to do because it means losing something you wish you didn't have to lose--the person that you care for. However, to be authentic--one person, it requires standing for truth as you know it to be, instead of having your dignity destroyed by another. It is a fire you have to walk through, in order to truly live. Sometimes, practicing faith by letting go is the most painful chapter of your life that will take every bit of courage for you to close, before you can be reborn.
Nikki Rowe|Theres a remarkable amount of strength residing in those who move forward without being able to physically move. Ones that carry the weight of illness or a disability, they battle wars most know nothing about. They are the true warriors of the world, the ones who have every reason to quit but never do.
Autumn Morning Star|When life places stones in your path, be the water. A persistent drop of water will wear away even the hardest stone.
Lucy H. Pearce, The Rainbow Way: Cultivating Creativity in the Midst of Motherhood|The message of love or beauty or hope needs to be said by a hundred thousand different voices, written by a hundred thousand different pens, at a hundred thousand different times in history, different places in the world, different sectors of society, in different genres and registers, simply to be heard by the billions of ears and hearts that lie waiting for a truth which fires their soul, answers their question, speaks to their heart.
Lucy H. Pearce, The Rainbow Way: Cultivating Creativity in the Midst of Motherhood|When we have the courage to claim space for ourselves. When we risk creativity. When we relish our sensuality. When we honor our lives and their experiences as valuable. When we create from a female body, expressing ourselves in a woman’s voice, using a woman’s language. We begin to bloom.
Nikki Rowe|There is no certainty, not even your next breath. Live like you are dieing because in reality we all are.
Tad Williams, Shadowheart|They were all becoming brothers, in the manner he had seen before: facing death together was the greatest of levelers.
Luis Enrique Cavazos, The Five Virtues That Awaken Your Life|Once you set the bar high for yourself, you cannot go back to mediocrity. You must give world-class performance in all that you do. Your work ethic, persistence, effort and dedication will glow on your behalf. Do not brag about your accomplishments; allow your reputation to speak of your magnificence.
Toni Sorenson|If you have no armsTo hold your crying child but your own armsAnd no legs but your own to run the stairs one more timeTo fetch what was forgottenI bow to youIf you have no vehicleTo tote your wee one but the wheels that you driveAnd no one else to worry, “Is my baby okay?”When you have to say goodbye on the doorsteps of daycareor on that cursed first day of schoolI bow to youIf you have no skill but your own skillTo replenish an ever-emptying bank accountAnd no answers but your own toSatisfy the endless whys, hows, and whens your child asks and asks againI bow to youIf you have no tongue to tell the truthTo keep your beloved on the path without a precipiceAnd no wisdom to impartExcept the wisdom that you’ve acquiredI bow to youIf the second chair is emptyAcross the desk from a scornful, judging authority waitingFor your child’s father to appearAnd you straighten your spine where you sitAnd manage to smile and say, “No one else is coming—I’m it.”Oh, I bow to youIf your head aches when the spotlight finally shineson your child because your hands are the only hands there to applaudI bow to youIf your heart aches because you’ve given until everything in you is goneAnd your kid declares, “It’s not enough.”And you feel the crack of your own soul as you whisper,“I know, baby. But it’s all mama’s got.”Oh, how I bow to youIf they are your life while you are their nurse, tutor, maidBread winner and bread baker,Coach, cheerleader and teammate…If you bleed when your child falls downI bow, I bow, I bowIf you’re both punisher and huggerAnd your own tears are drowned out by the running of the bathroom faucetbecause children can’t know that mamas hurt tooOh, mother of mothers, I bow to you.—Toni Sorenson
Tony Curl, Seriously Simple Stuff to Get You Unstuck|Take the time to celebrate stillness and silence and see the joy that the world can bring, simply.
Bud Harris|It takes courage to dream, to face our futures and the limiting forces within us. It takes courage to be determined that, as we slow down physically, we are going to grow even more psychologically and spiritually. Courage, the philosopher Aristotle taught us, is the most important of all the virtues, because without it we can’t practice any of the others. Courage is the nearest star that can guide our growth. Maya Angelou said we must be courageous about facing and exploring our personal histories. We must find the courage to care and to create internally, as well as externally, and as she said, we need the courage “to create ourselves daily as Christians, as Jews, as Muslims, as thinking, caring, laughing, loving human beings.
Jagdish Joghee|There was no use feeling guilty about getting on to the ship when you are in the middle of the ocean. If you felt guilty or sorry, you had only one option – drown in the middle of the sea.
Tony Curl, Seriously Simple Stuff to Get You Unstuck|When you find yourself internally, you find what nourishes you from within. You lose that entitlement and anger when YOU deliver.
Tony Curl, Seriously Simple Stuff to Get You Unstuck|I needed to realise my role in the drama and it was only then that I could learn and be better for it, and it was only then that I could move forward. I needed to move forward and had to look at each day as a way of becoming a better me. And when I got better, the people around me reciprocated.
Maggie Stiefvater, The Raven King|Wanting to live, but accepting death to save others: that was courage.
Tony Curl, Seriously Simple Stuff to Get You Unstuck|We need more people in this world, energised by chasing a quest or a goal and that is what will energise the world.
G.K. Chesterton, Heretics|The word 'heresy' not only means no longer being wrong; it practically means being clear-headed and courageous. The word 'orthodoxy' not only no longer means being right; it practically means being wrong. All this can mean one thing, and one thing only. It means that people care less for whether they are philosophically right. For obviously a man ought to confess himself crazy before he confesses himself heretical.
Michael Meade, Why the World Doesn't End: Tales of Renewal in Times of Loss|Until a person has failed significantly or missed the boat, they will not know how to hold the tension until the right moment or how to test the waters before pushing on.
Tony Curl, Seriously Simple Stuff to Get You Unstuck|If I always stuck up for what I had, I would have missed the most amazing things I have today. What are you fighting for that you need to let go? Release the magic within. The magic of what could be.
Tony Curl|When you are the central character in a seemingly boiling pit of “busy-ness” the time will come when the pace of decline cannot be countered. You build yourself the circumstances of ultimate failure by failing to grow, by failing to act on your learnings.
Nina George, The Little Paris Bookshop|What a hideous life he had chosen, how painful was the loneliness he endured because he didn't have the courage to trust someone again. To trust someone entirely because in love there is no other way.
Clare Bell, Ratha's Courage|Real courage is being kind again, after you've felt that your kindness was thrown in your face. To risk it once more, or even twice more takes a special strength.
Richard Matheson, The Shrinking Man|This, he knew, was courage, the truest, ultimate courage, because there was no one here to sympathize or praise him for it. What he felt was felt without the hope of commendation.
J.C. Ryle, Thoughts for Young Men|Young man, be of good courage. Care not for what the world says or thinks: you will not be with the world always. Can man save your soul? No. Will man be your judge in the great and dreadful day of account? No. Can man give you a good conscience in life, a good hope in death, a good answer in the morning of resurrection? No! no! no! Man can do nothing of the sort. Then "fear not the reproach of men, neither be afraid of their revilings: for the moth shall eat them up like a garment, and the worm shall eat them like wool" (Isa. 51:7,8). Call to your mind the saying of good Colonel Gardiner: "I fear God, and therefore I have none else to fear." Go and be like him.
J.F.Johns|Strength was not how fiercely one punched, but instead, how one would summon the courage to take a blow for someone else.
Walter Scott|Everything is possible for him who possesses courage and activity,'' she said, with a look resembling one of those heroines of the age of chivalry, whose encouragement was wont to give champions double valour at the hour of need; ``and to the timid and hesitating, everything is impossible, because it seems so.
Ernest Agyemang Yeboah|There is one thing you must always remember about yourself; always be yourself, with courage and humility, no matter what!
Craig D. Lounsbrough|With God, a mountain before me is soon to be a memory behind me.
Renee Carlino, Swear on This Life|We can't always control our circumstances, who are parents are, where we live, or how much money we make, but in those rare moments when we can shape our fate, when we do have the power to make our own happiness, we can't be too scared to do it.
Kilroy J. Oldster, Dead Toad Scrolls|Every person fails, nobody achieves everything that he or she set out to achieve. Nobody, regardless of how many personal triumphs they enjoy, no matter how rich or powerful they become, goes through life without encountering failure. You cannot fail unless a person valiantly tries to accomplish a task. The most audacious person readily attempts difficult projects, despite feeling uncertain if they can prevail. Successful people exhibit the character to respond positively to failure. Some failures prove instrumental in altering a person’s outlook, and their revised perspective leads to brilliant successes
Shannon L. Alder|I don't fear the future. I fear letting it pass by me, without ever trying to make it mine.
Neel Burton|One needs to be either more brave or more good, because if courage is lacking goodness can substitute, while cowardice is the deficiency of both.
Courtney Summers, Please Remain Calm|Because you made it here on a lot less" he says and he has no idea how on the mark he is.
Toni Sorenson, Aligned By Christ|Being meek does not make you weak. You’re not someone who sways with changing circumstances. You don’t allow yourself to be used. You’re not passive or spineless. Your faith is in the Almighty, so you know that you are mighty.
Flavin, Martin|Thinking it was easy to take a chance on things if you had nothing to lose -- politics, ideas, almost anything in fact; from the bottom of the ladder you could safely risk a fall, but the higher that you climbed the more cautious you must be.
Sabine Shah|We all write stories in our minds, but only few have the courage to put them on paper.
Kilroy J. Oldster, Dead Toad Scrolls|All revered spiritual leaders, political leaders, and diplomats, captains of industry, intellectuals, and winning generals exhibit genuine humility that empowers them to act with integrity and courage under the most distressing circumstances.
Chris Matakas, The Tao of Jiu Jitsu|When you realize you are no longer made of glass, you lose the desire to demonstrate that fragility in others.
M. L. Stedman - The Light Between Oceans|To make sense of it - that's the challenge. To bear witness to the death, without being broken by the weight of it.
Assegid Habtewold, The 9 Cardinal Building Blocks: For Continued Success in Leadership|If your focus is on your failures, limitations, & fears, you've one sure destination. You'll get drowned. If not now, at the end of the day!
Jolene Perry|And it's true what I read about joy. It's the kind of happiness that not only fills you up but spills over. Really, all you have to do is look for it, and then have the strength to let it in. And believe it or not, that's the hardest part.
Assegid Habtewold, The 9 Cardinal Building Blocks: For Continued Success in Leadership|Take away your eyes from your past failures, current limitations, and future fears. Be hopeful, believe in yourself, be bold, and move on...
Nina George, The Little Paris Bookshop|We are loved if we love, another truth we always seem to forget. ...Loving requires so much courage and so little expectation.
L. Frank Baum|All you need is confidence in yourself. There is no living thing that is not afraid when it faces danger. The true courage is in facing danger when you are afraid, and that kind of courage you have in plenty.
Deborah Levy, Hot Milk|Gómez had suggested I steal a fish to achieve more courage and purpose. I regarded this task as an anthropological experiment, though it crossed a border into something approaching magic, or perhaps magical thinking. When I googled how to gut a fish, there were over 9 million results.
Maya Angelou|We need to develop courage, and we need to develop it in small ways first..... You develop a little courage, so that if you decide, "I will not stay in rooms where women are belittled; I will not stay in company where races, no matter who they are, are belittled; I will not take it; I will not sit around and accept dehumanising other human beings: - if you decide to do that in small ways, and you continue to do it - finally you realize you've got so much courage. Imagine it - you've got so much courage that people want to be around you. They get a feeling that they will be protected in your company.
Angron, Wahammer 40K|What would you know of struggle, perfect son? When have you fought against the mutilation of your mind? When have you had to do anything other than tally compliance's and polish your armor? The people of your world named you "Great One". The people of mine called me slave. Which one of us landed on a paradise of civilization to be raised by a foster father, Roboute? Which one of us was given armies to lead after training in the halls of the Macraggian High Riders? Which one of us inherited a strong, cultured kingdom? And which one of us had to rise up against a kingdom with nothing but a horde of starving slaves? Which one of us was a child enslaved on a world of monsters, with his brain cut up by carving knives? Listen to your blue clad wretches yelling courage and honor, courage and honor, courage and honor! Do you even know the meaning of those words? Courage is fighting the kingdom which enslaves you, no matter that their armies outnumber yours by ten-thousand to one. You know nothing of courage! Honor is resisting a tyrant when all others suckle and grow fat on the hypocrisy he feeds them. You know nothing of honor!
Emma Watson|Don’t let anyone tell you what you can and can’t do or achieve. Do what you want to do and be who you want to be. Just encourage and include each other, don’t ostracize the gender in front of you.
W. Somerset Maugham, Of Human Bondage|Monsieur Foinet got up and made as if to go, but he changed his mind, and, stopping, put his hand on Philip's shoulder."But if you were going to ask me my advice, I should say: take your courage in both hands and try your luck at something else. It sounds very hard, but let me tell you this: I would give all I have in the world if someone had given me that advice when I was your age and I had taken it."Philip looked up at him with surprise. The master forced his lips into a smile, but his eyes remained grave and sad."It is cruel to discover one's mediocrity only when it's too late. It does not improve the temper."He gave a little laugh as he said the last words and quickly walked out of the room.
Terry Hayes, I Am Pilgrim|I had been to Jeddah on my previous trip, so I knew it well enough. There was only one thing to recommend it: say, you wanted to commit suicide and couldn’t quite find the courage, two days in Jeddah would do the trick.
Craig D. Lounsbrough|To grow is not to timidly sit on some safe shore at water’s edge and clumsily grab whatever happens to float by me. Rather, it is to deliberately step into waters both calm and turbulent in order to wrestle great things to shore.
Sammy Toora|You can repeat lies of others without hesitationBecause, you don’t have to give justification But, saying truth you have to be fearless and courageousBecause, you have to defend your viewsYou can not say truth without hurting sentiments of many people
Napoleon Hill, Think and Grow Rich|Definiteness of decision always requires courage, sometimes very great courage. The fifty-six men who signed the Declaration of Independence staked their lives on the decision to affix their signatures to that document.
Diyar Harraz, One Minute to Midnight|There were so many things we left unsaid. Depending on how you look at it, whether you think it was worth saying it out loud, or better kept inside.
Victoria Wen|To forgive is a decision, to forget takes effort, to heal is a process, to believe again takes courage.
Erica Jong|Many people today believe that cynicism requires courage. Actually, cynicism is the height of cowardice. It is innocence and open-heartedness that requires the true courage-however often we are hurt as a result of it.
Lauren Magaziner, Pilfer Academy: A School So Bad It's Criminal|He turned to face the long, shadowy hall. There was no turning back now. Unless, of course, he decided to turn back.
Osho, The Secret of Secrets|Risk all. Let life be a play, a risk, a gamble. And when you can risk all you will attain to a sharpness in your being: your soul will be born. The Golden Flower can bloom in you only if you are courageous, daring. It blooms only in courage.
William Shakespeare, Henry V|He which hath no stomach to this fight, let him depart, his passport shall be made and crowns for convoy put into his purse. We would not die in that man's company that fears his fellowship, to die with us.
Robert Browning, Poetical Works|The power of the night, the press of the storm, the post of the foe; where he stands, the Arch Fear in a visible form, yet, the strong man must go.
Michael Barrett, A Calendar of Scottish Saints|When Abbess Ebba received tidings of the near approach of the pagan hordes, who had already wrecked vengeance upon ecclesiastics, monks, and consecrated virgins, she summoned her nuns to Chapter, and in a moving discourse exhorted them to preserve at any cost the treasure of their chastity. Then seizing a razor, and calling upon her daughters to follow her heroic example, she mutilated her face in order to inspire the barbarian invaders with horror at the sight. The nuns without exception courageously followed the example of their abbess. When the Danes broke into the cloister and saw the nuns with faces thus disfigured, they fled in panic. Their leaders, burning with rage, sent back some of their number to set fire to the monastery, and thus the heroic martyrs perished in the common ruin of their house.
Nikki Rowe|I find myself enjoying being alone a lot of the time, people come and people go and you have to find a way to be ok with both.
Frederick Espiritu, One Whole Naked Me|Courage brought me here.I desperately tried to dress myself with words.Yet excuses can no longer defend my walls.So here I am.Clueless.Defenseless.But I will tell you this,for this is all you have to know.I love you.Nothing in this life is more worthfighting for than that.
Clifford Cohen|If you can’t be brave in the face of adversity, at least be practical.
Nikki Rowe|There is a gift in experiencing so much tragedy of life from a young age, you gain the wisdom earlier to make better choices for later.
Mavis Leno|If you want to make a difference, the next time you see someone being cruel to another human being, take it personally. Take it personally because it is personal.
Nikki Rowe|Love is anything but safe, it's wild and raw and will rip at your heart strings but once you've tasted it for the very first time it becomes like an addiction feeling nostalgia when seperated for another beating heart & before them you question where you called home.
Alok Jagawat|Men with Honor are not killed by swords, they die of Shame.
Deyth Banger|People should be courage to read books, it should be made in such way how I changed my opinion how James Patterson did it. It should be done a way in which people should se the advantages of reading a book.
James Morris Robinson, Genesis: A New World Order|True heroism is not reserved solely for men and women in uniform. Heroes come in all genders, shapes, sizes and colors. We thank these world heroes for their sacrifices, courage and acts of valor that have made a difference in the world.
Azar Nafisi, Things I've Been Silent About: Memories|But it was women like Rudabeh who planted in my mind the idea of a different kind of woman whose courage is private and personal. Without making any grand claims, without aiming to save humanity or defeat the forces of Satan, these women were engaged in a quiet rebellion, courageous not because it would get them accolades, but because they could not be otherwise. If they were limited and vulnerable, it was an audacious vulnerability, transcending the misogyny of their creator and his times.
