Cassandra Clare|I think that's just a story.""But, Jace," she said. "All stories are true.
Aaron D'Este, Weapon of Choice|The sun was late, stuck in heavy mist. When it finally broke free there was no one to see, no one to applaud its sterling effort, because everyone in Freemantle was heading west. The burnt orange blaze of dawn made it look like they were fleeing a fire, but all knew that the real conflagration lay ahead.
Aaron D'Este, Weapon of Choice|Tristan turned to face the Talon crowd and placed one hand on his own chest, “Our parents think that ‘compromise’ is a dirty word, a sign of weakness and neglect. They choose combat over concession every time. They fight for the sake of fighting because in their world,” and now he pointed out of the room into the distance, “every disagreement has to have a winner and a loser; life can never be a draw.
Aaron D'Este, Weapon of Choice|Mick reached backwards without breaking eye contact and ran his hand across the door behind him, “See this?” he said. “This is my door. And no-one is touching my door today.” He shook his head slowly as if the issue wasn’t even up for debate.Surle said nothing, just stared.Mick swung his sword lazily, pointing towards the floor between himself and the infamous Marshal, “See this floor here? This floor is my porch,” he said. “And no-one is welcome on my porch today, especially you.”Still nothing from Surle, just silence.“So why don’t you just sod off like a good little lackey?
Aaron D'Este, Weapon of Choice|Rotten, dirty, back-slapping, wine-quaffing, haemorrhoid-hosting, goat-shagging, fart-sniffing, Crispin-loving, gold-snatching bastards!!!
Aaron D'Este, Weapon of Choice|Jeffers stretched up on his toes to see the back of the mob, “But James, we’re doing all this for you... We need this gold to build a united Alba. We need it to fund an army and to forge decisive leadership.” His voice was almost plaintive. “We want to hand your generation a real empire rather than just a loose collection of competing Families. We want to give you the foundations to achieve glory! What could possibly be wrong with that?”“Rubbish!” cried Tristan, not about to let honey-coated nonsense dissolve the glue that bound his army. “Absolute codswallop!” he let his calm facade slip for the first time that day. “What you’re actually trying to do is to build a legacy that you don’t deserve! You want to swan around as an armchair General for the next twenty years while your precious army strives and dies for hollow victories that do nothing more than feed your ego! And do you know who strives and dies in this picture?” He waved one arm at the figures behind him. “We do! We here in this alley, along with other young men and women just like us!”Tristan watched Jeffers from the corner of his eye, as he shook his fist towards deGroot, “Well we’re not having it! If you want us to fight and die, then we’re going to fight now, and we’re going to fight you! So come on down deGroot and take a swing!
Aaron D'Este, Weapon of Choice|It wasn’t like that at all!” argued the Sleuth, looking around for support. “It was a heroic, selfless act of spectacular bravery! I should be worshipped like a god! Immortalised in song!” He struck a dramatic pose, “One man, alone and outnumbered, sacrificed himself for the greater good…”“Immortalised in song, eh?” chuckled Mick. “How about ‘ridiculed in nursery rhymes’?
Criss Jami, Killosophy|People don't care about being duped as long as they're happy, which is the shortest form of happiness; hence 'self-duprication' becomes a habit.
Ransom Riggs, Hollow City|You may choose to live in a world of fantasy if you like, my dear, but I am a realist.
Naoko Takeuchi|You’re so unfair, Michiru…To leave into your own world…Don’t leave me alone…-Haruka Tenoh/Sailor Uranus
Sarah Glenn Marsh, Fear the Drowning Deep|And with the melody came the unmistakable sound of water slapping against the rocks far below us, slowly eroding the foundation of Port Coire and everything I loved.
Erika Johansen|Why do you have such a nice Bible?” Kelsea asked.“The Bible is a book, Kelsea, a book that has influenced mankind for thousands of years. It deserves to be preserved in a good edition, just like any other important book.”“Do you believe it’s true?”“No.”“Then why did I have to read it?” Kelsea demanded, feeling resentful. It hadn’t been a particularly good book, and it was heavy; she had hauled the damned thing from room to room for days. “What was the point?”“To know your enemy, Kelsea. Even a book can be dangerous in the wrong hands, and when that happens, you blame the hands, but you also read the book.
S.R. Gibbs, The Inner Kingdom|That is when you know you have reached the point of no return, when you began to stalk a ghost.
Terry Pratchett|It's rude to stare," said the troll. Its mouth opened with a little crest of foam, and shut again in exactly the same way that water closes over a stone. "Is it? Why?" asked Rincewind. How does he hold himself together, his mind screamed at him. Why doesn't he spill?
S.R. Gibbs, The Inner Kingdom|We keep electing council members for appearance sake, it doesn’t mean anything, and it is just a show for the people, so that they may sleep well at night with their delusion of peace.
Nikki Rowe, Once a Girl, Now a Woman|i dont live in a fantasy; just a dream, that's to hard for some to believe.
S.R. Gibbs, The Inner Kingdom|Clearing his throat “It is very improper for a lady to open the door, to a person of the opposite sex in her… sleeping attire.”“Improper? I look like I am wearing a rug,” I exclaimed, as I motioned at the calf-length thick red fabric; that I was wearing with wide shoulder straps. “Secondly, I don’t see you as human, let alone a man. You are more like a homicidal invention, of my hormonal teenage nightmare; which I can’t seem to be able to awake from.
Mike  Carey|Dragons were a problem sometimes, but they only came on Tuesdays, so you could work around them.
L.  Benitez, Shinobi 7: Trials of a Warrior|So these are the fresh meat, eh?” Zuko smirked. I cringed when he said fresh meat. How demeaning. “Well, I don’t know how well all of you can fight. So I’ll find out the quickest and simplest way.” He raised a scarred arm and pointed it at all of us, “ATTACK THE FRESH MEAT!
Lloyd Alexander|I can't imagine why knowledge, truth and love should be so much of a secret
Brandon Mull|Rachel opened her mouth to respond, but the head cut her off.
Sher-E-Yazdan|Gym is a fantasy place for me,gym is the place where i can do what ever i want.nobody stops you.nobody irritate you.you can lift weight what ever you want to choose.during exercises when you look your self in mirror and some people saw you.and think that he has nice built.that moment you proud on yourself.
Ali Harper, Beautiful Bedlam|All clichés aside, sometimes a girl just needed to cry in the rain.
Kim Cormack, Sweet Sleep|She could just kill them. If she did they would be healed again in moments ☥ She'd better let sleeping demons lie. "Enlightenment." Coming soon
Dalinar Kholin|I'm a weak man, Navani. I really am. If I give myself a few feet of leeway, I burst through all of my prohibitions.
Patrick Rothfuss|The problem with a lot of people who read only literary fiction is that they assume fantasy is just books about orcs and goblins and dragons and wizards and bullshit. And to be fair, a lot of fantasy is about that stuff.The problem with people in fantasy is they believe that literary fiction is just stories about a guy drinking tea and staring out the window at the rain while he thinks about his mother. And the truth is a lot of literary fiction is just that. Like, kind of pointless, angsty, emo, masturbatory bullshit.However, we should not be judged by our lowest common denominators. And also you should not fall prey to the fallacious thinking that literary fiction is literary and all other genres are genre. Literary fiction is a genre, and I will fight to the death anyone who denies this very self-evident truth.So, is there a lot of fantasy that is raw shit out there? Absolutely, absolutely, it’s popcorn reading at best. But you can’t deny that a lot of lit fic is also shit. 85% of everything in the world is shit. We judge by the best. And there is some truly excellent fantasy out there. For example, Midsummer Night’s Dream; Hamlet with the ghost; Macbeth, ghosts and witches; I’m also fond of the Odyessey; Most of the Pentateuch in the Old Testament, Gargantua and Pantagruel.Honestly, fantasy existed before lit fic, and if you deny those roots you’re pruning yourself so closely that you can’t help but wither and die.
J.R.R. Tolkien|The world is changing: I feel it in the water, I feel it in the earth, and I smell it in the air.
Christine Heppermann, Poisoned Apples: Poems for You, My Pretty|And those women were sneaky. They understood that including fantastical elements in their tales- golden eggs, signing harps, talking frogs- worked to mask a deeper purpose....it made the stories look on the surface like 'a mere bubble of nonsense' within which it was possible to 'utter harsh truths, to say what you dare' about the state of women's lives. Because they were just stories, right? Harmless little fantasies?
J.R.R. Tolkien, Tolkien on Fairy-stories|I propose to speak about fairy-stories, though I am aware that this is a rash adventure. Faërie is a perilous land, and in it are pitfalls for the unwary and dungeons for the overbold.
J.R.R. Tolkien, Tolkien on Fairy-stories|Man, Sub-creator, the refracted Lightthrough whom is splintered from a single Whiteto many hues, and endlessly combinedin living shapes that move from mind to mind.
A.R. Von, Lady's Destiny|His eyes go wide while a gasp of wonder passes his lips. He turns his body fully toward us. His lips moving like a fish out of water, gasping for breath. He gives his head a shake and stutters out, “Mer—mermaids. There are fish with women’s bodies or—women with fish bodies sitting upon the rocks. I—I never knew...
J.R.R. Tolkien, Tolkien on Fairy-stories|The mind that thought of light, heavy, grey, yellow, still, swift, also conceived of magic that would make heavy things light and be able to fly, turn grey lead into yellow gold, and the still rock into a swift water.
Terry Pratchett|Fantasy imposes order on the universe. Or, at least, it superimposes order on the universe. And it is a human order. Reality tells us that we exist for a brief, beleaguered span in a cold infinity; fantasy tells us that the figures in the foreground are important. Fantasy peoples the alien Outside, and it doesn’t matter a whole lot if it peoples it with good guys or bad guys. Putting ‘Hy-Brasil’ on the map is a step in the right direction, but if you can’t manage that, then ‘Here Be Dragons is better than nothing. Better than the void.
Nicole Sager|Half of what I write is imaginative reality. The other half is realized impossibilities. Blended into one, these make a fantasy.
Chess Desalls, Travel Glasses|No doubt you've experienced something similar in books, movies, novels–whatever you use as an excuse to get away, to suspend reality. Literary characters, like these projections, draw you in and cultivate feelings of friendship on your part. Although, no matter how much you learn about them, how much time you spend with them–how far you can see into their thoughts and words, how they interact with others, their looks, what they wear–they will never, ever know you.
Terry Pratchett, The Light Fantastic|In fact the Gods were as puzzled by all this as the wizards were, but they were powerless to do anything and in any case were engaged in an eons-old battle with the Ice Giants, who had refused to return the lawnmower.
polandbananasBOOKS|There are many who are hesitant and say, 'I don't witches and I don't like wizards; I only like the real world.' That's because you haven't been to the fake one yet.
David Kuklis, Escape from Netherworld|Ah, life in medieval times! Yeah, we only have to worry about losing our heads every day.
A.O. Esther, Elveszett lelkek|This time, I sat next to a pixie girl called Takara, who had pinkish hair and wore a bright pink dress to match. She was the first forest-dweller I had seen wearing jewellery: she was wearing a necklace and bracelet of finely worked crystal beads. When she noticed my interest, she removed her bracelet and held it out to me. “Sophiel, I would be so pleased if you would wear this!”I was surprised by this kind and very selfless gesture; after all, I had not been admiring her jewels with any intention of asking her to part with them!“You’re very kind, Takara, but I was merely admiring your handiwork!” I said, trying politely to refuse her gift. “Mitsuko told me that you make your jewellery yourself. You’re very talented, they’re really lovely pieces, but I wouldn’t want to take them away from you. It’s you that makes these jewels really beautiful!
Leigh Goff, Disenchanted|I threw my hands on my hips, shocked by the irony. A Mather helping a Greensmith? Hell was freezing over somewhere beneath our feet and every kind of farm animal was sprouting wings to fly.
Michael Joseph Murano, Age of the Seer|Azerowut, I must tend to an urgently urgent business and a business that is urgent most urgently. Watch over my tent with extreme care and care that is caring in the extreme, and do not, under any circumstantial circumstances, allow anyone and his brother to be within an uncomfortably uncomfortable distance of her door. --Master Kwadile
Shannon L. Alder|The fault in our stars is the inability to see that the world falls in love with fantasy, fairytales and magic in movies. Even religion asks us to believe in the most unlikely of situations. However, despite all the great movies we love, we choose to see so many real life spiritual experiences as delusion, mania, psychosis or wishful thinking. Our society gives great devotion to the arts. However, they solve so many problems with realism, rather than giving into the possibilty of God's plan for a person, that doesn't involve their theological views about how God helps write his children's stories.
Cammie McGovern, Say What You Will|Oh God, this is my fantasy! Where those just-friend boys suddenly realize they lov
Kate Griffin|You know how it is -- you get older, you get wiser, you start to ask yourself 'is it any use being able to summon creatures of the nether deeps when I could be watching BBC 4?
Laney McMann, Torn|What kind of life is that? Do you know? Do you? Because I know. I lived that life. For years I lived it. Without you. And I've never been more miserable. I'd rather fight everyday to keep you near me than have you walk away. I'd rather pay that price, Max. I'm not afraid to pay it. I can't believe you're standing here telling me that you are." ~Layla to Max; TORN
Cherise Sinclair, Show Me, Baby|Thus, she had learned a romance book was fiction. A hero who truly cared for the heroine was called a fantasy.
Robin A. Dilks, Racheal Awakened|If you do nothing more in life do what you love. It may not make you rich, but it will always make you happy.
Micheal Joseph Murano|My father used to say that when hunting a shark, we should either kill it or let it go. To cage a shark is sheer cruelty, and I cannot live like a shark in a cage any longer.
Brooke Burgess, The Cat's Maw|There were fat cats and skinny cats. The long-tailed and the bobbed. The daring young leapers, and the old windowsill sleepers. Balls of waddling fluff, smooth-coated prowlers, and hairless ones that looked fragile and wise. The tiger-striped, the ring-tailed, and the ones with matching coloured socks and mittens. There were tabbies and calicos. Manx and Persians. Siamese and Bombay. Ragdolls and Birmans. Maine Coons and Russian Blues. There were Snowshoes and Somalis, Tonkinese and Turkish, and many, many more. Brown and beige and orange and grey and black and white and silver cats, each with gleaming eyes of emerald, or sapphire, or amber. A rainbow of precious stones.
Suren Hakobyan, Edge of End|I can’t change my past, nobody can, I can make my future better
Jenna Lindsey, A Precarious Journey Into Magic|I think one who thrives on death may be defeated by life.Elswyth, from A Precarious Journey Into Magic
Michael Moorcock, The Knight of the Swords|Therefore it seemed a dreadful injustice that these wise races should perish at the hands of creatures who were still little more than animals. It was as if vultures feasted on and squabbled over the paralyzed body of the youthful poet who could only stare at them with puzzled eyes as they slowly robbed him of an exquisite existence they would never appreciate, never know they were taking.
Rudyard Kipling, Rudyard Kipling's Tales of Horror and Fantasy|All kinds of magic are out of date and done away with, except in India, where nothing changes in spite of the shiny, top-scum stuff that people call 'civilization.
Just B. Jordan, Never To Live|I don't have to stand and walk, I only have to open my eyes.
Sally Wiener Grotta, The Winter Boy|We are all of the same substance, the same life. Though there are many differences between us, those are merely the shadows that delineate our boundaries. Our light is the same.
Dylan Perry, Gods Just Want To Have Fun|Curious about these new entities, the elementals asked why the gods were in the shape they were."We are bipedal," Erebus said. "We wish to be distinguished from the animals.""What are animals?" an elemental asked."We're not sure yet, but they will have more than two legs. Unless we give them less than two... or maybe not. Anyway, it's just a concept we're playing with at the moment.
Dylan Perry, Gods Just Want To Have Fun|Ready?" Aeron called over.Michael span to see him giving a thumbs up to the booth. His eye was drawn down to the huge war hammer hanging from his other hand."How about we start with a chase? Try to touch the far wall and get back here before I cripple you." He smiled as if he'd said 'tag you', not 'cripple you'.
Lou Anders, Frostborn|You live and die in the batting of my eyes. You cast a wavering shadow over the snow for a day. I cast my shadow over empires across eons." - Orm Hinn Langi the Dragon
Dylan Perry, Gods Just Want To Have Fun|Corvid looked up at her. "Oh, hello Doris.""Gertie, dear," she said. "They call me Gertie.""You used to be Doris," Corvid said as a matter of fact."Who?" She seemed unsure of what she was being told."Doris, daughter of Oceanus and Tethys?" Corvid carried on when he saw her blank expression. "You must remember Nereus? Your husband?"Nothing."You gave birth to fifty sea nymphs. I guess sea nymphs come out slippy and hydrodynamic, but even so, fifty of them? That must stick in the memory as the day before you felt really sore for a month or so?"Doris thought about it for a moment. "It does ring a bell. Sorry, who are you?
Daniel Adorno, The Blade Heir|If we must die, then let us die fighting a battle worthy of remembrance in the tales of our descendants!
Dylan Perry, Gods Just Want To Have Fun|I've done this sort of thing before. Not prophecies so much, but you'd be surprised how many people want to realign their ancestral lines to seem nobler, or rewrite their family history to remove more morally questionable episodes." He paused to recall a recent rewrite. "One lord wanted the murderers removed from his family line. His family was so corrupt, he ended up with three virgin births, two generations removed entirely and a lady who gave birth at the age of two. Still, no one questions it as there is evidence in the archives." Bubo smugly tapped a book. "There is one thing though, faking a prophecy in the past is easy, you already know the result. How will you make this come true in the future?""I have someone in mind for it, but I'm not sure he'll go for it. But then prophecy is all optional anyway." Corvid looked up as if a thought had occurred to him. "I'd best go check on my man, I've not met him yet.
Dylan Perry, Gods Just Want To Have Fun|I don't understand humans." Caradoc shook his head. "It takes their brightest minds decades to plan an unmanned voyage to the nearest planet, which can take a year to travel each way. Yet they expect there to be aliens travelling distances it takes light decades to reach us, just for a weekend of bum fun with a total stranger without asking their permission, before dropping them off where they found them. They're just dying to believe the weirdest, least plausible things possible.
A.D.Y. Howle|I'll make my own magic'" - A.D.Y.Howle
Grace Draven, Master of Crows|Come in, Martise." Silhara's voice was almost sibilant in the darkness as he tagged on her hand. "There are no soul eaters here." No, she thought. Only heart thieves.
Margaret Weis, Dragons of Winter Night|If we deny love that is given to us, if we refuse to give love because we fear the pain of loss, then our lives will be empty, our loss greater.
Jennifer Weiner, All Fall Down|I had started on the marriage and motherhood beat by accident with a post on my personal, read only by friends, blog called ‘Fifty Shades of Men’. I had written it after buying Fifty Shades of Grey to spice up what Dave and I half-jokingly called our grown up time, and had written a meditation on how the sex wasn’t the sexiest part of the book. “Dear publishers, I will tell you why every woman with a ring on her finger and a car seat in her SUV is devouring this book like the candy she won’t let herself eat.” I had written. “It’s not the fantasy of an impossibly handsome guy who can give you an orgasm just by stroking your nipples. It is instead the fantasy of a guy who can give you everything. Hapless, clueless, barely able to remain upright without assistance, Ana Steele is that unlikeliest of creatures, a college student who doesn’t have an email address, a computer, or a clue. Turns out she doesn’t need any of those things. Here is the dominant Christian Grey and he’ll give her that computer plus an iPad, a beamer, a job, and an identity, sexual and otherwise. No more worrying about what to wear. Christian buys her clothes. No more stress about how to be in the bedroom. Christian makes those decisions. For women who do too much—which includes, dear publishers, pretty much all the women who have enough disposable income to buy your books—this is the ultimate fantasy: not a man who will make you come, but a man who will make agency unnecessary, a man who will choose your adventure for you.
Eva Hoffman, Lost in Translation: A Life in a New Language|When my turn on the program comes, I am not nervous at all—because all this is happening out of time, out of space. I am, for a moment, a figure of my own fantasy, and I play my appointed role as if I were in the movies.
Eugie Foster, Sinner, Baker, Fabulist, Priest; Red Mask, Black Mask, Gentleman, Beast|I am chaos in this ordered society, the flaw in a carefully wrought plan. I am turbulence in the queen's eternal river.
Eugie Foster, Beautiful Winter|... where I walked, the frost shaped itself to my will, dancing in the air like music over water.
Y.K. Raikou|A heart filled with light will always be in the middle of darkness. But, once it shines more brightly, there's nothing to be afraid. You, are the one who will conquer it.
Claire M. Banschbach, The Rise of Aredor|We hear rumors of a man who leads a rebellion in the forest, determined to drive the invader out. It's said wherever wolf howls or hawk cries, he appears.
Lauren Lola, A Moment's Worth|It’s all short, sweet and simple, but it’s all a moment’s worth.
Melissa Simmons, Resistance|You all know why we’re here. The time has come for action. To be sure we are prepared, Maeve and I will be heading out to scout conditions. We shouldn’t be gone more than a fortnight and in our absence, Fianna will be seeing to things. If we don’t return, you all know what to do. Look after yourselves and be ready.
J.J. Gadd, Lunation|The Boy’s head was spinning. Raul was real, and quite possibly not kindly disposed to him, as Marama’s potential heir and jail-breaker. The sailors worshiped Marama, who controlled the tides and commanded them through dreams? The Geolwe collected clouds and lived in the sky? And did the captain just say there were mountains in the sea? Did he mean under the water? Downing the drink in front of him, he began to laugh. It was all just so hopelessly un-real. Anselt and the captain stared for a moment, then found his mirth infectious. Before long they were laughing too, and the sound of their merriment sailed through the night and out to greet the rolling waves, wrapping itself around the ship like a cloud.
Claire M. Banschbach, The Rise of Aredor|We'll free as many as we can and build an army in the forest. It might take years, but I won't rest until every last Calorin is gone from these shores and my father is restored to the throne. - Corin
Eugie Foster, The Storyteller's Wife|Know, Goodwife, that Faerie is shaped by storytellers. Their fantasies, their dreams give my realm life. We were dying, all of us, from the smallest nixie to highborn sidhe, for want of a storyteller.
Dennis Vickers, Mikawadizi Storms|Am I an old man who changed into a butterfly, or a butterfly who thinks he was once an old man?
Dylan Perry, Gods Just Want To Have Fun|Staying relaxed was helping him cope with the drug induced juddering vision that could be best described as being like a Hitchcockian visual effect operated by a hyperactive squirrel that shook the whole universe closer and farther away. If you went with it, it was quite pleasant, as long as you didn't introduce any lateral movement like turning your head or the car. This caused the universe to try and slide away from underneath you. The other side effect was the constant feeling you ought to try to twist your head off, in a good way.
Evette Davis, Woman King|As far as I'm concerned, you're changing the fate of another human being. Maybe he isn't meant to be elected to office. Maybe humans deserve to live with electing the wrong person.
Dylan Perry, Gods Just Want To Have Fun|It was one of those decisions that shouldn't have been so easy to get so wrong. Go on your own or take the half wasted waif. She was wearing denim hotpants with a pink vest top, and was hanging off his arm, more for stability than closeness, so he propped her up against the wall next to the counter and reached inside his coat pocket for his badge. It was definitely his badge, he clearly remembered stealing it two years before whilst in California.
Dylan Perry, Gods Just Want To Have Fun|On the corner of Cathedral Road a raven sat in a tree watching him. He knew it was Dorkus for two reasons. Firstly, he'd told Dorkus to stay there to keep an eye on Michael. Secondly, he was wearing a top hat, carrying a cane, and if Corvid's eyes were right, he now had spats over his feet."Cacaw," Dorkus said."Really?" Corvid replied, "we're back to cawing?""I thought it would be less suspicious in public.""You do know you just said that carrying a cane and wearing a top hat and a pair of spats?
Dylan Perry, Gods Just Want To Have Fun|These werewolves and the gwrgi are not like the American breed of werewolf. They are not part timers. They do not spend the one, full moon, night in every twenty eight as a wolf or wolf-man beast. They do not spend twenty eight days and twenty seven nights wandering round high school hallways and shopping malls filled with teenage angst about falling in love with the 'one'. They do not go to cool parties where everyone is half naked and waxed.When werewolves change that's it, seven years as a wolf. Gwrgi are stuck the way they are permanently and aren't so much a wolf with a large dollop of teenage heart throb mixed in, but more a wolf with a little too much stinky tramp mixed in.One folk legend is true. You can kill both werewolves and gwrgi by either shooting them through the heart with a silver bullet or by chopping their head off. But then, pretty much any animal can be killed by shooting them through the heart with a silver bullet or by chopping their head off. And if you're on a budget, the bullet probably doesn't even need to be silver.
Lauren Lola, A Moment's Worth|Go forward in your beliefs and teachings, educate the open-minded and be humble to the ones who aren’t.
Hannah Moskowitz, Teeth|I wish we would all just fall apart so I wouldn't have to listen to the downfall happen, so slowly, so painfully.
Delano Johnson, Words That Changed the World|I looked at an angel today, but the angel could not see me. The angel was more amazing than beautiful, like the best forgotten dream.
Michael Cisco, The Traitor|Cadavers and spirits are human refuse, and they are absurdly difficult to dispose of properly. When someone dies, a small gang of specialists is required to remove and inter the body in such a way that it can always be located precisely at any time while preventing it from ever appearing again.
J.L. Sheppard, Heavenly Desire|When I’m gone, time won’t change. It will pass the way it always has. I’ve seen it happen. People always move on. You will find your mate. You will move on then I’ll be nothing but a memory, but I will never forget you. I will always love you for you have drawn emotions in me no other has in two thousand years. I will live with the memory of you in my heart because nothing can erase you from within me. You have forever changed me. You’ve taught me what it’s like to truly love.
J.L. Sheppard, Heavenly Desire|I can’t let it happen. I can’t risk it. I have to protect you, and I will. With every breath in me, I will.
J.L. Sheppard, Heavenly Desire|And the more he gazed at her, the more he felt a twinge of something he couldn’t quite describe, an unknown surge that bubbled inside him from the first moment he’d caught sight of her, and it wouldn’t release him.
J.L. Sheppard, Heavenly Desire|He would give up his wings and heaven for her, a woman he loved but would never truly belong to him, a woman he could never keep. He’d fall and be banished from the only home he’d ever known, but he could never give her up. He’d keep her, enjoy her and love her as long as he could.
José Ortega y Gasset, An Interpretation of Universal History|Man is a fantastic animal; he was born of fantasy, he is the son of "the mad woman of the house." And universal history is the gigantic and thousand-year effort to go on putting order into that huge, disorderly, anti-animal fantasy. What we call reason is no more than fantasy put into shape. Is there anything in the world more fantastic than that which is the most rational? Is there anything more fantastic than the mathematical point, and the infinite line, and, in general, all mathematics and all physics? Is there a more fantastic fancy than what we call "justice" and the other thing that we call "happiness"?
S. Usher Evans|I have found the more fantastic the setting, the more truthful the confessions.
Neil Gaiman, Neverwhere|The abbot cleared his throat. "You are all very stupid people," he told them graciously, "and you do not know anything at all.
J.L. Sheppard, Heavenly Desire|I made the decision. I want you more than I want heaven, more than I want to be an angel. I love you more than who I was created to be.
John Howard  Matthews, This Is Where It Gets Interesting|He had to die someday too. He might do it on sheets with a six-hundred-plus thread count, but he'd die just the same. Death wouldn't forget about him.
Gregory C. Carlson, Sold on Language: How Advertisers Talk to You and What This Says about You|You might think of the barrier between fiction and reality as being a bit like a blood-brain barrier, which allows only some kinds of molecules to pass from the bloodstream into the brain. Emotions can easily pass from the fictional world into the real one, so that fiction can feel as if it were real. But BELIEFS are blocked. We KNOW the events have no bearing in the real world.
Bronwen Webb, The Legend of Wild Horse Beach|The dragon turned on the children and unicorns, his mouth open. For a brief moment, they could see his eyes change from blue to a deep red, like coals in a fire. It was almost as if another, fiercer dragon looked at them through Zebedia’s eyes.
Mary-Jean Harris, Aizai the Forgotten|Her voice was soft and numinous, as befitted any Aizian singer, yet it was not just bells and melody. There was something else in her tune, a strand of solemnity that no Aizian could possess, for it yearned for something far away, whereas Aizians needed only open their eyes to behold the greatest wonders. Yes, she was in Aizai now, but she hadn’t always been, and for how much longer was impossible to say.
Michael Cisco, The Traitor|Ask anyone what that means, what it means to see a miracle, and they will say that it's something impossible, but they mean that a miracle is something formerly believed to be impossible that turns out not to be, not to be impossible, in other words, but possible after all. If this were really true, then miracles would be the most ordinary things in the world, the most uninspiring things in the world, and what can one expect from people who have never been anything but ordinary and uninspired.
Valentina Hepburn, Notes on a Rebellion|He takes my face in his hands and presses his lips against mine – a tender, beautiful kiss – the kiss I’ve waited for forever. He quickly pulls his shirt over his head and my breath catches in my throat at the sight of his muscular body and smooth skin. He pushes Ordinary gently to the bottom of the bunk and climbs in next to me. Wrapping his arms around me, he lays his head next to mine. At last, we sleep.' ...from Notes on a Rebellion
Mary Wollstonecraft Shelley, Frankenstein, or The Modern Prometheus: Classic Annotated and Illustrated 1818 'Uncensored' Edition|The course of the Rhine below Mainz becomes much more picturesque. The river descends rapidly and winds between hills, not high, but steep, and of beautiful forms. We saw many ruined castles standing on the edges of precipices, surrounded by black woods, high and inaccessible. This part of the Rhine, indeed, presents a singularly variegated landscape. In one spot you view rugged hills, ruined castles overlooking tremendous precipices, with the dark Rhine rushing beneath; and on the sudden turn of a promontory, flourishing vineyards with green sloping banks and a meandering river and populous towns occupy the scene.
William Goldman, The Princess Bride|Love is the best thing in the world, except for cough drops.
Brooke Warra|One evening, after a particularly terrible row, the prince smashed his princess over the head with an old wooden clock and she tumbled to the floor, dead.
Montgomery Mahaffey, Ella Bandita and the Wanderer|Although her heart had been dead for years, she clasped her hands over her breast to protect what rested underneath.
Mary-Jean Harris, Aizai the Forgotten|No, I do not believe in fate, that some spirits of the heavens weave the laws of the world to make it so. That is dogma for the foolish, for the universe is quite able to deal with such matters herself, to use her natural laws to guide matter and the spirits. Even so, souls within the world can act to naturally shift the cause of events. Magister Brennark did say that ‘Nothing happens unless we make it so.’ I believe you have made it so, Wolfdon, and how foolish it would be for us to ignore an opportunity that you yourself established, whether you knew you were doing so or not.
Lauren Lola, A Moment's Worth|If you really think about it, humans must look really strange to animals. We have more than one way of communicating, we're ashamed of our bodies as to where it's a law to wear fabrics, we destroy natural civilizations for artificial ones, and despite being of the same species, we always look past that aspect and question, judge, hurt and kill each other over what makes us different.
Lauren Lola, A Moment's Worth|...sometimes when you are lost for direction, you are open to a new way of seeing.
Sarah J. Maas, Crown of Midnight|Chaol," he said, looking over his shoulder. Dorian's eyes were frozen, his jaw clenched. "Treat her well.
Mary E. Pearson, The Kiss of Deception|Ascente cha ores ri ve breazza.""Turn your ear to the wind," she interpreted. "Stand strong.
Mary E. Pearson, The Kiss of Deception|Today was the day a thousand dreams would die and a single dream would be born.The wind knew. It was the first of June, but cold gusts bit at the hilltop citadelle as fiercely as deepest winter, shaking the windows with curses and winding through drafty halls with warning whispers. There was no escaping what was to come.
Danielle L. Jensen, Stolen Songbird|Now that your speech impediment has been rectified, perhaps you might say something. It would be best if it were humorous. I enjoy a good jest.' 'You are dreadfully rude,' I said to him. He sighed. 'That wasn't the slightest bit funny.
Mary E. Pearson, The Kiss of Deception|There aren't many berry bushes where I'm from.""And just where would that be?"His hand paused on a berry like it was a monumental decision whether to pluck it or not. He finally pulled and explained he was from a small town in the southernmost part of Morringhan. When I asked the name, he said it was very small and had no name...."A town with no name? Really? How very odd." I waited for him to scramble, and he didn't disappoint me."It's only a region. A few scattered dwellings at most. We're farmers there. Mostly farmers. And you? Where are you from?"...I took the berry still poised in his fingers and popped it in my mouth. Where was I from? I narrowed my eyes and smiled. "A small town in the northernmost part of Morrighan. Mostly farmers. Only a regions, really. A few scattered dwellings. At most. No name."He couldn't restrain a chuckle. "Then we come from opposite but similar worlds, don't we?
Danielle L. Jensen, Stolen Songbird|Hmmm,' the King said, making a face. 'I'm not sure this is what we bargained for, boy. We expected the girl to be attractive.' If I hadn't been so terrified, I would have been insulted.
Mary E. Pearson, The Kiss of Deception|Snow. I wondered what it felt like. Aunt Bernette said it could be both soft and hard, cold and hot. It stung and burned when the wind pelted it through the air, and it was a gentle cold feather when it drifted down in lazy circles from the sky. I couldn't imagine it being so many things, and I wondered if she had taken license with her story as Father always claimed. I couldn't stop thinking of it.Snow.
Mary E. Pearson, The Kiss of Deception|I saw sadness when I looked at what was left of them. The demigods who had once controlled the heavens had been brought low, humbled to the point of death. I always imagined I heart their crumbled masterpieces singing an endless mourning dirge. I turned, looking at the wild grass shivering across the plateau. "I see only reminders that nothing lasts forever, not even greatness.""Some things last."I faced him. "Really? And just what would that be?""The things that matter.
