Santosh Kalwar|Born to be wild; born to be free; nobody owns you; you are, a romantic tree.
Darla Phelps, Daddy's Girl|I love you, baby girl. When you’re sad, I am too.
Chris Lange, Enchained|Then his beautiful lips touched hers. A fluttering of wings, a cry of angels, a single beat of two hearts.
Jessica Sorensen, The Forever of Ella and Micha|I realize that even through the hard times I’m sure we’ll face, I’ll never be able to walk away from her. -Micha
Graeme Simsion, The Rosie Project|I've sequenced the questions for maximum speed of elimination,’ I explained. ‘I believe I can eliminate most women in less than forty seconds. Then you can choose the topic of discussion for the remaining time.’ ‘But then it won’t matter,’ said Frances. ‘I’ll have been eliminated.’ ‘Only as a potential partner. We may still be able to have an interesting discussion.’ ‘But I’ll have been eliminated.’ I nodded. ‘Do you smoke?’ ‘Occasionally,’ she said. I put the questionnaire away. ‘Excellent.’ I was pleased that my question sequencing was working so well. We could have wasted time talking about ice-cream flavours and make-up only to find that she smoked. Needless to say, smoking was not negotiable. ‘No more questions. What would you like to discuss?
Sarah Alderson, Hunting Lila|He kept his eyes on mine, his gaze unblinking, and I stared right back into the blue. He moved almost imperceptibly and in the space between a heartbeat his lips touched mine.
José Luís Peixoto|na hora de pôr a mesa, éramos cinco:o meu pai, a minha mãe, as minhas irmãse eu. depois, a minha irmã mais velhacasou-se. depois, a minha irmã mais novacasou-se. depois, o meu pai morreu. hoje,na hora de pôr a mesa, somos cinco,menos a minha irmã mais velha que estána casa dela, menos a minha irmã maisnova que está na casa dela, menos o meupai, menos a minha mãe viúva. cada umdeles é um lugar vazio nesta mesa ondecomo sozinho. mas irão estar sempre aqui.na hora de pôr a mesa, seremos sempre cinco.enquanto um de nós estiver vivo, seremossempre cinco
Sarah MacLean, Nine Rules to Break When Romancing a Rake|Ralston looked down his long, elegant nose at the vile creature at his feet, and said, “You just impugned the honor of my future marchioness. Choose your seconds. I will see you at dawn.”Leaving Oxford sputtering on the ground, Ralston spun on one elegant heel to face Benedick. “When I am done with him, I am coming for your sister. And, if you intend to keep me from her, you had better have an army at your side.
Amit Kalantri, I Love You Too|I always have many roads to travel, but I take the one which leads to you.
Terry Goodkind, Wizard's First Rule|I will have to admit, though, that I will never look at an apple in quite the same way.
Ankita Chadha, Anything Else But Love|The love that we feel for each other is not about the worldly things, those materialistic possessions, or great looks either.It’s about the breath I hold at your sheer sight. It’s about the constant drumming of my heart when you come near me, making me aware of your control on me, and how my senses crave for more of you. My love for you is ‘you’, and it will still take me eternity to figure out more of it!
Ami Blackwelder|Her caramel skin and curly beach sand hair spreads in wavy chops like the choppy storm waves on the ocean. Her fluffy rose colored lips glisten with eyes emerald green and almond shaped set deep into her face and yet when she looks at you with those same deep set eyes, it feels like they jump out, speaking to you.
Julia Quinn, When He Was Wicked|Michael nodded tersely, eyeing a table across the room. It was empty. So empty. So joyfully, blessedly empty.He could picture himself a very happy man at that table."Not feeling very conversational this evening, are we?" Colin asked, breaking into his (admittedly tame) fantasies.
Josh Lanyon, Somebody Killed His Editor|Sable hair bisected his pecs and arrowed down to the straight and unequivocal statement of his returned interest. Forcing my gaze to his face, I said, "I really don't think we have time for that.""You know that, and I know that, but HE doesn't believe it.""Believe it," I told HIM.J.X.'s mouth tugged into one of those heart-stopping smiles. "Maybe you should whisper in his ear.
Emery Lee, The Highest Stakes|Finally, mutually, and completely, they released all doubts, abandoned all fears, unwilling and unable to deny this overpowering love.
Leslie Parrish, Cold Touch|Would you believe I was in the neighborhood?”“No."“Well, how about that I needed to see you.”“Why? Did one of my neighbors call and say my cat’s been stalking their bunny?”One corner of his mouth went up. “You know, that sounds like a euphemism. A kind of salacious one”“Ooh, big words for Mr. Average Joe street cop,” she said, knowing she sounded bitchy but unable to help it. “Can you take out the angry eyes, Mrs. Potato Head, and just let me talk to you?
Julia Quinn, It's in His Kiss|Claptrap last week,” Lady D announced. “I think the priest is getting old.”Gareth opened his mouth, but before he could say a word, his grandmother’s cane swung around in a remarkably steady horizontal arc. “Don’t,” she warned, “make a comment beginning with the words, ‘Coming from you…’”“I wouldn’t dream of it,” he demurred.“Of course you would,” she stated. “You wouldn’t be my grandson if you wouldn’t.” She turned to Hyacinth. “Don’t you agree?”To her credit, Hyacinth folded her hands in her lap and said, “Surely there is no right answer to that question.”“Smart girl,” Lady D said approvingly.“I learn from the master.”Lady Danbury beamed. “Insolence aside,” she continued determinedly, gesturing toward Gareth as if he were some sort of zoological specimen, “he really is an exceptional grandson. Couldn’t have asked for more.”Gareth watched with amusement as Hyacinth murmured something that was meant to convey her agreement without actually doing so.“Of course,” Grandmother Danbury added with a dismissive wave of her hand, “he hasn’t much in the way of competition. The rest of them have only three brains to share among them.”Not the most ringing of endorsements, considering that she had twelve living grandchildren.“I’ve heard some animals eat their young,” Gareth murmured, to no one in particular.Hyacinth wrinkled her nose, as she always did when she was thinking hard. It wasn’t a terribly attractive expression, but the alternative was simply not to think, which she didn’t find appealing.
Rachel Gibson, Daisy's Back in Town|Mom," Nathan called to her.Daisy pulled her gaze from the tent and the fleeting glimpse of Jack's bare back, the smooth planes and indent of his spine, the sliver of the white elastic just above the blue waistband of his jeans..."Hmm?""What's a faaar ant?" he asked just above a whisper."Fire." She chuckled and shook her head. "Fire ant. They have a nasty bite that burns."Nathan smiled. "Well, why didn't he just say fire?""He thinks he did.
Sabrina Jeffries, Don't Bargain with the Devil|Lucy: I don't understand men.Nettie: What is there to understand? If you feed 'em regular-like and give 'em a bit of 'sugar' now and then, they're easy enough. And if they don't behave, you just toss 'em out on their arses. That's what I always say.
Susan Elizabeth Phillips, Match Me If You Can|Never mind that. What's going on with you and Heath?"Annabelle pulled a little wide-eyed innocence out of her rusty bag of college acting skills."What do you mean? Business.""Don't give me that. We've been friends too long."She switched to a furrowed brow. "He's my most important client. You know how much this means to me."Molly wasn't buying it. "I've seen the way you look at him. Like he was a slot machine with triple sevens tattooed on his forehead. If you fall in love with him, I swear I'll never speak toyou again." Annabelle nearly choked. She'd known Molly would be suspicious, but she hadn't expected an outright confrontation. "Are you nuts? Setting aside the fact that he treats me like a flunky, I'd never fall for a workaholic after what I've had to go through with my family." Falling in lust, however, was an entirely different matter."He has a calculator for a heart," Molly said. "I thought you liked him.
Sarah Mayberry, Can't Get Enough|He couldn’t just come right out with it, could he? No, that would scare her off. He had to be subtle, build up to it. Explain himself. “I love you.” Of course, straight to the point was also an effective strategy.
Cindy Gerard, To the Brink|I don't think sleeping with you is going to solve anything," she said, stopping at the guest bedroom door."I don't really care what you think.
Rachel Gibson, Daisy's Back in Town|I know about safe sex," Nathan said, interrupting Jack's thoughts. Jack swallowed. "That's good." He smiled at his son, vastly relieved that there would be no hard questions about his own sex life. "What I want to know is..." Nathan stole a quick look back at the tent. "Where is the clitoris exactly?" Jack's smile fell and he opened his mouth. No words came out so he closed it. Nathan had no problem forming his words, though. "And what the heck is a G-spot?
Julie Garwood, Honor's Splendour|You're bruised, as ugly as one of your Cyclops, and I can barely stand to look at you." - Duncan to Madelyne.
Tara Janzen, Crazy Wild|She'd kicked Klein's ass and still had enough moxie to tag him, and enough physical strength to get herself out of a window ten feet up on the wall.He really should marry her.
Kristen Ashley, Knight|And I wake up happy, baby, because I possess beauty and I own that beauty in all the forms it can take and the least important of those are physical.
Matsuri Hino, Vampire Knight, Vol. 1|No one can be a replacement for another person. That is why, farewells are always difficult.
Kristen Ashley, At Peace|Nothing can fill you up,” she stated.“Nope,” he agreed again.“You won’t let it.”“Barrel’s got a hole in the bottom, buddy, everything leaks out no matter how much you pour in.”She was silent a moment then she whispered, “Right.”She turned to the door and his hand gripped his bourbon so hard he had to focus everything on loosening his grip or the glass would shatter.Before she opened it, she turned back. “You don’t know, Cal, you have no idea.You’ve shut yourself up for so long in this fucking house with your tragic memories, you have no idea what’s about to walk out your door. Kate, Keira and me, we could have plugged that hole. We could have filled you so full, you’d be bursting. We would have loved that chance. We’d have given it everything we had, no matter the time that slid by, graduations, weddings, grandbabies, you’d have been a part of us and we’d have given everything we had to keep youso full, you’d be bursting.”Cal didn’t reply.“Joe,” she whispered, “you let me walk out this door, you’ll lose your chance.”Cal didn’t move.Vi waited.Cal stayed seated.
Heather Dixon, Entwined|She looked at him, his soft brown eyes and tall form, and contemplated raising herself on her toes and kissing his ear, or his cheek...Instead, impulsively before leaving, she reached up and smoothed his mussed hair.Mr. Bradford beamed.
J.H. Trumble, Don't Let Me Go|I’ll never understand why some people can’t just let others live their lives, you know,” Danial said. “You don’t have to understand. You don’t have to agree. Just leave people alone. When I look at the moon and planets and stars, all that narrow-mindedness and hate seem so petty. The universe is such a big place. One hundred thousand light years just from one end of the Milky Way to the other. One hundred. Thousand. Light years. In the time it’s taken for light to travel from one end of our galaxy to the other, thousands of generations have passed. It really makes you realize how small we are, doesn’t it? How short our time on earth is.
Julia Quinn|It was heaven. Forget angels, forget St. Peter and glittering harpsichords. Heaven was a dance in the arms of one's true love.
Olivia Parker, To Wed a Wicked Earl|He did not blame them. Because in truth, that's what he did, what he was. Seduce and dominate. Charm and manipulate. A user of women. How they would scoff, Rothbury mused bitterly, if they knew that he was secretly in love with the silly little chit, spectacles and all.
Anna Campbell, Midnight's Wild Passion|He’d stared into her eyes, dark with confusion and unwilling passion, and for one stark, horrible instant, he’d wished to be that different man. He’d wished to be worthy of her.
Carroll Bryant|Love should feel like a hand sewn quilt made by grandma, wrapping you up on a cold winter morning.
Katie MacAlister, It's All Greek to Me|Are you threatening me?” He looked completely outraged at such a thing.“You bet your incredibly attractive and probably hard enough to bounce a quarter off ass I am!” she snapped back.An indescribable look flitted across his face. “You are the most irreverent woman I’ve ever met.”“And you’re the handsomest man I’ve ever seen in my life, but that doesn’t mean I’m going to lick you!” she yelled.
M.A. Stacie, Unwritten Rules|My life was dark, torture and empty before you found me. You brought the light, Red. I love you.
Stephenie Meyer, Twilight|And third, I was unconditionally and irrevocably in love with him
Christine Feehan, Wild Fire|She didn't want soft and gentle. She needed his rough possession, claiming her, branding her, taking her in a firestorm of heat and flame that would end the world around them, leaving them nothing but ashes, clean and fierce and forever welded together.
Lisa Gillis, Weathering Jack Storm|Stung again by this queen bee of the Loren clan, Marissa shook it off and retorted, “See, that’s just it. I don’t always love Jack Storm. But with all my heart I love Jack Loren.
Brenda Joyce, The Promise|If you are lost, I will find you. If you are in danger, I will protect you," he said seriously. "It's what a gentleman does, Elysse."~Alexi de Warenne to Elysse O'Neil
Gaelen Foley, The Pirate Prince|You’re not terrified of me. You’re terrified of letting yourself care for me, and I can’t say I blame you. People who love me usually end up dead. But you see, I’m not going to give you any choice. You belong to me now whether you like it or not.”“I don’t like it, not one bit!”“Try to escape,” he suggested coolly. “Go ahead. See what happens. Give me one excuse to take what I want from you, even if it is against your will. I want you that much. Too damned much.” He turned without warning and kissed her, flattening her back against the pine mast.
Kresley Cole, A Hunger Like No Other|Regin the Radiant and Emmaline Troy: 'Alrighty then, have it your way- you're on your own... Now, if you come across a leech, no offense, remember your training.''None taken. And would that be the sword training where you fly past my defenses and swat me on the ass, chirping, 'Dead!'? Another swat. 'Dead!'? Yeah, I'll get right on that.''No, that would be the training where you sprint like hell whenever you hear that I'm looking for you to train.
Carroll Bryant, Last Flight Out|Mary approaches her before she is able to reach her station. "Hello Lily. Get anything special for Christmas?""Just the usual." She answers. "Shattered dreams.
Jenna-Lynne Duncan, Hurricane|Damn. I never should have agreed to this. What is he thinking? Here we are in a piece of crap pickup truck on our way to sit outside of a supermarket to kidnap this girl. Damn. He’d better not be falling for her. Sure she’s cute, but I can’t think about that.
Saundra Mitchell, The Vespertine|You haunt me. You alone. You're my fire. I'm your air." Nathaniel to Amelia
Isabella Kruger, Afterlife|My dreams were always the same I could see myself laughing . I was standing somewhere in a forest a raindrop rolled down a branch and fell on my nose . My hair was a sparkling red color and I was wearing a white flowing ball gown made from silk. I could feel him the one I loved staring at me intensely . His eyes as gold as the sun . I could hear him saying my love Fleur .. you are everything to me. His fingertips lightly shivering as he touched my face beckoning for me to come closer. I don't know what I would do if I lost you . "Are you sure you want to be with me?" My body protested as I fought for him to stay but he never did. As soon as I woke up his presence was gone.
Cynthia Hand, Unearthly|I am amazed at how being with him changes everything for me, socially speaking.
J.R.R. Tolkien, The Return of the King|Then, Éowyn of Rohan, I say to you that you are beautiful. In the valleys of our hills there are flowers fair and bright, and maidens fairer still; but neither flower nor lady have I seen till now in Gondor so lovely, and so sorrowful. It may be that only a few days are left ere darkness falls upon our world, and when it comes I hope to face it steadily; but it would ease my heart, if while the Sun yet shines, I could see you still. For you and I have both passed under the wings of the Shadow, and the same hand drew us back.
Sarah J. Maas, Empire of Storms|Even when this world is a forgotten whisper of dust between the stars, I will love you.
Julia Quinn, To Catch an Heiress|Not that I knew who you were until last month. But now that I've got you, I'm not letting you go.""You're not?"Blake stared at her in irritated confusion. What was her game? "Do you think I'm an idiot?" he spat out."No," she said. "I've just escaped from a den of idiots, so I'm well familiar with the breed, and you're something else entirely. I am, however, hoping you're not a terribly good shot.
Sarah Mayberry, Anything for You|I love you. I love you. I love you. Always have, probably always will. Happy?” she said.He stopped when he was standing mere inches away. Reaching out, he captured her face in his hands and smoothed his thumbs across her cheekbones to clear her tears.“You have no idea how relieved I am to hear you say that,” he said.
Charles Kingsley|Some say that the age of chivalry is past, that the spirit of romance is dead. The age of chivalry is never past, so long as there is a wrong left unredressed on earth.
Louisa May Alcott, Little Women|John Brooke is acting dreadfully, and Meg likes it!
Edward Carpenter, The Intermediate Sex: A Study of Some Transitional Types of Men and Women|[A]s people are beginning to see that the sexes form in a certain sense a continuous group, so they are beginning to see that Love and Friendship which have been so often set apart from each other as things distinct are in reality closely related and shade imperceptibly into each other. Women are beginning to demand that Marriage shall mean Friendship as well as Passion; that a comrade-like Equality shall be included in the word Love; and it is recognised that from the one extreme of a 'Platonic' friendship (generally between persons of the same sex) up to the other extreme of passionate love (generally between persons of opposite sex) no hard and fast line can at any point be drawn effectively separating the different kinds of attachment. We know, in fact, of Friendships so romantic in sentiment that they verge into love; we know of Loves so intellectual and spiritual that they hardly dwell in the sphere of Passion.
Whitney Barbetti, Ten Below Zero|I was naked under his gaze. Skin was just that: skin. But to see your soul stripped, laid bare for the eyes of someone you barely knew-that was terrifying.
Loretta Chase, Lord of Scoundrels|The Challenge is to pry Bertie loose from Dain and his circle of oafish dengenerates,” Jessica said severely. “It would be far more profitable to pry Dain loose for yourself,” said her grandmother. “He is very wealthy, his lineage is excellent, he is young, strong, and healthy, and you feel a powerful attraction.” “He isn’t husband material.” “What I have described is perfect husband material.” said her grandmother. “I don’t want a husband.” “Jessica, no woman does who can regard men objectively. And you have always been magnificently objective.
Susan Shaw, Women's Voices, Feminist Visions: Classic and Contemporary Readings|When it comes to sexuality, romantic love plays a large part in feminine sexual scripts. Research suggests that women make sense of sexual encounters in terms of the amount of intimacy experienced; love becomes a rationale for sex. If i am in love, women often reason, sex is okay. Men more easily accept sex for its own sake, with no emotional strings necessarily attached. In this way, sexual scripts for men have involved more of an instrumental (sex for its own sake) approach, whereas for women it tends to be more expressive (sex involving emotional attachments). There is evidence to suggest that women are moving in the direction of sex as an end in itself without the normative constraints of an emotional relationship. By and large, however, women are still more likely than men to engage in sex as an act of love. Many scholars suggest that romance is one of the key ways that sexism is maintained in society.
Rachel Gibson, See Jane Score|If ever there was something she needed to stick around and fight for, Luc was that something.
Sarah Mayberry, Her Best Friend|Is there somebody out there? Amy, is that you?” her mother called.“No. Tell me this isn’t happening.” Quinn rested his forehead against hers. “Has she got a wiretap on you or something? I swear, she’s like a walking hard-on detector.”Amy bit her lip, trying not to laugh. Quinn levered himself up on his arms.“Mrs. P., if you value your life, you’ll go back inside and turn off the light right now.
Cindy Gerard, To the Brink|I guess the answer would be yes.""Got to love that word." He kissed her so sweetly then, it brought tears to her eyes. "Got it in you to say it again?"And then he did the unthinkable. He went down on one knee.
Ava Gray, Skin Game|I came from Thailand for you, because Mia said she could probably get you here. I'd have come from Zimbabwe, Outer Mongolia, or a prison in Central America. In truth, I came through hell getting here....because for me that's anywhere you're not.
Miguel Syjuco, Ilustrado|Oh, how wonderfully romantic of you. Romantics are really only in love with themselves.
Rachel Cohn|She doesn't want the boy causing the distinction between "love" and "in love
Suzanne Brockmann, Out of Control|Do you think,” she said, “instead of having sex, we could make love?”“I’d love that,” Ken whispered.
Katie McGarry, Take Me On|This doesn’t mean anything,” Haley whispers as she reaches up and pulls at the Velcro of my glove.“Yes, it does.” I bring my arms to my sides and the instant the gloves fall to the floor, my hands latch on to that beautiful body. “Tell me, Haley. Please tell me it does because this means something to me.
Cindy Gerard, To the Brink|He understood that she needed some time to get used to "them." He didn't. He knew exactly what was happening, and he didn't need another week, another month, another year, to get things in perspective.He loved her. It was that plain. That simple.
Courtney Milan|Jenny: You didn't leave?Gareth: Of course I left. I was hungry, and I couldn't find anything to eat. I bought a loaf and some cheese. And oranges. Wait. You mean you thought I had left. Without saying a word to you. Would I do that?(Jenny nodded)Gareth: Damn it. You know better than most I'm no good at these things but even I am not that bad. Really, Jenny. Why would you believe such a thing of me?Jenny: I don't know, Maybe because you once told me all you wanted from me was a good shag?Gareth: I said that? (he looked surprised, then contemplative. Then apparently, he remembered and winced) God. I said that? Why did you even touch me?
Catherine Anderson, Phantom Waltz|What was she thinking? Tarnished Silver? Brother. He probably practiced that smoldering look in the mirror so all women within a mile would fall over like nine pins when he smiled. Well, count her out. He was mouthwatering to look at, but so was cheesecake, and cheesecake was a heck of a lot safer.
Julia Quinn, Ten Things I Love About You|If he was planning to attack and ravish, he gave no indication of being in a hurry to do so.
Helene Young, Shattered Sky|The insanity of love, and that’s why you’re trying to drive away with the park brake on.
Georgette Heyer, Devil's Cub|Those fine eyes of hers had a disconcertingly direct gaze, and very often twinkled in a manner disturbing to male egotism. She had common-sense too, and what man wanted the plainly matter-of-fact, when he could enjoy instead Sophia's delicious folly?
Jodi LaPalm, Still Life: a novella|He pulled me toward him, and all I could do was stand there with arms at my sides and head against his chest. Broken, I feared even the slightest movement would cause pieces of me to snap off and fall to the gritty pavement.
Daisuke Hagiwara|When a girl smiles, she's as beautiful as a blooming flower.
Veronica Rossi, Under the Never Sky|Without thinking, he reached for her hand. Tucked it against her chest, feeling that was where it should be. Perry's heart slammed against his ribs. She had to feel it.
Shannon L. Alder|There are many forms of love as there is moments in time, and you are capable of feeling them all at different stages of your life.
R.L. Mathewson, Tall, Dark & Lonely|They stared at each other for several long minutes hoping the other would give in. Finally she broke. “Fine, will you go in with me then?”	“Will it make you feel better?”	“Yes.”	“Sure thing. The worse thing that could happen is people will think you are carrying my baby. I’m sure it’s perfectly normal for a female teacher to be with her male student at a pharmacy in the middle of the day buying a pregnancy test. What could go wrong?” he asked wryly.
Julie Garwood, Guardian Angel|Someday, my love, you're going to understand just how much I care for you. You're my light, my warmth, my other half. I only feel alive when I'm with you. I love you." Caine
Lani Wendt Young, When Water Burns|Yes, I’m Daniel Tahi." I know what your lips taste like.I know you roll your eyes when you think someone is an idiot. I know that you wish you were six inches shorter because you hate being taller than most of the boys you've ever met. Your name is tattooed across my chest and written on my heart.You are a fire daughter of earth, fanua afi and I am vasa loloa,son of the ocean. I am yours...And you can’t even remember who I am.
Leila Sales, Past Perfect|If there's one common thread throughout all of history, it's that people have always fallen for the wrong people.
Kresley Cole, A Hunger Like No Other|Was it just her, or did lovers look more adoringly at each other in this city? Especially in the springtime.'Die, bastards.'She sighed. It wasn't their fault that they were bastards who should die.
Kresley Cole, A Hunger Like No Other|I said alone!”He nodded in agreement. “Aye, you usually say that, and I still stay. It’s our way.
C.T. Todd|No I'm not a dream, I'm your worst nightmare
Cynthia Leitich Smith, Eternal|I may be heaven-sent, but I'm not perfect.
P.T. Macias, Hot & Spicy|Oh dios mio, she makes me burn, she makes me need. She is etching herself into mi alma
Gena Showalter, Lord of the Vampires|What were you chanting when you gave me your blood?”“More of my vampire magic. I cast a healing spell to aid the powers of my blood.”She sniffled, her nose stuffy. “It was better than Vicodin.”“Vicodin?”“A painkiller from my world.”“A killer of pain. Did you love him?” The words were growled.A burst of unexpected humor gave her strength. “No. In fact, he was hard to shake. He, uh, stalked me, that kind of thing. I had to pretend he didn’texist.”Nicolai kissed her temple and relaxed against her.
David Nicholls|He could feel her laughter against his chest, and at that moment he thought that there was no better feeling than making Emma Morley laugh.
Terri Herman-Poncé, In This Life|We do not remember days, Shemei, we remember moments, and the richness of life lies in memories we have forgotten.
Leila Sales|I think love without heartbreak is a myth. A pretty myth, but the kind of myth that ultimately makes us feel worse about ourselves because we're somehow not able to make it come true.
Cherise Sinclair, Breaking Free|She realised she was whimpering. Sir held her closer, his hard grip reassuring. This wasn't a dream; he really was here.
Vernon D. Burns, Gods of the Jungle Planet|Baby, where we're going, you won't need a shirt.
Rachael Wade, The Gates|Gavin! What’ll I wear home?”“Cloak.” His voice roughened and he ripped harder, tossing the material to the ground. I felt his smile when he kissed my neck, and shivers ran down my back at the sound of his low growl.“I made that! I don’t have many of those, you know.”“Cam,” he snaked one hand around my stomach and made his way north, slipping one hand into my corset top to grope my chest. “You won’t be thinking about it when I’m inside you.” His hips shifted off my back and he separated my legs with his knee, his breathing ragged against my shoulder. “Now forget the damn dress.
Robyn Carr, My Kind of Christmas|We’re adults. I might be a little more of an adult if you’re counting years but I bet I have a lower IQ, so that puts us pretty much even.
Rachel Gibson, See Jane Score|Do you really think that I don’t have anything better to do than to spend my time thinking about you? Digging up a little of the goods on Luc Martineau?”Fine lines appeared at the corners of his eyes and he laughed. “Sweetheart, there is nothing little about Luc’s goods.
Patricia Briggs, Iron Kissed|It was like being leaned on by a very heavy, warm brick. A sexy brick.
Jill Shalvis, Once in a Lifetime|Ben was in his truck, window down, idling at the curb, dark lenses hiding his eyes from her, looking effortlessly big and badass.The way she wished she felt.
Robyn Carr, Wild Man Creek|Maybe we’ll admit this thing we have is perfect, not worth messing around with. And stay together forever. If you’re interested, that is.”She glanced away. “I could think about that.”He buried his face in her neck. “Think fast
Robyn Carr, Harvest Moon|Until meeting you, I wasn’t looking for anything at all. Since meeting you, I’m kind of looking for a girlfriend.
Jennifer Crusie, Bet Me|I could shove this swizzle stick through his heart, Min thought. She wouldn’t do it, of course. The stick was plastic and not nearly pointed enough on the end. Also people didn’t do things like that in Southern Ohio. A sawed-off shotgun, that was the ticket.
whoknows, Indestructible|I love you,” he says, still meeting Harry’s eyes, “and it took me a while to get here, but I think that maybe I’ve always loved you. But you wanna know the other thing that I know for sure? Besides the fact that I love you?”(...)“I’m always going to love you,” Louis says, tucking some of Harry’s hair behind his ear. “No matter what.
Jude Deveraux, Remembrance|You'd think the very thought of a romance writer would bring a smile to people's lips. Ah, how nice. Love. Making love. Laughter. Kissing. But no, the world is upside down as far as I can see, and romances and their writers are ridiculed, hisses and generally spat upon. For what reason? One of my favorites is that women who read them might get mixed up about reality and imagine a man is going to rescue them from Life. According to this theory, women are so stupid that they can't tell a story from reality. Is anyone worried that the MEN who read spy thrillers are going to go after their neighbors with an automatic weapon? No, I don't remember anyone thinking that. Nor do I remember anyone worrying about murder mysteries or science fiction. It just seems to be dumb ol' women who might think some gorgeous, thoughtful, giving hunk is going to rescue them. Honey, if any woman thought a gorgeous hunk was going to rescue her, romance novels wouldn’t be forty percent of the publishing industry.
whoknows, Indestructible|You wanna love me for the rest of your life?”“Baby, I’m gonna love you for the rest of my life,” Harry says, pressing a quick, careful kiss to the corner of Louis’ mouth. “I just hope that you want to be loved by me for the rest of your life.
Parachute Band|They call her love, love, love, love, love. She is love, and she is all I need.
Pablo Neruda, Passions and Impressions|Then I speak to her in a language she has never heard, I speak to her in Spanish, in the tongue of the long, crepuscular verses of Díaz Casanueva; in that language in which Joaquín Edwards preaches nationalism. My discourse is profound; I speak with eloquence and seduction; my words, more than from me, issue from the warm nights, from the many solitary nights on the Red Sea, and when the tiny dancer puts her arm around my neck, I understand that she understands. Magnificent language!
Charlotte Featherstone, Lust|He towered over her, dwarfing her with his height and the bulk of his body which was clothed in the way of a mortal gentleman. He felt and heard that voice tremble inside her, replaced the rational voice she allowed to go unchecked. 'He could break me, hurt me, dominate me'."Not break. Not hurt." he murmured as he raised a hand to her cheek and smoothed his fingers down its softness, "But dominate you? Yes. Master you? yes. Make you yield to what you want, make you surrender to who you truly are? Yes.
Alice Fulton|It's just me throwing myself at you,romance as usual, us times us,not lust but moxibustion,a substance burning closeto the body as possiblewithout risk of immolation.
Ru Freeman, A Disobedient Girl|He was with me, beside me, inside me, and I did not care that my children were asleep, alone at home, or that the neighbors might come to know. He burned the fear out of me until all was left was desire.
Monique Martin, Out of Time|Whenever I'm with you it's as though someone has reached inside my chest, until the pain is almost more than I can bear. And when I'm not with you, I'd give anything to feel that way again." He heaved a deep sigh and continued. "But I...I couldn't go another day as I was.""And who are you now?" she asked."A man hopelessly in love with you.
Toni Blake, Whisper Falls|I know you don’t like to believe you ever need to be taken care of, but I can’t stand the idea of you being sick and alone. I need to be here for you, babe.
Suzanne Brockmann, Out of Control|If you want, I can carry you—” “I’m fine,” she said shortly. “Let’s go.”He’d said that wrong. He should have said, “I want to carry you.
Nancy J. Cohen|Never Give up, never surrender.
Lauren Willig, The Masque of the Black Tulip|Miles was still mourning the loss of his Romantic Plan. 'There was going to be champagne, and oysters, and you' -- he held out both hands as though shifting a piece of furniture -- 'were going to be sitting there, and I was going to get down on one knee, and...and...
William Shakespeare|Men's eyes were made to look, let them gaze, I will budge for no man's pleasure.
Cindy Gerard, Into the Dark|Amy sat back and grinned. "You just smiled." That was definitely something else she could get used to.Of course, he frowned immediately. "I smile.
Sabrina Jeffries, Wed Him Before You Bed Him|Terence: As my old da used to tell me, 'never trust a rich man'.David: Good thing I'm only moderately rich.Terence: Which is why I only moderately distrust you.
A.S. Byatt, Possession|Above his head at street level, he saw an angled aileron of a scarlet Porsche, its jaunty fin more or less at the upper edge of his window frame. A pair of very soft, clean glistening black shoes appeared, followed by impeccably creased matt charcoal pinstriped light woollen legs, followed by the beautifully cut lower hem of a jacket, its black vent revealing a scarlet silk lining, its open front revealing a flat muscular stomach under a finely-striped red and white shirt. Val’s legs followed, in powder-blue stockings and saxe-blue shoes, under the limp hem of a crêpey mustard-coloured dress, printed with blue moony flowers. The four feet advanced and retreated, retreated and advanced, the male feet insisting towards the basement stairs, the female feet resisting, parrying. Roland opened the door and went into the area, fired mostly by what always got him, pure curiosity as to what the top half looked like.
Lauren Lipton, Mating Rituals of the North American WASP|An aphrodisiac will disappear,delusional, like permanence or wealth - a shimmering, as if love were a ghost -and yet my passion for you seethes and searswithout an end. Late April leaves can’t cravecaress of dew, sunlight’s sweet splash, more thanI pine for your embrace, us turned to one;when harsh reversals scar, the thought of you will salvelike summer wind in autumn; deep red bloodsurging along with mine, staid genes worked hotfrom your electric charms, as all my moodssuccumb to your sweet fire, and perfect wit.Now you are all I live for - loving you -in fleeting world of lies, you are the truth.
Sarah Mayberry, Her Best Friend|Three Denises wobbled in front of her, all of them watching her with fond concern. “You’re a sweetie. I appreciate you cheering me on from the sidelines. But I think I need to go to the bathroom now and throw up.
Ed Lynskey, Quiet Anchorage|Quote is taken from Chapter 1:A decade ago when Isabel’s husband Max had died, they’d moved in together and merged their possessions. Neither sister brought any fussy teapots, canaries, sachets, or doilies, but lots of other stuff had to either stay or go. Looking at the lime green gave Alma the willies. Her suggestion to slipcover it in a more subdued color had garnered Isabel’s frosty stare, and Alma had dropped the matter.
Kristen Ashley, Heaven and Hell|There are very few, very fuckin' few people, Kia, who get what's precious in this world. They work their asses off for pure shit and think they'd fight and die to keep it. You don't fight and die for shit. You fight and die for things that matter. You are the first woman I've met outside a life that leads you to understand that shit who gets that. And straight up, baby, you gotta know, I like that a fuckuva lot.
