Vincent van Gogh, Van Gogh's Starry Night Notebook|For my part I know nothing with any certainty, but the sight of the stars makes me want to dream.
Wade Boggs|A positive attitude causes a chain reaction of positive thoughts, events, and outcomes.
Nguyễn Duy Cần, Tôi Tự Học|Nếu muốn học "thấy" hãy "bịt mắt lại mà tưởng tượng trước bằng một viễn tượng trong tâm hồn"; nếu muốn học "nghe" hãy "bịt tai lại"; nếu muốn học cách "đọc sách" hãy xếp sách lại mà phỏng đoán trước những gì ta sắp đọc"... đó là để mà lóng nghe cái tiếng dội của tâm hồn. Platon nói rất sâu sắc (...). Hiểu biết, thực ra là một sự nhận ra những gì ta đã biết. Nghĩa là, cái thật biết là cái biết do mình đã tìm ra. Ta chỉ thấy được những gì ta đã thấy. Ta chỉ thích được những gì ta đã thích.
Shirley Houston|In darkness, some flowers blossom!
Matshona Dhliwayo|Train the ears to hear more, the eyes to see more, the hands to do more, the feet to accomplish more, the mind to think more, the heart to feel more, and the soul to love more.
Cora Carmack, Roar|No tragedies here, Roar. This world will make you a victim every chance it gets. Don't let it.
Matshona Dhliwayo|If you have shed a thousand tears, expect a thousand blessings.
Haritha Velpureddy|Unknowns in life are adventures, avoid calling them fears.
Rajesh Walecha|A Beautiful verse takes birth when "U"n"I" VERSE.
Steven Chuks Nwakokeke|To stop oppression, you will first end the tyranny of the oppressors.
Tonny K. Brown|If you are truly looking for purpose,Something to verify your self-worth.Then give yourself to some cause,some greatness in which the only return, is knowing that your deeds have become to someone, a gift that is too good to believe
Steven Moffat|Good is good in the final hour, in the deepest pit – without hope, without witness, without reward. Virtue is only virtue in extremis.
Katey Sagal, Grace Notes: My Recollections|Me, well, there is meaning to the work and things I've done. But I never started an exercise revolution. I never became controversial because of my political beliefs. I don't believe I've affected change on a grand scale. I think I made a contribution. I know I've made people laugh. Through characters I have played, I've certainly allowed people to access their own expression of sadness or remorse, anger or disappointment. I've always believed that being an actor is a great service job. And I am of service. But it's just a job. So much of the glitz and fame, I can't even remember. I have blank spots where spotlights have been. It's easier for me to remember the ordinary goings-on of my life, because that's what my life is most of the time. It's just a life. Mine, like yours, has moaned and groaned. Stretched and turned. Sometimes good, oftentimes bad. People up and gone, love found and thrown away. Many moments make up a life. I am surprised by how many of my fame moments are blank spots. The volume turned down. Fame wants to turn up the volume on everything. It wears me out and intrudes on my need for solitude.
Haritha Velpureddy|Committing suicide is like stepping off the rollar coaster, once you are on, dont you wait till it ends? no matter what it does to you
Fox Benwell, Kaleidoscope Song|…We feel different things. We like different things. It’s like they say with books, no two people ever read the same book. It’s the same with music, yo.
Elif Shafak, The Forty Rules of Love|If a stone hits a river, the river will treat it as yet another commotion in its already tumultuous course. Nothing unusual. Nothing unmanageable. If a stone hits a lake, however, the lake will never be the same again.
Evy Michaels|I am defined not just by what you see, but by the potential within me, the possibilities I represent
Haritha Velpureddy|Forcing yourself into peace is indeed stressful so do not stress yourself to run behind peace, Go through each n every stress with peace.
Genereux Philip|LIFE IS LIKE ELECTRICITY, ANYONE CAN SHOCK YOU
Dmitry Glukhovsky|Jak by powiedział Puszkin, służba muzom nie znosi pośpiechu.
Rasheed Ogunlaru|All the love, learning and opportunities that you seek come from being open to life not being closed throughout it.
Rasheed Ogunlaru|You may not need to do it all, design it all or direct it all. But when it comes to making things you want to happen to happen you may well have to inspire and drive it all.
Tonny K. Brown|The mark of a great leader is not, only, one that found the courage to believe in themselves, but one, that was able to motivate others to take a look inward, and do the same.
Rajesh Walecha|When life asks you a question, you learn. When you ask a question from life, you cry.
Jerry Gladstone, The Common Thread of Overcoming Adversity and Living Your Dreams|Never abandon your personal message. No matter what comes your way, remain dedicated to that which you hold close to your heart
Nick Farewell, GO|Quando tudo estiver ruim, lembre-se destas duas letras que formam uma palavra: GO. Vá. Vá em frente. Escreva, desenhe, pinte, fotografe, dance, costure, atue, cante. Portanto, quando estiver ruim, lembre-se destas duas letras que formam uma palavra. GO. Vá. Vá em frente. Apenas faça.
Stanley Kujokera|The gift of faith causes a person to be bold and courageous, speaking things that be not as though they were, it is shameless and persistent it alway get results....
Stanley Kujokera|Success is not an event, it is the by product of the activities that transpired before engagement....
Stanley Kujokera|A progressive life style demands that one; takes full reigns over their life, not leaving anything to chance....
Stanley Kujokera, Scripted Quotes: "transformational writings that will revolutionize your thinking and set you on course for success"|Manipulation is not of God, it is the highest form of sorcery for it enslave the soul to the will of man.....
Anne Krüger, Allee der Kosmonauten|Hast du es schon gelesen?", fragte er.Er spielte auf das Buch an, das ich bei ihm gekauft hatte."Ja. Es war anders als ich es in Erinnerung hatte, aber nicht schlecht."Das Buch war ein Kalssiker und ich hatte es als Kind mehrfach verschlungen."So ist das mit verlorenen Dingen", meinte Jacob und bot mir ein Glas grünen Tee an.
Bernard Kelvin Clive|Give people room to be what God created them to be, don't force them to fit into your own mold
EverSkeptic|The day you start trusting the people who think you are right, then the people who are actually right, you are on your way down.
Haritha Velpureddy|Gun for sure is louder than a Pen, bullet is hotter than Ink, but Death is not a silencer for Pen.
Haritha Velpureddy|Dear Marie Tussaud,Fake people are everywhere, you do not have to waste wax creating them
Diana Dentinger, Modus Vivendi: Your Life Your Way|For a happy and health life, get the answers to these questions in this order: Where, Who, Why, What and How to be you.
Diana Dentinger, Modus Vivendi: Your Life Your Way|Your life purpose is about you. It is a tangible, practical, everyday way to be that evolves over time as you mature. It is not just a new age, cheesy, flaky, peace and love statement. It is the greatness of who you are taking meaningful action. This is how you stay healthy and happy. Then and only then does your energy ripple out to make the world a better place.
Diana Dentinger, Modus Vivendi: Your Life Your Way|Your life purpose is not just one thing, nor just what you love to do, nor a role, nor a legacy you leave. Your life purpose is who you are 24/7.
Matshona Dhliwayo|A caterpillar knows it's a butterfly, even if the whole world tries to convince it that it's just a worm.
Diana Dentinger, Modus Vivendi: Your Life Your Way|Before defining what you want, know who you are.
Matshona Dhliwayo|Light is all a flower longs for, even when surrounded with priceless jewels.
Avijeet Das|Dreams are achieved by blood, sweat, tears, and an iron-will!
Diana Dentinger|There's a way and a place for everyone to contribute to the greater good. Stop going no where fast and go "your where".
Diana Dentinger|Where is the most important of the 5 W Questions. When you are in your "Where" you can fearlessly become "Who" you are to fully live "Why" you are here. Determine your "Where" then your "Who" then your "Why".
Matshona Dhliwayo|A diamond's happy ending is on a crown, but its beauty was formed in dirt.
Diana Dentinger, Modus Vivendi: Your Life Your Way|Your real personality identity is not an option, it is the foundation for your happiness and health.
Diana Dentinger, Modus Vivendi: Your Life Your Way|You are not one type, nor belong to one category. You are a unique blend of personality needs. Live your needs for total life fulfillment.
Evy Michaels|Whatever you do, be fierce, be fearless
Madalyn Beck, Dragon Hearts & Dandelion Fuzz|And the fight for who we are,for who we hope to become,has only begun.
Diana Dentinger, Modus Vivendi: Your Life Your Way|Soap, toothpaste and detergent are all "new and improved". Are you?
Diana Dentinger, Modus Vivendi: Your Life Your Way|So many celebrations have become empty because the meaning has changed. Find your meaning, to find yourself for a fulfilling life experience.
Diana Dentinger, Modus Vivendi: Your Life Your Way|Think "Energy" before opening your mouth. Send out good vibes in every word you pronounce.
Diana Dentinger, Modus Vivendi: Your Life Your Way|Your Life Purpose is a blend of your Core Personality Needs. Remember it, define it and refine it as you journey through life.
Kim Ha Campbell, Inner Peace Outer Abundance|If you haven’t though about quitting even once when working on your business, that business is not your real passion.
Kim Ha Campbell, Inner Peace Outer Abundance|As long as we’re breathing, we have a chance to start over and build a stable future.
Shah Ibrahim, Budak Meja Belakang|Minat, bakat serta peluang jarang bertindan buat seseorang. Antara ketiga-tiga elemen ini, peluang paling payah hendak dikecapi. Maka, peluang harus menjadi faktor penentu dalam membuat keputusan.
Louise Blackwick, Vivian Amberville - The Weaver of Odds|As the Weaver, so is the Thread
Myra Yadav|Fall several times doesn't matter, how many times you stand up matters
Michael v Ivanov|In this life, we get broken fingers, torn knee ligaments, scars in the back of our heads, broken hearts, broken spirits... none of us make it into heaven without a limp. But the only thing we will truly regret, is not the pain we EXPERIENCED, but the pain we AVOIDED. Never settle for anything short of greatness!
Matshona Dhliwayo|If God charged us for every tear He shed for us, the world would be bankrupt.
Luisa Luisi, Poemas de la Inmovilidad y Canciones al Sol|Alma, para llegar al infinito,da un impulso más firme a tu vuelo;sufre más!... ¡sufre más!... Tiene tu gritoalas, para elevarte sobre el suelo...
Evy Michaels|You live on in the wind that wraps around me to remind me of the absence of your embraceYou live on in her eyes, when she looks at me I see your faceYou live on in the moon that revives the light you shone in my nightYou live on in her smile, when she laughs at my jokes, your voice echoes in her throatYou live on in our song that I play on Saturdays all day longYou live on in her touch, when she wipes my tears away and assures me I'll see you againYou live on...When I'm with her, you're with us
Rajat|Take a deep breath and start again . When things are not turning in your way , sometimes it is good to take a break and try it again because the life may sometimes offer a surprising chance which will be waiting for you.
Antoine De Saint Exupery|Love is not about staring at each other, but staring off in the same direction.
Ernest Agyemang Yeboah|It is never wrong to inspire, for Jesus Christ became an inspiration to many who had been given the tag of condemnation
Dushawn Banks, Love,Pain, & Perception|If someone loves you they'll give you the world free of charge. If the whole world loves you, not even the richest man can compete with that. Love is true power.
Matshona Dhliwayo|Each time a flower blooms, the world is reminded that there is beauty in new beginnings.
Jocelyn Soriano, 366 Days of Compassion: One Year Devotional|I hope you remember that you always have a place to hide, away from the noise of the world, away from all that dares to wound your heart. You can always hide within the merciful heart of God.
Latika Teotia|Be appreciative about others, don’t criticize or crib about them. Gossiping will only fill you with negativity. Speak well about others. Positivity begets positivity. Don’t be in a hurry to pass judgment or criticize, check yourself before you do. It’ll pass- once you make a deliberate effort to be positive. If you can’t speak well of others then you have no right to speak ill either. A critical attitude spoils everything. You aren’t happy; in turn you don’t give your best, resultantly you get ticked off. Because you get ticked off you crib and criticize little realizing that you started this vicious circle in the first place. What, then, is the solution? It’s simple. Learn to see the good in everything and, more importantly, ignore the bad. Don’t go to the garden to see only those patches where there’s no grass, the beds where the flowers have not been able to bloom or the places where there are overgrown hedges. Instead go to relax, see the flowers in full bloom. Be thankful that you have sight to see things- you are not blind. Don’t criticize the elevator that broke down this morning- be thankful that you are strong enough to climb stairs. Don’t find fault with your boss and your job- be grateful that you have a job. Don’t look at the world through a tainted window- clean it first and you will realize that it’s bright and sunny outside.
Aishwarya Shiva Pareek|When you get more middle fingers than thumbs up, it's a progress.
Vimalakurti|You associate with living beings by frequenting their migrations. Yet your mind is liberated from all migrations. Just as the lotus, born of mud, is not tainted thereby, So the lotus of the Buddha preserves the realization of voidness.
Eraldo Banovac|It can be accepted that there is a price for man's work, time spent or service done, but never for human dignity.
Eraldo Banovac|We should always respect our teachers, because transforming children into knowledge-oriented young people is a precious and extremely difficult job.
Sheshadharananda, Toward Avinasha|The Himalaya (hɪmalɶyɶ) does not make Rishis, the Rishis make the Himalaya (hɪmalɶyɶ) to be what it is. A Rishi is a beacon of light that expands and clarifies the stretches of vision of all those that connect with her/him here and now. It is like taking a candle into a dark room, and everything in the room is visible. As a natural and spontaneous consequence, the door leading to the open light filled outdoors becomes visible to you. You can now naturally and spontaneously step out of the room that you were trapped in due to the darkness of ignorance, and let your consciousness expand into infinity. Stay in the present moment, in the here and now, my brother. Immerse yourself into the present entirely. Then you will see these Rishis in yourSelf, here and now, and always. The infinitely spaced vast reaches of the picturesque multiple dimensions of the present moment, pregnant with all futures, right here right now, becomes your vision.”Krishna, ‘A Iyer in Jose’s Well
Sheshadharananda, Burned out|If you want to change your life for the better, simple, just choose health for yourself and others, every step, every mode, and every turn; in your psyche, emotions, mental focus, and body; in your thoughts, words, and deeds. Start with the part of your being that your will and willingness currently have a better hold on. It is the body for some, mental focus for some, emotion and psyche for others. And then as you begin to see yourself get healthier and stronger, and hence happier, apply the realized health, strength, and happiness to choose health toward your whole being, past the part of your being you started with, and then you see very quickly that infinite happiness is you, supreme wisdom is you, indomitable power is you, and that you are the sole (soul :) ) Universe potential, and have always been!Unconditional health be you always! Vijayi Bhava! Victory be yours!Amma, ‘A Iyer in Jose’s Well
Sheshadharananda, Burned out|If you want to change your life for the better, simple, just choose health for yourself and others, every step, every mode, and every turn; in your psyche, emotions, mental focus, and body; in your thoughts, words, and deeds. Start with the part of your being that your will and willingness currently have a better hold on. It is the body for some, mental focus for some, emotion and psyche for others. And then as you begin to see yourself get healthier and stronger, and hence happier, apply the realized health, strength, and happiness to choose health toward your whole being, past the part of your being you started with, and then you see very quickly that infinite happiness is you, supreme wisdom is you, indomitable power is you, and that you are the sole (soul :) ) Universe potential, and have always been!Unconditional health be you always! Vijayi Bhava! Victory be yours!"Amma, A Iyer in Jose’s Well
Evy Michaels|Whenever they say I am outgoing, I say...We must have met on the dance floor
Evy Michaels|I see prisoners; those whose minds have been caged by people's ideologies of how they should liveInternally displaced persons who have settled for a lot in life that isn't there'sTell me, how powerful is this fear that you surrender even before the war has beganHow minute is this belief in yourself that you look in the mirror and dare to tell the person on the other side you won't amount to anything?Shame!Set yourself free; rise above your fears and fight. Look in that mirror and declare woe unto those who venture to stand in your way. this is your life, yours alone, use it wisely
Azzah A.R., Nota Perempuan Backpacker|Ke manapun kau pergi, Tuhan ada. Dia perhati setiap gerakan. Dia dengar setiap keluhan. Dia bantu setiap kesulitan. Walaupun kau tinggalkan dia.
Jocelyn Soriano, 366 Days of Compassion: One Year Devotional|Sometimes, all we need is just one person who believes in us and who will never give up on us. Someone who sees beyond our weaknesses, beyond our faults. Who knows that though we walk in darkness, we can still find our way into the light.
Matshona Dhliwayo|Love will always be blind, but will never be deaf.
Kim Ha Campbell, Inner Peace Outer Abundance|By forgiving others, you consciously cut ties with the negative energies that are binding you.
Kim Ha Campbell, Inner Peace Outer Abundance|There are fears that are worth facing and there are fears that are not. You don't have to face all fears, only the ones that are relevant to you at that moment in time.
Jiten Bhatt|There is a very old saying that says, "Strike the iron when its hot". So start working on the idea when its young. The more you delay the execution of your idea, more will be your drop in enthusiasm and lesser will be your chances for its success.
Charles Samuel D'Monte|Sometimes, good things that go wrong are like seeds. They have to be buried for something bigger and better to sprout out of them.
Jiten Bhatt|People judge you by what they see outside of you, But don't let them judge you, because they never see what is inside of you.
Jiten Bhatt|Positive Thinking does not mean that you never fail, It simply means that you have the courage to try again until you succeed.
Jiten Bhatt|It is important that we learn to smile,Life will anyway teach us to cry!
Jiten Bhatt|Don't get discouraged by present hardships, They are the reason to your success in future."Easy Victory is less valued than a hard one".
Jiten Bhatt|There are a thousand reasons to blame others for your failure, but none of them will give you success, The only way to succeed in future is by taking responsibility of your present failure.
Jiten Bhatt|Murphy's Law states that,"If anything will go wrong, it will".Positive side of this law is,"If anything good can happen, it definitely will happen
Azzah A.R., Nota Perempuan Backpacker|Kita selalu jumpa orang baik-baik sewaktu mengembara, bukan sebab nasib kita baik. Tapi sebab Tuhan kasihan.
Nurudeen Ushawu|The biggest of obstacle in life, is not failure. The biggest obstacle, is the fear of failure.
Nurudeen Ushawu|The biggest obstacle in life, is not failure. The biggest obstacle, is the fear of failure.
Nurudeen Ushawu|The zeal to live and the fire in my heart, is strong enough to burn away any obstacle that may come on my way. I love life too much to be suicidal.
Sarah Rajkotwala, The Year of Talking to Plants: The Plants and Fairies Talk in Their Own Words|Wherever you go, love goes also. - Sarah Rajkotwala
Jocelyn Soriano, 366 Days of Compassion: One Year Devotional|To find grace, we need not look so very far ahead. We need only look at the present moment. God gives us grace right now, in the very moment we need it most.
Giuliano Golfieri, Alter Ego: Memorie di un viaggiatore ultracorporeo|Facendo le prime esperienze dentro a un corpo e con un cervello non mio, appresi che allo specchio tutti ci vediamo più simmetrici e affascinanti di come siamo in realtà. Il nostro ego inganna la vista, forse per compiacerci e infondere maggior sicurezza in noi stessi, o forse solo per l’abitudine dell’immagine che ci portiamo dietro dalla nascita e che vediamo alterarsi microscopicamente ogni giorno che passa.
Matshona Dhliwayo|Fear takes you low, faith takes you high, but love takes you everywhere.
Jocelyn Soriano, 366 Days of Compassion: One Year Devotional|Love has a certain element of tenderness, which alone pierces through the heart and binds us more intimately than any force in the universe ever can.
Mishi McCoy|Baby, I'm not afraid. I've been to hell and back. I'm a free spirit, a wild child and a renegade.
Jocelyn Soriano, 366 Days of Compassion: One Year Devotional|It isn’t violence that can break through our hearts. It isn’t force that binds us and keeps us together. Only tenderness has the power to accomplish what the fullness of love desires to do. Tenderness that approaches us little by little, and handles our feelings with the deepest affection and delight. Tenderness that is willing to wait for the right time until we are ready and we are no longer afraid.
Jocelyn Soriano, 366 Days of Compassion: One Year Devotional|There at the cross, we see all pain and darkness conquered in such a way that it is defeated forever. Not by disregarding it. Not by denying it. But by giving value even to our tears. By loving everything about us, including our very worst hurts.
Jocelyn Soriano, 366 Days of Compassion: One Year Devotional|How do you wipe away pain? You don’t. You put in tenderness, compassion and joy. You cling to hope and then you offer everything to God. And you wait, with faith you see all things anew – light shines out from darkness, happiness grows through every pain, and all things become indeed so very beautiful in His time.
Beth Kempton, Freedom Seeker: Live More. Worry Less. Do What You Love.|Liberty is about being free and is granted by laws and conventions and government permissions. Freedom is about feeling free, and the only permission you need for that is your own.
Beth Kempton, Freedom Seeker: Live More. Worry Less. Do What You Love.|I am a Freedom Seeker, willing and able to choose my own path.
Beth Kempton, Freedom Seeker: Live More. Worry Less. Do What You Love.|I am a Freedom Seeker, committed to experiencing my life as my true self.
Beth Kempton, Freedom Seeker: Live More. Worry Less. Do What You Love.|We aren't either afraid or brave, we’re usually both.
Melody  Lee|Don’t be afraid of your struggles, they are making you dangerously strong and wise. They are preparing you for your superpowers. Let them happen, otherwise you’ll stay in the same damn place you’ve always been, and until you know there is so much more awesomeness in the world and within you, you’ll be content in your tiny cocoon, spinning the same circles day in and day out. Your struggles are transforming you.
Genereux Philip|I call her Google, Because she got everything I'm searching for
Jocelyn Soriano, 366 Days of Compassion: One Year Devotional|The deepest wounds of the soul are healed only by compassion... People do not merely need to be clothed, they need to be embraced with love. A love that enters into their own fears and frailty, a love that suffers with them and stays with them through their darkest hour.
Mishi McCoy, The Lovely Knowing|With broken wings, I will learn to fly; because one way or another, I'm gonna live until I die.
Mishi McCoy|You can choose to be pitiful or you can choose to be powerful, but you cannot at the same time, be both.
Mishi McCoy, The Lovely Knowing|We long for authenticity, yet spend much time comparing and contrasting ourselves to others. We are each one special, unique and authentic in our own right. The only way to measure yourself is not against another, but by the Creators divine blueprint of you and you alone. Be yourself~ you are divinely different and unique!
Mishi McCoy|Your present circumstances may seem limited, but you are never limited by your present circumstances.
Mishi McCoy|The Lovely Knowing, your source of intuition and inspiration may not always be explainable, but it is always attainable!
Mishi McCoy|Sometimes, you simply must give yourself permission to fall apart.
Maisie A. Smikle|Faith...your hope in the unseenYou can't touch itYou can't see itYou can't smell itYou can't hear itYou can't taste itYou can't live without itO the weightless burden of faithKeeps us at our Father's feetPleadingly whispering... Abba, Abba, Abba...
Matshona Dhliwayo|When God wants to give you a miracle, He first gives you a problem.
Rasheed Ogunlaru|Beware trying to iron out all your quirks, perceived flaws and doubts. It's often these things that help you find strength, compassion, empathy for others and heart.
Jason J. Black|I am not here to compete in the war of words, I am here to nurture the future of stories.
Matshona Dhliwayo|Fortify your mind, bullet proof your heart, strengthen your soul.
Mark W Boyer|If all you ever focus on is the negative, then that's all you shall see ever see.
Sean Kilpatrick, Sir William Forsythe's Freebase Nuptials|When I was born, the doctor slit my throat to see if I could talk.
Matshona Dhliwayo|We are all born stars, but some refuse to shine and others make it their life’s mission to glow.
Maisie A. Smikle|Infinitely, eternal is God's loveUnchanging, immovable and all consuming is His loveGod's love is food for your hungerStrength for the weak and Healing waters for your thirstGod's love is deeper than the oceanWider than the sea Taller than the highest mountainHis love knows no boundariesAnd has no limitsGod's love surpasses all Understanding and imagination And is free to all, who will believe
Abdau Qur'ani|Tidak akan ada namanya kesuksesan, tanpa adanya suatu usaha. Keberuntungan adalah ketika kesempatan dan usaha saling bertemu
Tracy Sillato, My Maasai Experience: Reflections|As a human race, we lost and we are still losing a lot of humanity in the process of progress
G Swiss|The most important key to bettering yourself - is just that "yourself" - (g swiss)
Basu Singh|Art is an imagination, crafted over innocent dreams and vibrant integrity.
Sandra Proto|Sometimes you get caught up in someone's energy. The energy surrounds you and restricts you, but your own energy is more stronger. You fight a long battle but your energy wins at the end and the other person's energy dissipates into tiny particles that you brush from your mind. You are finally free.
Mark W Boyer|If you have something standing between you and your goals, don't wait for it to move... go around it.
Emma Chase, Royally Endowed|Life changes us, with its twists and turns, in ways we don't always see coming. It changes what we want, what we dream, lays blessings in our hands better than anything we could've imagined.
Matshona Dhliwayo|A single candle has the power to light up a room, a single star has the power to light up the sky, and a single soul has the power to light up the world.
Akshmala Sharma|If you want to fly, wear the wing of wisdom.
Stephanie Lahart|Yes, a person can accept your apology and forgive you for what you’ve said, but they will never forget how you made them feel at that very moment. Words can stick in a person’s mind, heart, and spirit long after the words have been spoken. Don’t be in denial; words have GREAT power. Be wise when you speak!
Matshona Dhliwayo|Looking up at the stars only proves you admire them, but shining your light proves you are like them.
Savania China|Always assume your assumptions about others are wrong. Because often, they are
Savania China, Challenge and Improve: Confronting, and Deriving Valuable Life Lessons from, Popular Quotes|Although sometimes the road to success follows a path less-travelled, a path less-travelled often leads to nowhere
Savania China|Success is not a finite resource; share it, wish it on others, and celebrate others
Germany Kent|Thank God for allowing you to see another day. No matter what, keep trusting, keep believing, be strong, have hope. The best is yet to come.
Harrish Sairaman|Never focus on achieving your goals, focus on achieving the behaviors and beliefs that will help you achieve your goals
Harrish Sairaman|No target is ‘easy or difficult’ on its own, it depends on who you are, that makes the target look easy or difficult!!!!
Harrish Sairaman|When you have a kid in your house, it's time to learn rather than teach!!!
Harrish Sairaman|Muscle breakdowns are important for muscle growth and similarly, Life breakdowns are important for quantum Life growth
Harrish Sairaman|Change is inevitable; what matters is whether you spend more time in denial, acceptance or performance?
APJ Abdul Kalam|If you Fail, never Give Up because FAIL means First Attempt In Learning!End is not the End, it meansEffort Never Dies!If you get No as an answer; remember NOmeans Next Opportunity!
Maisie A. Smikle|You are good groundThe seeds are sownNurture them with faithGuard them with prayerKeep the crows away with the word of GodYour seeds will grow and bear good fruitsOf love, joy, peace, patience, kindness, goodness, faithfulness, gentleness, and self-control.
Matshona Dhliwayo|When I was poor, I was rich because I was happy; when I was wealthy, I was poor because I was sad.
Matshona Dhliwayo|As the sky is too big for two stars to clash, the world is big enough for all of us to shine.
Abhijit Naskar, I Am The Thread: My Mission|The black, the white, the brown, the red, the yellow, the hetero, the homo, the trans, the poor, the rich, the literate, the illiterate, the weak, the strong – all are my sisters and brothers. My life is their life. And till the last breath in my body, I shall be serving you all with all the power in my veins. And beyond death, my ideas shall be serving you for eternity.
Rasheed Ogunlaru|When you fall short of your goals and dreams ask yourself is it your mindset, perspective, expectations, effort, approach, acceptance, company or a blend of these that needs to change.
Bible|Give thanks in all circumstances, for this is God's will for you in Christ Jesus" (1 Thess. 5:18).
rachel kabura|How far we go to seek redemption, but in all these, have we really sacrificed enough to find our peaceful place?
Abhijit Naskar, I Am The Thread: My Mission|I am the thread of unification that goes through humans of all religions, cultures and ideologies while reinforcing their innate sense of one humanity.
Abhijit Naskar, I Am The Thread: My Mission|Give me your soul and I will give you a unified humanity replete with courage, conscience and compassion.
Abhijit Naskar, I Am The Thread: My Mission|O my brave Almighty Human, with the ever-effulgent flow of courage, conscience and compassion, turn yourself into a vivacious humanizer, and start walking with bold footsteps while eliminating racism, terminating misogyny, destroying homophobia and all other primitiveness that have turned humanity into the most inhuman species on earth.
Stephanie Lahart|I have found that when you GENUINELY love what you do, time isn’t a factor. As a matter of fact, time doesn’t even exist.
Matshona Dhliwayo|If size really mattered, a match wouldn’t be able to set a forest on fire.
Rich Hungerford|Each of us has a mountain to climb. To reach the summit you need to understand who you are and what you can do. Without an idea of your strengths and weaknesses you cannot define your personal limits. Survival training helps you figure that bit out. It makes you stronger, more fearless and ultimatley resilient! There is no easy or pain free way to the summit – you just have to endure and climb to it by yourself.
Ashwini Shenoy|The human mind is a magical labyrinth. It is a mystical universe within you, where everything eventually materializes. So be careful of what you put in it. For it is only your thoughts that can decide the possible from the impossible.
Nicky Verd|When the struggle is over, those that have distance themselves from you will line-up to re-introduce themselves!
~ Jimi Hendrix (1942-1970), musician|Knowledge speaks, but wisdom listens.
Maisie A. Smikle|Who say mo'?You say mo'?I say mo'Mo' what?Mo' who?Mo' when?More Jesus. Right Now!To stop the fightingBackbiting, interrogatingPropagating, disruptionCorruption and eruption!Disseminate the man...Which man?The man called Jesus.The Son of GodThe MessiahThe Prince of PeaceThe Good ShepherdEmmanuelLord of lordsKing of all kingsAnd Ruler of Everything.So you say mo?Yes I say mo'We all say mo'More of the man called Jesus.
George MacDonald, The Princess and the Goblin|Seeing is not believing, it is only seeing,”George MacDonald, The Princess and the Goblin
Kandarp Gandhi, Buddhist Banker : Money can't buy happiness, Wisdom can.|Success is not a summit to climb, It is an equilibrium where work and life are balanced
Tom  Wood, The Final Hour|In a life threatening situation, whether terrorism or a rockslide, what kills most people is slowness to react. Regular lives are so safe, so event-less that there is a lack of comprehension when faced with death. It's not necessarily shock. IT's disbelief. It's dismissal. Civilians say to themselves, I've got this wrong, this isn't what I think. But it is, and by the time they've realized, it's too late. And of course sometimes they do in fact have it wrong. They've misread the situation, and they're left embarassed and maybe ashamed. But....." "But they're alive," Mayes finished.
Chris DiSano Davenport, The Little People Journey into the Mystic Sea|If you were happy with all you had, then you’d grow, If the sun and moon could make you glad, then you’d know. With food on your plate and a place to sleep, be thankful and you’ll be given more to keep, Just for now, what you need for now. Feel you are worthy, you will not lack, you’ll enjoy life and love to give back, Forgiving others you forgive yourself, which makes more room to live and be well, Just allow. For every gift you give extends, more love and wealth the heavens send, Again and again, ten times ten, Because you are loved more than you know, your mistakes turn you into a loving soul, You’ll learn how.” Trinity, The Little People Journey into the Mystic Sea
Chris DiSano Davenport, The Little People Journey into the Mystic Sea|BELIEVING IS SEEING what you want! Seeing, might be believing, what you don't want! Your inside eyes are your special sight, to create your life in every way, But the environment you see with your eyes creates your thoughts every day. The beliefs that come from outside of you will make more of the same; So to see a change you must think out of the box; this is how you play the game. What you think, see and feel all at once, is how you create your life; Be the observer in your heart and mind, not what will repeat your strife, This will promote a healthy brain, to focus on joy rather than pain, See what you want, as if it is happening NOW, the Little People just showed you how! Because, your imagination is your real tool, no matter what anybody else tells you!The Little People Journey into the Mystic Sea
Chris DiSano Davenport, The Little People Journey into the Mystic Sea|The kingdom of nature has such a job, That can even make a goblin’s heart throb, It’s true, only a handful of people can see. They’re the breath and life of the planet to be, And all this effort is done for a reason, To build energy that creates a plentiful season!The Little People Journey into the Mystic Sea
Muhammad Talha|Your real journey starts from the point when you realize that your life, ambition, success, dreams, achievements, future, everything is on your own.
pavankumarguptha|Time makes you to run from it so,be quick at your decisions you decide
Bel Arnesto|Do not memorize the book! but appreciate what realization it will give it to you . . Like Math,the difficult one, it's not about the formula you've known but it's about the result that gives you and which makes value, "experiences, learnings that you should share to others"Takes pride!
Chris DiSano Davenport, The Little People Journey into the Mystic Sea|It can appear that Ellarie has it hard to be seen and to be heard. Sometimes this is her way and maybe not the best, but it is a way she often uses, I have to confess. Her invisible poke or pinch is to help those believe, in more than just a ghostly story or what the eyes can perceive. The brighter your light shines will give a clue, to the goodness you attract that follows you.”Trinity, The Little People Journey into the Mystic Sea
Rajesh Walecha|You know "HOW' then address it right now.
Maisie A. Smikle|While they proceedTo and fro, andCome and go Like Spring, SummerAutumn and WinterChastise, Criticize And SlanderJesus still remainsA Wonder
Chris DiSano Davenport, The Little People Journey into the Mystic Sea|Always look at the message, not the messenger!”The Little People, The Little People Journey into the Mystic Sea
Tonny K. Brown|The only shores you will never reach in life are those you have allowed yourself to believe, were too far.
Beth Kempton, Freedom Seeker: Live More. Worry Less. Do What You Love.|If you can choose your way into a cage, you can choose your way out.
