Tapan Ghosh, Faceless The Only Way Out|Death is an illusion, Love is not!
Sarah Perry, The Essex Serpent|Luke diagnosed himself to be in love, and sought no cure for the disease.
Matshona Dhliwayo|When you are madly in love with someone, even when sanity tries to rescue you, you wrestle it.
Grace Willows|We cannot see love yet its nurturing warmth is the essence of our being and sorrow can touch our very soul. For remorse is like a ripple on the ocean, once given it remains only in the heart of the receiver.Believe in Yourself by Grace Willows
Val Uchendu|Know that time is a balm that slowly heals all wound. You'll heal, you'll learn to live with the scars, you'll love again and you won't be the same, nor would you want to
Wheston Chancellor Grove, Who Has Known Heights|To this day when I inhale a light scent of Wrangler—its sweet sharpness—or the stronger, darker scent of Musk, I return to those hours and it ceases to be just cologne that I take in but the very scent of age, of youth at its most beautiful peak. It bears the memory of possibility, of unknown forests, unchartered territories, and a heart light and skipping, hell-bent as the captain of any of the three ships, determined at all costs to prevail to the new world. Turning back was no option. Whatever the gales, whatever the emaciation, whatever the casualty to self, onward I kept my course. My heart felt the magnetism of its own compass guiding me on—its direction constant and sure. There was no other way through. I feel it again as once it had been, before it was broken-in; its strength and resolute ardency. The years of solitude were nothing compared to what lay ahead. In sailing for the horizon that part of my life had been sealed up, a gentle eddy, a trough of gentle waves diminishing further, receding away. Whatever loneliness andpain went with the years between the ages of 14 and 20, was closed, irretrievable—I was already cast in form and direction in a certain course.When I open the little bottle of eau de toilette five hundred different days unfold within me, conversations so strained, breaking slowly, so painstakingly, to a comfortable place. A place so warm and inviting after the years of silence and introspect, of hiding. A place in the sun that would burn me alive before I let it cast a shadow on me. Until that time I had not known, I had not been conscious of my loneliness. Yes, I had been taciturn in school, alone, I had set myself apart when others tried to engage. But though I was alone, I had not felt the pangs of loneliness. It had not burdened or tormented as such when I first felt the clear tang of its opposite in the form of another’s company. Of Regn’s company. We came, each in our own way, in our own need—listening, wanting, tentatively, as though we came upon each other from the side in spite of having seen each other head on for two years. It was a gradual advance, much again like a vessel waiting for its sails to catch wind, grasping hold of the ropes and learning much too quickly, all at once, how to move in a certain direction. There was no practicing. It was everything and all—for the first and last time. Everything had to be right, whether it was or not. The waters were beautiful, the work harder than anything in my life, but the very glimpse of any tempest of defeat was never in my line of vision. I’d never failed at anything. And though this may sound quite an exaggeration, I tell you earnestly, it is true. Everything to this point I’d ever set my mind to, I’d achieved. But this wasn’t about conquering some land, nor had any of my other desires ever been about proving something. It just had to be—I could not break, could not turn or retract once I’d committed myself to my course. You cannot force a clock to run backwards when it is made to persevere always, and ever, forward. Had I not been so young I’d never have had the courage to love her.
Munia Khan, To Evince the Blue|Every morningbefore the birds starttrilling me their stories,I give birth to a new lovethrough my same old heartwhen a lake’s placidityfinds life in the swans breathOnly for you...From the poem 'Only For You
Val Uchendu|Thorns with rose petals, beauty with imperfection, softness of insensibility, pain of love; duality of human nature
Debatrayee Banerjee, A Whispering Leaf. . .|For Past is never buried-It just shines with a brighter ray,Perhaps because now we look at it as a third personUshering in a smile with moist eyes Which is but a reflection of an array of infinite emotions.Indeed, Past is never buried-It breathes silently,Deep inside,Distant yet alive.
Val Uchendu|Celebrate differences, give love, and more love. Anything short is a rigidity that cuts both ways and spawns odium and ire
Euginia Herlihy|Love is a place of rest, a place of comfort and a place of peace and enjoyment.
Euginia Herlihy|A genuine love gives it all, it protects and no strings attached. Love someone today.
Val Uchendu|Never settle for being ordinary, you're made whole in God, you're uniquely perfect. Made to love and be loved.
Sami Abouzid|I don’t know what else to do You’re always on my mind You’re the curse of my life I can’t describe,,,,,,,,,,,,,,You hurt my heart For so long You made a fool Out of me …….Now you’re wishing to be My destiny………………..Go away I had enough of you……Just go away You’re selfish You know it too…I had enough of you eternally…………………..
Munia Khan|A bird, unable to fly, is still a bird; but a human unable to love is an inexpensive stone: like a piece of uric acid stone
Matshona Dhliwayo|When you look into your soulmates eyes, you see the world; into your soulmates heart, you see the sky, and into your soulmates soul, you see the universe.
Khuliso Mamathoni, The Greatest Proposal|The word of God says "God is love", implying to love others is to reveal God to them.
Timothy Joshua|You are my first and last light,of my day and my night.
Matshona Dhliwayo|Falling in love with a woman’s body is lust, with a woman’s mind is sense, with a woman’s heart is virtue, and with a woman’s soul is wisdom.
Ridhdhesh Jivawala|Love is all, what you put into it.!
Sharlene Leong, inspired by love: Love is a dictionary full of everything|Wipe those tears, as they have cleansed your soul.
Tim Liwanag, Wonderful Love Memes|LOVE— yes, that one never fails!
Euginia Herlihy|Love requires commitment, flexibility, transparency and loyalty. Happy Valentines Day 2017.
Matshona Dhliwayo|If you have money, you are affluent; if you have joy, you are wealthy; and if you have love, you are rich.
Steven E. Wedel, Call to the Hunt|If you come away with me, I can promise you pain and disgrace,” I said. “But I will love you like no other can.
Actor Johnny Depp|If you love two people at the same time, choose the second one, because if you really loved the first one, you wouldn’t have fallen for the second.
Matshona Dhliwayo|Love is fierce like a lion; once it has entered the heart, it is in vain to resist.
Kamand Kojouri|Being deeply, passionately, and intensely in love is being deeply, passionately, and intensely in life.
Kamand Kojouri|I was mistaken when I said you live in my heart. How absurd I was when you live in my fingertips so that everything I touch is you. How foolish I was when you live in my toes so that everywhere I go there's you. How senseless of me to say you live in my heart when you breathe in my lungs, walk on my mind, and drink in my mouth. I came to pen another poem for you, but even every unwritten poem is you.
Kamand Kojouri|I write because the security of your love allows me to develop my craft without concerning myself with trivialities — as if your love could be any more complete. But I write, in the first place,because of you, my muse. I write for your green eyes to glance at my humble words and for the pleasure of hearing you utter them.
Kamand Kojouri|I love you so much I want to share youwith yourself.I know you do not insist that I do, but I love you so much I want to shareGod with you.
Matshona Dhliwayo|Love is more powerful than even the sun; light can only enter your eyes, but love can enter your soul.
Matshona Dhliwayo|Love makes you strong when others are weak, brave when others are scared, hopeful when others are despairing and cheerful when others are sad.
Khuliso Mamathoni, The Greatest Proposal|If you want to make your wife joyful, treat her like Holy Spirit
Kamand Kojouri|How is it possible, you ask, for love to be greater than the person who does the loving? That’s because love defies the rules of reason. It is the only exception.
Kamand Kojouri|I came to pen another poem for you, but even every unwritten poem is you.
Tilicia Haridat|I knew I loved you when the very thought of breaking your heart, broke mine.
Kamand Kojouri|Don’t say to yourself, ‘Everyone argues!’ to justify and normalise your fighting, when the most natural thing is to love.
Matshona Dhliwayo|No three words have greater force than “I want you,” greater strength than “I need you,” greater might than “I miss you,” and greater power than “I love you.
Matshona Dhliwayo|Joy is the best companion, virtue is the noblest acquaintance, wisdom is the cleverest friend, and love is the kindest soul mate.
Matshona Dhliwayo|I searched for love, and only found God; I searched for God, and only found love.
Matshona Dhliwayo|Even if love were considered a mental illness, that would not prevent it from being a pleasant one.
Hilal Hamdaan|I don't believe in your version of love, I have my own
Matshona Dhliwayo|If you have her mind, you have her for a moment; if you have her heart, you have her for a while; if you have her soul, you have her for a lifetime.
Khadija Rupa, Unexpressed Feelings|What about those Promises of yours to never leave me? she asked, stammering too much this time. His cruel smirk was as gut-wrenching as his words— Promises are meant to be broken, sweetheart.
Matshona Dhliwayo|Marry someone you can live with, and you have found your companion; marry someone you can’t live without, and you have found your soulmate.
The Paper Doll|If you have to love, then love greatly.
Nurudeen Ushawu|If you love and care enough, you will give a lot, you will forgive a lot.
Khadija Rupa, Unexpressed Feelings|The way your curious eyes were chasing mine when I stood in front of you, I knew I had known these eyes before.
Arpit Agrawal, Take my heart, forever...|You know what, the moment I see you, first thing that comes to my mind is, I have just wasted 26 years of my life without you...
Wayne Gerard Trotman|Do not delude yourself, tomorrow is not guaranteed; and even if good fortune brings you your tomorrow, there is no guarantee those you love will be a part of it. Do not squander your precious, limited time. Value what love you have in your life - nothing is more valuable. Make it known to those who matter.
Khadija Rupa, Unexpressed Feelings|Someday, even my existence would be felt.
Ramana Pemmaraju|I saw spark in your eyes while you chose only flaws in me, that made the difference!
Paul Brinkley-Rogers, Please Enjoy Your Happiness|I am saving my love in four parts. One part I will give to my family, because they give life to me. One part I will give to my future husband, because he will be the one who I will accompany with me for the rest of the life. The third part I will give to my husband's family, because if it was not for his mother and father I would not have him. The fourth part I give to myself, because if a woman does not love herself, how she could love another?
Ljupka Cvetanova, The New Land|I would die for you, my love—in old age.
Erich Fromm|For despite what some people say, love is not only a sweet falling bound to come and quickly go away.
Munia Khan|Love is love, even if it is illicit; like light remains light even in the darkness.
Matshona Dhliwayo|When love enters your heart, hate is given an eviction notice.
Lily Amis, Angel of Love  Lily: Zak, My Sweet Inspiration|Never chase people. Be you and the right people who belong in your life and deserve a place in your heart will come, find and appreciate you!
Matshona Dhliwayo|Beauty catches your eye, joy seizes your heart, and love captures your soul.
Matshona Dhliwayo|If you put all of your eggs in love’s basket, joy will hatch.
Taylor Patton|If you wake with a change of direction, deciding you hate who you've been,Remember, I loved you every yesterday as I will continue to love you then.Whomever person you become I shall worship and whatever path you pave I will follow,Because I loved you every yesterday and I will love you every tomorrow.
Ramana Pemmaraju|A man can deceive a women, so can a woman deceive a man; but if both are deceived its LOVE!
Lorri Faye|Many people in life will catch your eye, but few will catch your heart. Make sure you notice the difference.
Matshona Dhliwayo|If someone is destined to be with you, nothing can keep her away; if she is not, nothing can make her stay.
Matshona Dhliwayo|When the head tries to rule the heart, emotion poisons it.
Ufuoma Apoki|We'd rather have a grand spectacle of retribution of the 'wicked', than their silent walk towards redemption that our wishes questions the depth and nature of our love and hearts.
Abhijit Naskar, What is Mind?|The lessons of relationship that our primordial ancestors learned are deeply encoded in the genetics of our neurobiological circuits of love. They are present from the moment we are born and activated at puberty by the cocktail of neurochemicals. It’s an elegant synchronized system. At first our brain weighs a potential partner, and if the person ﬁts our ancestral wish list, we get a spike in the release of sex chemicals that makes us dizzy with a rush of unavoidable infatuation. It’s the ﬁrst step down the primeval path of pair-bonding.
Abhijit Naskar, What is Mind?|Males of all species are made for wooing females, and females typically choose among their suitors. If you take a closer look, you can observe such behavior all around you. The beautiful bird chirping outside your window. It’s a mating call. That pretty little bird is trying to attract a potential mate, so that it can propagate its genes. Why does the peacock have such beautiful feathers? It is to attract a healthy female. He as well is trying to propagate his genes. Even we humans, are not much different from the rest of the animal kingdom when it comes to attracting potential mates. When women dress up for their night out at the club, they are doing so to look attractive. This is a subconscious evolutionary desire to attract as many potential mates as possible.... While women tend to grab attention with their looks, men on the other hand, tend to attract as many potential females as possible, by showing off their resources. When a man shows off with his fancy car, expensive gold watch and suit, or flexes his muscles and brags about how many credit cards he owns, he’s doing so to make himself desirable by healthy women, in order to propagate his genes. It is all in the pursuit of reproduction.
Abhijit Naskar, What is Mind?|In the beginning of our love lives, it is the beastly instinct of sexual attraction that drives us all. The butterflies in your stomach simply signal your mind that the person in front of you would make a fantastic mate to make babies with. Without this primeval drive, you won’t ever fall for anyone in your entire lifetime. The very attraction you feel towards a person in a romantic way, is a mental manifestation of a subconscious desire to mate with that person.
Abhijit Naskar, What is Mind?|Let’s talk about mankind’s most adored emotion – Love. However, love itself is not a single emotion, rather a blend of many. It is such an enchanting sensation, that it has been inspiring artists, scientists, philosophers and thinkers for ages. Albert Einstein said, “any man who can drive safely while kissing a pretty girl is simply not giving the kiss the attention it deserves”. Geniuses around the world came up with various creations under the spell of love. Schrodinger’s Wave Equation, Hawking’s Hawking Radiation, Tagore’s songs, Rumi’s poems, are just a few among the plethora of scientific and philosophical literature created under the enigmatic and warm influence of love. So, technically it is totally worth being crazy in love.
Matshona Dhliwayo|Were my love the sky, it would be boundless.Were my love the sea, it would be ceaseless.Were my love the world, it would be limitless.Were my love the universe, it would be endless.
Matshona Dhliwayo|By the time you become an expert at marriage, it is too late to start a new one.
Matshona Dhliwayo|Treat marriage like a diamond necklace; if broken, fix it, but do not throw it away.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|There is a natural magic in the feeling of love that has been nourished by Mother Nature through millions of years. It can make you reach the zenith of your true potential. It can awaken your mind towards your deepest powers, and make you endowed with tools of greatness that you can never access in an ordinary state of mind.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|At that very first kiss of my life I felt something melt inside me that hurt in an exquisite way. All my longings, all my dreams and sweet anguish, all the secrets that slept deep within my limbic brain came awake. I felt billions of Beach Boys playing their sweet melody inside my heart in perfect harmony with the universe.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|We were the only two people in the entire airport who lost total track of time, for we were consumed by space-time at that present moment. Time was irrelevant to our existence, for we didn’t want to exist outside the tight and glorious knots of each other’s arms. Time is basically an illusion created by the mind to aid in our sense of temporal presence in the vast ocean of space. Without the neurons to create a virtual perception of the past and the future based on all our experiences, there is no actual existence of the past and the future. All that there is, is the present.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|Nature programmed the neurobiological processes of early love to appear as something beyond the primitive sexual cravings of the genitals. So, from an evolutionary standpoint, it all leads to copulation and reproduction, but from the perspective of the individual who has recently fallen head over heels in love with someone, it is mostly about a sensation of warmth and delight, and rarely of sexual nature.
Kamand Kojouri|We start a relationship with someone not only because of how great they are but how great they make us feel. And because they have granted us this extraordinary gift—a chance to experience love, joy, compassion, and security —it is our exclusive privilege to make them feel wonderful about themselves, especially during days when they, themselves, don't feel so wonderful.
John Irving, The Cider House Rules|It’s natural to want someone you love to do what you want, or what you think would be good for them, but you have to let everything happen to them. You can’t interfere with people you love any more than you’re supposed to interfere with people you don’t even know. And that’s hard. Because you often feel like interfering—you want to be the one who makes the plans. . . You can’t protect people, kiddo, all you can do is love them.
Natalie Wee, Our Bodies & Other Fine Machines|Like any / unloved thing, I don’t know if I’m real /when I’m not being touched.
Radhika Mundra|To ease a grieving heart is the world's greatest pleasure, more so, when the heart is yours.
Matshona Dhliwayo|There is no gem like virtue, no wealth like happiness, no treasure like faith, and no jewel like love.
Matshona Dhliwayo|The greatest gift you can give to someone is your heart; because when you give your heart, you are giving your most prized possession.
Matshona Dhliwayo|Love has the mind of a sage, the heart of a saint, and the soul of an angel.
Matshona Dhliwayo|If your wife puts on ten pounds, love her ten times more.If she puts on a hundred pounds, love her a hundred times more.If she puts on a thousand pounds, love her a thousand times more.
J.P. Delaney, The Girl Before|There's a kind of purity to a relationship unencumbered by convention, a sense of simplicity and freedom.
Ramana Pemmaraju|Love is not sacrificing for each other, but helping each other to become more unified - Mentally by respecting each other's EGO; Psychologically - by understanding and overcoming the subtle nuances of the mind that are detrimental to each other's progress and Spiritually - becoming one with the cosmic whole. This organic growth in all sphere of life is what we call LOVE! Have you experienced this?
E. L. Neve|You were my marital bliss,” he said to me this morning. “You can be again!” You know what I answered? “A marital blister, that’s what we’ll have if I stay.
treeguy39040|Beds ain't for sleeping, and clothes ain't for bed.
Matshona Dhliwayo|Lust makes you weak, passion makes you strong, love makes you brave, and heartache makes you wise.
Matshona Dhliwayo|Women are like shadows; when you chase them, they run from you; when you run from them, they chase you.
Sarah J. Maas, Empire of Storms|I love you. There is no limit to what I can give to you, no time I need. Even when this world is a forgotten whisper of dust between the stars, I will love you.
Nikki Rowe|He is the greatest mystery I had even known, one that always had me craving just a little bit more.
Julian Fellowes, Belgravia|I would fight dragons, I would walk over flaming coals, I would enter the Valley of the Dead, if I thought I might have a chance of your heart.
Nikki Rowe|I share my secrets with the moon, She talks about her love story with the sun & I share all my dreams about you.
Matshona Dhliwayo|When you are in love, your eyes see him only, your ears hear him only, your mouth speaks of him only, your mind thinks of him only, your heart desires him only, your soul lives for him only; your entire universe revolves around him only.
John Glenn, John Glenn: A Memoir|Love is a combination of friendship, passion, and respect.
Matshona Dhliwayo|Love is a spirit, and therefore cannot die a natural death.
Abhijit Naskar, The Art of Neuroscience in Everything|All that two lovers want, is to be one with the other in a moment of ecstasy.
Abhijit Naskar, The Art of Neuroscience in Everything|Through sexual intimacy, two human beings become one mind, body and soul wrapped up in the cocoon of their skin.
Ophélia Darwish, Revenge|[We learn] from heartbreak that love is not for idealists, but realists; it should always be passionate, but it is always dangerous. That infatuation is a game of power, but love leaves us powerless--and it is our dignity in its aftermath that defines us.
Matshona Dhliwayo|I miss you,” is how she entices you.“I want you,” is how she charms you.“I need you,” is how she entraps you.“I love you,” is how she imprisons you.
Matshona Dhliwayo|The heart is a wanderer, the mind is its map; love is its destination.
Matshona Dhliwayo|Passion stimulates you, love intoxicates you, marriage sobers you, and parenthood tries you.
Abhijit Naskar|The very first few days when you actually start having symptoms of falling for someone special, are the days of heavenly bliss and unreasonable madness.
Matshona Dhliwayo|Love makes you the richest person in the world, no matter how poor you are.
Tice Davids aka David T. Parker|Those of us with Big Hearts are like Big Banks, we are too Big to fail!
Lizzy Blue|I like feeling like I'm something , That I'm some ones. i never had this be fore . its really pretty all light and pink and green like a spring day but with a few grey clouds that come and go and help the flowers grow . This feeling it's love.
Tice Davids aka David T. Parker|Love is like stocks, if you don't want to suffer loss quickly, you better diversify!
Matshona Dhliwayo|The most expensive jewels are not found around our necks, but in our hearts.
Abhijit Naskar, Neurosutra: The Abhijit Naskar Collection|The very first few days when you actually start having symptoms of falling for someone special, are the days of heavenly bliss and unreasonable madness. This specific “madness” is one of the most rudimentary elements of the foundation of love. Along comes “Euphoria”. It feels like you have grown wings and you can fly around without a single care in the world. Everything starts to seem beautiful and better. The sun shines a bit brighter and the birds twitter a little louder and sweeter. As if you are stuck in an enchanting dream. You get butterflies in your stomach whenever the special person casts a blazing gaze upon you. And off course you all know about the thumping of heart and dilation of pupils.
Matshona Dhliwayo|If you sweep a woman off of her feet, make sure your character is strong enough to keep her in the air.
Jason Dias, The Girlfriend Project|We're really endless in a way. If time goes on forever, then any way you divide it is also forever. A tenth of infinity is infinity. It's only us that think the time is gone. It isn't. We're still there. Still at our wedding. Still on honeymoon. All the good times are still happening. Even in the middle of the bad times to come, we'll still be together. Forever, in a way.
R.D. Blackmore, Complete Collection of R. D. Blackmore|Either love me not at all, or as I love you, for ever.
Matshona Dhliwayo|The universe offers you three things that money cannot buy: joy, love, and life.
Matshona Dhliwayo|Joy is a loyal companion, love is a faithful friend, fear is a terrible adversary, and hatred is a merciless enemy.
Matshona Dhliwayo|Love does these three things effectively: multiplies joy, divides trouble, subtracts grief, and adds peace.
Matshona Dhliwayo|The most beautiful jewelry in the world is not a diamond necklace, but two hearts beating as one.
Katie Khan, Hold Back The Stars|She won’t love again in the same unbridled way; she’ll never feel the sharp brightness of her own personality when he gazes upon her, when he draws a spotlight over her and she responds, fully illuminated.
Nikki Rowe|We all have a " someone " who we carry in our hearts sometimes for an entire lifetime. That one that just doesn't fully remove itself from your journey, reminded at coffee shops through scent and character of a stranger, or a song that you once shared. Years can go by without a thought and then one day you are reminded and it all comes crashing back. The one that could have been, the one that you never knew exactly how to say goodbye to. The one you wish to meet first in another life.
Unknown|Even if I spent the whole day with you, I would miss you the second you leave.
Matshona Dhliwayo|To live a little, love a little. To live a lot, love a lot.
Matshona Dhliwayo|Love is ill-mannered; it can knock on your heart early, stay late, and leave without saying goodbye.
Charlyn Khater|if love is not the answer, make sure to change the question.
Matshona Dhliwayo|Hate is strong, fear is mighty, jealousy is powerful, but love is invincible.
Abhijit Naskar|Love and Divinity are both gifts from Nature, fraught with the highest bliss.
Trevor D. Richardson, Dystopia Boy: The Unauthorized Files|We were like two atoms in one molecule, hydrogen and oxygen. Both explosive alone, but the source of everything when we came together.
Matshona Dhliwayo|If you try to buy love, you will go bankrupt trying to possess it.
Matshona Dhliwayo|If you fall for someone, make sure they’re there to catch you.
Matshona Dhliwayo|When a woman wants your attention, she uses her smile. When she wants your wallet, she uses her charm. When she wants your heart, she uses her touch. When she wants your soul, she uses her kiss.
Angela Parkhurst, The Forgotten Fairytales|After every rainfall there's a rainbow because rainbows are a promise. A promise that there will always be a light in the darkness. That's why they are too beautiful to overlook.' His hand crept along my cheek, brushing away the fallen strands of my hair. The same strange look came over him, as if he wasn't present at all, but somewhere else, in a strange memory. "You, Norah, are our light."I swallowed hard. "Where's the darkness?"His eyes were trained, like he was under a spell, unable to move away or stop looking at me. "Where you aren't.
Scott Westerfeld, Pretties|Maybe human beings are programmed … to help one another, even to fall in love. But just because it's human nature doesn't make it bad, Tally. Besides, we had a whole city of pretties to choose from, and we chose each other.
Carlos Wallace, The Other 99 T.Y.M.E.S: Train Your Mind to Enjoy Serenity|Think of the principle as that precise moment you recall everything that makes you love that person: the number of times your partner makes you smile, comforts and supports you. During those times dig deep and shift your focus from whatever bad is happening today, at this minute, and appreciate every other day, hour and second that person spends being “the one.
Sami Abouzid|You can kill our love, but you can't delete our memories together
Matshona Dhliwayo|Do the dishes, and you have her heart; do the dishes and the laundry, and you have her soul.
Mohammed Zaki Ansari, "Zaki's Gift Of Love"|Doesn't matter you have thousand of qualities but if you are not honest with your beloved,then other all qualities are rubbish.to hold relation and love there is need only one quality Thats call Honesty and just Honesty
Renee Conoulty, Don't Mean a Thing|Stop thinking about the steps. There are no moves in blues, only movement. Just listen to the music,” Matt whispered into my ear.I let go, softening into his arms. The sways became steps, and without even realising, I was dancing.
Matshona Dhliwayo|Love is like lightening; it can strike anyone, anywhere, and at any time.
Matshona Dhliwayo|If a woman tells you how terrible she looks, sincerely deny it, even if you agree.
Ashley Jade, Blame It on the Shame|You're my missing puzzle piece," she whispers as we continue dancing."Your puzzle piece?" I question. "I'm not broken...but before you; I was never whole, either," she clarifies. "You're the missing piece that made me whole. And now, you're the piece that keeps me from breaking.
Matshona Dhliwayo|A thousand ways to please your wife boil down to two words: “Yes, dear.
Stephen Clayworth|As I was contemplating each second of your existence, the sound of nothing but your delicate breathing, brings me back the memories of experiences I have not yet experienced
Matshona Dhliwayo|Be calm when your wife yells at you, calmer when she chastens you, but be terrified when she ignores you.
Sami Abouzid|Nobility, I always have one thing common with you , I always think you’re an angel
Anupama Garg, The Tantric Curse|Love is a word, to which each of us have to give our own defination.
Luffina Lourduraj|When two broken hearts meet, they find their missing part in each other.
Robin Benway, Emmy & Oliver|Sometimes, the things people don't say are louder than the words that come out of their mouths.
Matshona Dhliwayo|Before you look for dirt in people, look for treasure.
Matshona Dhliwayo|Your wife is smarter than you; know this, and you will live happily ever after.
Raneem Kayyali|We don't find love, love finds us. What you put out into the universe will find its way back to you.
Matshona Dhliwayo|As the sun lives on when it sets in the warmth it has given to others, you too will live on in the hearts of those whose lives you have touched.
Sahara Sanders, The Honest Book of International Dating: Smart Dating Strategies for Men|...A huge “army” of immature guys with blinders over their eyes, looking for UNCONDITIONAL LOVE, are going nowhere. Such men are all ending up to be eternal dating losers, because they are simply wasting huge amounts of effort, trying hard and hoping to find something that does not exist on the planet.To achieve the goal of personal happiness, we have to be honest with ourselves first of all. We need to be brave enough and smart enough to look into the mirror at our true selves, without our comfortable masks of lies or hypocrisy.LET’S FACE IT:There are always reasons why we feel love for another person; we don't love someone for no reason at all. We love them for the qualities they possess, which we admire; for those amazing, bright emotions they evoke from within ourselves; for the love and care that we so acceptingly receive from them; and for what good feelings we experience being around them, etc.Be HONEST with yourself!
Sami Abouzid|Many people in this world want you to follow them blindly, no questions asked , they wanna control your fate, your heart, soul & thoughts, I tell you...Follow your heart , listen to what it has to say .
Sami Abouzid|The beauty about creating soundtracks is that each time I’m living in a magical world, a world of the logic of sense away from the crazy world we’re living in where materialism in charge of our destiny
SAMi|The realization that friendship is greater than love doesn't come when you have real and honest friends around. You realize it when someone whom you have always thought of as a friend, back stabs you. When a friend breaks your trust it hurts more than a lover abandoning you and then you realize friendship is indeed greater than love... While you are still figuring out the depth of your emotional connectivity, the ones who say they would never leave you, have already left. Unfaithful love does breaks heart but an unworthy friend bruises your soul.
Sami Abouzid|I’m building a castle of soundtracks. So that one day I’ll tell the ones I care for, I fought for my rights to dream and making them come true
Archna Mohan|She doesn't know any other way to express her love, it always flowed like a river inside her. Don't judge her for the way she love .Like an artist she carves each relation in her life wholeheartedly. Now its an art work , you might not like her art but don't doubt her love which created that.
jagvir ji|i know this is love "" but how can be you so sure "" can't you see I'm alone, suffering nd it really hurts , I'm dying everyday a little bit , tell me any other disease where u face all this nd it has no cure buddy , I'm trapped
Matshona Dhliwayo|Love came, it saw, and it conquered me.
Sami Abouzid|The more you create great music, the more it makes you eager to create more and more
Raneem Kayyali|This funny thing we call love, how simple it may seem. To say it is sometimes enough but to feel it is a dream.
Raneem Kayyali|Can you hear the echoes of a faint whisper in the breeze? Can you smell the fragrance of the roses and the trees? Can you see my soul reaching out from within? Can you feel my fingertips dance upon your skin? Let the sky fall dim as our love ignites, losing sense of the days and the never-ending nights.
Matshona Dhliwayo|If a man treats you like a princess, he deserves to be your king.
Matshona Dhliwayo|The shrewd marry for money, the scheming marry for status, the calculating marry for power, but the wise marry for love.
Matshona Dhliwayo|If the final chapter of your life story is written by love, you are guaranteed a happy ending.
Matshona Dhliwayo|If you want to be happy, love. If you want to be happier, love some more.
kambiz shabankareh|Love it's not supposed to be complicated. It must be easy. It should not need begging and imploring. Love must be simple, because it's just the beginning of a long journey.
Ahmed Falah|I always have a fear of loosing Love ones. Even if I don't want to see this happen, I will have to face the bitter truth sooner or later.
Abhijit Naskar, In Search of Divinity: Journey to the Kingdom of Conscience|With the glorious flames of compassion in your heart, embrace the goodness from all religions. Taste the love of Christmas, the radiance of Diwali, the brotherhood of Ramadan, the feast of Sukkot and assimilate anything that appeals to you. The end product of such acceptance is a peaceful human society, filled with joy and cheer.
Munia Khan|When you kiss, my world falls apartHeaven comes down to woo my heart
Stephanie  Thornton, The Secret History: A Novel of Empress Theodora|Love suffers long and is kind. Love does not parade itself, is not arrogant or rude, does not seek its own, thinks no evil; does not rejoice in iniquity, but rejoices in the truth. Love bears all things, believes all things, hopes all things, endures all things.
~ Fidelis O Mkparu (2016), author of ‘Love’s affliction’|I’ll never forget the magic of our Saturday nights. Special moments carved in my mind by you the sculptor of my love. Let’s dance the night away. Who needs music, when your heart already sings to me.
Dariush Youkhaneh, Serving the living God|Your boast does not take you in any place , But your love, YES.
Matshona Dhliwayo|Passion gives you what you want, lust gives you what you desire, but only love gives you what you need.
Shillpi S Banerrji|Your beauty is tragic.It is the sweetest sin,Heaven ever created!
Brittainy C. Cherry, Art & Soul|But my heart… my heart believed in a quiet, simple kind of love. A kind of love that was created before time existed, a kind of love that was bigger than any limitations the world placed upon us. It was a type of love that had no age limits, no boundaries , and was seen only within the souls of two people. My heart didn’t give me much of a choice.
Marcus L. Lukusa|Love is like going fishing, you never know what size fish will be taken out of the water, but big or small you will be the one deciding to either kill it or keep it close to you under good care and nature it. But firstly you have to take the courage to go fishing.
Sami Abouzid|There’s no smoke Without a fire There’s no life Without you ………………There’s no hope Without desire In the night My heart is calling you ………………Nights of fear I’m feeling safe Only in your arms ………….Baby, nights of fear Take me to your paradise You can share my love tonight There’s a way for two……………………….
Wayne Gerard Trotman|If you're with someone, but you're constantly worried about what they think of you, you're with the wrong person.
Julieanne O'Connor, SPELLING IT OUT FOR YOUR CAREER|Sometimes you have to "play the part" to become the part.
Julieanne O'Connor, SPELLING IT OUT FOR YOUR CAREER|Often it takes more guts than skill to open doors. Once the doors get opened, then it's up to you.
Julieanne O'Connor, SPELLING IT OUT FOR YOUR CAREER|Sometimes life is unpredictable, as are people.
Julieanne O'Conner|Creative solutions come at drastic times, if you open your mind to the possibilities. Free yourself to take a chance!
Julieanne O'Conner|Other people's criticisms about what you are capable of, have nothing to do with you.
Julieanne O'Connor, SPELLING IT OUT FOR YOUR CAREER|When you get clear on your own boundaries, you will find it easy to decide what you're willing to accept in your career.
Julieanne O'Connor, SPELLING IT OUT FOR YOUR CAREER|When you make an embarrassing mistake, learn to let the memories be enough to let you laugh about it today.
Julieanne O'Conner|When you seek first to develop relationships based on personal and human ground, you will surely gain interest of another party.
Sami Abouzid|Your heart is so precious to be mistreated by idiots in this world, to deserve better
Sami Abouzid|Your heart is so precious to be mistreated by idiots in this world, you deserve better
Julieanne O'Conner|When you get clear on your own boundaries, you will find it easy to decide what you are willing to accept in your career.
