Sandra Steffen, Come Summer|I read once that sorrow looks back, worry looks around, and faith looks ahead.
DaShanne Stokes|Blood can help make family, but family often transcends blood.
James     Baldwin, The Fire Next Time|I have known both of you all your lives, have carried your Daddy in my arms and on my shoulders, kissed and spanked him and watched him learn to walk. I don’t know if you’ve known anybody from that far back; if you’ve loved anybody that long, first as an infant, then as a child, then as a man, you gain a strange perspective on time and human pain and effort. Other people cannot see what I see whenever I look into your father’s face, for behind your father’s face as it is today are all those other faces which were his. Let him laugh and I see a cellar your father does not remember and a house he does not remember and I hear in his present laughter his laughter as a child. Let him curse and I remember him falling down the cellar steps, and howling, and I remember, with pain, his tears, which my hand or your grandmother’s so easily wiped away. But no one’s hand can wipe away those tears he sheds invisibly today, which one hears in his laughter and in his speech and in his songs.
Jo Walton, Among Others|I'm only fifteen. I'm not sure I ever want to get married. I'm neither messing around while waiting nor looking for some "real thing". What I want is much more complicated. I want somebody to talk about books, who would be my friend, and why couldn't we have sex as well if we wanted to? (And used contraception.) I'm not looking for romance. Lord Peter and Harriet would seem a pretty good model to me. I wonder if Wim has read Sayers?
Melina Marchetta, On the Jellicoe Road|But say he forgets about me or meets someone else or pretends I don't exist.I look at her and then at Trini and Raffy."Teresa, Teresa. Have we taught you nothing?" Raffy says in an irritated voice. "It's war. You go in and you hunt him down until he realises that he's made a mistake"Teresa looks hopeful."It's not as if men haven't gone to war for dumber reasons" Trini adds.
Ruth Klüger, Still Alive: A Holocaust Girlhood Remembered|I fell on my feet and found my bearings because of these. I could talk to them. They listened and answered, for or against, but always weighing what they had heard, unlike my mother, who used language for manipulation, not to express an opinion or state a fact. What sounded like a fact might be a lie, and every opinion was tailored for the moment.
Shannon L. Alder|Every broken heart has screamed at one time or another, "I want to know why!
Izey Victoria Odiase|3 Types of People You Will Encounter. Those who:1) Promise and Deliver,2) Under-promise and Over-deliver,3) Over-promise and Under-deliver.
Uma Shanker|The grass remains green only as long as you water it. Similarly, a relationship remains fresh only as long as you nurture it with love.
Oscar Wilde, Lady Windermere's Fan|That is the worst of women. They always want one to be good. And if we are good, when they meet us, they don't love us at all. They like to find us quite irretrievably bad, and to leave us quite unattractively good.
Auliq Ice|Love always doesn't come across as bad, but it always has two sides.
Robin Sacredfire|People use masks in public and then wonder why their personal life, their relationships, don't work. If you're not being honest with others, there's nothing real about yourself to learn and, the wider the gap, the deeper the suffering. The heart wasn't meant to be closed in a box made of fake feelings and thoughts.
Clarice Lispector, Near to the Wild Heart|It was darker, all she could see of him was a shadow. He was fading more and more, slipping through her hands, dead at the bottom of sleep.
Robin Sacredfire|There’s a reason for the word heartbeat not be called beat of heart. The perfect woman only needs a good beat. The heart will follow. Emotions, when put in equilibrium with reason, create more miracles than any emotion, no matter how strong, deprived from reason. This is why it’s much easier to love a woman that can play the drums or any other instrument with rhythm, than one that believes in unreasonable magic, simply because there’s more magic in reason than in the lack of it. You see, loving someone that you truly want to love, someone you admire, someone you want to spend your time with, helping, sharing and growing together, makes much more sense than expecting someone to love you for no reason than your will, needs and desires. And when humans understand this, they will understand love, find it easily and never lose it again.
H.J. Bellus, The Big O|I’m twenty-four, a first grade teacher, have a Yorkie named Pedro, a goldfish named Fish, have never had sex, or a serious boyfriend, and I’m the town lesbian who pukes when she sees a pussy. Nothing really to be jealous of at all.
Alexandra Kleeman, Intimations: Stories|I was so tired. I just wanted to curl up with someone, anyone, even him, and sleep until work on Monday. I wanted to feel someone’s, anyone’s, hands on me, even if it was in that way I hate, the fingers all over my face and jaw.
Dr. Deborah Hecker|When your partner overreacts 1st try to understand their “hot spot” before overreacting; otherwise you lose your ability to think clearly, communicate effectively and the cycle continues.
Paul Bradley Smith|The strength of our digital ‪community‬ is derived by the ‪relationships‬ we build over time by connecting, sharing and engaging our successes as well as our failures. This creates extraordinary opportunities because we are‪ ‎human‬ and carry a unique trait called ‪empathy‬ that naturally wants to add value and help others
Temitayo Olami|Dear lover, pull my ears and not my legs for it is better to be cautioned than to be lied to.
Ufuoma Apoki|One great concern that plagues very ambitious people is this: in the end, they’ll get all the precious things they ever dreamed of and every precious accomplishment most expected and conceived they’d achieve . . . but on that path of ambition, they’d lose precious moments with the most precious people they’ve come across. However, they forge ahead on that path hoping, somehow, they might make up for it, sometime, in future.
Robin Sacredfire|Despite the experiences that put me in the spotlight as the co-creator of my wisdom, the human part of me keeps burning, like an alchemical process that I both accept and want to refuse. You see, it's hard when I notice women falling in love with me, and then destroying everything at the same time. And so, I'm changing the world as much as this world is changing me. The two things are inseparable.
Robin Sacredfire|Very often it seems that people assume that by cutting the wings of others, it becomes easier to love them. They know so little about love that end up creating a perception of love that is devilish and demoniacal. And I end with no other choice but to remain single and let them go.
Alexandra Kleeman, Intimations: Stories|But I had no idea who this person might be, or who any of the people might be who sat at that table and watched me at the door and claimed to have feelings not exactly for me, but at me.
Alexandra Kleeman, Intimations: Stories|I didn't know what to say. I knew I had a big choice to make. I could let it all go and try to love him, try to trust him, try to make something lasting and good. He obviously had strong feelings for me or about me. And he wasn't being so bad right now. We could build something sturdy, beautiful. Or I could try to make a dash for the door by crawling under the dining room table.There was a good chance that he would kill me later either way.
George MacDonald, Mary Marston|his mother, who had never been able to manage him, sent him to school to get rid of him, lamented his absence till he returned, then writhed and fretted under his presence until again he went.
Alexandra Kleeman, Intimations: Stories|And as he leaned in to kiss me, my eye saw his open mouth grow larger and larger until it seemed it could swallow me whole.
Alexandra Kleeman, Intimations: Stories|It seemed as though, being the only two people in this small, closed-in space, we couldn't help but have a relationship, and if we couldn't help but have a relationship, I felt that it was important to be upset now so that he would not shift the blame to me in the future.
Alexandra Kleeman, Intimations: Stories|There was nothing else I could do but say sorry myself. His apology had left a residue in me, a residue on my thinking, and continuing on in this house without saying it would be entirely awkward. It would turn the small space toxic. So I said it, though I tried to lessen the potency of the apology by mumbling.
Alexandra Kleeman, Intimations: Stories|I left the room before I could figure out exactly what bothered me about his response. Was it the way it seemed to assume a future for the two of us? A future in which I would continue to be unable to leave this house? Was it the presumption that I was making a cake for him when, really, I had no idea why I was making a cake at all?
Alexandra Kleeman, Intimations: Stories|There had been times when I thought I might be with you indefinitely, something approaching an entire life. But then when there was only a finite amount of time, a thing we could both see the limit of, I wasn't so sure.
Jenna Alatari|Relationships are like gardening. If you don't water the plants, they die.
Alexandra Kleeman, Intimations: Stories|This feeling of lessening disturbance, coming from within myself, unexpected, was profoundly disturbing. As I sat still, growing less and less alarmed by the situation, I knew that I had to move fast, as fast and as far as I could within this small, cramped house.
C. JoyBell C.|If we were all looking for something 'easy come and easy go', then all of our lives would be easy. The problem is that we look for something real, don't we? And it is this longing for what is real, that makes finding the right person to be the most difficult task in the world. You can marry someone and promise the rest of your life to the person, only to find out later that this person makes you feel lonely. If we had no innate longing for true love and for true partnership, then none of us would have any problems! Therefore, the most frightening question to ponder upon, is, 'what if true love does not exist; what if the real stuff isn't real at all?' In such a case, life would be meaningless. I suppose I would rather believe in love relentlessly, than live in this world meaninglessly.
Shannon L. Alder|It really is quite simple. All women really want is to be needed, valued and loved above anyone else and they will make you a keeper. It's your actions she is paying attention to, not your words.
Steve Maraboli|On Valentine’s Day, we are reminded what our relationships could be like the other 364.
Stephanie Lahart|Black Girls… Until you get enough of what you’re going through, no matter what advice a person gives you, you’ll continue to go through the same thing. Constant arguing. Constant fighting. Constant lies. Constant disappointments. Constant emotional rollercoaster. Constant heartbreak. Constant headaches. Constant threats. Constantly fighting for his attention and love. Constantly looking through his phone. Constantly sneaking through his personal belongings. Constantly arguing and/or fighting with other women over who’s supposed to be YOUR mate. Secretly checking up on him due to a lack of trust. Listen, NOBODY is worth your inner peace! What I’ve listed above is NOT a relationship. It’s a toxic mess. So, what are you going to do?
Staci Bartley, A Dose Of Love: Simple words of wisdom for creating more love and less fear in your relationships.|If love was absent, you would not feel disappointed; you would feel indifferent.
Staci A. Welch-Bartley|When things are falling apart, know they are actually falling into place.
Timothy Joshua|But he knew she was a star, and he, only human. He was never meant to reach the stars - he could only admire them from afar.
J.P. Delaney, The Girl Before|Saul is as different from Simon Wakefield as it's possible to get, I find myself thinking. And Edward Monkford is utterly different from both of them. It seems incredible that Emma could have had relationships with all three men. Where Simon's eager to please, but also touchy and insecure, and Edward's calm and super-confident, Saul is pushy and brash and loud. He also has a habit of saying 'Yeah?' aggressively at the end of his sentences, as if trying to force me to agree with him.
J.P. Delaney, The Girl Before|And when I realized you had secrets too, I was glad. I thought we could be honest with each other. That we could finally rid ourselves of all the clutter from our past. Not our possessions, but the stuff we carry around inside our heads. Because that's what I've realized, living in One Folgate Street. You can make your surroundings as polished and empty as you like. But it doesn't really matter if you're still messed up inside. And that's all anyone's looking for really, isn't it? Someone to take care of the mess inside our heads?
bell hooks, Communion: The Female Search for Love|Significantly, romantic friendships can coexist with the fact of partners' marrying because their reason for being is not to replace marriage but to open the possibility of sustained, committed true love existing among friends, and not just same-sex friends. No matter that our chosen relationship commitments change. Those of us who have long-term romantic friendships, some that have lasted longer than any of our marriages or partnerships, do not fear that these commitments will falter if we create primary bonds.
Staci Bartley, A Dose Of Love: Simple words of wisdom for creating more love and less fear in your relationships.|Relationships take skill, not perfection or luck!
bell hooks, Communion: The Female Search for Love|Young girls often feel strong, courageous, highly creative, and powerful until they begin to receive undermining sexist messages that encourage them to conform to conventional notions of femininity. To conform they have to give up power.
Vironika Tugaleva|The important thing is for me to feel love towards my fellow human beings—and sometimes, that has to be at a distance.
Joy Williams, Taking Care|Katherine feels that she must have learned something about marriage from being married before that is now working to her benefit. However, she doesn't know quite what it is, or how, actually, it works.
Steve Maraboli|I'm water... If you're oil, we'll clash. If you're a flower, I'll nourish you. If you're a light, I'll reflect you. If you can't swim, you'll drown in me. If you're up for adventure, I'm endless entertainment. I'm just being me. If we don't fit, it's not my fault, nor yours. You be you. I'll be me.
Cathy Burnham Martin, The Bimbo Has Brains: And Other Freaky Facts|Cheating is pure hypocrisy. Our partner deserves better than that. If we don’t love someone, we should not be with them. That would also be hypocrisy.
Alaric Hutchinson, Living Peace|Respect everyone who crosses your path, even if you feel they don't deserve it.
Joe Jordan, Sharpen Your Life: 52 Strategic Moments to Create a Lifetime of Success|One of the greatest ways you can affirm value in another person is by giving them the gift of your undivided attention, the kind of attention that says, “I hear what you are saying because I value who you are.” You don’t have to agree with someone to show them their value as a person. Listening demonstrates that any person you meet is worthy of your respect and attention.
Cathy Burnham Martin, The Bimbo Has Brains: And Other Freaky Facts|Direct lies, small lies, huge lies, and lies of omission… these are all self-serving and sources of self-destruction.
Alaric Hutchinson, Living Peace|If you lack open communication and honesty in your life – It’s time to look within. Are you someone who handles heavy, emotional, or tough information well or do you often get excessively agitated, upset, or depressed? My rule of thumb is that no topic ‘should’ ever be off limits with a loved one. That is the goal to work towards. The point being, if you’re easy to talk to, people will talk to you! If you’re not, then they won’t!
Cathy Burnham Martin, The Bimbo Has Brains: And Other Freaky Facts|Most single people are sick of married people presenting themselves as both available and interested, when indeed they are merely “playing.” Oh, yeah… and cheating. Gee, that is attractive. Not! Others could not care less what someone’s marital status might be.
Carlo Rovelli, Seven Brief Lessons on Physics|Once again, the world seems to be less about objects than about interactive relationships.
Cathy Burnham Martin, The Bimbo Has Brains: And Other Freaky Facts|We never want to be taken for granted, but our partners should be able to expect our honest loyalty. That is a powerfully strong foundation block for a relationship. I want to meet the greatest expectations, without being the greatest fraud.
Cathy Burnham Martin, The Bimbo Has Brains: And Other Freaky Facts|In truth, if it isn’t to save your life when it’s in imminent danger, someone yelling at you is just plain wrong. The same is true for ranting or bitching. The same goes double for anything even close to manhandling.
Cathy Burnham Martin, The Bimbo Has Brains: And Other Freaky Facts|If a man or a woman starts “expecting” sex, then it is no longer special, and a lover will likely start to feel used.
Cathy Burnham Martin, The Bimbo Has Brains: And Other Freaky Facts|When we make the decisions to be and stay in love, we should also make a decision and commitment to be supportive.
Cathy Burnham Martin, The Bimbo Has Brains: And Other Freaky Facts|If we are sharing challenges and concerns, laughter and life stories, dreams and dramas with someone other than our mate, we are making precious, intimate connections with someone other than our mate. We need to keep not only physical, but emotional and intellectual connections strong and active with our beloved.
Cathy Burnham Martin, The Bimbo Has Brains: And Other Freaky Facts|Should we “expect” our physical, sexual, intellectual, and emotional intimacies to automatically continue throughout a marriage? Nope. At least, not in my opinion. But I do think we should be able to expect both partners to protect and preserve the sanctity of these intimacies. That, to me, is part of honest loyalty.
Cathy Burnham Martin, The Bimbo Has Brains: And Other Freaky Facts|Some people think that it’s okay to be downright nasty to people they love. It is not okay. Nasty is never called for, and it’s certainly not sweet, useful, nor positive.
Cathy Burnham Martin, The Bimbo Has Brains: And Other Freaky Facts|Past misdeeds must only serve as a reference point in calm conversation about lessons learned or actions that taught us to behave better. They should never be bantered about with sarcasm, anger, or nastiness.
Cathy Burnham Martin, The Bimbo Has Brains: And Other Freaky Facts|Appreciation and respect are mutual needs. We may be wired differently as men and women, but some needs are parallel human needs.
Cathy Burnham Martin, The Bimbo Has Brains: And Other Freaky Facts|It takes a strong woman to tolerate a weak man. That said, it takes a strong man to tolerate a weak woman, too.
Cathy Burnham Martin, The Bimbo Has Brains: And Other Freaky Facts|Without trust, our relationships lack an essential ingredient for emotional intimacy. We need to be able to totally trust our partner with our deepest thoughts, dreams, fears, and secrets.
Cathy Burnham Martin, The Bimbo Has Brains: And Other Freaky Facts|It matters little which party has gotten lazy about delivering what their partner craves. It doesn’t take too many days or weeks for an unsatisfied partner to start to feel love-starved and sadly unfulfilled. If you want great sex in the bedroom, show love to each other outside the bedroom.
Staci A. Welch-Bartley|Love sucks sometimes. It can stretch you beyond what you feel you can endure. But you can, and you must get back to love and living!
Cathy Burnham Martin, The Bimbo Has Brains: And Other Freaky Facts|Some people believe that if they yell and scream, others will get the point of just how serious they are. For me, all I get is the point of just how out of control that someone is.
Cathy Burnham Martin, The Bimbo Has Brains: And Other Freaky Facts|If someone yells at me, they are not expressing love. They may be threatening me. They may be expressing great frustration with me. They may simply be trying to control my behavior. However, they are not communicating love.
Cathy Burnham Martin, The Bimbo Has Brains: And Other Freaky Facts|When we resort to screaming at someone, we are revealing weakness and a sense of helplessness. If we can’t seem to get our message or feelings across any other way, then we get angry, and we get loud!
Carlos Wallace, The Other 99 T.Y.M.E.S: Train Your Mind to Enjoy Serenity|In relationships, everyone makes mistakes. If you are forgiven for yours, don't take it for granted.
Vironika Tugaleva|Self-love is essential. Until you can learn how to feel loved in an empty room, you will not feel loved for very long in any other room.
Cynthia D'Aprix Sweeney, The Nest|So the first time she and Leo combusted, she'd practically been poised for the breakup. In some inexplicable way, she'd been looking forward to it and all its attendant drama, because wasn't there something nearly lovely–when you were young enough–about guts churning and tear ducts being put to glorious overuse? She recognized the undeniable satisfaction of the first emotional fissure because an unraveling was still something grown-up and, therefore, life affirming. See? The broken heart signalled. I loved enough to lose; I felt enough to weep. Because when you were young enough, the stakes of love were so very small, nearly insignificant. How tragic could a breakup be when it was part of the fabric of expectation from the beginning? The hackneyed fights, the late-night phone calls, the indignant recounting for friends over multiple drinks and in earshot of an appropriately flirtatious bartender–it was theatre for a certain type of person . . . Until it wasn't.
Ravi Zacharias, I, Isaac, Take Thee, Rebekah: Moving from Romance to Lasting Love|David talked often about how discouraged or fearful he would become at times. Then he would interject these words, "But then I entered the sanctuary..." Being in God's presence affects all other relationships for the better. To have first seen her husband in prayer surely remained a cherish moment for Rebekah.
Jalaluddin Rumi|Last night you left me and sleptyour own deep sleep. Tonight you turnand turn. I say,‘You and I will be togethertill the universe dissolves.’You mumble back things you thought ofwhen you were drunk.
Elyn R. Saks, The Center Cannot Hold: My Journey Through Madness|Dropping in and out of your own life (for psychotic breaks, or treatment in a hospital) isn’t like getting off a train at one stop and later getting back on at another. Even if you can get back on (and the odds are not in your favor), you’re lonely there. The people you boarded with originally are far, far ahead of you, and now you’re stuck playing catch-up.
Alaric Hutchinson, Living Peace|Be YOU. There is nothing sexier than someone who is confident enough to be themselves, quirks and all. It is often your unique nature that separates you from the crowd in the best way possible for your romantic match to notice you.
Sam Owen, 500 Relationships And Life Quotes: Bite-Sized Advice For Busy People|When you walk around feeling quietly upset, frustrated, angry or some other negative emotion, people around you will detect it to some degree or another, even if only subconsciously.
Vironika Tugaleva|There is no quick fix-all procedure to heal your insecurities. Like any relationship, the relationship with yourself must be built and re-built one kind, loving conversation at a time.
Dennis Lehane, Prayers for Rain|Some ghost of myself still lived back in the days when we'd shared a bed and talked of the future. But that love we'd had and those selves we'd been were gone, placed in a box like old photographs and letters you'd never read again.
Oddný Eir, Land of Love and Ruins|Next I want to try living apart together, live in the same country, the same city, even the same building as whomever I'm in a relationship with, yet in a different apartment than him. Then it would be possible to pay him visits and still invite good friends over to my place. Do you think you have that it takes to maintain such a French arrangement? he asked. Well, no, probably not...but then again...? Maybe it would be better in the long run to stay in a more lasting relationship and not need to move so often.
Oddný Eir|Still, we've attempted to argue when necessary; you've got to be able to let loose and even lose your temper a bit if you're finding it hard to breathe. Closeness has to be like running water; it mustn't stagnate and sour.
Oddný Eir, Land of Love and Ruins|She said it was no use waiting for trust to come to you fully formed, and then go and create a life and home together; you just had to start living with the person you loved best, and trust would build over time.
Farshad Asl, The "No Excuses" Mindset: A Life of Purpose, Passion, and Clarity|In a world where the larger majority of society is careless, it’s the small percentage of people who make the choice to be different and prioritize relationships that stand out.
Sam Owen, 500 Relationships And Life Quotes: Bite-Sized Advice For Busy People|Whatever you focus your mind on, you will consciously and subconsciously work towards.
Sam Owen, 500 Relationships And Life Quotes: Bite-Sized Advice For Busy People|Jealousy is when their reflection in the mirror that is your progress, is attacked rather than appreciated, begrudged rather than understood.
Alexander McCall Smith, The Full Cupboard of Life|She had never been able to tolerate dishonesty, which she thought threatened the very heart of relationships between people. If you could not count on other people to mean what they said, or to do what they said they would do, then life could become utterly unpredictable. The fact that we could trust one another made it possible to undertake the simple tasks of life.
Marybeth Niederkorn, Small Town Tales: Volume 1|All in all, he thought it was a bad idea to get involved with the woman investigating his ex's possible suicide with intent to haunt.
Marilynne Robinson, Gilead|It is one of the best traits of good people that they love where they pity. And this is truer of women than of men. So they get themselves drawn into situations that are harmful to them. I have seen this happen many, many times. I have always had trouble finding a way to caution against it. Since it is, in a word, Christlike
Ana Simons, Silent Signs|I took a deep intake of breath and gathered all my strength to unleash the arrogant, cold-hearted royal bitch who must hide somewhere in deeper layers of my being. We all must have one somewhere, and she should see the light of day sometimes.
Winston Graham, Jeremy Poldark|And what of this young woman beside him, whom he had loved devotedly for four years and still did love? She had given him more than Elizabeth ever could: months of unflawed relationship, unquestioning trust (which he was now betraying in thought) . Oh nonsense! What man did not at some time or another glance elsewhere? And who could complain if it remained at a glance? (Chance was a fine thing).
Karen Marie Moning, Feversong|Things we had, like respect and trust, but also freely expressed desires and accountability to whatever degree it took to make both people happy. It took work, a willingness to fight passionately and fairly--out of bed, not just in it--commitment and honesty. It took waking up and saying each day, "I hold this man sacred and always will. He's my sun, moon, and stars." It took letting the other person in; a thing I'd stopped doing. It took being unafraid to ask for what you wanted, to put yourself on the line, to risk it all for love.
Shannon L. Alder|Maybe, the question isn't who will look good by your side, who will make these days less dull, who will bring you the greatest financial benefit, who will be the one to bring you pleasure, who do you have the most in common with?.... Maybe, the question one should ask is who do you want at your side when you are dying?
Mary E. Pearson, The Beauty of Darkness|Words, Kaden. Only lost unsaid words that added up to good-bye.
Sam Owen, 500 Relationships And Life Quotes: Bite-Sized Advice For Busy People|When you become aggressive in arguments, you force the other person to become defensive which means they’ll either get ready to fight you or ready to flee from you.
Shannon L. Alder|Empowering Women 101: If a normal man wants you he will let you know. You won't have to guess. He will move mountains to bring you into his life. If he is abnormal he will string you along, drop a trail of crumbs and clues for you to follow, in order to keep you guessing. This type of man desires you, but doesn't value you.
Sam Owen, 500 Relationships And Life Quotes: Bite-Sized Advice For Busy People|Within our emotions lie answers, truths and instructions.
Sam Owen, 500 Relationships And Life Quotes: Bite-Sized Advice For Busy People|Feeling your way to knowledge rather than thinking your way, often results in better learning.
Alexandra Kleeman, You Too Can Have a Body Like Mine|He was so far away now, or maybe he just looked distant because we were imaging different things for our future.
Sam Owen, 500 Relationships And Life Quotes: Bite-Sized Advice For Busy People|Anger usually only serves us, and even then, only very fleetingly.
Wayne W. Dyer|You can't expect to draw people into your life who are kind, confident, and generous if you're thinking and acting in cruel, weak, and selfish ways. You must be what it is that you're seeking— that is, you need to put forth what you want to attract.
Sam Owen, 500 Relationships And Life Quotes: Bite-Sized Advice For Busy People|Correctly identifying a negative emotion takes the brain out of fight-or-flight mode and into problem-solving mode, out of tension, anger and confusion and into ease, calm and clarity.
Sam Owen, 500 Relationships And Life Quotes: Bite-Sized Advice For Busy People|Our emotions affect the atmosphere around us, and other people, because emotions influence the electromagnetic field our heart emits.
Sam Owen, 500 Relationships And Life Quotes: Bite-Sized Advice For Busy People|When people seem angry, sometimes they are simply upset and hurting. Asking the right questions helps them to work through it.
Sam Owen, 500 Relationships And Life Quotes: Bite-Sized Advice For Busy People|Introspection and observation of others are vital for the ongoing good health of our own psyche; watch, learn and tweak as required.
Sam Owen, 500 Relationships And Life Quotes: Bite-Sized Advice For Busy People|Be you, be true to your word, don't sell yourself short and don't waste your life worrying.
Sam Owen, 500 Relationships And Life Quotes: Bite-Sized Advice For Busy People|Empathy is easier than anger, in the long-run.
S.R. Crawford, Bloodstained Betrayal|OK then, picture daddy; whenever you’re afraid just close your eyes and picture me. I’ll be all that exists in your world and I promise to protect you.
S.R. Crawford, Bloodstained Betrayal|I still need you. Killer, boyfriend, friend, whatever…I need you in my life…if for nothing else, to show me that it’s OK to be broken. It’s OK for things not to be OK.
Archna Mohan|In any relationship I believe love should flow naturally . We cannot control it, make other person guilty or punish it to happen.Love need patience , acceptance and trust. For love to come we make a hard and fast rule on from where, who and we chase it. Love flow naturally.When you feel scarcity of love , you need to be patience , big hearted, whole. Remain in your own love zone do not push, control because love is natural. You cannot ask or demand for it.We might not get the people who we want us to love but there are people who will step in and they can see the light or flow of our love as it is.We do not need to transform anyone, we need to know our love towards ourselves and how it flows in others.When resistance is not there, when openness comes in a relationship . We bend, we are flexible and we trust our loving nature . We become less depended on what other is giving us. We do get fair love and acceptance too.
Chanda Kaushik|We are often let down by the most trusted people and loved by the most unexpected ones. Some make us cry for things that we haven't done, while others ignore our faults and just see our smile. Some leave us when we need them the most, while some stay with us even when ask them to leave. The world is a mixture of people. We just need to know which hand to shake and which hand to hold! After all that's life, learning to hold on and learning to let go.
Sam Owen, 500 Relationships And Life Quotes: Bite-Sized Advice For Busy People|How we care for ourselves gives our brain messages that shape our self-worth so we must care for ourselves in every way, every day.
Kemi Sogunle, Beyond the Pain by Kemi Sogunle|If you spend time judging and criticizing people, you will not have time to heal from your pain or brokenness. You cannot love yourself when you judge or criticize others who are created in God's image and after His Likeness...in which you are also created. Love cannot operate from a space of pain. Love and hurt cannot reside in the same space.
Alexandra Kleeman, You Too Can Have a Body Like Mine|Tell me, is there someone in your life who's been sharing your life too closely? A friend or a loved one? Is there someone who's been taking up your time and not giving any of it back?
Sam Owen|When you lack self-esteem, people you encounter can feel it like an invisible barrier separating them from you; conversely, confidence helps people to feel connected to you.
Sam Owen, 500 Relationships And Life Quotes: Bite-Sized Advice For Busy People|If you emulate the behaviours of confident people, you will help yourself to become confident.
Aziz Ansari, Modern Romance|In today's romantic climate, many people are plagued by what we will call "the upgrade problem". Singles constantly wonder whether there is a better match, an upgrade.
Aziz Ansari, Modern Romance|The interesting thing about text is that, as a medium, it separates you from the person you are speaking with, so you can act differently from how you would in person or even on the phone.
Sam Owen|In a world of increasing fakery, genuine people are the sexiest.
Carrie Fisher, The Princess Diarist|To make him important in one’s life requires an overactive imagination. Unfortunately, mine never knows when to quit.
Ravi Zacharias, I, Isaac, Take Thee, Rebekah: Moving from Romance to Lasting Love|Love is as much a question of the will as it is of the emotion. And if you will to love somebody, you can. - Ravi Zacharias' brother
Sam Owen, 500 Relationships And Life Quotes: Bite-Sized Advice For Busy People|Know your worth so you know when to say, “Yes”, and when to say, “Thank you but no thank you.
Colette McBeth|It's that knowledge that sustains you through tough times, the certainty that you will always be less without each other than you are together.
Ravi Zacharias, I, Isaac, Take Thee, Rebekah: Moving from Romance to Lasting Love|In the early days of marriage, joy precedes the act. Tragically, as the years go by joy can be severed from the act until finally, the act itself is no more. This ought not to be. Over time it is the companionship that brings joy, and service is the natural outworking of the joy of commitment. Failure to act kills it.
Sandeep Sahajpal|If I was to sum up over three decades of togetherness with my better-half in one word, the only one that comes to my mind is ‘fulfilment’!
Sarah Schulman, Conflict Is Not Abuse: Overstating Harm, Community Responsibility, and the Duty of Repair|Confusing being mortal with being threatened can occur in any realm. The fact that something could go wrong does not mean that we are in danger. It means we are alive. Mortality is the sign of life. In the most intimate and personal of arenas, many of us have love and trusted someone who violated that trust. So when someone else comes along who intrigues us, whose interests we share, who we enjoy being with, with whom there could b some mutual enrichment and understanding, that does not mean that we are being violated again. Experiencing anxiety does not mean that anyone is doing anything to us that is unjust.
Carrie Fisher|Suzanne sat in Roger's chair, staring at the reflection of her dread morning face. Roger browsed his cassette rack. "Do you want calming or stimulating?" he asked her. Suzanne mulled it over for a few moments. It was a question she had asked herself about men.
Sandeep Sahajpal|A ‘complete man’ has a regret that he cannot bear a baby; whereas it is rather ironic that a self-styled ‘complete woman’ takes pride in denouncing that divine blessing. In fact, there is nothing like a ‘complete man’, only woman can be ‘complete’!
Sam Owen, 500 Relationships And Life Quotes: Bite-Sized Advice For Busy People|Confident people generally handle people with respect, compassion and integrity.
Kathleen Rooney, Lillian Boxfish Takes a Walk|All right, all right," he said, with that gesture I'd come to hate: two open palms facing me and patting the air, as if pushing me away, pushing me down, pushing any tears I might be preparing to cry back into their ducts.
Sam Owen, 500 Relationships And Life Quotes: Bite-Sized Advice For Busy People|When you’re confident in what you have to say, you don’t need to add effect.
Amanda Craig, A Vicious Circle|A hundred years ago, people had perfectly understood that you could die of a broken heart, now they thought you were making a fuss about nothing…Certain kinds of suffering are like radiation: they cause furious growth and mutation of the inner self.
Erik Pevernagie|Relationships may become wrecked by a quirky syndrome: the “Ain't broke, don't fix”-syndrome. When there is no interaction in the neural network and no breakthrough into the mind but only a shallow skin experience, living together might be very torturous. If a heartfelt bond has not been molded, nothing can be broken and thus nothing needs to be fixed. (“I wonder what went wrong.”)
Trevor Driggers|Have the courage to walk away, those that value you will want you back, & those that do not won't hold you back.
Claudia Gray, A Million Worlds with You|He takes my hand and says, 'Let's make a world.
Siobhan Vivian, The Last Boy and Girl in the World|It was just my reality, to never have a boy be interested in me romantically for more than one random moment. Like a TV show you don't like but you end up watching anyway, because there's nothing else on.
Erica E. Goode|Sibling relationships outlast marriages, survive the death of parents, resurface after quarrels that would sink any friendship. They flourish in a thousand incarnations of closeness and distance, warmth, loyalty and distrust.
Rabindranath Tagore, The Home and the World|His love for me seemed to overflow my limits by its flood of wealth and service. But my necessity was more for giving than foe receiving; for love is a vagabond, who can make his flowers bloom in the wayside dust, better than in the crystal jars kept in the drawing-room.
Erich Fromm, The Art of Loving|Love is the active concern for the life and the growth of that which we love. Where this active concern is lacking, there is no love.
Lalah Delia|Healing—takes time,and—so does—not healing.Chose—how you spend your time —wisely.
Yōko Ogawa, The Housekeeper and the Professor|Math has proven the existence of God, because it is absolute and without contradiction; but the devil must exist as well, because we cannot prove it
Steve Maraboli|Mindset fuels behavior... Great lives, great relationships, great businesses, and great love stories are cultivated from within.
