Rasheed Ogunlaru|The mind defines, decides, doubts and divides - only the heart truly binds.
Brian K. Vaughan, Saga, Vol. 1|My name is Hazel. I started out as an idea, but I ended up something more. Not much more, to be honest. It's not like I grow up to become some great war hero or any sort of all important savior... but thanks to these two, at least I get to grow old.Not everybody does.
Jessica Bates, Birth & What Came After: poems on motherhood|One day his fingers will grow knobby, he will start to sag. I pray to the goddesses, the gods, the eggs, the clouds, the trees. I pray to the wind that he will grow old and die well.
Gift Gugu Mona|It's amazing to be a woman because even without children of your own, you can still be an excellent mother.
Richelle E. Goodrich, Slaying Dragons|Mind what you say, but mind more closely what you do. For though children close their ears to you, their eyes remain wide open.
Richelle E. Goodrich, Slaying Dragons|I am but the reflection in your eyes, the effect of your expressions, and the sum of your praise and criticism.
Richelle E. Goodrich, Slaying Dragons|I may deserve your disappointment as well as a lecture and strict discipline, but what I need is your understanding, your guidance, and your unconditional love.
Jessica Bates, Birth & What Came After: poems on motherhood|I try to feel my own edges in the low light. I send my mind to the outer edges of me — where do I end?I send myself to my innermost edges,and I see that in both directions I am infinite.
Anna Spargo-Ryan, The Paper House|To speak of ‘trying again’ while her ghost was still in the room was an insult to both the child gone before and the child that might come after. The child before might be merely a precursor, a practice run, a whole person deemed sufficiently remembered and loved; while the child after might be a bandaid child, a second child, a replacement child. Without time taken to wait – not until the first child was forgotten but until the hideous burning fire of grief had dulled – neither child could be fully a person, but just a function of the other.
E.R. Braithwaite, To Sir, With Love|Oh God, forgive me for the hateful thoughts, because I love them, these brutal, disarming bastards, I love them …
Anthony T. Hincks|How can man put a cost on saving this planet of ours?Have we traversed so far down the road that all we care about is money and wealth?Do we honestly care about the coming generations or are we so greedy that we don't really give a damn about what happens after we leave this life behind?To all of you that read this, stop and look at your son's or daughter's. Walk to your windows and look outside and see other children playing heedless of their parent's greed and selfish ideals.It's the children who we are saving this world for.Not Us!
Fredrik Backman, Beartown|The children's hobbies aren't only the children's hobbies - the parents put just as many hours into them, year after year, sacrificing so much, paying out such huge amounts of money, that their significance eats its way even into adult brains. They started to symbolize other things compensating for or reinforcing the parents' own failures.
Craig D. Lounsbrough|If we fail to instill a fixed sense of confidence in our children, we will raise handicapped children who have no handicap other than the conviction that they believe they do.
Aurora Levins Morales, Getting Home Alive|The life I chose when I promised my six-year-old self never to forget being a child, never to grow frightened and dishonest like the grownups I saw, nodding politely to each other without affection, and decided to put my true self in a time capsule for later use.
Brenda Lochinger, I'm Squirrely!|I struggle to listen, to sit, and to study-I would rather play and create art with my brushes and putty.I wish I could focus on things that I know-Like cars, Mars, and playing with dough.
Justin Cronin, The City of Mirrors|It's children, he thought, that give us our lives; without them we are nothing, we are here and then gone, like the dust.
Bruce Lansky|Parenting: Nobody really wants the job, but everybody thinks they can do better.
Craig D. Lounsbrough|It is not that you give birth to a child that matters most. Rather, it is what you birth into them.
Josh Lieb, I am a Genius of Unspeakable Evil and I Want to Be Your Class President|First off, I call them "children", not "kids". I am a child, and I am not ashamed to be one; time will cure this unfortunate condition. "Kid" is the cutesy name adults call children, because they think "child" sounds too scientific and clinical. I refuse to call myself by their idiotic pet name. Your grandmother might call you "Snugglepants Lovebotton", but that's not how you introduce yourself to strangers. I also refuse to use terms like "teen", "tween", and etc. I find them patronizing and putrid. They are fake words, used to disguise the truth--that anyone under the age of eighteen is legally (and that's the only thing that matters) a child.
Carsten Jensen, We, the Drowned|Your roots aren't to be found in your childhood so much as in your child. It's he who provides your link to the world, and home is wherever he is.
Iben Dissing Sandahl, The Danish Way of Parenting: What the Happiest People in the World Know About Raising Confident, Capable Kids|The best gift you can give your children is to keep yourself emotionally, physically, spiritually and intellectually healthy.
Cynthia Jo Mahaffey|My son, Edward, at 4, to a neighbor boy who was being a pain in our backyard: "Oh, don't whine. my mom will throw you right out of here.
Iben Dissing Sandahl, The Danish Way of Parenting: What the Happiest People in the World Know About Raising Confident, Capable Kids|We must remain calm as parents and try not to lose control of ourselves, when we become parents. For how can we expect our kids to control themselves if we can’t do it? That seems unfair.
Laini Taylor, Strange the Dreamer|He believed in magic, like a child, and in ghosts, like a peasant.
Kate Willis, Enjoy the Poodle Skirt|Moments later as we crossed the road to the 50’s diner, I recited the restaurant rules in my head one more time.Rule one: Keep your hands clean.Rule two: Careful with the food trays.Rule three: Visit the soda fountain as often as you like, but don’t make yourself sick.Rule four: Enjoy the poodle skirt.
Khaled Hosseini, The Kite Runner|Baba and I lived in the same house, but in different spheres of existence. Kites were the one paper-thin slice of intersection between those spheres.
Carlos Wallace|A man enrich his community. A man teach and display leadership qualities for his children. A man by his presence is safety and security for his Queen. The best the thing a man can do for this world, his children and Queen is be a man.
Iben Dissing Sandahl, The Danish Way of Parenting: What the Happiest People in the World Know About Raising Confident, Capable Kids|Worrying about life’s circumstances of those I love, but over which I have no control is a dangerous, never-ending and pointless game to play.
Kilroy J. Oldster, Dead Toad Scrolls|The phrase ‘Boys will be boys,’ reflects that a male child is expected to be unpredictable and occasionally troublesome.
Iben Dissing Sandahl, The Danish Way of Parenting: What the Happiest People in the World Know About Raising Confident, Capable Kids|When your kids get excited, let them have that feeling and share the excitement with them. Sharing makes it bigger.
Kilroy J. Oldster, Dead Toad Scrolls|Because a child is bound to grow, society is intent upon cultivating the child’s mind to mature into a very specific type of responsible person. Children take great pleasure in small things that have no practical purpose in their dreamy world where they can be as wild as wind. Each year a part of the child dies, as it is burden with adult responsibilities.
Meia Geddes, Love Letters to the World|I would like to do more in appreciating the mindset of the child. Maybe it has something to do with taking ourselves very seriously and with great disregard, as well as having a healthy does of awe and doubt for all else.
Craig D. Lounsbrough|If as an adult I have scolded and then silenced the child within me, I contend that I am neither an adult nor a child. Rather, I am just plain ignorant.
Khaled Hosseini, The Kite Runner|I wondered when I had forgotten that, despite everything, he was still just a child.
Steven Erikson, Toll the Hounds|Gather close, and let us speak of nasty little shits. Oh, come now, we are no strangers to the vicious demons in placid disguises, innocent eyes so wide, hidden minds so dark. Does evil exist? Is it a force, some deadly possession that slips into the unwary? Is it a thing separate and thus subject to accusation and blame, distinct from the one it has used? Does it flit from soul to soul, weaving its diabolical scheme in all the unseen places, snarling into knots tremulous fears and appalling opportunity, stark terrors and brutal self-interest? Or is the dread word nothing more than a quaint and oh so convenient encapsulation of all those traits distinctly lacking moral context, a sweeping generalization embracing all things depraved and breath takingly cruel, a word to define that peculiar glint in the eye—the voyeur to one’s own delivery of horror, of pain and anguish and impossible grief?Give the demon crimson scales, slashing talons. Tentacles and dripping poison. Three eyes and six slithering tongues. As it crouches there in the soul, its latest abode in an eternal succession of abodes, may every god kneel in prayer.But really. Evil is nothing but a word, an objectification where no objectification is necessary. Cast aside this notion of some external agency as the source of inconceivable inhumanity—the sad truth is our possession of an innate proclivity towards indifference, towards deliberate denial of mercy, towards disengaging all that is moral within us.But if that is too dire, let’s call it evil. And paint it with fire and venom.There are extremities of behaviour that seem, at the time, perfectly natural, indeed reasonable. They are arrived at suddenly, or so it might seem, but if one looks the progression reveals itself, step by step, and that is a most sad truth.
VD.|Children must be taught how to think and not what to think. This is the responsibility of parents, if not parents, than the great community, who must equip them with the weapons of discernment and knowledge.
Olive Schreiner, Woman and Labor|I would like to say to the men and women of the generations which will come after us: you will look back at us with astonishment. You will wonder at passionate struggles that accomplished so little, at the, to you, obvious paths to attain our ends which we did not take. At the intolerable evils before which it will seem to you we sat down passive. At the great truths staring us in the face which we failed to see, at the great truths we grasped at but could not get our fingers quite 'round. You will marvel at the labour that ended in so little. But what you will never know that it was how we were thinking of you and for you that we struggled as we did and accomplished the little that we have done. That it was in the thought of your larger realization and fuller life that we have found consolation for the futilities of our own. All I aspire to be and was not, comforts me.
Chimamanda Ngozi Adichie, Dear Ijeawele, or a Feminist Manifesto in Fifteen Suggestions|If we don't place the straitjacket of gender roles on young children, we give them space to reach their full potential.
John Darnielle, Universal Harvester|If you work with or around children, you often hear a lot about how resilient they are. It's true; I've met children who've been through things that would drive most adults to the brink. They look and act, most of the time, like any other children. In this sense – that they don't succumb to despair, that they don't demand a space for their pain – it's very true that children are resilient. But resiliency only means that a thing retains its shape. That it doesn't break, or lose its ability to function. It doesn't mean a child forgets the time she shared in the backyard with her mother gardening, or the fun they had together watching Bedknobs and Broomsticks at the Astro. It just means she learns to bear it. The mechanism that allowed Lisa Sample to keep her head above water in the wak of her mother's departure has not been described or cataloged by scientists. It's efficient, and flexible, and probably transferable from one person to another should they catch the scent on each other. But the rest of the details about it aren't observable from the outside. You have to be closer than you really want to get to see how it works.
Ta-Nehisi Coates, Between the World and Me|Anyone can make a baby, but it takes a man to be a father.
Mehmet Murat ildan|For a child, no hand is stronger and softer than the hand which touches her lovingly!
Lorna Sage, Bad Blood|The children of violently unhappy marriages, like my mother, are often hamstrung for life, but the children of happier marriages have problems too - all the worse, perhaps, because they don't have virtue on their side.
Raymond Radiguet, The Devil in the Flesh|Is the selfishness of children really so different from our own? During the summer in the country we curse the rain, while the farmers are crying out for it.
Nayomi Munaweera, Island of a Thousand Mirrors|We play hide-and-seek, wade into her ponds to fill jam jars with writhing tadpoles, and cavort with her pack of dogs, named Brandy, Whiskey, Lager, so that just calling the pack makes one feel light-headed and drunk.
Maggie Stiefvater, The Dream Thieves|The Gray Man hated his current rental car. He got the distinct impression it hadn't been handled enough by humans when it was young, and now it would never be pleasant to be around.
kjforce|What is the meaning of "APPARENT "...? You will know the meaning when you become one...
Jinat Rehana Begum, First Fires|Sometimes, when you are busy and children ask funny questions, you don’t think so much. You just answer quickly so they will leave you alone. If you don’t answer, they will just keep asking or they will go and do something very bad.
Jinat Rehana Begum, First Fires|I struggle to discover what these silent sons of mine want, but words have always failed me. They are sullen even as they tell me they are okay. I know they are lying but there is nothing I can do.
Kate Boehm Jerome|It’s no secret that kids thrive when they have meaningful conversations with caring adults. But in our busy world, it’s not easy to find ways to make this happen, so I developed READ TOGETHER/DO TOGETHER™ to help parents and grandparents create those magic moments.
Alexandre Dumas, The Count of Monte Cristo|Go," said the count deliberately, "go, dear friend, but promise me, if you meet with any obstacle to remember that I have some power in this world; that I am happy to use that power in the behalf of those I love; and that I love you, Morrel.""I will remember it," said the young man, "as selfish children recollect their parents when they want their aid. When I need your assistance, and the moment may come, I will come to you, count.
Mohsin Hamid, Moth Smoke|Children are excellent judges of character, you know
Jose A. Aviles, Peer Mentorship in High School: A Comprehensive Guide to Implementing a Successful Peer Mentorship Program in Your School|It became my mission to work with young people to help show them the way, not save them! But help them understand that there are choices that can be made that will make the difference for the rest of their lives.
J.P. Delaney, The Girl Before|But one day, when Toby is old enough, I will take down a shoe box from a shelf where it is kept, and I will tell him again the story of his sister, Isabel Margaret Cavendish, the girl who came before.
Val Uchendu|The joy of success lies in the process or journey -- not so much on the destination, because one destination opens the door for another. It's like the beauty of watching a blossoming flower ... a bird taking flight for the first time or a child taking the first step ... Enjoy your process today as I am.
Joanna Faber, How to Talk so Little Kids Will Listen: A Survival Guide to Life with Children Ages 2-7|Many children are naturally picky eaters. It may even be genetic, or developmental. But given a range of healthy choices, children will choose a balanced diet—so long as junk food isn't included in the mix. Children are tempted by sweets and fried food just as much as we are.
Robin Sacredfire|Most people tend to excuse themselves with the opportunities they have in life, with how many years of school they have, with the people around them. And in doing so, they fail in realizing many other things, such as the fact that not many are lucky enough to give birth to a world bestseller on spirituality, wealth and success in life. Yes, your child may be a little reincarnation of an awesome buddhist monk, of an alchemist or a famous knight templar. Why most people can’t see these things, and keep looking at the past for answers, is something that still puzzles me.
Lorna Sage, Bad Blood|Did they love me? The question is beside the point, somehow. Certainly they each spoiled me, mainly by giving me the false impression that I was entitled to attention nearly all the the time. They played. THEY were like children, if you consider that one of the things about being a child is that you are a parasite of sorts and have to brazen out self-righteously. I want. They were good at wanting and I shared much more common ground with them than with my mother when I was three or four years old.
Sunday Adelaja|God’s word guarantees our victory, instead of shame, he gives His children victory
Sunday Adelaja|Miracles are not for grown men, they are for children or unbelievers.
Sunday Adelaja|Miracles are not for matured men, they are for children or for unbelievers.
Karen Ann Wirtz, A Game of Truths|Gee, I wonder who you could be referring to?" Owen said. "I mean you," Erebus said. "I just did not wish to be rude." "All you've been is rude." Owen muttered just under a whisper. "Some minds are more capable than others." Erebus smiled at Hugh.
Shonda Rhimes, Year of Yes: How to Dance It Out, Stand In the Sun and Be Your Own Person|She's wonderful and soulful. She has a sly sense of humor. I've seen her deliver a funnier joke with a single silent raise of her eyebrow than many stand up comedians. She guards a very sensitive heart. Any human suffering brings her to tears. She's smart. Talk down to her and find yourself mentally slapped. She's an excellent judge of character, and seems to know an original spirit from a forgery every time. Cross boundaries with her...in any improper way and suffer the wrath of a lion. ... She's principled and firm. Rude behavior doesn't materialize in her presence. She's a grown-up who fully sees and knows children as citizens, and people, and souls. And because she respects children, all children seem to respect her.
Madeleine L'Engle, A Circle of Quiet|Our children... have a passionate need for the dimension of transcendence, mysticism, way-outness. We're not offering it to them legitimately. The tendency of the churches to be relevant and more-secular-than-thou does not answer our need for the transcendent. As George Tyrrell wrote about a hundred years ago, "If a [man's] craving for the mysterious, the wonderful, the supernatural, be not fed on true religion, it will feed itself on the garbage of any superstition that is offered to it.
Dennis Lehane, Gone, Baby, Gone|Each day in this country, twenty-three hundred children are reported missing.
Peter Newman|From the corners of her mouth, thick yellow goo bubbles. It matches the mess between Vesper's fingers, the slime on her chin, on her legs, the blobs that randomly pepper things, the blast radius massive, confounding
Mo Willems|We create our work for children not because they're "cute," but because they're human beings, deserving of respect.
R. A. Delmonico|Many of the things that grownups have chosen to ignore, the child understands deeply.
Ari Berk & Carolyn Dunn, Coyote Speaks: Wonders of the Native American World|Can these signs and symbols still speak? Images, memories, stories, and objects all carry the past into the present. As we think about these messages from the past, we might wonder, too, about what kind of signs we are leaving for the future. How will our children's children know of us? What markers of our passing do we leave upon the land? Some of these signs, because of the material they're made from, or the care taken in making them, may last longer than others and have different stories to tell.
Karan Mahajan, The Association of Small Bombs|Every child is a packet of disappointments, hurts, dangers.
Rainer Maria Rilke, Duino Elegies|Who shows a child, just as they are? Who sets itin its constellation, and gives the measureof distance into its hand? Who makes a child’s deathout of grey bread, that hardens, - or leaves itinside its round mouth like the coreof a shining apple? Killers areeasy to grasp. But this: death,the whole of death, before life,to hold it so softly, and not live in anger,cannot be expressed.
Philip Slee|...in order to achieve improved outcomes for families at risk, a paradigm shift is required so that unequal outcomes for families and children are seen as social injustices, rather than as products of individual dysfunction or deficit
Criss Jami|Rebuke without love is abuse. But, a love that would never rebuke? I dare to admit that that, too, would be a kind of abuse.
Patricia MacLachlan, The Poet's Dog|Poets and children," said Sylvan. "We are the same really. When you can't find a poet, find a child. Remember that.
Jamie Zeppa, Beyond the Sky and the Earth: A Journey into Bhutan|This is my favorite part of the day. “Good morning, Class Two C,” I say. The entire class leaps up and sings out, “Good morning, miss!” Twenty-three faces are smiling at me. Sometimes they shout it with so much conviction that I laugh.
Jamie Zeppa, Beyond the Sky and the Earth: A Journey into Bhutan|I’ve just been transferred to Kanglung,” I say. They look at me to see if I am joking, and then they look at each other. There is a long, terrible silence and we all look at the floor. Karma Dorji wipes his runny nose on his sleeve and looks up. “Oh, miss,” he says sadly. “Please don’t go.”“Just a minute,” I say, and go into the bathroom. I latch the door and turn on the tap full force. When the water is running noisily, I lean my hot forehead against the damp, flaking concrete, and cry.
Ernest Agyemang Yeboah, Religion, Philosophy and life|The zeal of kids is to explore! Until you know how to sustain the real interest of your child, the real interest of your child shall be sustained by something else!
Peggy Rathmann, Ruby The Copycat|I had a cat I could not see,Because it stayed in back of me.It was a very loyal pet-It's sad we never really met.I had a nice petWho I never met,Remember it always stayed behind me. And I'm sure it was a cat, too.
Madeleine L'Engle, Walking on Water: Reflections on Faith and Art|The child is aware of unlimited potential, and this munificence is one of the joys of creativity.Those of use who struggle in our own ways, small or great, trickles or rivers, to create, are constantly having to unlearn what the world would teach us...
Bill Bryson, I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away|The hard and unexpected part is the realization not just that my son is not here but that the boy he was is gone forever. I would give anything to have them both back. But of course that cannot be. Life moves on. Kids grow up and move away, and if you don't know this already, believe me, it happens faster than you can imagine.
Terry Pratchett, Equal Rites|Granny," said Esk, in the exasperated and remarkably adult voice children use to berate their wayward elders. "I don't think you quite understand. I don't want to hit the ground. It's never done anything to me.
Kamand Kojouri|We grow old judging othersAnd ourselvesUntil life humbles usAnd makes scared children of usLonging to hold another’s handTo hear their kind words And witness their kind deeds done on our behalf.But like children,We sabotage everythingFor nothing satisfies usUntil life crumbles usAnd we are no more.
Glennon Doyle Melton, Love Warrior|We begin to understand that to co-parent is to one day look up and notice that you are on a roller coaster with another human being. You are in the same car, strapped down side by side and you can never, ever get off. There will never be another moment in your lives when your hearts don't rise and fall together, when your stomach doesn't churn in tandem, when you stop seeing huge hills emerge in the distance and simultaneously grab the sides of the car and hold on tight. No one except for the one strapped down beside you will ever understand the particular thrills and terrors of your ride.
Ketan Waghmare|For the first time in decades … For the first time in decades, India is experiencing a Revolution.For the first time in decades, there is status quo disruption.For the first time in decades, our Soldiers are receiving the reverence they must get.For the first time in decades, national interest matters more than personal interest.For the first time in decades, the strength of WE is more than self proclaimed VIP Few.For the first time in decades, corrupt politicians are worried about people standing in queueFor the first time in decades, let us try not to get brainwashed in inconvenience debate.For the first time in decades, let us not fall prey to tactics of bait.For the first time in decades, we are up in arms against dishonest coward.For the first time in decades, India is feeling empowered.For the first time in decades, we have an opportunity to rise above caste, creed and religion.For the first time in decades, we are hopeful for the bright future of next generation.
Abhijit Naskar|Teach the children compassion and empathy, for all creatures are born selfish.
Hanya Yanagihara, A Little Life|Without them, one’s status as an adult is never secure; a childless adult creates adulthood for himself , and as exhilarating as it often is, it is also a state of perpetual insecurity
can't remember|A lot of the time, we’re simply having too much fun to even notice how tired and busy we are.I could be wrong, but sometimes it seems to me that there’s too much talk about how difficult being a parent is, and too little talk about the sheer, unbelievable, indescribable, truly mystical adventurous fun of the whole thing. To the point that we risk becoming conditioned to expect parenting to be merely difficult, and to interpret those inevitable times where it is difficult, and we're not having any fun, as being just how it is.But it isn’t. Or, at least, it won't be, if we don't let it.
Abhijit Naskar|Never put a single thought of weakness in the flourishing minds of the children. Fill them up with vigour and compassion, for their character will define the future of the entire human species.
Keith Ferrazzi, Never Eat Alone: And Other Secrets to Success, One Relationship at a Time|There are three things in this world that engender deep emotional bonds between people. They are health, wealth and children.
Joseph Abbruscato, The Gothic Fairy Tale in Young Adult Literature: Essays on Stories from Grimm to Gaiman|Children are more able to objectively synthesize a story involving vampires, monsters, or dragons due to the distance afforded by the fantastical elements than they are a story revolving around horrors committed by human beings.
Ian McEwan, Atonement|Her purity of spirit would never be in doubt, though she moved through a blemished world.
Jennifer Senior, All Joy and No Fun: The Paradox of Modern Parenthood|Even when our children are still young and defenseless, we feel intimations of their departure. We find ourselves staring at them with nostalgia, wistful for the person they're about to no longer be.
Nadia Hashimi, When the Moon is Low|Children are touched by heaven—their every breath, every laugh, every touch a sip of water to the desert wanderer. I could not have known this as a child, but I know it as a mother, a truth I learned as my own heart grew, bent, danced, and broke for each of my children
F. Scott Fitzgerald, A Short Autobiography|That we shall use every discovery of science in the preservation of our children's health goes without saying; but we shall do more than this - we shall give them a free start, not loading them up with our own ideas and experiences, nor advising them to live according to our lights. We were burned in the fire here and there, but - who knows? - fire may not burn our children, and if we warn them away from it they may end by never growing warm. We will not even inflict our cynicism on them as the sentimentality of our fathers was inflicted on us. The most we will do is urge a little doubt, asking that the doubt be exercised on our ideas as well as on all the mortal things in this world.
Ted Chiang|It'll be when you first learn to walk that I get daily demonstrations of the asymmetry in our relationship. You'll be incessantly running off somewhere, and each time you walk into a door frame or scrape your knee, the pain feels like it's my own. It'll be like growing an errant limb, an extension of myself whose sensory nerves report pain just fine, but whose motor nerves don't convey my commands at all. It's so unfair: I'm going to give birth to an animated voodoo doll of myself.
Abhijit Naskar|Fairytales are healthy for the children. As they grow up, the magical thinking wears off, but the fairytale-induced creative brain circuits stay forever.
Zoran Stojkovski|As a grown-up, you have the widest array of constant struggles and battles you need to win. Yet, the most challenging is making a child know he or she is the noblest and most gratifying cause of all.
Eknath Easwaran, Take Your Time: How to Find Patience, Peace, and Meaning|Children naturally ask all kinds of questions and take a long time to tell their stories, and in millions of homes the parents are doing something else as they reply, “Yes, yes, I see.” And in millions of homes, the parents are surprised when their children don’t listen to them.Those little bright eyes know when your attention is wandering. When they are telling you the news from school, give your full attention. Everything else can be set aside for the moment. You are teaching your children to listen to you.
Jennifer Senior, All Joy and No Fun: The Paradox of Modern Parenthood|You don't have a good story until something deviates from the expected," says McAdams. "And raising children leads to some pretty unexpected happenings.
Jenny Offill, Dept. of Speculation|Someone had given my daughter a doctor's kit. Carefully, she takes her own temperature, places the pressure cuff around her arm. Then she takes the cuff off and examines it. "Would you like to be a doctor when you grow up?" I ask her. She looks at me oddly. "I'm already a doctor," she says.
Mehmet Murat ildan|Children always give this simple message: Be natural, be sincere, be yourself!
James C. Dobson, Life on the Edge: The Next Generation's Guide to a Meaningful Future|25. Whenever two human beings spend time together, sooner or later they will probably irritate one another. This is true of best friends, married couples, parents and children, or teachers and students. The question is: How do they respond when friction occurs? There are four basic ways they can react:•	They can internalize the anger and send it downward into a memory bank that never forgets. This creates great pressure within and can even result in disease and other problems.•	They can pout and be rude without discussing the issues. This further irritates the other person and leaves him or her to draw his or her own conclusions about what the problem may be.•	They can blow up and try to hurt the other person. This causes the death of friendships, marriages, homes, and businesses.•	Or they can talk to one another about their feelings, being very careful not to attack the dignity and worth of the other person. This approach often leads to permanent and healthy relationships.
Seth Adam Smith, Rip Van Winkle and the Pumpkin Lantern|Thus bound together, they sheltered the child from the cold, dark night, enveloping him in warmth.
James C. Dobson, Life on the Edge: The Next Generation's Guide to a Meaningful Future|32. Before you criticize your parents for their failures and mistakes, ask yourself: “Will I really do that much better with my own children?” The job is tougher than it looks, and mistakes are inevitable!
OMOSOHWOFA CASEY|As one attains the age of 18 having fully acquired the basic education, one becomes responsible for whatever decision he makes, whatever opinion he chooses to accept and whatever style of life he chooses to live.Above age 18, the waywardness of a child depends on the child.
James C. Dobson, Life on the Edge: The Next Generation's Guide to a Meaningful Future|Thus, we knew at the onset of the sexual revolution back in 1968 that this day of disease and promiscuity would come. It is here, and what we do with our situation will determine how much we and our children will suffer in the future. God created the moral basis for the universe before He made the heavens and the earth. His concept of right and wrong was not an afterthought that came along with the Ten Commandments. No, it was an expression of God’s divine nature and was in force before “the beginning.
Neil Gaiman, The Ocean at the End of the Lane|Adults follow paths. Children explore. Adults are content to walk the same way, hundreds of times, or thousands; perhaps it never occurs to adults to step off the paths, to creep beneath rhododendrons, to find the spaces between fences.
Marie Brennan, In the Labyrinth of Drakes|Jake accompanied us as well, having arrived in Akhia shortly before the excavation team departed. I did not tell him our destination until we were safely away from civilization, and found my caution abundantly justified: he whooped and danced about so much, he fell off his camel and broke his left arm.
Christina Engela, Dead Man's Hammer|Sumone Yiden Smiff was a businessman of note. Was, past tense. Through years of sweat and swearing and amazingly smart (or lucky) deals he’d built up a mining empire that spanned the sum of known space. At 74 years, he had reached the apex of a career stretching half a century. His companies mined precious commodities like Impervium, Obstinatium and Bitanium. He wasn’t really famous, or ostentatious. In fact he only ever made the cover of Fortune One Billion once, twenty-five years ago. He’d never married, had lots of children – light-years apart, apparently.
John Irving, The World According to Garp|She felt if she ever had children she would love them no less when they were twenty than when they were two; they might need you more at twenty, she thought. What do you really need when you're two? In the hospital, the babies were the easiest patients. The older they got, the more they needed; and the less anyone wanted or loved them.
Kcat Yarza, KCAT CAN: I have a pen that writes|Children who are ill, in their innocence and plight, teach adults many lessons, and one of those lessons is that ‘Life must go on. Face it. Live it. Enjoy it. Despite all the odds.’ That is bravery, in the eyes of a sick child.
José Eduardo Agualusa, The Book of Chameleons|We're only happy--truly happy--when it's forever after, but only children live in a world where things can last forever.
Ayana Mathis, The Twelve Tribes of Hattie|Down the hall the children slept three to a bedroom; Hattie could almost hear them growing, their wrists lengthening and poking out beyond the cuffs of their sleeves, their feet outgrowing their shoes, their shoulders widening and pulling the fabric of their coats taut.
J.M. Darhower, Extinguish|I’ve spent my entire existence watching over children, trying to keep the evil from tainting them. I look at the kids and see their inherent goodness, their innocence, and their compassion. They’re born that way. They only change, only turn their backs on the world, when the world turns their back on them.
Kate Morton, The House at Riverton|...home is a magnet that lures back even its most abstracted children. But whether tomorrow or years from now, I cannot guess.
EXO Books, The Last Day of Captain Lincoln|Sadly, history shows us that people literally scrambled their children's brains with heavy exposure to screens at young ages. Developing primate brains are wired to interact with others in a real environment, learning the enormous range of human behaviours from copying the people they love and trust, not staring mindlessly at images.
Katherine Dunn, Geek Love|The roses started him thinking, how the oddity of them was beautiful and how that oddity was contrived to give them value. “It just struck me – clear and complete all at once – no long figuring about it.” He realized that children could be designed. “And I thought to myself, now that would a rose garden worthy of a man’s interest.”We children would smile and hug him and he would grin around at us and send the twins for a pot of cocoa from the drink wagon and me for a bag of popcorn because the red-haired girls would just throw it out when they finished closing the concession anyway. And we would all be cozy in the warm booth of the van, eating popcorn and drinking cocoa and feeling like Papa’s roses.
Adele Devine, Flying Starts for Unique Children: Top Tips for Supporting Children with SEN or Autism When They Start School|Love every child without condition, listen with an open heart, get to know who they are, what they love, and follow more often than you lead.
Don DeLillo, Underworld|How children adapt to available surfaces, using curbstones, stoops and manhole covers. How they take the pockmarked world and turn a delicate inversion, making something brainy and rule-bound and smooth, and then spend the rest of their lives trying to repeat the process.
Rosamunde Pilcher, The Shell Seekers|Love she had found, had a strange way of multiplying. Doubling, trebling itself, so that, as each child arrived, there was always more than enough to go around.
Rosamunde Pilcher, The Shell Seekers|She had loved them all, her children. Loved each one the best, but for different reasons.
Steven Magee|I regard taking healthy sea level adapted children to the 13,796 feet very high altitude summit of Mauna Kea as a form of child abuse.
Robert Ferrigno, Heart of the Assassin|Love your children while they are young. Because they grow up soon enough, and then… then the have no need of you.
Harper Lee, To Kill a Mockingbird|People generally see what they look for and hear what they listen for, and they have a right to subject their children to it.
Fiston Mwanza Mujila, Tram 83|You share the same destiny as everyone else, the same history, the same hardship, the same rot, the same Tram beer, the same dog kebabs, the same narrative as soon as you come into the world. You start out baby-chick or slim-jim or child-soldier. You graduate to endlessly striking student or desperado. If you've got a family on the trains, then you work on the trains; otherwise like a ship you wash up on the edge of hope - a suicidal, a carjacker, a digger with dirty teeth, a mechanic, a street sleeper, a commission agent, an errand boy employed by for-profit tourists, a hawker of secondhand coffins. Your fate is already sealed like that of the locomotives carrying spoiled merchandise and the dying.
Catherine Barnhoorn, Mila's Meals: The Beginning & The Basics|When feeding your children, do you want to fill their tummies? Or nourish their bodies?
Florence Engel Randall, The Watcher in the Woods|Just having children is a risk, Kate. We are gambling on the future, investing in the unknown with nothing but hope and blind faith. How can we keep our own safe when anyone else is in danger?
Hal and Melanie Young|Reckless behavior, particularly in young boys, may be the uncontrolled expression of a legitimate, even Godly, desire to strive after great and noble deeds. And when the desire for adventure follows a God-honoring course, exciting things can happen.
Hal and Melanie Young|It may be that mothers have a hard time discerning between when sons need comforting and when they need bucking up. Here's a rule of thumb: If he hasn't faced the trial yet, or he's in the midst of it - encourage him. If he's been to the wars and is limping home wounded - comfort him. Once the wounds are bound up, encourage him to rise and face the fight again.
Elena Ferrante, The Lost Daughter|A woman's body does a thousand different things, toils, runs, studies, fantasizes, invents, wearies, and meanwhile the breasts enlarge, the lips of the sex swell, the flesh throbs with a round life that is yours, your life, and yet pushes elsewhere, draws away from you although it inhabits your belly, joyful and weighty, felt as a greedy impulse and yet repellent, like an insect's poison injected into a vein.
Bertrand Russell|The affection of parents makes infants feel safe in this dangerous world, and gives them boldness in experimentation and in exploration of their environments.
